ubicageo_f,rnspni1,divter1,divter2,divter3,divter4,divter5
13075,0,NA,NA,NA,NA,NA
13076,0,NA,NA,NA,NA,NA
13077,0,NA,NA,NA,NA,NA
13078,0,NA,NA,NA,NA,NA
13079,0,NA,NA,NA,NA,NA
13080,0,NA,NA,NA,NA,NA
13081,0,NA,NA,NA,NA,NA
13082,0,NA,NA,NA,NA,NA
13083,0,NA,NA,NA,NA,NA
13084,0,NA,NA,NA,NA,NA
14001,0,NA,NA,NA,NA,NA
14002,0,NA,NA,NA,NA,NA
14003,2,NA,NA,NA,NA,NA
14004,0,NA,NA,NA,NA,NA
14005,1,0,0,5,0,0
14006,0,NA,NA,NA,NA,NA
14007,0,NA,NA,NA,NA,NA
14008,1,0,4,0,0,0
14009,0,NA,NA,NA,NA,NA
14010,0,NA,NA,NA,NA,NA
14011,0,NA,NA,NA,NA,NA
14012,0,NA,NA,NA,NA,NA
14013,0,NA,NA,NA,NA,NA
14014,0,NA,NA,NA,NA,NA
14015,1,0,7,0,0,0
14016,0,NA,NA,NA,NA,NA
14017,0,NA,NA,NA,NA,NA
14018,0,NA,NA,NA,NA,NA
14019,0,NA,NA,NA,NA,NA
14020,0,NA,NA,NA,NA,NA
14021,0,NA,NA,NA,NA,NA
14022,9,NSS,NSS,NSS,NSS,NSS
14023,1,0,12,0,0,0
14024,0,NA,NA,NA,NA,NA
14025,0,NA,NA,NA,NA,NA
14026,0,NA,NA,NA,NA,NA
14027,0,NA,NA,NA,NA,NA
14028,0,NA,NA,NA,NA,NA
14029,0,NA,NA,NA,NA,NA
14030,0,NA,NA,NA,NA,NA
14031,0,NA,NA,NA,NA,NA
14032,0,NA,NA,NA,NA,NA
14033,0,NA,NA,NA,NA,NA
14034,0,NA,NA,NA,NA,NA
14035,0,NA,NA,NA,NA,NA
14036,0,NA,NA,NA,NA,NA
14037,0,NA,NA,NA,NA,NA
14038,3,NA,NA,NA,NA,NA
14039,3,NA,NA,NA,NA,NA
14040,0,NA,NA,NA,NA,NA
14041,0,NA,NA,NA,NA,NA
14042,0,NA,NA,NA,NA,NA
14043,0,NA,NA,NA,NA,NA
14044,3,NA,NA,NA,NA,NA
14045,0,NA,NA,NA,NA,NA
14046,0,NA,NA,NA,NA,NA
14047,0,NA,NA,NA,NA,NA
14048,2,NA,NA,NA,NA,NA
14049,0,NA,NA,NA,NA,NA
14050,0,NA,NA,NA,NA,NA
14051,0,NA,NA,NA,NA,NA
14052,0,NA,NA,NA,NA,NA
14053,2,NA,NA,NA,NA,NA
14054,0,NA,NA,NA,NA,NA
14055,0,NA,NA,NA,NA,NA
14056,0,NA,NA,NA,NA,NA
14057,0,NA,NA,NA,NA,NA
14058,0,NA,NA,NA,NA,NA
14059,0,NA,NA,NA,NA,NA
14060,0,NA,NA,NA,NA,NA
14061,0,NA,NA,NA,NA,NA
14062,0,NA,NA,NA,NA,NA
14063,3,NA,NA,NA,NA,NA
14064,0,NA,NA,NA,NA,NA
14065,0,NA,NA,NA,NA,NA
14066,0,NA,NA,NA,NA,NA
14067,2,NA,NA,NA,NA,NA
14068,0,NA,NA,NA,NA,NA
14069,0,NA,NA,NA,NA,NA
14070,1,0,4,9,0,0
14071,0,NA,NA,NA,NA,NA
14072,0,NA,NA,NA,NA,NA
14073,9,NSS,NSS,NSS,NSS,NSS
14074,0,NA,NA,NA,NA,NA
14075,0,NA,NA,NA,NA,NA
14076,0,NA,NA,NA,NA,NA
14077,0,NA,NA,NA,NA,NA
14078,0,NA,NA,NA,NA,NA
14079,0,NA,NA,NA,NA,NA
14080,0,NA,NA,NA,NA,NA
14081,0,NA,NA,NA,NA,NA
14082,0,NA,NA,NA,NA,NA
14083,0,NA,NA,NA,NA,NA
14084,3,NA,NA,NA,NA,NA
14085,0,NA,NA,NA,NA,NA
14086,0,NA,NA,NA,NA,NA
14087,0,NA,NA,NA,NA,NA
14088,0,NA,NA,NA,NA,NA
14089,0,NA,NA,NA,NA,NA
14090,0,NA,NA,NA,NA,NA
14091,0,NA,NA,NA,NA,NA
14092,0,NA,NA,NA,NA,NA
14093,0,NA,NA,NA,NA,NA
14094,0,NA,NA,NA,NA,NA
14095,3,NA,NA,NA,NA,NA
14096,0,NA,NA,NA,NA,NA
14097,1,0,6,0,0,0
14098,1,0,7,0,0,0
14099,0,NA,NA,NA,NA,NA
14100,0,NA,NA,NA,NA,NA
14101,0,NA,NA,NA,NA,NA
14102,0,NA,NA,NA,NA,NA
14103,0,NA,NA,NA,NA,NA
14104,0,NA,NA,NA,NA,NA
14105,0,NA,NA,NA,NA,NA
14106,0,NA,NA,NA,NA,NA
14107,0,NA,NA,NA,NA,NA
14108,0,NA,NA,NA,NA,NA
14109,1,0,4,0,0,0
14110,0,NA,NA,NA,NA,NA
14111,0,NA,NA,NA,NA,NA
14112,0,NA,NA,NA,NA,NA
14113,0,NA,NA,NA,NA,NA
14114,0,NA,NA,NA,NA,NA
14115,0,NA,NA,NA,NA,NA
14116,0,NA,NA,NA,NA,NA
14117,0,NA,NA,NA,NA,NA
14118,0,NA,NA,NA,NA,NA
14119,0,NA,NA,NA,NA,NA
14120,1,0,3,0,0,0
14121,0,NA,NA,NA,NA,NA
14122,0,NA,NA,NA,NA,NA
14123,0,NA,NA,NA,NA,NA
14124,1,0,5,0,0,6
14125,0,NA,NA,NA,NA,NA
15001,0,NA,NA,NA,NA,NA
15002,1,0,0,9,0,0
15003,0,NA,NA,NA,NA,NA
15004,0,NA,NA,NA,NA,NA
15005,0,NA,NA,NA,NA,NA
