ubicageo_f,rnspni1,dirurl1
10001,2,NO APLICA
10002,0,NO APLICA
10003,0,NO APLICA
10004,0,NO APLICA
10005,1,NO APLICA
10006,0,NO APLICA
10007,3,NO APLICA
10008,0,NO APLICA
10009,0,NO APLICA
10010,0,NO APLICA
10011,0,NO APLICA
10012,0,NO APLICA
10013,0,NO APLICA
10014,0,NO APLICA
10015,0,NO APLICA
10016,97,NO IDENTIFICADO
10017,0,NO APLICA
10018,0,NO APLICA
10019,0,NO APLICA
10020,0,NO APLICA
10021,0,NO APLICA
10022,0,NO APLICA
10023,0,NO APLICA
10024,0,NO APLICA
10025,0,NO APLICA
10026,0,NO APLICA
10027,0,NO APLICA
10028,0,NO APLICA
10029,0,NO APLICA
10030,0,NO APLICA
10031,0,NO APLICA
10032,0,NO APLICA
10033,0,NO APLICA
10034,3,NO APLICA
10035,0,NO APLICA
10036,0,NO APLICA
10037,0,NO APLICA
10038,0,NO APLICA
10039,0,NO APLICA
11001,0,NO APLICA
11002,0,NO APLICA
11003,0,NO APLICA
11004,0,NO APLICA
11005,0,NO APLICA
11006,0,NO APLICA
11007,2,NO APLICA
11008,97,NO IDENTIFICADO
11009,0,NO APLICA
11010,97,NO IDENTIFICADO
11011,0,NO APLICA
11012,0,NO APLICA
11013,0,NO APLICA
11014,0,NO APLICA
11015,2,NO APLICA
11016,3,NO APLICA
11017,97,NO IDENTIFICADO
11018,0,NO APLICA
11019,0,NO APLICA
11020,9,NO IDENTIFICADO
11021,0,NO APLICA
11022,3,NO APLICA
11023,3,NO APLICA
11024,0,NO APLICA
11025,0,NO APLICA
11026,0,NO APLICA
11027,2,NO APLICA
11028,2,NO APLICA
11029,0,NO APLICA
11030,0,NO APLICA
11031,3,NO APLICA
11032,0,NO APLICA
11033,0,NO APLICA
11034,9,NO IDENTIFICADO
11035,0,NO APLICA
11036,0,NO APLICA
11037,3,NO APLICA
11038,97,NO IDENTIFICADO
11039,0,NO APLICA
11040,0,NO APLICA
11041,97,NO IDENTIFICADO
11042,2,NO APLICA
11043,0,NO APLICA
11044,0,NO APLICA
11045,0,NO APLICA
11046,0,NO APLICA
12001,0,NO APLICA
12002,0,NO APLICA
12003,0,NO APLICA
12004,0,NO APLICA
12005,0,NO APLICA
12006,0,NO APLICA
12007,0,NO APLICA
12008,0,NO APLICA
12009,0,NO APLICA
12010,0,NO APLICA
12011,0,NO APLICA
12012,0,NO APLICA
12013,0,NO APLICA
12014,0,NO APLICA
12015,0,NO APLICA
12016,0,NO APLICA
12017,0,NO APLICA
12018,0,NO APLICA
12019,0,NO APLICA
12020,0,NO APLICA
12021,0,NO APLICA
12022,0,NO APLICA
12023,0,NO APLICA
12024,0,NO APLICA
12025,0,NO APLICA
12026,0,NO APLICA
12027,0,NO APLICA
12028,0,NO APLICA
12029,2,NO APLICA
12030,0,NO APLICA
12031,0,NO APLICA
12032,0,NO APLICA
12033,0,NO APLICA
12034,0,NO APLICA
12035,0,NO APLICA
12036,0,NO APLICA
12037,0,NO APLICA
12038,0,NO APLICA
12039,0,NO APLICA
12040,0,NO APLICA
12041,0,NO APLICA
12042,0,NO APLICA
12043,0,NO APLICA
12044,0,NO APLICA
12045,0,NO APLICA
12046,0,NO APLICA
12047,0,NO APLICA
12048,0,NO APLICA
12049,0,NO APLICA
12050,0,NO APLICA
12051,0,NO APLICA
12052,0,NO APLICA
12053,0,NO APLICA
12054,0,NO APLICA
12055,0,NO APLICA
12056,0,NO APLICA
12057,0,NO APLICA
12058,0,NO APLICA
12059,0,NO APLICA
12060,0,NO APLICA
12061,0,NO APLICA
12062,0,NO APLICA
12063,0,NO APLICA
12064,0,NO APLICA
12065,0,NO APLICA
12066,0,NO APLICA
12067,0,NO APLICA
12068,0,NO APLICA
12069,0,NO APLICA
12070,0,NO APLICA
12071,0,NO APLICA
12072,0,NO APLICA
12073,0,NO APLICA
12074,0,NO APLICA
12075,0,NO APLICA
12076,0,NO APLICA
12077,0,NO APLICA
12078,0,NO APLICA
12079,0,NO APLICA
12080,0,NO APLICA
12081,0,NO APLICA
12082,0,NO APLICA
12083,0,NO APLICA
12084,0,NO APLICA
12085,0,NO APLICA
13001,0,NO APLICA
13002,0,NO APLICA
13003,3,NO APLICA
13004,0,NO APLICA
13005,0,NO APLICA
13006,0,NO APLICA
13007,2,NO APLICA
13008,0,NO APLICA
13009,0,NO APLICA
13010,0,NO APLICA
13011,0,NO APLICA
13012,0,NO APLICA
13013,0,NO APLICA
13014,0,NO APLICA
13015,0,NO APLICA
13016,0,NO APLICA
13017,0,NO APLICA
13018,0,NO APLICA
13019,0,NO APLICA
13020,0,NO APLICA
13021,0,NO APLICA
13022,0,NO APLICA
13023,97,NO IDENTIFICADO
13024,0,NO APLICA
13025,0,NO APLICA
13026,0,NO APLICA
13027,0,NO APLICA
13028,0,NO APLICA
13029,0,NO APLICA
13030,0,NO APLICA
13031,0,NO APLICA
13032,0,NO APLICA
13033,0,
13034,0,
13035,0,NO APLICA
13036,0,NO APLICA
