ubicageo_f,rnsnni1,totalca1
7096,0,NA
7097,0,NA
7098,0,NA
7099,0,NA
7100,0,NA
7101,1,415
7102,0,NA
7103,0,NA
7104,0,NA
7105,0,NA
7106,0,NA
7107,0,NA
7108,0,NA
7109,9,NSS
7110,0,NA
7111,0,NA
7112,0,NA
7113,0,NA
7114,0,NA
7115,0,NA
7116,0,NA
7117,1,1
7118,0,NA
7119,0,NA
7120,0,NA
7121,0,NA
7122,0,NA
7123,0,NA
7124,0,NA
7125,0,NA
8001,0,NA
8002,0,NA
8003,0,NA
8004,0,NA
8005,2,NA
8006,0,NA
8007,0,NA
8008,0,NA
8009,0,NA
8010,2,NA
8011,1,1
8012,0,NA
8013,0,NA
8014,0,NA
8015,0,NA
8016,0,NA
8017,2,NA
8018,0,NA
8019,2,NA
8020,0,NA
8021,2,NA
8022,0,NA
8023,0,NA
8024,0,NA
8025,0,NA
8026,0,NA
8027,97,NSS
8028,0,NA
8029,0,NA
8030,0,NA
8031,0,NA
8032,1,3
8033,0,NA
8034,0,NA
8035,0,NA
8036,0,NA
8037,1,128
8038,0,NA
8039,0,NA
8040,0,NA
8041,0,NA
8042,0,NA
8043,0,NA
8044,0,NA
8045,0,NA
8046,0,NA
8047,0,NA
8048,0,NA
8049,0,NA
8050,0,NA
8051,0,NA
8052,0,NA
8053,0,NA
8054,0,NA
8055,0,NA
8056,0,NA
8057,0,NA
8058,0,NA
8059,0,NA
8060,0,NA
8061,0,NA
8062,0,NA
8063,0,NA
8064,0,NA
8065,0,NA
8066,0,NA
8067,0,NA
9002,0,NA
9003,0,NA
9004,0,NA
9005,0,NA
9006,0,NA
9007,0,NA
9008,0,NA
9009,0,NA
9010,0,NA
9011,0,NA
9012,0,NA
9013,0,NA
9014,0,NA
9015,0,NA
9016,0,NA
9017,0,NA
10001,2,NA
10002,0,NA
10003,0,NA
10004,0,NA
10005,2,NA
10006,0,NA
10007,1,13
10008,0,NA
10009,0,NA
10010,0,NA
10011,0,NA
10012,0,NA
10013,0,NA
10014,0,NA
10015,0,NA
10016,97,NSS
10017,0,NA
10018,0,NA
10019,0,NA
10020,0,NA
10021,0,NA
10022,0,NA
10023,0,NA
10024,0,NA
10025,0,NA
10026,0,NA
10027,0,NA
10028,0,NA
10029,0,NA
10030,0,NA
10031,0,NA
10032,0,NA
10033,0,NA
10034,2,NA
10035,0,NA
10036,0,NA
10037,0,NA
10038,0,NA
10039,0,NA
11001,0,NA
11002,0,NA
11003,0,NA
11004,2,NA
11005,0,NA
11006,9,NSS
11007,1,5
11008,97,NSS
11009,0,NA
11010,97,NSS
11011,0,NA
11012,0,NA
11013,0,NA
11014,1,NSS
11015,1,103
11016,2,NA
11017,1,82
11018,0,NA
11019,0,NA
11020,1,1
11021,0,NA
11022,1,6
11023,1,40
11024,9,NSS
11025,0,NA
11026,0,NA
11027,2,NA
11028,1,NSS
11029,0,NA
11030,0,NA
11031,1,9
11032,0,NA
11033,0,NA
11034,1,1
11035,0,NA
11036,0,NA
11037,1,18
11038,97,NSS
11039,0,NA
11040,0,NA
11041,1,6
11042,1,1
11043,0,NA
11044,0,NA
11045,0,NA
11046,0,NA
12001,0,NA
12002,0,NA
12003,0,NA
12004,0,NA
12005,0,NA
12006,0,NA
12007,0,NA
12008,2,NA
12009,0,NA
12010,0,NA
12011,0,NA
12012,0,NA
12013,0,NA
12014,0,NA
12015,0,NA
12016,0,NA
12017,0,NA
12018,0,NA
12019,0,NA
12020,0,NA
12021,0,NA
12022,0,NA
12023,0,NA
12024,0,NA
12025,0,NA
12026,0,NA
12027,0,NA
12028,0,NA
12029,1,14
12030,0,NA
12031,0,NA
12032,0,NA
12033,0,NA
12034,0,NA
12035,0,NA
12036,0,NA
12037,0,NA
12038,0,NA
12039,0,NA
12040,0,NA
12041,0,NA
12042,0,NA
12043,0,NA
