ubicageo_f,rnspni1,anios_a,nombre1
13032,3,NA,NO APLICA
13033,3,NA,NO APLICA
13034,2,NA,NO APLICA
13035,2,NA,NO APLICA
13036,3,NA,NO APLICA
13037,3,NA,NO APLICA
13038,2,NA,NO APLICA
13039,2,NA,NO APLICA
13040,2,NA,NO APLICA
13041,3,NA,NO APLICA
13042,2,NA,NO APLICA
13043,3,NA,NO APLICA
13044,3,NA,NO APLICA
13045,2,NA,NO APLICA
13046,3,NA,NO APLICA
13047,3,NA,NO APLICA
13048,2,NA,NO APLICA
13049,3,NA,NO APLICA
13050,3,NA,NO APLICA
13051,3,NA,NO APLICA
13052,3,NA,NO APLICA
13053,2,NA,NO APLICA
13054,2,NA,NO APLICA
13055,2,NA,NO APLICA
13056,3,NA,NO APLICA
13057,3,NA,NO APLICA
13058,2,NA,NO APLICA
13059,3,NA,NO APLICA
13060,2,NA,NO APLICA
13061,3,NA,NO APLICA
13062,3,NA,NO APLICA
13063,2,NA,NO APLICA
13064,2,NA,NO APLICA
13065,3,NA,NO APLICA
13066,3,NA,NO APLICA
13067,3,NA,NO APLICA
13068,2,NA,NO APLICA
13069,3,NA,NO APLICA
13070,3,NA,NO APLICA
13071,3,NA,NO APLICA
13072,2,NA,NO APLICA
13073,2,NA,NO APLICA
13074,2,NA,NO APLICA
13075,3,NA,NO APLICA
13076,3,NA,NO APLICA
13077,3,NA,NO APLICA
13078,3,NA,NO APLICA
13079,2,NA,NO APLICA
13080,3,NA,NO APLICA
13081,3,NA,NO APLICA
13082,2,NA,NO APLICA
13083,3,NA,NO APLICA
13084,2,NA,NO APLICA
14001,2,NA,NO APLICA
14002,2,NA,NO APLICA
14003,2,NA,NO APLICA
14004,3,NA,NO APLICA
14005,3,NA,NO APLICA
14006,2,NA,NO APLICA
14007,2,NA,NO APLICA
14008,2,NA,NO APLICA
14009,2,NA,NO APLICA
14010,2,NA,NO APLICA
14011,3,NA,NO APLICA
14012,2,NA,NO APLICA
14013,3,NA,NO APLICA
14014,3,NA,NO APLICA
14015,3,NA,NO APLICA
14016,3,NA,NO APLICA
14017,2,NA,NO APLICA
14018,3,NA,NO APLICA
14019,2,NA,NO APLICA
14020,2,NA,NO APLICA
14021,2,NA,NO APLICA
14022,2,NA,NO APLICA
14023,2,NA,NO APLICA
14024,3,NA,NO APLICA
14025,2,NA,NO APLICA
14026,3,NA,NO APLICA
14027,3,NA,NO APLICA
14028,2,NA,NO APLICA
14029,2,NA,NO APLICA
14030,2,NA,NO APLICA
14031,2,NA,NO APLICA
14032,2,NA,NO APLICA
14033,2,NA,NO APLICA
14034,3,NA,NO APLICA
14035,3,NA,NO APLICA
14036,3,NA,NO APLICA
14037,3,NA,NO APLICA
14038,2,NA,NO APLICA
14039,2,NA,NO APLICA
14040,3,NA,NO APLICA
14041,2,NA,NO APLICA
14042,2,NA,NO APLICA
14043,2,NA,NO APLICA
14044,3,NA,NO APLICA
14045,2,NA,NO APLICA
14046,3,NA,NO APLICA
14047,3,NA,NO APLICA
14048,2,NA,NO APLICA
14049,3,NA,NO APLICA
14050,3,NA,NO APLICA
14051,2,NA,NO APLICA
14052,3,NA,NO APLICA
14053,3,NA,NO APLICA
14054,3,NA,NO APLICA
14055,3,NA,NO APLICA
14056,3,NA,NO APLICA
14057,3,NA,NO APLICA
14058,2,NA,NO APLICA
14059,2,NA,NO APLICA
14060,2,NA,NO APLICA
14061,2,NA,NO APLICA
14062,2,NA,NO APLICA
14063,3,NA,NO APLICA
14064,2,NA,NO APLICA
14065,3,NA,NO APLICA
14066,2,NA,NO APLICA
14067,2,NA,NO APLICA
14068,2,NA,NO APLICA
14069,3,NA,NO APLICA
14070,2,NA,NO APLICA
14071,2,NA,NO APLICA
14072,2,NA,NO APLICA
14073,2,NA,NO APLICA
14074,3,NA,NO APLICA
14075,2,NA,NO APLICA
14076,2,NA,NO APLICA
14077,2,NA,NO APLICA
14078,3,NA,NO APLICA
14079,3,NA,NO APLICA
14080,2,NA,NO APLICA
14081,3,NA,NO APLICA
14082,3,NA,NO APLICA
14083,2,NA,NO APLICA
14084,3,NA,NO APLICA
14085,2,NA,NO APLICA
14086,2,NA,NO APLICA
14087,3,NA,NO APLICA
14088,2,NA,NO APLICA
14089,2,NA,NO APLICA
14090,3,NA,NO APLICA
14091,3,NA,NO APLICA
14092,2,NA,NO APLICA
14093,2,NA,NO APLICA
14094,3,NA,NO APLICA
14095,3,NA,NO APLICA
14096,2,NA,NO APLICA
14097,3,NA,NO APLICA
14098,3,NA,NO APLICA
14099,2,NA,NO APLICA
14100,3,NA,NO APLICA
14101,2,NA,NO APLICA
14102,3,NA,NO APLICA
14103,9,NSS,NO IDENTIFICADO
14104,3,NA,NO APLICA
14105,2,NA,NO APLICA
14106,2,NA,NO APLICA
14107,2,NA,NO APLICA
14108,2,NA,NO APLICA
14109,2,NA,NO APLICA
14110,2,NA,NO APLICA
14111,2,NA,NO APLICA
14112,3,NA,NO APLICA
14113,2,NA,NO APLICA
14114,2,NA,NO APLICA
14115,2,NA,NO APLICA
14116,2,NA,NO APLICA
14117,3,NA,NO APLICA
14118,2,NA,NO APLICA
14119,3,NA,NO APLICA
14120,2,NA,NO APLICA
14121,3,NA,NO APLICA
14122,3,NA,NO APLICA
14123,2,NA,NO APLICA
14124,2,NA,NO APLICA
14125,3,NA,NO APLICA
15001,2,NA,NO APLICA
15002,2,NA,NO APLICA
15003,3,NA,NO APLICA
15004,3,NA,NO APLICA
15005,2,NA,NO APLICA
15006,2,NA,NO APLICA
15007,2,NA,NO APLICA
15008,2,NA,NO APLICA
15009,3,NA,NO APLICA
15010,3,NA,NO APLICA
15011,2,NA,NO APLICA
15012,3,NA,NO APLICA
15013,2,NA,NO APLICA
15014,2,NA,NO APLICA
15015,3,NA,NO APLICA
15016,3,NA,NO APLICA
15017,2,NA,NO APLICA
15018,2,NA,NO APLICA
15019,3,NA,NO APLICA
15020,3,NA,NO APLICA
15021,3,NA,NO APLICA
15022,2,NA,NO APLICA
15023,2,NA,NO APLICA
15024,2,NA,NO APLICA
15025,2,NA,NO APLICA
15026,2,NA,NO APLICA
15027,2,NA,NO APLICA
15028,3,NA,NO APLICA
15029,3,NA,NO APLICA
15030,2,NA,NO APLICA
15031,2,NA,NO APLICA
15032,2,NA,NO APLICA
15033,2,NA,NO APLICA
15034,3,NA,NO APLICA
15035,3,NA,NO APLICA
15036,3,NA,NO APLICA
15037,2,NA,NO APLICA
15038,3,NA,NO APLICA
15039,2,NA,NO APLICA
15040,2,NA,NO APLICA
15041,2,NA,NO APLICA
15042,2,NA,NO APLICA
15043,2,NA,NO APLICA
15044,3,NA,NO APLICA
15045,2,NA,NO APLICA
15046,3,NA,NO APLICA
15047,2,NA,NO APLICA
15048,2,NA,NO APLICA
15049,3,NA,NO APLICA
15050,2,NA,NO APLICA
15051,2,NA,NO APLICA
15052,2,NA,NO APLICA
15053,2,NA,NO APLICA
15054,3,NA,NO APLICA
15055,2,NA,NO APLICA
15056,2,NA,NO APLICA
15057,1,2022,PREVENCION DE DELITOS CIBERNETICOS
15058,1,2022,UNIDAD CIBERNETICA
15059,2,NA,NO APLICA
15060,3,NA,NO APLICA
15061,3,NA,NO APLICA
15062,2,NA,NO APLICA
15063,0,NA,NO APLICA
15064,2,NA,NO APLICA
15065,3,NA,NO APLICA
15066,3,NA,NO APLICA
15067,2,NA,NO APLICA
15068,2,NA,NO APLICA
15069,2,NA,NO APLICA
15070,2,NA,NO APLICA
15071,3,NA,NO APLICA
15072,3,NA,NO APLICA
15073,3,NA,NO APLICA
15074,3,NA,NO APLICA
15075,2,NA,NO APLICA
15076,3,NA,NO APLICA
15077,3,NA,NO APLICA
15078,3,NA,NO APLICA
15079,3,NA,NO APLICA
15080,2,NA,NO APLICA
15081,3,NA,NO APLICA
15082,3,NA,NO APLICA
15083,3,NA,NO APLICA
15084,3,NA,NO APLICA
15085,2,NA,NO APLICA
15086,3,NA,NO APLICA
15087,3,NA,NO APLICA
15088,3,NA,NO APLICA
15089,2,NA,NO APLICA
15090,2,NA,NO APLICA
15091,3,NA,NO APLICA
15092,2,NA,NO APLICA
15093,3,NA,NO APLICA
15094,3,NA,NO APLICA
15095,2,NA,NO APLICA
15096,3,NA,NO APLICA
15097,3,NA,NO APLICA
15098,2,NA,NO APLICA
15099,3,NA,NO APLICA
15100,3,NA,NO APLICA
15101,2,NA,NO APLICA
15102,3,NA,NO APLICA
15103,3,NA,NO APLICA
15104,2,NA,NO APLICA
15105,2,NA,NO APLICA
15106,3,NA,NO APLICA
15107,3,NA,NO APLICA
15108,2,NA,NO APLICA
15109,2,NA,NO APLICA
15110,2,NA,NO APLICA
15111,2,NA,NO APLICA
15112,2,NA,NO APLICA
15113,3,NA,NO APLICA
15114,3,NA,NO APLICA
15115,3,NA,NO APLICA
15116,2,NA,NO APLICA
15117,2,NA,NO APLICA
15118,3,NA,NO APLICA
15119,3,NA,NO APLICA
15120,2,NA,NO APLICA
15121,2,NA,NO APLICA
15122,2,NA,NO APLICA
15123,3,NA,NO APLICA
15124,3,NA,NO APLICA
15125,3,NA,NO APLICA
16001,3,NA,NO APLICA
16002,3,NA,NO APLICA
16003,3,NA,NO APLICA
16004,2,NA,NO APLICA
16005,3,NA,NO APLICA
16006,3,NA,NO APLICA
16007,3,NA,NO APLICA
16008,0,NA,NO APLICA
16009,2,NA,NO APLICA
16010,0,NA,NO APLICA
16011,3,NA,NO APLICA
16012,3,NA,NO APLICA
16013,2,NA,NO APLICA
16014,3,NA,NO APLICA
16015,3,NA,NO APLICA
16016,2,NA,NO APLICA
16017,3,NA,NO APLICA
16018,2,NA,NO APLICA
16019,2,NA,NO APLICA
16020,2,NA,NO APLICA
