ubicageo_f,aniorefe_b,elinsp1,elinsp2,elinsp3,elinsp4,elinsp5,elinsp6,elinsp7,elinsp8,elinsp9
7097,2,,,,,,,,1,
7098,1,,,,,,,,1,
7098,2,,,,,,,,1,
7099,1,,,,,,,,1,
7099,2,,,,,,,,1,
7100,1,,,,,,,,1,
7100,2,,,,,,,,1,
7101,1,1,1,1,,1,,,,
7101,2,1,1,1,,1,,,,
7102,1,,,,,,,,1,
7102,2,,,,,,,,1,
7103,1,,,,,,,,1,
7103,2,,,,,,,,1,
7104,1,,,,,,,,,1
7104,2,,,,,,,,,1
7105,1,,,,,,,,1,
7105,2,,,,,,,,1,
7106,1,,,,,,,,1,
7106,2,,,,,,,,1,
7107,1,,,,,,,,,1
7107,2,,,,,,,,,1
7108,1,,,,,,,,1,
7108,2,,,,,,,,1,
7109,1,,,,,,,,,1
7109,2,,,,,,,,,1
7110,1,,,,,,,,1,
7110,2,,,,,,,,1,
7111,1,,,,,,,,1,
7111,2,,,,,,,,1,
7112,1,,,,,,,,,1
7112,2,,,,,,,,,1
7113,1,,,,,,,,1,
7113,2,,,,,,,,1,
7114,1,,,,,,,,1,
7114,2,,,,,,,,1,
7115,1,,,,,,,,1,
7115,2,,,,,,,,1,
7116,1,,,,,,,,1,
7116,2,,,,,,,,1,
7117,1,,,,,,,,1,
7117,2,,,,,,,,1,
7118,1,,,,,,,,,1
7118,2,,,,,,,,,1
7119,1,,,,,,,,,1
7119,2,,,,,,,,,1
7120,1,,,,,,,,,1
7120,2,,,,,,,,,1
7121,1,,,,,,,,,1
7121,2,,,,,,,,,1
7122,1,,,,,,,,1,
7122,2,,,,,,,,1,
7123,1,,,,,,,,1,
7123,2,,,,,,,,1,
7124,1,,,,,,,,1,
7124,2,,,,,,,,1,
7125,1,,,,,,,,1,
7125,2,,,,,,,,1,
8001,1,,,,,,,,1,
8001,2,,,,,,,,1,
8002,1,,,,,,,,1,
8002,2,,,,,,,,1,
8003,1,,,,,,,,1,
8003,2,,,,,,,,1,
8004,1,,,,,,,,,1
8004,2,,,,,,,,,1
8005,1,,,,,,,,1,
8005,2,1,,,,,,,,
8006,1,,,,,,,,1,
8006,2,,,,,,,,1,
8007,1,,,,,,,,1,
8007,2,,,,,,,,1,
8008,1,,,,,,,,1,
8008,2,,,,,,,,1,
8009,1,,,,,,,,1,
8009,2,,,,,,,,1,
8010,1,,,,,,,,1,
8010,2,,,,,,,,1,
8011,1,,,,,,,,1,
8011,2,,,,,,,,1,
8012,1,,,,,,,,,1
8012,2,,,,,,,,,1
8013,1,,,,,,,,,1
8013,2,,,,,,,,,1
8014,1,,,,,,,,,1
8014,2,,,,,,,,,1
8015,1,,,,,,,,1,
8015,2,,,,,,,,1,
8016,1,,,,,,,,1,
8016,2,,,,,,,,1,
8017,1,1,1,1,,1,,,,
8017,2,1,1,1,,1,,,,
8018,1,,,,,,,,1,
8018,2,,,,,,,,1,
8019,1,,,,,,,,1,
8019,2,,,,,,,,1,
8020,1,,,,,,,,1,
8020,2,,,,,,,,1,
8021,1,,,,,,,,,1
8021,2,,,,,,,,,1
8022,1,,,,,,,,1,
8022,2,,,,,,,,1,
8023,1,,,,,,,,1,
8023,2,,,,,,,,1,
8024,1,,,,,,,,1,
8024,2,,,,,,,,1,
8025,1,,,,,,,,1,
8025,2,,,,,,,,1,
8026,1,,,,,,,,1,
8026,2,,,,,,,,1,
8027,1,1,,,,,,,,
8027,2,,,,,,,,1,
8028,1,,,,,,,,1,
8028,2,,,,,,,,1,
8029,1,,,,,,,,1,
8029,2,,,,,,,,1,
8030,1,1,,,,,,,,
8030,2,1,,,,,,,,
8031,1,,,,,,,,1,
8031,2,,,,,,,,1,
8032,1,1,,1,,,,,,
8032,2,1,,1,,1,,,,
8033,1,,,,,,,,1,
8033,2,,,,,,,,1,
8034,1,,,,,,,,1,
8034,2,,,,,,,,1,
8035,1,,,,,,,,1,
8035,2,,,,,,,,1,
8036,1,,,,,,,,,1
8036,2,,,,,,,,,1
8037,1,1,1,,,,,,,
8037,2,1,1,,1,,,,,
8038,1,,,,,,,,1,
8038,2,,,,,,,,1,
8039,1,,,,,,,,,1
8039,2,,,,,,,,,1
8040,1,,,,,,,,1,
8040,2,,,,,,,,1,
8041,1,,,,,,,,,1
8041,2,,,,,,,,,1
8042,1,,,,,,,,1,
8042,2,,,,,,,,1,
8043,1,,,,,,,,,1
8043,2,,,,,,,,,1
8044,1,,,,,,,,1,
8044,2,,,,,,,,1,
