ubicageo_f,numeral,nombre1
10029,1,NO APLICA
10030,1,NO APLICA
10031,1,NO APLICA
10032,1,NO APLICA
10033,1,NO APLICA
10034,1,NO APLICA
10035,1,NO APLICA
10036,1,NO APLICA
10037,1,NO APLICA
10038,1,NO APLICA
10039,1,NO APLICA
11001,1,NO APLICA
11002,1,NO APLICA
11003,1,NO APLICA
11004,1,NO APLICA
11005,1,NO APLICA
11006,1,NO APLICA
11007,1,NO IDENTIFICADO
11008,1,NO IDENTIFICADO
11009,1,NO APLICA
11010,1,NO IDENTIFICADO
11011,1,NO APLICA
11012,1,NO APLICA
11013,1,NO APLICA
11014,1,NO APLICA
11015,1,NO HONRAR CON DISCIPLINA
11015,2,RESPONSABILIDAD
11015,3,DECISION
11015,4,INTEGRIDAD
11015,5,PROFESIONALISMO
11015,6,LA INSTITUCION DE SEGURIDAD DENTRO Y FUERA DEL SERVICIO
11016,1,NO IDENTIFICADO
11017,1,NO APLICA
11018,1,ABUSO DE AUTORIDAD
11019,1,NO APLICA
11020,1,NO APLICA
11021,1,NO PASAR O REPROBAR ALGUNA DE LAS PRUEBAS YO EXAMENES DE CONTROL Y CONFIANZA QUE SE APLIQUEN
11021,2,ACUMULAR TRES O MAS FALTAS A SU SERVICIO DENTRO DE UN PERIODO DE 30 DIAS NATURALES SIN CAUSA JUSTIFICADA
11022,1,NO APLICA
11023,1,NO IDENTIFICADO
11024,1,NO IDENTIFICADO
11025,1,NO APLICA
11026,1,NO APLICA
11027,1,NO APLICA
11028,1,NO IDENTIFICADO
11029,1,NO APLICA
11030,1,NO APLICA
11031,1,NO APLICA
11032,1,NO APLICA
11033,1,NO APLICA
11034,1,NO APLICA
11035,1,NO APLICA
11036,1,NO APLICA
11037,1,NO IDENTIFICADO
11038,1,NO IDENTIFICADO
11039,1,NO APLICA
11040,1,NO APLICA
11041,1,NO IDENTIFICADO
11042,1,NO IDENTIFICADO
11043,1,NO APLICA
11044,1,HACER USO EXCESIVO DE LA FUERZA
11045,1,NO IDENTIFICADO
11046,1,NO APLICA
12001,1,NO APLICA
12002,1,NO APLICA
12003,1,NO APLICA
12004,1,NO APLICA
12005,1,NO APLICA
12006,1,NO APLICA
12007,1,NO APLICA
12008,1,NO APLICA
12009,1,NO APLICA
12010,1,NO APLICA
12011,1,NO APLICA
12012,1,NO APLICA
12013,1,NO APLICA
12014,1,NO APLICA
12015,1,NO APLICA
12016,1,NO APLICA
12017,1,NO APLICA
12018,1,NO APLICA
12019,1,NO APLICA
12020,1,NO APLICA
12021,1,NO APLICA
12022,1,NO APLICA
12023,1,NO APLICA
12024,1,NO APLICA
12025,1,NO APLICA
12026,1,NO APLICA
12027,1,NO APLICA
12028,1,CONSUMIR BEBIDAS EMBRIAGANTES U OTRAS SUSTANCIAS PROHIBIDAS EN LAS INTALACIONES DE SEGURIDAD PUBLICA
12028,2,FALTA INJUSTIFICADAMENTE A SUS LABORES POR TURNO
12028,3,RECIBIR O ACEPTAR DINERO O SOBORNOS
12028,4,ROBO
12028,5,DESOBEDECER UNA INSTRUCCION DIRECTA DEL SUPERIOR
12028,6,IMPUNTUALIDAD
12028,7,QUEDARSE DORMIDO EN HORARIO PREVISTO PARA DESCANZAR
12028,8,NO TENER PRECAUSION EN EL USO DEL ARMAMENTO
12028,9,ABANDONAR EL SERVICIO
12028,10,FALTAR AL BANDO DE POLICIA Y GOBIERNO REGLAMENTOS Y LEYES APLICABLES
12029,1,NO APLICA
12030,1,NO APLICA
12031,1,NO APLICA
12032,1,NO APLICA
12033,1,NO APLICA
12034,1,NO APLICA
12035,1,NO APLICA
12036,1,NO APLICA
12037,1,NO APLICA
12038,1,NO APLICA
12039,1,NO APLICA
12040,1,NO APLICA
12041,1,NO APLICA
12042,1,NO APLICA
12043,1,NO APLICA
12044,1,NO APLICA
12045,1,NO APLICA
12046,1,NO APLICA
12047,1,NO APLICA
12048,1,NO APLICA
12049,1,NO APLICA
12050,1,NO APLICA
12051,1,NO APLICA
12052,1,NO APLICA
12053,1,NO APLICA
12054,1,NO APLICA
12055,1,NO APLICA
12056,1,NO APLICA
12057,1,NO APLICA
12058,1,NO APLICA
12059,1,NO APLICA
12060,1,NO APLICA
12061,1,NO APLICA
12062,1,NO APLICA
12063,1,NO APLICA
12064,1,NO APLICA
12065,1,NO APLICA
12066,1,NO APLICA
12067,1,NO APLICA
12068,1,NO APLICA
12069,1,NO APLICA
12070,1,NO APLICA
12071,1,NO APLICA
12072,1,NO APLICA
12073,1,NO APLICA
12074,1,NO APLICA
12075,1,NO APLICA
12076,1,NO APLICA
12077,1,NO APLICA
12078,1,NO APLICA
12079,1,NO APLICA
12080,1,NO APLICA
12081,1,NO APLICA
12082,1,NO APLICA
12083,1,NO APLICA
12084,1,NO APLICA
12085,1,NO APLICA
13001,1,NO APLICA
13002,1,NO APLICA
13003,1,NO APLICA
13004,1,NO APLICA
13005,1,NO APLICA
13006,1,NO APLICA
13007,1,NO APLICA
13008,1,NO APLICA
13009,1,NO APLICA
13010,1,NO APLICA
13011,1,NO APLICA
13012,1,NO APLICA
13013,1,NO APLICA
13014,1,NO APLICA
13015,1,NO APLICA
13016,1,NO APLICA
13017,1,NO APLICA
13018,1,NO APLICA
13019,1,NO APLICA
13020,1,NO APLICA
13021,1,NO APLICA
13022,1,NO APLICA
13023,1,NO APLICA
13024,1,NO APLICA
13025,1,NO APLICA
13026,1,NO APLICA
13027,1,NO APLICA
13028,1,NO APLICA
13029,1,NO APLICA
13030,1,NO APLICA
13031,1,NO APLICA
13032,1,NO APLICA
13033,1,NO APLICA
13034,1,NO APLICA
13035,1,NO APLICA
13036,1,NO APLICA
13037,1,NO APLICA
13038,1,NO APLICA
13039,1,NO APLICA
13040,1,NO APLICA
13041,1,NO APLICA
13042,1,NO APLICA
13043,1,NO APLICA
13044,1,NO APLICA
13045,1,NO APLICA
13046,1,NO APLICA
13047,1,NO APLICA
13048,1,NO APLICA
13049,1,NO APLICA
13050,1,NO APLICA
13051,1,NO APLICA
13052,1,NO APLICA
13053,1,NO APLICA
13054,1,NO APLICA
13055,1,NO APLICA
13056,1,NO APLICA
13057,1,NO APLICA
13058,1,NO APLICA
13059,1,NO APLICA
13060,1,NO APLICA
13061,1,NO APLICA
13062,1,NO APLICA
13063,1,NO APLICA
13064,1,NO APLICA
13065,1,NO APLICA
13066,1,NO APLICA
13067,1,NO APLICA
13068,1,NO APLICA
13069,1,NO APLICA
13070,1,NO APLICA
13071,1,NO APLICA
13072,1,NO APLICA
13073,1,NO APLICA
13074,1,NO APLICA
13075,1,NO APLICA
13076,1,NO APLICA
13077,1,NO APLICA
13078,1,NO APLICA
13079,1,NO APLICA
13080,1,NO APLICA
13081,1,NO APLICA
13082,1,NO APLICA
13083,1,NO APLICA
13084,1,NO APLICA
14001,1,NO APLICA
14002,1,NO APLICA
14003,1,NO APLICA
14004,1,NO APLICA
14005,1,NO APLICA
14006,1,NO APLICA
14007,1,NO APLICA
14008,1,NO APLICA
14009,1,NO APLICA
14010,1,NO APLICA
14011,1,NO APLICA
14012,1,NO APLICA
14013,1,NO APLICA
14014,1,NO APLICA
14015,1,NO APLICA
14016,1,NO IDENTIFICADO
14017,1,NO APLICA
14018,1,NO APLICA
14019,1,NO APLICA
14020,1,NO APLICA
14021,1,NO APLICA
14022,1,NO APLICA
14023,1,NO APLICA
14024,1,NO APLICA
14025,1,NO APLICA
14026,1,NO APLICA
14027,1,NO APLICA
14028,1,NO APLICA
14029,1,NO APLICA
14030,1,NO APLICA
14031,1,NO APLICA
14032,1,NO APLICA
14033,1,NO APLICA
14034,1,NO APLICA
14035,1,NO APLICA
14036,1,NO APLICA
14037,1,NO APLICA
14038,1,NO APLICA
14039,1,NO APLICA
14040,1,NO APLICA
14041,1,NO APLICA
14042,1,NO APLICA
14043,1,NO APLICA
14044,1,NO IDENTIFICADO
14045,1,NO APLICA
14046,1,NO APLICA
14047,1,NO APLICA
14048,1,NO APLICA
14049,1,NO APLICA
14050,1,NO APLICA
14051,1,NO APLICA
14052,1,NO APLICA
14053,1,NO APLICA
14054,1,NO APLICA
14055,1,NO APLICA
14056,1,NO APLICA
14057,1,NO APLICA
14058,1,NO APLICA
14059,1,NO APLICA
14060,1,NO APLICA
14061,1,NO APLICA
14062,1,NO APLICA
14063,1,NO APLICA
14064,1,NO APLICA
14065,1,NO DAR UN BUEN TRATO A LAS PERSONAS EN GENERAL
14065,2,FALTAR A SU LABORES EN SU TURNO
14066,1,NO APLICA
14067,1,NO APLICA
14068,1,NO APLICA
14069,1,NO APLICA
14070,1,NO APLICA
14071,1,NO APLICA
14072,1,NO APLICA
14073,1,NO APLICA
14074,1,NO APLICA
14075,1,NO APLICA
14076,1,NO APLICA
14077,1,NO APLICA
14078,1,NO IDENTIFICADO
14079,1,NO APLICA
14080,1,NO APLICA
14081,1,NO APLICA
14082,1,NO APLICA
14083,1,NO APLICA
14084,1,NO APLICA
14085,1,NO APLICA
14086,1,NO APLICA
14087,1,NO APLICA
14088,1,NO APLICA
14089,1,NO APLICA
14090,1,NO APLICA
14091,1,NO APLICA
14092,1,NO APLICA
14093,1,NO APLICA
14094,1,NO APLICA
14095,1,NO APLICA
14096,1,NO APLICA
14097,1,NO APLICA
14098,1,NO APLICA
14099,1,NO APLICA
14100,1,NO APLICA
14101,1,NO APLICA
14102,1,NO APLICA
14103,1,NO APLICA
14104,1,NO APLICA
14105,1,NO APLICA
14106,1,NO APLICA
14107,1,NO APLICA
14108,1,NO APLICA
14109,1,NO APLICA
14110,1,NO APLICA
14111,1,NO APLICA
14112,1,NO APLICA
14113,1,NO APLICA
14114,1,NO APLICA
14115,1,NO APLICA
14116,1,NO APLICA
14117,1,FALTAR A TRABAJAR SIN JUSTIFICACION U AUTORIZACION
14117,2,DESOBEDECER UN MANDATO O UNA ORDEN
14117,3,INSULTAR A UN COMPAÑERO DE TRABAJO
14117,4,LLLERGAR TARDE A TRABAJAR
14117,5,LLEGAR AL TRABAJO NO PRESENTABLE
14117,6,FALTAR AL RESPETO A LOS CIUDADANOS
14117,7,USAR EL UNIFIRME FUERA DE HORAS DE SERVICIO
14117,8,QUEJAS CIUDADANAS
14117,9,NO REVISAR EL EQUIPO DE TRABAJO PERIODICAMENTE
14117,10,LLEGAR AL TRABAJO CON ALIENTO ALCOHOLICO
14118,1,NO APLICA
14119,1,NO APLICA
14120,1,NO APLICA
14121,1,NO APLICA
14122,1,NO APLICA
14123,1,NO APLICA
14124,1,NO APLICA
14125,1,NO APLICA
15001,1,INCUMPLIMIENTO DE OBLIGACIONES
15002,1,NO APLICA
15003,1,NO APLICA
15004,1,NO APLICA
15005,1,NO APLICA
15006,1,NO APLICA
15007,1,NO APLICA
15008,1,NO APLICA
15009,1,NO APLICA
15010,1,NO APLICA
15011,1,NO APLICA
15012,1,NO APLICA
15013,1,NO APLICA
15014,1,NO APLICA
15015,1,NO APLICA
15016,1,NO APLICA
15017,1,NO APLICA
15018,1,NO APLICA
15019,1,NO APLICA
15020,1,NO APLICA
15021,1,NO APLICA
15022,1,NO APLICA
15023,1,NO APLICA
15024,1,EVALUACIONES DE CONTROL DE CONFIANZA
15024,2,FALTAS A LABORES
15024,3,DENUNCIAS DE LOS CIUDADANOS
15025,1,NO APLICA
15026,1,NO APLICA
15027,1,NO APLICA
15028,1,NO APLICA
15029,1,NO APLICA
15030,1,NO APLICA
15031,1,NO APLICA
15032,1,NO APLICA
15033,1,NO APLICA
15034,1,NO APLICA
15035,1,NO APLICA
15036,1,NO APLICA
15037,1,NO APLICA
15038,1,NO APLICA
15039,1,NO APLICA
15040,1,NO APLICA
15041,1,NO APLICA
15042,1,NO APLICA
15043,1,NO APLICA
15044,1,NO APLICA
15045,1,NO APLICA
15046,1,NO APLICA
15047,1,NO APLICA
15048,1,NO APLICA
15049,1,NO APLICA
15050,1,AUSENCIA LABORAL SIN JUSTIFICAR
15050,2,ACTOS DE INDISCIPLINA
15051,1,NO APLICA
15052,1,NO APLICA
15053,1,INCUMPLIMIENTO DE OBLIGACIONES GENERALES
15053,2,INCUMPLIMIENTO DE REQUISITOS DE PERMANENCIA
15053,3,FALTAS AL REGIMEN DISCIPLINARIO
15054,1,NO APLICA
15055,1,NO APLICA
15056,1,NO APLICA
15057,1,NO APLICA
15058,1,NO REALIZAR SUS FUNCIONES (NO UNIFORMARSE ADECUADAMENTE SALIRSE DE SU ZONA DE RESPONSABILIDAD NO INFORMAR EN TIEMPO Y FORMA NO UTILIZAR CODIGOS ENCENDIDOS)
15058,2,REALIZAR ACTOS QUE DESACREDITEN SU IMAGEN Y LA IMAGEN DE LA COORPORACION
15058,3,POR PERJUDICAR LA OPERATIVIDAD EN EL SERVICIO
15058,4,DORMIR EN HORARIO DE SERVICIO
15058,5,POR ABANDONAR MOMENTANEAMENTE SU ZONA DE RESPONSABILIDAD SIN MOTIVO QUE LO JUSTIFIQUE
15058,6,PERMANECER POR MAS DE CINCO MINUTOS ESTACIONADA LA PATRULLA SIN MOTIVO QUE LO JUSTIFIQUE
15058,7,NO PORTAR ADECUADAMENTE SU ARMA DE CARGO
15058,8,POR NO PORTAR LICENCIA DE CONDUCIR VIGENTE
15058,9,NO DAR CUMPLIMEINTO A UNA ORDEN GIRADA POR SUS MANDOS
15058,10,HACER MAL USO DE LOS BIENES INSTITUCIONALES
15059,1,NO APLICA
15060,1,NO APLICA
15061,1,NO APLICA
15062,1,NO APLICA
15063,1,NO APLICA
15064,1,NO APLICA
15065,1,NO APLICA
15066,1,NO APLICA
15067,1,NO APLICA
15068,1,NO APLICA
15069,1,NO APLICA
15070,1,OMISION DE SERVICIOS YO FUNCIONES
15070,2,COHECHO
15070,3,ABUSO DE AUTORIDAD
15070,4,OMISION AL PRINCIPIO DE PERMANENCIA
15071,1,NO APLICA
15072,1,NO APLICA
15073,1,NO APLICA
15074,1,NO APLICA
15075,1,NO APLICA
15076,1,NO APLICA
15077,1,NO APLICA
15078,1,NO APLICA
15079,1,NO APLICA
15080,1,NO APLICA
15081,1,NO APLICA
15082,1,NO APLICA
15083,1,NO APLICA
15084,1,NO APLICA
15085,1,NO APLICA
15086,1,NO APLICA
15087,1,NO APLICA
15088,1,NO APLICA
15089,1,NO APLICA
15090,1,NO APLICA
15091,1,NO APLICA
15092,1,NO APLICA
15093,1,NO APLICA
15094,1,NO APLICA
15095,1,NO APLICA
15096,1,NO APLICA
15097,1,NO APLICA
15098,1,FALTAS INJUSTIFICADAS
15098,2,INDISCIPLINA DURANTE EL SERVICIO
15098,3,OMISION A SUS FUNCIONES
15099,1,FALTA A SU SERVICIO
15099,2,INGERIR BEBIDAS ALCOHOLICAS EN SERVICIO
15099,3,VIOLENCIA LABORAL
15099,4,NO CUMPLIR CON REQUISITOS DE PERMANENCIA
15099,5,USO INDEBIDO DE EQUIPO POLICIAL
15100,1,NO APLICA
15101,1,NO APLICA
15102,1,NO APLICA
15103,1,NO APLICA
15104,1,INCUMPLIR EL HORARIO DE TRABAJO
15104,2,AUSENCIAS INJUSTIFICADAS
15104,3,ABUSO DE AUTORIDAD
15104,4,SUPLANTACIO DE FUNCIONES
15104,5,ENBRIAGUEZ EN EL TRABAJO
15105,1,NO APLICA
15106,1,NO APLICA
15107,1,NO IDENTIFICADO
15108,1,NO APLICA
15109,1,NO APLICA
15110,1,NO APLICA
15111,1,NO APLICA
15112,1,NO APLICA
15113,1,NO IDENTIFICADO
15114,1,NO APLICA
15115,1,NO APLICA
15116,1,NO APLICA
15117,1,NO APLICA
15118,1,NO APLICA
15119,1,NO APLICA
15120,1,NO APLICA
15121,1,NO APLICA
15122,1,NO APLICA
15123,1,NO APLICA
15124,1,NO APLICA
15125,1,NO APLICA
16001,1,NO APLICA
16002,1,NO APLICA
16003,1,NO APLICA
16004,1,NO APLICA
16005,1,NO APLICA
16006,1,NO APLICA
16007,1,NO APLICA
16008,1,NO APLICA
16009,1,NO APLICA
16010,1,NO APLICA
16011,1,NO APLICA
16012,1,NO APLICA
16013,1,NO APLICA
16014,1,NO APLICA
16015,1,NO APLICA
16016,1,NO APLICA
16017,1,NO APLICA
16018,1,NO APLICA
16019,1,NO APLICA
16020,1,NO APLICA
16021,1,NO APLICA
16022,1,NO APLICA
16023,1,NO APLICA
16024,1,NO APLICA
16025,1,NO APLICA
16026,1,NO APLICA
16027,1,NO APLICA
16028,1,NO APLICA
16029,1,NO APLICA
16030,1,NO APLICA
16031,1,NO APLICA
16032,1,NO APLICA
16033,1,NO APLICA
16034,1,NO APLICA
16035,1,NO APLICA
16036,1,NO APLICA
16037,1,NO APLICA
16038,1,NO APLICA
16039,1,NO APLICA
16040,1,NO IDENTIFICADO
16041,1,NO APLICA
16042,1,NO APLICA
16043,1,NO APLICA
16044,1,NO APLICA
16045,1,NO APLICA
16046,1,NO APLICA
16047,1,NO APLICA
16048,1,NO APLICA
16049,1,NO APLICA
16050,1,NO APLICA
16051,1,NO DISPONIBLE
16052,1,NO APLICA
16053,1,NO APLICA
16054,1,NO APLICA
16055,1,NO APLICA
16056,1,NO APLICA
16057,1,NO APLICA
16058,1,NO APLICA
16059,1,NO APLICA
16060,1,NO APLICA
16061,1,NO APLICA
16062,1,NO APLICA
16063,1,NO APLICA
16064,1,NO APLICA
