ubicageo_f,orgapoli_j,rnsnni1,totalca1,rnsnni2,totalca2
5030,13,2,NA,2,NA
5030,14,1,0,1,0
5030,15,1,2,1,5
5030,21,1,0,1,0
5030,22,1,0,1,0
5030,30,1,0,1,0
5030,40,0,0,0,0
5031,11,0,NA,1,2
5031,12,0,NA,2,NA
5031,13,0,NA,2,NA
5031,14,0,NA,2,NA
5031,15,0,NA,2,NA
5031,21,0,NA,2,NA
5031,22,0,NA,2,NA
5031,30,0,NA,2,NA
5031,40,0,NA,0,0
5032,11,0,NA,0,NA
5032,12,0,NA,0,NA
5032,13,0,NA,0,NA
5032,14,0,NA,0,NA
5032,15,0,NA,0,NA
5032,21,0,NA,0,NA
5032,22,0,NA,0,NA
5032,30,0,NA,0,NA
5032,40,0,NA,0,NA
5033,11,0,NA,1,0
5033,12,0,NA,1,0
5033,13,0,NA,2,NA
5033,14,0,NA,2,NA
5033,15,0,NA,2,NA
5033,21,0,NA,2,NA
5033,22,0,NA,2,NA
5033,30,0,NA,2,NA
5033,40,0,NA,0,0
5034,11,0,NA,0,NA
5034,12,0,NA,0,NA
5034,13,0,NA,0,NA
5034,14,0,NA,0,NA
5034,15,0,NA,0,NA
5034,21,0,NA,0,NA
5034,22,0,NA,0,NA
5034,30,0,NA,0,NA
5034,40,0,NA,0,NA
5035,11,0,NA,0,NA
5035,12,0,NA,0,NA
5035,13,0,NA,0,NA
5035,14,0,NA,0,NA
5035,15,0,NA,0,NA
5035,21,0,NA,0,NA
5035,22,0,NA,0,NA
5035,30,0,NA,0,NA
5035,40,0,NA,0,NA
5036,11,0,NA,0,NA
5036,12,0,NA,0,NA
5036,13,0,NA,0,NA
5036,14,0,NA,0,NA
5036,15,0,NA,0,NA
5036,21,0,NA,0,NA
5036,22,0,NA,0,NA
5036,30,0,NA,0,NA
5036,40,0,NA,0,NA
5037,11,0,NA,0,NA
5037,12,0,NA,0,NA
5037,13,0,NA,0,NA
5037,14,0,NA,0,NA
5037,15,0,NA,0,NA
5037,21,0,NA,0,NA
5037,22,0,NA,0,NA
5037,30,0,NA,0,NA
5037,40,0,NA,0,NA
5038,11,0,NA,0,NA
5038,12,0,NA,0,NA
5038,13,0,NA,0,NA
5038,14,0,NA,0,NA
5038,15,0,NA,0,NA
5038,21,0,NA,0,NA
5038,22,0,NA,0,NA
5038,30,0,NA,0,NA
5038,40,0,NA,0,NA
6001,11,0,NA,0,NA
6001,12,0,NA,0,NA
6001,13,0,NA,0,NA
6001,14,0,NA,0,NA
6001,15,0,NA,0,NA
6001,21,0,NA,0,NA
6001,22,0,NA,0,NA
6001,30,0,NA,0,NA
6001,40,0,NA,0,NA
6002,11,1,89,1,16
6002,12,1,32,1,5
6002,13,2,NA,2,NA
6002,14,2,NA,2,NA
6002,15,2,NA,2,NA
6002,21,2,NA,2,NA
6002,22,2,NA,2,NA
6002,30,2,NA,2,NA
6002,40,0,0,0,0
6003,11,0,NA,0,NA
6003,12,0,NA,0,NA
6003,13,0,NA,0,NA
6003,14,0,NA,0,NA
6003,15,0,NA,0,NA
6003,21,0,NA,0,NA
6003,22,0,NA,0,NA
6003,30,0,NA,0,NA
6003,40,0,NA,0,NA
6004,11,0,NA,0,NA
6004,12,0,NA,0,NA
6004,13,0,NA,0,NA
6004,14,0,NA,0,NA
6004,15,0,NA,0,NA
6004,21,0,NA,0,NA
6004,22,0,NA,0,NA
6004,30,0,NA,0,NA
6004,40,0,NA,0,NA
6005,11,0,NA,0,NA
6005,12,0,NA,0,NA
6005,13,0,NA,0,NA
6005,14,0,NA,0,NA
6005,15,0,NA,0,NA
6005,21,0,NA,0,NA
6005,22,0,NA,0,NA
6005,30,0,NA,0,NA
6005,40,0,NA,0,NA
6006,11,0,NA,0,NA
6006,12,0,NA,0,NA
6006,13,0,NA,0,NA
6006,14,0,NA,0,NA
6006,15,0,NA,0,NA
6006,21,0,NA,0,NA
6006,22,0,NA,0,NA
6006,30,0,NA,0,NA
6006,40,0,NA,0,NA
6007,11,1,0,1,0
6007,12,1,0,1,0
6007,13,2,NA,2,NA
6007,14,2,NA,2,NA
6007,15,2,NA,2,NA
6007,21,1,0,1,0
6007,22,2,NA,2,NA
6007,30,2,NA,2,NA
6007,40,0,0,0,0
6008,11,0,NA,0,NA
6008,12,0,NA,0,NA
6008,13,0,NA,0,NA
6008,14,0,NA,0,NA
6008,15,0,NA,0,NA
6008,21,0,NA,0,NA
6008,22,0,NA,0,NA
6008,30,0,NA,0,NA
6008,40,0,NA,0,NA
6009,11,0,NA,0,NA
6009,12,0,NA,0,NA
6009,13,0,NA,0,NA
6009,14,0,NA,0,NA
6009,15,0,NA,0,NA
6009,21,0,NA,0,NA
6009,22,0,NA,0,NA
6009,30,0,NA,0,NA
6009,40,0,NA,0,NA
6010,11,0,NA,0,NA
6010,12,0,NA,0,NA
6010,13,0,NA,0,NA
6010,14,0,NA,0,NA
6010,15,0,NA,0,NA
6010,21,0,NA,0,NA
6010,22,0,NA,0,NA
6010,30,0,NA,0,NA
6010,40,0,NA,0,NA
7001,11,0,NA,0,NA
7001,12,0,NA,0,NA
7001,13,0,NA,0,NA
7001,14,0,NA,0,NA
7001,15,0,NA,0,NA
7001,21,0,NA,0,NA
7001,22,0,NA,0,NA
7001,30,0,NA,0,NA
7001,40,0,NA,0,NA
7002,11,0,NA,0,NA
7002,12,0,NA,0,NA
7002,13,0,NA,0,NA
7002,14,0,NA,0,NA
7002,15,0,NA,0,NA
7002,21,0,NA,0,NA
7002,22,0,NA,0,NA
7002,30,0,NA,0,NA
7002,40,0,NA,0,NA
7003,11,0,NA,0,NA
7003,12,0,NA,0,NA
7003,13,0,NA,0,NA
7003,14,0,NA,0,NA
7003,15,0,NA,0,NA
7003,21,0,NA,0,NA
7003,22,0,NA,0,NA
7003,30,0,NA,0,NA
7003,40,0,NA,0,NA
7004,11,0,NA,0,NA
7004,12,0,NA,0,NA
7004,13,0,NA,0,NA
7004,14,0,NA,0,NA
7004,15,0,NA,0,NA
7004,21,0,NA,0,NA
7004,22,0,NA,0,NA
7004,30,0,NA,0,NA
7004,40,0,NA,0,NA
7005,11,0,NA,0,NA
7005,12,0,NA,0,NA
7005,13,0,NA,0,NA
7005,14,0,NA,0,NA
7005,15,0,NA,0,NA
7005,21,0,NA,0,NA
7005,22,0,NA,0,NA
7005,30,0,NA,0,NA
7005,40,0,NA,0,NA
7006,11,0,NA,0,NA
7006,12,0,NA,0,NA
7006,13,0,NA,0,NA
7006,14,0,NA,0,NA
7006,15,0,NA,0,NA
7006,21,0,NA,0,NA
7006,22,0,NA,0,NA
7006,30,0,NA,0,NA
7006,40,0,NA,0,NA
7007,11,0,NA,0,NA
7007,12,0,NA,0,NA
7007,13,0,NA,0,NA
7007,14,0,NA,0,NA
7007,15,0,NA,0,NA
7007,21,0,NA,0,NA
7007,22,0,NA,0,NA
7007,30,0,NA,0,NA
7007,40,0,NA,0,NA
7008,11,0,NA,0,NA
7008,12,0,NA,0,NA
7008,13,0,NA,0,NA
7008,14,0,NA,0,NA
7008,15,0,NA,0,NA
7008,21,0,NA,0,NA
7008,22,0,NA,0,NA
7008,30,0,NA,0,NA
7008,40,0,NA,0,NA
7009,11,0,NA,0,NA
7009,12,0,NA,0,NA
7009,13,0,NA,0,NA
7009,14,0,NA,0,NA
7009,15,0,NA,0,NA
7009,21,0,NA,0,NA
7009,22,0,NA,0,NA
7009,30,0,NA,0,NA
7009,40,0,NA,0,NA
7010,11,0,NA,0,NA
7010,12,0,NA,0,NA
7010,13,0,NA,0,NA
7010,14,0,NA,0,NA
7010,15,0,NA,0,NA
7010,21,0,NA,0,NA
7010,22,0,NA,0,NA
7010,30,0,NA,0,NA
7010,40,0,NA,0,NA
7011,11,0,NA,0,NA
7011,12,0,NA,0,NA
7011,13,0,NA,0,NA
7011,14,0,NA,0,NA
7011,15,0,NA,0,NA
7011,21,0,NA,0,NA
7011,22,0,NA,0,NA
7011,30,0,NA,0,NA
7011,40,0,NA,0,NA
7012,11,0,NA,0,NA
7012,12,0,NA,0,NA
7012,13,0,NA,0,NA
7012,14,0,NA,0,NA
7012,15,0,NA,0,NA
7012,21,0,NA,0,NA
7012,22,0,NA,0,NA
7012,30,0,NA,0,NA
7012,40,0,NA,0,NA
7013,11,0,NA,0,NA
7013,12,0,NA,0,NA
7013,13,0,NA,0,NA
7013,14,0,NA,0,NA
7013,15,0,NA,0,NA
7013,21,0,NA,0,NA
7013,22,0,NA,0,NA
7013,30,0,NA,0,NA
7013,40,0,NA,0,NA
7014,11,0,NA,0,NA
7014,12,0,NA,0,NA
7014,13,0,NA,0,NA
7014,14,0,NA,0,NA
7014,15,0,NA,0,NA
7014,21,0,NA,0,NA
7014,22,0,NA,0,NA
7014,30,0,NA,0,NA
7014,40,0,NA,0,NA
7015,11,0,NA,0,NA
7015,12,0,NA,0,NA
7015,13,0,NA,0,NA
7015,14,0,NA,0,NA
7015,15,0,NA,0,NA
7015,21,0,NA,0,NA
7015,22,0,NA,0,NA
7015,30,0,NA,0,NA
7015,40,0,NA,0,NA
7016,11,0,NA,0,NA
7016,12,0,NA,0,NA
7016,13,0,NA,0,NA
7016,14,0,NA,0,NA
7016,15,0,NA,0,NA
7016,21,0,NA,0,NA
7016,22,0,NA,0,NA
7016,30,0,NA,0,NA
7016,40,0,NA,0,NA
7017,11,0,NA,0,NA
7017,12,0,NA,0,NA
7017,13,0,NA,0,NA
7017,14,0,NA,0,NA
7017,15,0,NA,0,NA
7017,21,0,NA,0,NA
7017,22,0,NA,0,NA
7017,30,0,NA,0,NA
7017,40,0,NA,0,NA
7018,11,0,NA,0,NA
7018,12,0,NA,0,NA
7018,13,0,NA,0,NA
7018,14,0,NA,0,NA
7018,15,0,NA,0,NA
7018,21,0,NA,0,NA
7018,22,0,NA,0,NA
7018,30,0,NA,0,NA
7018,40,0,NA,0,NA
7019,11,0,NA,0,NA
7019,12,0,NA,0,NA
7019,13,0,NA,0,NA
7019,14,0,NA,0,NA
7019,15,0,NA,0,NA
7019,21,0,NA,0,NA
7019,22,0,NA,0,NA
7019,30,0,NA,0,NA
7019,40,0,NA,0,NA
7020,11,0,NA,0,NA
7020,12,0,NA,0,NA
7020,13,0,NA,0,NA
7020,14,0,NA,0,NA
7020,15,0,NA,0,NA
7020,21,0,NA,0,NA
