ubicageo_f,rnsnni1,acfoic1,acfoic2,acfoic3,acfoic4,acfoic6,acfoic7,acfoic8,acfoic9,sexostt,sexos1,sexos2
26058,1,2,1,1,0,2,1,1,0,6,4,2
26059,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26060,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26061,1,5,0,5,0,5,0,5,0,1,1,0
26062,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26063,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26064,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26065,1,1,0,0,1,1,0,0,1,1,1,0
26066,1,9,2,7,0,9,2,7,0,12,7,5
26067,1,3,1,2,0,3,1,2,0,3,3,0
26068,1,2,0,2,0,2,0,2,0,3,2,1
26069,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26070,1,25,25,0,0,25,25,0,0,25,22,3
26071,1,1,1,0,0,1,1,0,0,37,33,4
26072,9,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
27001,1,2,2,0,0,2,2,0,0,53,42,11
27002,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27003,1,90,90,0,0,90,90,0,0,90,82,8
27004,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27005,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27006,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27007,1,56,9,47,0,56,9,47,0,56,55,1
27008,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27009,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27010,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27011,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27012,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27013,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27014,1,38,4,34,0,38,4,34,0,38,34,4
27015,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27016,1,9,9,0,0,9,9,0,0,197,192,5
27017,1,2,2,0,0,2,2,0,0,116,103,13
28001,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28002,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28003,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28004,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28005,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28006,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28007,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28008,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28009,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28010,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28011,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28012,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28013,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28014,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28015,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28016,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28017,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28018,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28019,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28020,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28021,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28023,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28024,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28025,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28026,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28027,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28028,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28029,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28030,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28031,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28032,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28033,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28034,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28035,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28036,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28037,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28038,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28039,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28040,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28041,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28042,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28043,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29001,1,3,2,1,0,3,2,1,0,19,16,3
29002,1,35,17,18,0,13,13,0,0,35,21,14
29003,1,2,2,0,0,2,2,0,0,12,7,5
29004,1,5,3,2,0,5,3,2,0,26,23,3
29005,1,8,8,0,0,8,8,0,0,130,100,30
29006,1,123,123,0,0,123,123,0,0,131,96,35
29007,1,8,5,3,0,8,5,3,0,21,17,4
29008,1,8,6,2,0,8,6,2,0,25,21,4
29009,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29010,1,1,1,0,0,1,1,0,0,124,89,35
29011,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29012,1,5,5,0,0,5,5,0,0,20,12,8
29013,1,1,0,1,0,1,0,1,0,10,8,2
29014,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29015,1,4,3,1,0,4,3,1,0,52,23,29
29016,1,9,5,4,0,9,5,4,0,20,17,3
29017,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29018,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29019,1,50,0,50,0,50,0,50,0,50,39,11
29020,1,5,4,1,0,5,4,1,0,23,17,6
29021,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29022,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29023,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29024,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29025,1,14,14,0,0,14,14,0,0,71,55,16
29026,1,5,4,1,0,1,1,0,0,41,29,12
29027,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29028,1,1,1,0,0,1,1,0,0,41,34,7
29029,1,7,7,0,0,7,7,0,0,32,26,6
29030,1,12,12,0,0,12,12,0,0,18,16,2
29031,1,5,2,3,0,5,2,3,0,70,38,32
29032,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29033,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29034,1,1,1,0,0,1,1,0,0,6,5,1
29035,1,15,10,5,0,15,10,5,0,16,12,4
29036,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29037,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29038,1,28,28,0,0,28,28,0,0,35,25,10
29039,1,17,8,9,0,17,8,9,0,18,14,4
29040,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29041,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29042,1,2,2,0,0,2,2,0,0,5,4,1
29043,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29044,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29045,1,20,20,0,0,20,20,0,0,16,11,5
29046,1,3,3,0,0,3,3,0,0,3,2,1
