ubicageo_f,rnsnni1,acfoic1,acfoic2,acfoic3,acfoic4,acfoic6,acfoic7,acfoic8,acfoic9,sexostt,sexos1,sexos2
30134,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30135,1,1,1,0,0,1,1,0,0,25,21,4
30136,1,7,4,3,0,7,4,3,0,14,11,3
30137,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30138,9,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
30139,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30140,1,5,5,0,0,5,5,0,0,14,11,3
30141,1,3,0,3,0,3,0,3,0,195,161,34
30142,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30143,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30144,9,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
30145,1,1,1,0,0,1,1,0,0,8,8,0
30146,1,3,2,1,0,3,2,1,0,7,6,1
30147,9,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
30148,1,2,0,2,0,2,0,2,0,17,15,2
30149,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30150,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30151,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30152,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30153,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30154,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30155,1,24,0,24,0,24,0,24,0,24,22,2
30156,1,1,1,0,0,1,1,0,0,13,12,1
30157,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30158,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30159,1,3,3,0,0,3,3,0,0,13,13,0
30160,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30161,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30162,1,2,0,2,0,2,0,2,0,2,2,0
30163,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30164,1,2,2,0,0,2,2,0,0,13,12,1
30165,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30166,1,2,2,0,0,2,2,0,0,4,3,1
30167,1,5,0,5,0,5,0,5,0,5,5,0
30168,1,2,2,0,0,2,2,0,0,7,5,2
30169,9,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
30170,1,2,1,1,0,2,1,1,0,6,4,2
30171,1,1,1,0,0,1,1,0,0,14,12,2
30172,1,1,0,1,0,1,0,1,0,19,18,1
30173,1,2,2,0,0,2,2,0,0,14,14,0
30174,1,3,1,2,0,3,1,2,0,69,58,11
30175,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30176,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30177,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30178,1,1,0,0,1,1,0,0,1,15,15,0
30179,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30180,1,1,1,0,0,1,1,0,0,5,5,0
30181,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30182,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30183,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30184,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30185,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30186,1,11,3,8,0,11,3,8,0,12,11,1
30187,1,5,2,3,0,5,2,3,0,12,12,0
30188,1,1,1,0,0,1,1,0,0,9,8,1
30189,1,1,0,1,0,1,0,1,0,6,2,4
30190,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30191,9,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
30192,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30193,1,11,7,4,0,11,7,4,0,133,102,31
30194,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30195,1,4,2,2,0,4,2,2,0,9,7,2
30196,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30197,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30198,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30199,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30200,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30201,1,4,3,1,0,4,3,1,0,26,24,2
30202,1,2,0,2,0,2,0,2,0,18,17,1
30203,1,3,3,0,0,3,3,0,0,33,31,2
30204,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30205,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30206,1,36,1,35,0,36,1,35,0,36,25,11
30207,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30208,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30209,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30210,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30211,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30212,1,2,2,0,0,2,2,0,0,20,17,3
31001,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31002,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31003,1,3,3,0,0,3,3,0,0,28,20,8
31004,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31005,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31006,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31007,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31008,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31009,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31010,1,4,1,3,0,4,1,3,0,10,7,3
31011,1,2,2,0,0,2,2,0,0,14,10,4
31012,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31013,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31014,1,8,2,6,0,8,2,6,0,10,9,1
31015,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31016,1,2,2,0,0,2,2,0,0,19,17,2
31017,1,2,2,0,0,2,2,0,0,3,3,0
31018,1,2,2,0,0,2,2,0,0,24,22,2
31019,1,2,2,0,0,2,2,0,0,50,40,10
31020,1,2,2,0,0,2,2,0,0,7,5,2
31021,1,2,2,0,0,2,2,0,0,72,64,8
31022,1,3,3,0,0,3,3,0,0,10,8,2
31023,1,1,1,0,0,1,1,0,0,10,8,2
31024,1,2,2,0,0,2,2,0,0,16,13,3
31025,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31026,1,5,5,0,0,5,5,0,0,10,5,5
31027,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31028,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31029,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31030,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31031,1,2,2,0,0,2,2,0,0,12,10,2
31032,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31033,1,4,4,0,0,4,4,0,0,20,17,3
31034,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31035,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31036,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31037,1,7,7,0,0,6,6,0,0,14,10,4
31038,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31039,1,1,1,0,0,1,1,0,0,12,9,3
31040,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31041,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31042,1,6,6,0,0,6,6,0,0,23,19,4
31043,1,5,5,0,0,5,5,0,0,19,17,2
31044,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31045,1,1,1,0,0,1,1,0,0,6,5,1
31046,1,3,3,0,0,3,3,0,0,13,13,0
31047,1,5,5,0,0,5,5,0,0,16,12,4
31048,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31049,1,2,1,1,0,2,1,1,0,16,12,4
31050,1,48,42,5,1,48,42,5,1,374,326,48
31051,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31052,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31053,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31054,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31055,1,4,4,0,0,4,4,0,0,7,5,2
31056,1,3,2,1,0,3,2,1,0,53,43,10
31057,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31058,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31059,1,2,1,1,0,2,1,1,0,67,50,17
31060,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31061,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31062,1,10,10,0,0,10,10,0,0,20,16,4
31063,1,3,3,0,0,3,3,0,0,17,12,5
31064,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31065,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31066,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31067,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31068,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31069,1,3,3,0,0,3,3,0,0,35,35,0
31070,1,8,2,6,0,8,2,6,0,19,17,2
31071,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31072,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31073,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31074,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31075,1,3,3,0,0,3,3,0,0,18,15,3
31076,1,1,1,0,0,1,1,0,0,46,31,15
31077,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31078,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31079,1,7,5,2,0,5,4,1,0,65,34,31
31080,1,6,6,0,0,6,6,0,0,12,10,2
31081,1,10,9,1,0,10,9,1,0,15,12,3
31082,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31083,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31084,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31085,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31086,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31087,1,2,1,1,0,2,1,1,0,17,13,4
31088,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31089,1,10,10,0,0,10,10,0,0,53,43,10
31090,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31091,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31092,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31093,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31094,1,1,1,0,0,1,1,0,0,22,21,1
31095,1,4,2,2,0,4,2,2,0,11,7,4
31096,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31097,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31098,1,1,1,0,0,1,1,0,0,8,7,1
31099,1,1,1,0,0,1,1,0,0,14,13,1
31100,1,2,2,0,0,2,2,0,0,4,2,2
31101,1,11,11,0,0,11,11,0,0,221,184,37
31102,1,4,3,1,0,4,3,1,0,138,100,38
31103,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31104,1,7,7,0,0,7,7,0,0,34,32,2
31105,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31106,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32001,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32002,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32003,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32004,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32005,1,4,0,4,0,4,0,4,0,21,18,3
32006,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32007,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32008,1,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
32009,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32010,1,10,6,4,0,10,6,4,0,10,3,7
32011,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32012,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32013,1,3,2,1,0,3,2,1,0,4,3,1
32014,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32015,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32016,1,3,3,0,0,3,3,0,0,21,18,3
32017,1,33,33,0,0,33,33,0,0,274,184,90
32018,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32019,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32020,1,12,10,2,0,12,10,2,0,61,32,29
32021,1,3,3,0,0,3,3,0,0,1,0,1
32022,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32023,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32024,1,7,7,0,0,7,7,0,0,17,14,3
32025,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32026,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32027,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32028,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32029,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32030,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32031,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32032,9,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
32033,1,1,1,0,0,1,1,0,0,10,9,1
32034,1,1,1,0,0,1,1,0,0,15,13,2
32035,1,3,3,0,0,3,3,0,0,2,2,0
32036,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32037,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32038,1,3,3,0,0,3,3,0,0,3,3,0
32039,1,15,15,0,0,10,10,0,0,15,13,2
32040,1,2,0,2,0,2,0,2,0,4,3,1
32041,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32042,1,10,10,0,0,10,10,0,0,20,17,3
32043,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32044,1,5,5,0,0,5,5,0,0,7,5,2
32045,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32046,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32047,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32048,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32049,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32050,1,2,1,1,0,2,1,1,0,2,2,0
32051,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32052,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32053,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32054,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32055,1,3,3,0,0,3,3,0,0,3,2,1
32056,9,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
32057,1,2,2,0,0,2,2,0,0,6,4,2
32058,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
