ubicageo_f,orgapoli_k,sexostt,sexos1,sexos2
5027,2,15,11,4
5027,3,0,0,0
5027,4,0,0,0
5027,5,0,0,0
5027,9,,,
5028,1,39,27,12
5028,2,0,0,0
5028,3,0,0,0
5028,4,0,0,0
5028,5,1,1,0
5028,9,,,
5029,1,3,3,0
5029,2,0,0,0
5029,3,0,0,0
5029,4,0,0,0
5029,5,0,0,0
5029,9,,,
5030,1,759,507,252
5030,2,211,167,44
5030,3,0,0,0
5030,4,0,0,0
5030,5,90,85,5
5030,9,,,
5031,1,9,8,1
5031,2,0,0,0
5031,3,0,0,0
5031,4,0,0,0
5031,5,4,4,0
5031,9,,,
5032,1,23,21,2
5032,2,5,4,1
5032,3,0,0,0
5032,4,0,0,0
5032,5,0,0,0
5032,9,,,
5033,1,57,42,15
5033,2,13,10,3
5033,3,0,0,0
5033,4,0,0,0
5033,5,0,0,0
5033,9,,,
5034,1,12,11,1
5034,2,0,0,0
5034,3,0,0,0
5034,4,0,0,0
5034,5,0,0,0
5034,9,,,
5035,1,585,399,186
5035,2,0,0,0
5035,3,0,0,0
5035,4,0,0,0
5035,5,0,0,0
5035,9,,,
5036,1,17,15,2
5036,2,0,0,0
5036,3,0,0,0
5036,4,0,0,0
5036,5,0,0,0
5036,9,,,
5037,1,4,2,2
5037,2,0,0,0
5037,3,0,0,0
5037,4,0,0,0
5037,5,0,0,0
5037,9,,,
5038,1,7,5,2
5038,2,0,0,0
5038,3,0,0,0
5038,4,0,0,0
5038,5,0,0,0
5038,9,,,
6001,1,55,37,18
6001,2,5,5,0
6001,3,0,0,0
6001,4,0,0,0
6001,5,0,0,0
6001,9,,,
6002,1,146,94,52
6002,2,0,0,0
6002,3,0,0,0
6002,4,0,0,0
6002,5,0,0,0
6002,9,,,
6003,1,25,20,5
6003,2,2,2,0
6003,3,0,0,0
6003,4,0,0,0
6003,5,0,0,0
6003,9,,,
6004,1,46,39,7
6004,2,0,0,0
6004,3,0,0,0
6004,4,0,0,0
6004,5,0,0,0
6004,9,,,
6005,1,51,43,8
6005,2,0,0,0
6005,3,0,0,0
6005,4,0,0,0
6005,5,0,0,0
6005,9,,,
6006,1,21,15,6
6006,2,2,2,0
6006,3,0,0,0
6006,4,0,0,0
6006,5,0,0,0
6006,9,,,
6007,1,291,210,81
6007,2,45,24,21
6007,3,0,0,0
6007,4,0,0,0
6007,5,0,0,0
6007,9,,,
6008,1,14,11,3
6008,2,0,0,0
6008,3,0,0,0
6008,4,0,0,0
6008,5,0,0,0
6008,9,,,
6009,1,126,102,24
6009,2,27,24,3
6009,3,0,0,0
6009,4,0,0,0
6009,5,0,0,0
6009,9,,,
6010,1,145,100,45
6010,2,31,14,17
6010,3,0,0,0
6010,4,0,0,0
6010,5,0,0,0
6010,9,,,
7001,1,0,0,0
7001,2,0,0,0
7001,3,0,0,0
7001,4,0,0,0
7001,5,0,0,0
7001,9,,,
7002,1,0,0,0
7002,2,0,0,0
7002,3,0,0,0
7002,4,0,0,0
7002,5,0,0,0
7002,9,,,
7003,1,0,0,0
7003,2,0,0,0
7003,3,0,0,0
7003,4,43,37,6
7003,5,0,0,0
7003,9,,,
7004,1,0,0,0
7004,2,0,0,0
7004,3,0,0,0
7004,4,0,0,0
7004,5,0,0,0
7004,9,,,
7005,1,0,0,0
7005,2,0,0,0
7005,3,0,0,0
7005,4,0,0,0
7005,5,0,0,0
7005,9,,,
7006,1,0,0,0
7006,2,0,0,0
7006,3,0,0,0
7006,4,0,0,0
7006,5,0,0,0
7006,9,,,
7007,1,0,0,0
7007,2,0,0,0
7007,3,0,0,0
7007,4,0,0,0
7007,5,0,0,0
7007,9,,,
7008,1,0,0,0
7008,2,0,0,0
7008,3,0,0,0
7008,4,0,0,0
7008,5,0,0,0
7008,9,,,
7009,1,0,0,0
7009,2,0,0,0
7009,3,0,0,0
7009,4,0,0,0
7009,5,0,0,0
7009,9,,,
7010,1,0,0,0
7010,2,0,0,0
7010,3,0,0,0
7010,4,0,0,0
7010,5,0,0,0
7010,9,,,
7011,1,0,0,0
7011,2,0,0,0
7011,3,0,0,0
7011,4,0,0,0
7011,5,0,0,0
7011,9,,,
7012,1,0,0,0
7012,2,0,0,0
7012,3,0,0,0
7012,4,0,0,0
7012,5,0,0,0
7012,9,,,
7013,1,0,0,0
7013,2,0,0,0
7013,3,0,0,0
7013,4,0,0,0
7013,5,0,0,0
7013,9,,,
7014,1,0,0,0
7014,2,0,0,0
7014,3,0,0,0
7014,4,0,0,0
7014,5,0,0,0
7014,9,,,
7015,1,77,63,14
7015,2,15,7,8
7015,3,0,0,0
7015,4,0,0,0
7015,5,0,0,0
7015,9,,,
7016,1,0,0,0
7016,2,0,0,0
7016,3,0,0,0
7016,4,0,0,0
7016,5,0,0,0
7016,9,,,
7017,1,0,0,0
7017,2,0,0,0
7017,3,0,0,0
7017,4,0,0,0
7017,5,0,0,0
7017,9,,,
7018,1,3,3,0
7018,2,0,0,0
7018,3,0,0,0
7018,4,0,0,0
7018,5,0,0,0
7018,9,,,
7019,1,79,66,13
7019,2,0,0,0
7019,3,0,0,0
7019,4,0,0,0
7019,5,0,0,0
7019,9,,,
7020,1,0,0,0
7020,2,0,0,0
7020,3,0,0,0
7020,4,0,0,0
7020,5,0,0,0
7020,9,,,
7021,1,0,0,0
7021,2,0,0,0
7021,3,0,0,0
7021,4,0,0,0
7021,5,0,0,0
7021,9,,,
7022,1,0,0,0
7022,2,0,0,0
7022,3,0,0,0
7022,4,0,0,0
7022,5,0,0,0
7022,9,,,
7023,1,0,0,0
7023,2,0,0,0
7023,3,0,0,0
7023,4,0,0,0
7023,5,0,0,0
7023,9,,,
7024,1,0,0,0
7024,2,0,0,0
7024,3,0,0,0
7024,4,0,0,0
7024,5,0,0,0
7024,9,,,
7025,1,0,0,0
7025,2,0,0,0
7025,3,0,0,0
7025,4,0,0,0
7025,5,0,0,0
7025,9,,,
7026,1,0,0,0
7026,2,0,0,0
