ubicageo_f,orgapoli_k,sexostt,sexos1,sexos2
13066,1,3,3,0
13066,2,0,0,0
13066,3,0,0,0
13066,4,0,0,0
13066,5,0,0,0
13066,9,,,
13067,1,0,0,0
13067,2,0,0,0
13067,3,0,0,0
13067,4,0,0,0
13067,5,6,4,2
13067,9,,,
13068,1,12,12,0
13068,2,0,0,0
13068,3,0,0,0
13068,4,0,0,0
13068,5,0,0,0
13068,9,,,
13069,1,51,40,11
13069,2,15,12,3
13069,3,0,0,0
13069,4,0,0,0
13069,5,0,0,0
13069,9,,,
13070,1,15,12,3
13070,2,0,0,0
13070,3,0,0,0
13070,4,0,0,0
13070,5,0,0,0
13070,9,,,
13071,1,5,4,1
13071,2,0,0,0
13071,3,0,0,0
13071,4,0,0,0
13071,5,0,0,0
13071,9,,,
13072,1,5,2,3
13072,2,0,0,0
13072,3,0,0,0
13072,4,0,0,0
13072,5,0,0,0
13072,9,,,
13073,1,10,9,1
13073,2,0,0,0
13073,3,0,0,0
13073,4,0,0,0
13073,5,0,0,0
13073,9,,,
13074,1,4,3,1
13074,2,0,0,0
13074,3,0,0,0
13074,4,0,0,0
13074,5,0,0,0
13074,9,,,
13075,1,6,5,1
13075,2,0,0,0
13075,3,0,0,0
13075,4,0,0,0
13075,5,0,0,0
13075,9,,,
13076,1,136,103,33
13076,2,0,0,0
13076,3,0,0,0
13076,4,0,0,0
13076,5,0,0,0
13076,9,,,
13077,1,178,144,34
13077,2,0,0,0
13077,3,0,0,0
13077,4,0,0,0
13077,5,0,0,0
13077,9,,,
13078,1,1,1,0
13078,2,0,0,0
13078,3,0,0,0
13078,4,0,0,0
13078,5,0,0,0
13078,9,,,
13079,1,4,3,1
13079,2,0,0,0
13079,3,0,0,0
13079,4,0,0,0
13079,5,0,0,0
13079,9,,,
13080,1,12,7,5
13080,2,0,0,0
13080,3,0,0,0
13080,4,0,0,0
13080,5,0,0,0
13080,9,,,
13081,1,18,15,3
13081,2,0,0,0
13081,3,0,0,0
13081,4,0,0,0
13081,5,0,0,0
13081,9,,,
13082,1,14,11,3
13082,2,0,0,0
13082,3,0,0,0
13082,4,0,0,0
13082,5,0,0,0
13082,9,,,
13083,1,21,17,4
13083,2,0,0,0
13083,3,0,0,0
13083,4,0,0,0
13083,5,0,0,0
13083,9,,,
13084,1,0,0,0
13084,2,17,11,6
13084,3,0,0,0
13084,4,0,0,0
13084,5,0,0,0
13084,9,,,
14001,1,9,9,0
14001,2,0,0,0
14001,3,0,0,0
14001,4,0,0,0
14001,5,0,0,0
14001,9,,,
14002,1,9,7,2
14002,2,0,0,0
14002,3,0,0,0
14002,4,0,0,0
14002,5,0,0,0
14002,9,,,
14003,1,7,4,3
14003,2,0,0,0
14003,3,0,0,0
14003,4,0,0,0
14003,5,0,0,0
14003,9,,,
14004,1,2,1,1
14004,2,0,0,0
14004,3,0,0,0
14004,4,0,0,0
14004,5,0,0,0
14004,9,,,
14005,1,10,6,4
14005,2,0,0,0
14005,3,0,0,0
14005,4,0,0,0
14005,5,0,0,0
14005,9,,,
14006,1,75,64,11
14006,2,0,0,0
14006,3,0,0,0
14006,4,0,0,0
14006,5,0,0,0
14006,9,,,
14007,1,7,4,3
14007,2,0,0,0
14007,3,0,0,0
14007,4,0,0,0
14007,5,0,0,0
14007,9,,,
14008,1,34,21,13
14008,2,0,0,0
14008,3,0,0,0
14008,4,0,0,0
14008,5,0,0,0
14008,9,,,
14009,1,11,9,2
14009,2,0,0,0
14009,3,0,0,0
14009,4,0,0,0
14009,5,0,0,0
14009,9,,,
14010,1,3,1,2
14010,2,0,0,0
14010,3,0,0,0
14010,4,0,0,0
14010,5,0,0,0
14010,9,,,
14011,1,10,8,2
14011,2,0,0,0
14011,3,0,0,0
14011,4,0,0,0
14011,5,0,0,0
14011,9,,,
14012,1,12,5,7
14012,2,0,0,0
14012,3,0,0,0
14012,4,0,0,0
14012,5,0,0,0
14012,9,,,
14013,1,44,33,11
14013,2,0,0,0
14013,3,0,0,0
14013,4,0,0,0
14013,5,0,0,0
14013,9,,,
14014,1,9,5,4
14014,2,0,0,0
14014,3,0,0,0
14014,4,0,0,0
14014,5,0,0,0
14014,9,,,
14015,1,123,95,28
14015,2,0,0,0
14015,3,0,0,0
14015,4,0,0,0
14015,5,0,0,0
14015,9,,,
14016,1,0,0,0
14016,2,0,0,0
14016,3,0,0,0
14016,4,42,40,2
14016,5,0,0,0
14016,9,,,
14017,1,19,13,6
14017,2,0,0,0
14017,3,0,0,0
14017,4,0,0,0
14017,5,0,0,0
14017,9,,,
14018,1,44,34,10
14018,2,0,0,0
14018,3,0,0,0
14018,4,0,0,0
14018,5,0,0,0
14018,9,,,
14019,1,13,13,0
14019,2,0,0,0
14019,3,0,0,0
14019,4,0,0,0
14019,5,0,0,0
14019,9,,,
14020,1,13,10,3
14020,2,0,0,0
14020,3,0,0,0
14020,4,0,0,0
14020,5,0,0,0
14020,9,,,
14021,1,25,22,3
14021,2,0,0,0
14021,3,0,0,0
14021,4,0,0,0
14021,5,0,0,0
14021,9,,,
14022,1,0,0,0
14022,2,0,0,0
14022,3,0,0,0
14022,4,55,44,11
14022,5,0,0,0
14022,9,,,
14023,1,177,131,46
14023,2,0,0,0
14023,3,0,0,0
14023,4,0,0,0
14023,5,0,0,0
14023,9,,,
14024,1,8,5,3
14024,2,0,0,0
14024,3,0,0,0
14024,4,0,0,0
14024,5,0,0,0
14024,9,,,
14025,1,14,12,2
14025,2,0,0,0
14025,3,0,0,0
14025,4,0,0,0
14025,5,0,0,0
14025,9,,,
14026,1,0,0,0
14026,2,0,0,0
14026,3,0,0,0
14026,4,0,0,0
14026,5,0,0,0
14026,9,,,
14027,1,17,15,2
14027,2,0,0,0
14027,3,0,0,0
14027,4,0,0,0
14027,5,0,0,0
14027,9,,,
14028,1,8,7,1
14028,2,0,0,0
14028,3,0,0,0
14028,4,0,0,0
14028,5,0,0,0
14028,9,,,
14029,1,4,1,3
14029,2,0,0,0
14029,3,0,0,0
14029,4,0,0,0
14029,5,0,0,0
14029,9,,,
14030,1,99,75,24
14030,2,0,0,0
14030,3,0,0,0
14030,4,0,0,0
14030,5,0,0,0
14030,9,,,
14031,1,6,6,0
14031,2,0,0,0
14031,3,0,0,0
14031,4,0,0,0
14031,5,0,0,0
14031,9,,,
14032,1,3,3,0
14032,2,0,0,0
14032,3,0,0,0
14032,4,0,0,0
14032,5,0,0,0
14032,9,,,
14033,1,25,22,3
14033,2,0,0,0
14033,3,0,0,0
14033,4,0,0,0
14033,5,0,0,0
14033,9,,,
14034,1,4,4,0
14034,2,0,0,0
14034,3,0,0,0
14034,4,0,0,0
14034,5,0,0,0
14034,9,,,
14035,1,47,42,5
14035,2,0,0,0
14035,3,0,0,0
14035,4,0,0,0
14035,5,0,0,0
14035,9,,,
14036,1,11,10,1
14036,2,0,0,0
14036,3,0,0,0
14036,4,0,0,0
14036,5,0,0,0
14036,9,,,
14037,1,59,42,17
14037,2,0,0,0
14037,3,0,0,0
14037,4,0,0,0
14037,5,0,0,0
14037,9,,,
14038,1,7,6,1
14038,2,0,0,0
14038,3,0,0,0
14038,4,0,0,0
14038,5,0,0,0
14038,9,,,
14039,1,2577,2302,275
14039,2,0,0,0
14039,3,0,0,0
14039,4,0,0,0
14039,5,0,0,0
14039,9,,,
14040,1,10,9,1
14040,2,0,0,0
14040,3,0,0,0
14040,4,0,0,0
14040,5,0,0,0
14040,9,,,
14041,1,4,4,0
14041,2,0,0,0
14041,3,0,0,0
14041,4,0,0,0
14041,5,0,0,0
14041,9,,,
14042,1,2,1,1
14042,2,0,0,0
14042,3,0,0,0
14042,4,0,0,0
14042,5,0,0,0
14042,9,,,
14043,1,14,8,6
14043,2,0,0,0
14043,3,0,0,0
14043,4,0,0,0
14043,5,0,0,0
14043,9,,,
14044,1,41,30,11
14044,2,0,0,0
14044,3,0,0,0
14044,4,0,0,0
14044,5,0,0,0
14044,9,,,
14045,1,9,6,3
14045,2,0,0,0
14045,3,0,0,0
14045,4,0,0,0
14045,5,0,0,0
14045,9,,,
14046,1,40,31,9
14046,2,3,3,0
14046,3,0,0,0
14046,4,0,0,0
14046,5,0,0,0
14046,9,,,
14047,1,38,28,10
14047,2,0,0,0
14047,3,0,0,0
14047,4,0,0,0
14047,5,0,0,0
14047,9,,,
14048,1,20,13,7
14048,2,0,0,0
14048,3,0,0,0
14048,4,0,0,0
14048,5,0,0,0
14048,9,,,
14049,1,11,10,1
14049,2,0,0,0
14049,3,0,0,0
14049,4,0,0,0
14049,5,0,0,0
14049,9,,,
14050,1,10,7,3
14050,2,0,0,0
14050,3,0,0,0
14050,4,0,0,0
14050,5,0,0,0
14050,9,,,
14051,1,34,22,12
14051,2,0,0,0
14051,3,0,0,0
14051,4,0,0,0
14051,5,0,0,0
14051,9,,,
14052,1,8,6,2
14052,2,0,0,0
14052,3,0,0,0
14052,4,0,0,0
14052,5,0,0,0
14052,9,,,
14053,1,156,90,66
14053,2,0,0,0
14053,3,0,0,0
14053,4,0,0,0
14053,5,0,0,0
14053,9,,,
14054,1,3,3,0
14054,2,0,0,0
14054,3,0,0,0
14054,4,0,0,0
14054,5,0,0,0
14054,9,,,
14055,1,19,14,5
14055,2,0,0,0
14055,3,0,0,0
14055,4,0,0,0
14055,5,0,0,0
14055,9,,,
14056,1,0,0,0
14056,2,NA,NA,NA
14056,3,NA,NA,NA
14056,4,NA,NA,NA
14056,5,NA,NA,NA
14056,9,,,
14057,1,1,1,0
14057,2,0,0,0
14057,3,0,0,0
14057,4,0,0,0
14057,5,0,0,0
14057,9,,,
14058,1,10,8,2
14058,2,0,0,0
14058,3,0,0,0
14058,4,0,0,0
14058,5,0,0,0
14058,9,,,
14059,1,5,2,3
14059,2,0,0,0
14059,3,0,0,0
14059,4,0,0,0
14059,5,0,0,0
14059,9,,,
14060,1,0,0,0
14060,2,0,0,0
14060,3,0,0,0
14060,4,0,0,0
14060,5,0,0,0
14060,9,,,
14061,1,1,1,0
14061,2,0,0,0
14061,3,0,0,0
14061,4,0,0,0
14061,5,0,0,0
14061,9,,,
14062,1,9,6,3
14062,2,0,0,0
14062,3,0,0,0
14062,4,0,0,0
14062,5,0,0,0
14062,9,,,
14063,1,99,64,35
14063,2,28,13,15
14063,3,0,0,0
14063,4,0,0,0
14063,5,0,0,0
14063,9,,,
14064,1,21,13,8
14064,2,0,0,0
14064,3,0,0,0
14064,4,0,0,0
14064,5,0,0,0
14064,9,,,
14065,1,14,12,2
14065,2,0,0,0
14065,3,0,0,0
14065,4,0,0,0
14065,5,0,0,0
14065,9,,,
14066,1,29,24,5
14066,2,0,0,0
14066,3,0,0,0
14066,4,0,0,0
14066,5,0,0,0
14066,9,,,
14067,1,NSS,NSS,NSS
14067,2,NSS,NSS,NSS
14067,3,0,0,0
14067,4,0,0,0
14067,5,0,0,0
14067,9,,,
14068,1,13,12,1
14068,2,0,0,0
14068,3,0,0,0
14068,4,0,0,0
14068,5,0,0,0
14068,9,,,
14069,1,3,2,1
14069,2,0,0,0
14069,3,0,0,0
14069,4,0,0,0
14069,5,0,0,0
14069,9,,,
14070,1,182,135,47
14070,2,0,0,0
14070,3,0,0,0
14070,4,0,0,0
14070,5,0,0,0
14070,9,,,
14071,1,7,7,0
14071,2,0,0,0
14071,3,0,0,0
14071,4,0,0,0
14071,5,0,0,0
14071,9,,,
14072,1,11,10,1
14072,2,0,0,0
14072,3,0,0,0
14072,4,0,0,0
14072,5,0,0,0
14072,9,,,
14073,1,126,94,32
14073,2,0,0,0
14073,3,0,0,0
14073,4,0,0,0
14073,5,0,0,0
14073,9,,,
14074,1,9,7,2
14074,2,0,0,0
14074,3,0,0,0
14074,4,0,0,0
14074,5,0,0,0
14074,9,,,
14075,1,11,8,3
14075,2,0,0,0
14075,3,0,0,0
14075,4,0,0,0
14075,5,0,0,0
14075,9,,,
14076,1,8,6,2
14076,2,0,0,0
14076,3,0,0,0
14076,4,0,0,0
14076,5,0,0,0
14076,9,,,
14077,1,16,13,3
14077,2,0,0,0
14077,3,0,0,0
14077,4,0,0,0
14077,5,0,0,0
14077,9,,,
14078,1,2,1,1
14078,2,0,0,0
14078,3,0,0,0
14078,4,0,0,0
14078,5,0,0,0
14078,9,,,
14079,1,28,25,3
14079,2,0,0,0
14079,3,0,0,0
14079,4,0,0,0
14079,5,0,0,0
14079,9,,,
14080,1,4,4,0
14080,2,0,0,0
14080,3,0,0,0
14080,4,0,0,0
14080,5,0,0,0
14080,9,,,
14081,1,12,10,2
14081,2,0,0,0
14081,3,0,0,0
14081,4,0,0,0
14081,5,0,0,0
14081,9,,,
14082,1,31,20,11
14082,2,0,0,0
14082,3,0,0,0
14082,4,0,0,0
14082,5,0,0,0
14082,9,,,
14083,1,47,34,13
14083,2,0,0,0
14083,3,0,0,0
14083,4,0,0,0
14083,5,0,0,0
14083,9,,,
14084,1,21,15,6
14084,2,0,0,0
14084,3,0,0,0
14084,4,0,0,0
14084,5,0,0,0
14084,9,,,
14085,1,22,18,4
14085,2,0,0,0
14085,3,0,0,0
14085,4,0,0,0
14085,5,0,0,0
14085,9,,,
14086,1,0,0,0
14086,2,0,0,0
14086,3,0,0,0
14086,4,0,0,0
14086,5,0,0,0
14086,9,,,
14087,1,23,19,4
14087,2,0,0,0
14087,3,0,0,0
14087,4,0,0,0
14087,5,0,0,0
14087,9,,,
14088,1,21,18,3
14088,2,0,0,0
14088,3,0,0,0
14088,4,0,0,0
14088,5,0,0,0
14088,9,,,
14089,1,1,1,0
14089,2,0,0,0
14089,3,0,0,0
14089,4,0,0,0
14089,5,0,0,0
14089,9,,,
14090,1,9,7,2
14090,2,0,0,0
14090,3,0,0,0
14090,4,0,0,0
14090,5,0,0,0
14090,9,,,
14091,1,29,27,2
14091,2,0,0,0
14091,3,0,0,0
14091,4,0,0,0
14091,5,0,0,0
14091,9,,,
14092,1,2,1,1
14092,2,0,0,0
14092,3,0,0,0
14092,4,0,0,0
14092,5,0,0,0
14092,9,,,
14093,1,88,58,30
14093,2,0,0,0
14093,3,0,0,0
14093,4,0,0,0
14093,5,0,0,0
14093,9,,,
14094,1,25,20,5
14094,2,0,0,0
14094,3,0,0,0
14094,4,0,0,0
14094,5,0,0,0
14094,9,,,
14095,1,6,5,1
14095,2,0,0,0
14095,3,0,0,0
14095,4,0,0,0
14095,5,0,0,0
14095,9,,,
14096,1,19,16,3
14096,2,0,0,0
14096,3,0,0,0
14096,4,0,0,0
14096,5,0,0,0
14096,9,,,
14097,1,793,576,217
14097,2,0,0,0
14097,3,0,0,0
14097,4,0,0,0
14097,5,0,0,0
14097,9,,,
14098,1,792,565,227
14098,2,0,0,0
14098,3,0,0,0
14098,4,0,0,0
14098,5,0,0,0
14098,9,,,
14099,1,1,1,0
14099,2,0,0,0
14099,3,0,0,0
14099,4,0,0,0
14099,5,0,0,0
14099,9,,,
14100,1,20,18,2
14100,2,0,0,0
14100,3,0,0,0
14100,4,0,0,0
14100,5,0,0,0
14100,9,,,
14101,1,482,343,139
14101,2,0,0,0
14101,3,0,0,0
14101,4,0,0,0
14101,5,0,0,0
14101,9,,,
14102,1,1,1,0
14102,2,0,0,0
14102,3,0,0,0
14102,4,0,0,0
14102,5,0,0,0
14102,9,,,
14103,1,12,11,1
14103,2,0,0,0
14103,3,0,0,0
14103,4,0,0,0
14103,5,0,0,0
14103,9,,,
14104,1,4,2,2
14104,2,0,0,0
14104,3,0,0,0
14104,4,0,0,0
14104,5,0,0,0
14104,9,,,
14105,1,8,6,2
14105,2,0,0,0
14105,3,0,0,0
14105,4,0,0,0
14105,5,0,0,0
14105,9,,,
14106,1,0,0,0
14106,2,0,0,0
14106,3,0,0,0
14106,4,0,0,0
14106,5,0,0,0
14106,9,,,
14107,1,3,2,1
14107,2,0,0,0
14107,3,0,0,0
14107,4,0,0,0
14107,5,0,0,0
14107,9,,,
14108,1,45,36,9
14108,2,0,0,0
14108,3,0,0,0
14108,4,0,0,0
14108,5,0,0,0
14108,9,,,
14109,1,8,2,6
14109,2,0,0,0
14109,3,0,0,0
14109,4,0,0,0
14109,5,0,0,0
14109,9,,,
14110,1,10,9,1
14110,2,0,0,0
14110,3,0,0,0
14110,4,0,0,0
14110,5,0,0,0
14110,9,,,
14111,1,0,0,0
14111,2,0,0,0
14111,3,0,0,0
14111,4,0,0,0
14111,5,17,14,3
14111,9,,,
14112,1,7,4,3
14112,2,NA,NA,NA
14112,3,NA,NA,NA
14112,4,NA,NA,NA
14112,5,NA,NA,NA
14112,9,,,
14113,1,20,12,8
14113,2,0,0,0
14113,3,0,0,0
14113,4,0,0,0
14113,5,0,0,0
14113,9,,,
14114,1,6,5,1
14114,2,0,0,0
14114,3,0,0,0
14114,4,0,0,0
14114,5,0,0,0
14114,9,,,
14115,1,0,0,0
14115,2,0,0,0
14115,3,0,0,0
14115,4,0,0,0
14115,5,0,0,0
14115,9,,,
14116,1,35,33,2
14116,2,0,0,0
14116,3,0,0,0
14116,4,0,0,0
14116,5,0,0,0
14116,9,,,
14117,1,9,7,2
14117,2,0,0,0
14117,3,0,0,0
14117,4,0,0,0
14117,5,0,0,0
14117,9,,,
14118,1,5,3,2
14118,2,0,0,0
14118,3,0,0,0
14118,4,0,0,0
14118,5,0,0,0
14118,9,,,
14119,1,16,16,0
14119,2,0,0,0
14119,3,0,0,0
14119,4,0,0,0
14119,5,0,0,0
14119,9,,,
14120,1,2434,2000,434
14120,2,0,0,0
14120,3,0,0,0
14120,4,0,0,0
14120,5,0,0,0
14120,9,,,
14121,1,13,10,3
14121,2,5,3,2
14121,3,0,0,0
14121,4,0,0,0
14121,5,0,0,0
14121,9,,,
14122,1,8,7,1
14122,2,0,0,0
14122,3,0,0,0
14122,4,0,0,0
14122,5,0,0,0
14122,9,,,
14123,1,0,0,0
14123,2,0,0,0
14123,3,0,0,0
14123,4,0,0,0
14123,5,0,0,0
14123,9,,,
14124,1,56,49,7
14124,2,10,6,4
14124,3,0,0,0
14124,4,0,0,0
14124,5,0,0,0
14124,9,,,
14125,1,24,14,10
14125,2,0,0,0
14125,3,0,0,0
14125,4,0,0,0
14125,5,0,0,0
14125,9,,,
15001,1,69,55,14
15001,2,0,0,0
15001,3,0,0,0
15001,4,0,0,0
15001,5,0,0,0
15001,9,,,
15002,1,208,154,54
15002,2,0,0,0
15002,3,0,0,0
15002,4,0,0,0
15002,5,0,0,0
15002,9,,,
15003,1,45,40,5
15003,2,0,0,0
15003,3,0,0,0
15003,4,0,0,0
15003,5,0,0,0
15003,9,,,
15004,1,4,4,0
15004,2,0,0,0
15004,3,0,0,0
15004,4,0,0,0
15004,5,0,0,0
15004,9,,,
15005,1,153,101,52
15005,2,0,0,0
15005,3,0,0,0
15005,4,0,0,0
15005,5,0,0,0
15005,9,,,
15006,1,20,12,8
15006,2,0,0,0
15006,3,0,0,0
15006,4,0,0,0
15006,5,0,0,0
15006,9,,,
15007,1,5,5,0
15007,2,0,0,0
15007,3,0,0,0
15007,4,0,0,0
15007,5,0,0,0
15007,9,,,
15008,1,33,29,4
15008,2,0,0,0
15008,3,0,0,0
15008,4,0,0,0
15008,5,0,0,0
15008,9,,,
15009,1,99,72,27
15009,2,0,0,0
15009,3,0,0,0
15009,4,0,0,0
15009,5,0,0,0
15009,9,,,
15010,1,14,10,4
15010,2,0,0,0
15010,3,0,0,0
15010,4,0,0,0
15010,5,0,0,0
15010,9,,,
15011,1,64,52,12
15011,2,0,0,0
15011,3,0,0,0
15011,4,0,0,0
15011,5,0,0,0
15011,9,,,
15012,1,15,8,7
15012,2,0,0,0
15012,3,0,0,0
15012,4,0,0,0
15012,5,0,0,0
15012,9,,,
15013,1,1023,795,228
15013,2,136,90,46
15013,3,0,0,0
15013,4,0,0,0
15013,5,0,0,0
15013,9,,,
15014,1,85,75,10
15014,2,7,3,4
15014,3,0,0,0
15014,4,0,0,0
15014,5,0,0,0
15014,9,,,
15015,1,49,33,16
15015,2,0,0,0
15015,3,0,0,0
15015,4,0,0,0
15015,5,0,0,0
15015,9,,,
15016,1,32,18,14
15016,2,0,0,0
15016,3,0,0,0
15016,4,0,0,0
15016,5,0,0,0
15016,9,,,
15017,1,18,14,4
15017,2,0,0,0
15017,3,0,0,0
15017,4,0,0,0
15017,5,0,0,0
15017,9,,,
15018,1,38,34,4
15018,2,0,0,0
15018,3,0,0,0
15018,4,0,0,0
15018,5,0,0,0
15018,9,,,
15019,1,24,19,5
15019,2,0,0,0
15019,3,0,0,0
15019,4,0,0,0
15019,5,0,0,0
15019,9,,,
15020,1,255,218,37
15020,2,58,50,8
15020,3,0,0,0
15020,4,0,0,0
15020,5,0,0,0
15020,9,,,
15021,1,52,42,10
15021,2,0,0,0
15021,3,0,0,0
15021,4,0,0,0
15021,5,0,0,0
15021,9,,,
15022,1,35,28,7
15022,2,0,0,0
15022,3,0,0,0
15022,4,0,0,0
15022,5,0,0,0
15022,9,,,
15023,1,48,40,8
15023,2,0,0,0
15023,3,0,0,0
15023,4,0,0,0
15023,5,0,0,0
15023,9,,,
15024,1,219,197,22
15024,2,92,73,19
15024,3,0,0,0
15024,4,0,0,0
15024,5,0,0,0
15024,9,,,
15025,1,327,265,62
15025,2,0,0,0
15025,3,0,0,0
15025,4,0,0,0
15025,5,0,0,0
15025,9,,,
15026,1,26,26,0
15026,2,0,0,0
15026,3,0,0,0
15026,4,0,0,0
15026,5,0,0,0
15026,9,,,
15027,1,8,6,2
15027,2,0,0,0
15027,3,0,0,0
15027,4,0,0,0
15027,5,0,0,0
15027,9,,,
15028,1,44,34,10
15028,2,0,0,0
15028,3,0,0,0
15028,4,0,0,0
15028,5,0,0,0
15028,9,,,
15029,1,247,207,40
15029,2,0,0,0
15029,3,0,0,0
15029,4,0,0,0
15029,5,0,0,0
15029,9,,,
15030,1,59,38,21
15030,2,0,0,0
15030,3,0,0,0
15030,4,0,0,0
15030,5,0,0,0
15030,9,,,
15031,1,304,175,129
15031,2,0,0,0
15031,3,0,0,0
15031,4,0,0,0
15031,5,0,0,0
15031,9,,,
15032,1,9,9,0
15032,2,0,0,0
15032,3,0,0,0
15032,4,0,0,0
15032,5,0,0,0
15032,9,,,
15033,1,127,97,30
15033,2,82,27,55
15033,3,0,0,0
15033,4,0,0,0
15033,5,82,68,14
15033,9,,,
15034,1,24,18,6
15034,2,0,0,0
15034,3,0,0,0
15034,4,0,0,0
15034,5,0,0,0
15034,9,,,
15035,1,165,118,47
15035,2,0,0,0
15035,3,0,0,0
15035,4,0,0,0
15035,5,0,0,0
15035,9,,,
15036,1,45,39,6
15036,2,0,0,0
15036,3,0,0,0
15036,4,0,0,0
15036,5,0,0,0
15036,9,,,
15037,1,535,405,130
15037,2,167,131,36
15037,3,88,83,5
15037,4,0,0,0
15037,5,0,0,0
15037,9,,,
15038,1,7,3,4
15038,2,0,0,0
15038,3,0,0,0
15038,4,0,0,0
15038,5,0,0,0
15038,9,,,
15039,1,650,429,221
15039,2,0,0,0
15039,3,0,0,0
15039,4,0,0,0
15039,5,0,0,0
15039,9,,,
15040,1,52,38,14
15040,2,0,0,0
15040,3,0,0,0
15040,4,0,0,0
15040,5,0,0,0
15040,9,,,
15041,1,0,0,0
15041,2,0,0,0
15041,3,0,0,0
15041,4,0,0,0
15041,5,0,0,0
15041,9,,,
15042,1,127,102,25
15042,2,0,0,0
15042,3,0,0,0
15042,4,0,0,0
15042,5,0,0,0
15042,9,,,
15043,1,10,8,2
15043,2,0,0,0
15043,3,0,0,0
15043,4,0,0,0
15043,5,0,0,0
15043,9,,,
15044,1,49,38,11
15044,2,0,0,0
15044,3,0,0,0
15044,4,0,0,0
15044,5,0,0,0
15044,9,,,
15045,1,106,87,19
15045,2,0,0,0
15045,3,0,0,0
15045,4,0,0,0
15045,5,0,0,0
15045,9,,,
15046,1,10,9,1
15046,2,0,0,0
15046,3,0,0,0
15046,4,0,0,0
15046,5,0,0,0
15046,9,,,
15047,1,62,50,12
15047,2,0,0,0
15047,3,0,0,0
15047,4,0,0,0
15047,5,0,0,0
15047,9,,,
15048,1,65,58,7
15048,2,0,0,0
15048,3,0,0,0
15048,4,0,0,0
15048,5,0,0,0
15048,9,,,
15049,1,35,29,6
15049,2,0,0,0
15049,3,0,0,0
15049,4,0,0,0
15049,5,0,0,0
15049,9,,,
15050,1,26,18,8
15050,2,0,0,0
15050,3,0,0,0
15050,4,0,0,0
15050,5,0,0,0
15050,9,,,
15051,1,111,87,24
15051,2,23,15,8
15051,3,0,0,0
15051,4,0,0,0
15051,5,0,0,0
15051,9,,,
15052,1,0,0,0
15052,2,0,0,0
15052,3,0,0,0
15052,4,0,0,0
15052,5,0,0,0
15052,9,,,
15053,1,96,76,20
15053,2,0,0,0
15053,3,0,0,0
15053,4,0,0,0
15053,5,0,0,0
15053,9,,,
15054,1,182,167,15
15054,2,16,0,16
15054,3,0,0,0
15054,4,0,0,0
15054,5,0,0,0
15054,9,,,
15055,1,3,3,0
15055,2,0,0,0
15055,3,0,0,0
15055,4,0,0,0
15055,5,0,0,0
15055,9,,,
15056,1,27,25,2
15056,2,0,0,0
15056,3,0,0,0
15056,4,0,0,0
15056,5,0,0,0
15056,9,,,
15057,1,1450,1043,407
15057,2,284,198,86
15057,3,0,0,0
15057,4,0,0,0
15057,5,0,0,0
15057,9,,,
15058,1,1811,1263,548
15058,2,80,36,44
15058,3,0,0,0
15058,4,0,0,0
15058,5,237,115,122
15058,9,,,
15059,1,33,26,7
15059,2,0,0,0
15059,3,0,0,0
15059,4,0,0,0
15059,5,0,0,0
15059,9,,,
15060,1,138,108,30
15060,2,0,0,0
15060,3,0,0,0
15060,4,0,0,0
15060,5,0,0,0
15060,9,,,
15061,1,5,3,2
15061,2,0,0,0
15061,3,0,0,0
15061,4,0,0,0
15061,5,0,0,0
15061,9,,,
15062,1,60,47,13
15062,2,0,0,0
15062,3,0,0,0
15062,4,0,0,0
15062,5,0,0,0
15062,9,,,
15063,1,NA,NA,NA
15063,2,NA,NA,NA
15063,3,NA,NA,NA
15063,4,NA,NA,NA
15063,5,NA,NA,NA
15063,9,,,
15064,1,0,0,0
15064,2,0,0,0
15064,3,31,26,5
15064,4,0,0,0
15064,5,0,0,0
15064,9,,,
15065,1,23,15,8
15065,2,0,0,0
15065,3,0,0,0
15065,4,0,0,0
15065,5,0,0,0
15065,9,,,
15066,1,1,1,0
15066,2,0,0,0
15066,3,0,0,0
15066,4,0,0,0
15066,5,0,0,0
15066,9,,,
15067,1,50,44,6
15067,2,10,0,10
15067,3,0,0,0
15067,4,0,0,0
15067,5,0,0,0
15067,9,,,
15068,1,46,36,10
15068,2,0,0,0
15068,3,0,0,0
15068,4,0,0,0
15068,5,0,0,0
15068,9,,,
15069,1,10,5,5
15069,2,0,0,0
15069,3,0,0,0
15069,4,0,0,0
15069,5,0,0,0
15069,9,,,
15070,1,472,350,122
15070,2,0,0,0
15070,3,0,0,0
15070,4,0,0,0
15070,5,0,0,0
15070,9,,,
15071,1,0,0,0
15071,2,0,0,0
15071,3,0,0,0
15071,4,0,0,0
15071,5,0,0,0
15071,9,,,
15072,1,35,31,4
15072,2,0,0,0
15072,3,0,0,0
15072,4,0,0,0
15072,5,0,0,0
15072,9,,,
15073,1,30,24,6
15073,2,0,0,0
15073,3,0,0,0
15073,4,0,0,0
15073,5,0,0,0
15073,9,,,
15074,1,74,61,13
15074,2,0,0,0
15074,3,0,0,0
15074,4,0,0,0
15074,5,0,0,0
15074,9,,,
15075,1,15,11,4
15075,2,0,0,0
15075,3,0,0,0
15075,4,0,0,0
15075,5,0,0,0
15075,9,,,
15076,1,73,51,22
15076,2,0,0,0
15076,3,0,0,0
15076,4,0,0,0
15076,5,0,0,0
15076,9,,,
15077,1,4,3,1
15077,2,0,0,0
15077,3,0,0,0
15077,4,0,0,0
