ubicageo_f,esquprof_b,sexostt,sexos1,sexos2
4012,33,NA,NA,NA
4012,34,NA,NA,NA
4012,35,NA,NA,NA
4012,40,NA,NA,NA
4013,11,NA,NA,NA
4013,12,NA,NA,NA
4013,13,NA,NA,NA
4013,21,NA,NA,NA
4013,22,NA,NA,NA
4013,23,NA,NA,NA
4013,31,NA,NA,NA
4013,32,NA,NA,NA
4013,33,NA,NA,NA
4013,34,NA,NA,NA
4013,35,NA,NA,NA
4013,40,NA,NA,NA
5001,11,3,3,0
5001,12,0,0,0
5001,13,0,0,0
5001,21,0,0,0
5001,22,0,0,0
5001,23,0,0,0
5001,31,0,0,0
5001,32,0,0,0
5001,33,0,0,0
5001,34,0,0,0
5001,35,0,0,0
5001,40,0,0,0
5002,11,111,70,41
5002,12,0,0,0
5002,13,0,0,0
5002,21,0,0,0
5002,22,0,0,0
5002,23,0,0,0
5002,31,0,0,0
5002,32,0,0,0
5002,33,0,0,0
5002,34,0,0,0
5002,35,0,0,0
5002,40,0,0,0
5003,11,0,0,0
5003,12,0,0,0
5003,13,3,1,2
5003,21,0,0,0
5003,22,0,0,0
5003,23,0,0,0
5003,31,0,0,0
5003,32,0,0,0
5003,33,0,0,0
5003,34,0,0,0
5003,35,0,0,0
5003,40,0,0,0
5004,11,48,36,12
5004,12,0,0,0
5004,13,0,0,0
5004,21,0,0,0
5004,22,0,0,0
5004,23,0,0,0
5004,31,0,0,0
5004,32,0,0,0
5004,33,0,0,0
5004,34,0,0,0
5004,35,0,0,0
5004,40,2,0,2
5005,11,3,2,1
5005,12,0,0,0
5005,13,0,0,0
5005,21,0,0,0
5005,22,0,0,0
5005,23,0,0,0
5005,31,0,0,0
5005,32,0,0,0
5005,33,0,0,0
5005,34,0,0,0
5005,35,0,0,0
5005,40,0,0,0
5006,11,27,17,10
5006,12,1,1,0
5006,13,0,0,0
5006,21,0,0,0
5006,22,0,0,0
5006,23,0,0,0
5006,31,0,0,0
5006,32,0,0,0
5006,33,0,0,0
5006,34,0,0,0
5006,35,0,0,0
5006,40,0,0,0
5007,11,0,0,0
5007,12,0,0,0
5007,13,0,0,0
5007,21,0,0,0
5007,22,9,6,3
5007,23,0,0,0
5007,31,0,0,0
5007,32,0,0,0
5007,33,0,0,0
5007,34,0,0,0
5007,35,0,0,0
5007,40,0,0,0
5008,11,NA,NA,NA
5008,12,NA,NA,NA
5008,13,NA,NA,NA
5008,21,NA,NA,NA
5008,22,NA,NA,NA
5008,23,NA,NA,NA
5008,31,NA,NA,NA
5008,32,NA,NA,NA
5008,33,NA,NA,NA
5008,34,NA,NA,NA
5008,35,NA,NA,NA
5008,40,NA,NA,NA
5009,11,69,50,19
5009,12,0,0,0
5009,13,0,0,0
5009,21,0,0,0
5009,22,0,0,0
5009,23,0,0,0
5009,31,0,0,0
5009,32,0,0,0
5009,33,0,0,0
5009,34,0,0,0
5009,35,0,0,0
5009,40,0,0,0
5010,11,0,0,0
5010,12,0,0,0
5010,13,0,0,0
5010,21,0,0,0
5010,22,0,0,0
5010,23,0,0,0
5010,31,0,0,0
5010,32,0,0,0
5010,33,0,0,0
5010,34,0,0,0
5010,35,0,0,0
5010,40,0,0,0
5011,11,12,7,5
5011,12,0,0,0
5011,13,0,0,0
5011,21,0,0,0
5011,22,0,0,0
5011,23,0,0,0
5011,31,0,0,0
5011,32,0,0,0
5011,33,0,0,0
5011,34,0,0,0
5011,35,0,0,0
5011,40,0,0,0
5012,11,NA,NA,NA
5012,12,NA,NA,NA
5012,13,NA,NA,NA
5012,21,NA,NA,NA
5012,22,NA,NA,NA
5012,23,NA,NA,NA
5012,31,NA,NA,NA
5012,32,NA,NA,NA
5012,33,NA,NA,NA
5012,34,NA,NA,NA
5012,35,NA,NA,NA
5012,40,NA,NA,NA
5013,11,NA,NA,NA
5013,12,NA,NA,NA
5013,13,NA,NA,NA
5013,21,NA,NA,NA
5013,22,NA,NA,NA
5013,23,NA,NA,NA
5013,31,NA,NA,NA
5013,32,NA,NA,NA
5013,33,NA,NA,NA
5013,34,NA,NA,NA
5013,35,NA,NA,NA
5013,40,NA,NA,NA
5014,11,12,10,2
5014,12,0,0,0
5014,13,0,0,0
5014,21,0,0,0
5014,22,0,0,0
5014,23,0,0,0
5014,31,0,0,0
5014,32,0,0,0
5014,33,0,0,0
5014,34,0,0,0
5014,35,0,0,0
5014,40,0,0,0
5015,11,NA,NA,NA
5015,12,NA,NA,NA
5015,13,NA,NA,NA
5015,21,NA,NA,NA
5015,22,NA,NA,NA
5015,23,NA,NA,NA
5015,31,NA,NA,NA
5015,32,NA,NA,NA
5015,33,NA,NA,NA
5015,34,NA,NA,NA
5015,35,NA,NA,NA
5015,40,NA,NA,NA
5016,11,9,8,1
5016,12,0,0,0
5016,13,0,0,0
5016,21,0,0,0
5016,22,0,0,0
5016,23,0,0,0
5016,31,0,0,0
5016,32,0,0,0
5016,33,0,0,0
5016,34,0,0,0
5016,35,0,0,0
5016,40,0,0,0
5017,11,80,60,20
5017,12,0,0,0
5017,13,0,0,0
5017,21,0,0,0
5017,22,0,0,0
5017,23,0,0,0
5017,31,0,0,0
5017,32,0,0,0
5017,33,0,0,0
5017,34,0,0,0
5017,35,0,0,0
5017,40,0,0,0
5018,11,115,65,50
5018,12,0,0,0
5018,13,0,0,0
5018,21,0,0,0
5018,22,0,0,0
5018,23,0,0,0
5018,31,0,0,0
5018,32,0,0,0
5018,33,0,0,0
5018,34,0,0,0
5018,35,0,0,0
5018,40,0,0,0
5019,11,1,0,1
5019,12,0,0,0
5019,13,0,0,0
5019,21,0,0,0
5019,22,0,0,0
5019,23,0,0,0
5019,31,0,0,0
5019,32,0,0,0
5019,33,0,0,0
5019,34,0,0,0
5019,35,0,0,0
5019,40,0,0,0
5020,11,42,29,13
5020,12,0,0,0
5020,13,0,0,0
5020,21,0,0,0
5020,22,0,0,0
5020,23,0,0,0
5020,31,0,0,0
5020,32,0,0,0
5020,33,0,0,0
5020,34,0,0,0
5020,35,0,0,0
5020,40,0,0,0
5021,11,10,8,2
5021,12,0,0,0
5021,13,0,0,0
5021,21,0,0,0
5021,22,0,0,0
5021,23,0,0,0
5021,31,0,0,0
5021,32,0,0,0
5021,33,0,0,0
5021,34,0,0,0
5021,35,0,0,0
5021,40,0,0,0
5022,11,0,0,0
5022,12,0,0,0
5022,13,0,0,0
5022,21,0,0,0
5022,22,0,0,0
5022,23,0,0,0
5022,31,0,0,0
5022,32,0,0,0
5022,33,0,0,0
5022,34,0,0,0
5022,35,0,0,0
5022,40,0,0,0
5023,11,11,6,5
5023,12,0,0,0
5023,13,0,0,0
5023,21,0,0,0
5023,22,0,0,0
5023,23,0,0,0
5023,31,0,0,0
5023,32,0,0,0
5023,33,0,0,0
5023,34,5,5,0
5023,35,0,0,0
5023,40,0,0,0
5024,11,39,31,8
5024,12,0,0,0
5024,13,0,0,0
5024,21,2,2,0
5024,22,0,0,0
5024,23,0,0,0
5024,31,0,0,0
5024,32,0,0,0
5024,33,0,0,0
5024,34,0,0,0
5024,35,0,0,0
5024,40,0,0,0
5025,11,72,51,21
5025,12,0,0,0
5025,13,0,0,0
5025,21,0,0,0
5025,22,0,0,0
5025,23,0,0,0
5025,31,0,0,0
5025,32,0,0,0
5025,33,0,0,0
5025,34,0,0,0
5025,35,0,0,0
5025,40,0,0,0
5026,11,NA,NA,NA
5026,12,NA,NA,NA
5026,13,NA,NA,NA
5026,21,NA,NA,NA
5026,22,NA,NA,NA
5026,23,NA,NA,NA
5026,31,NA,NA,NA
5026,32,NA,NA,NA
5026,33,NA,NA,NA
5026,34,NA,NA,NA
5026,35,NA,NA,NA
5026,40,NA,NA,NA
5027,11,146,100,46
5027,12,0,0,0
5027,13,0,0,0
5027,21,0,0,0
5027,22,0,0,0
5027,23,0,0,0
5027,31,0,0,0
5027,32,0,0,0
5027,33,0,0,0
5027,34,0,0,0
5027,35,0,0,0
5027,40,0,0,0
5028,11,45,30,15
5028,12,0,0,0
5028,13,0,0,0
5028,21,0,0,0
5028,22,0,0,0
5028,23,0,0,0
5028,31,0,0,0
5028,32,0,0,0
5028,33,0,0,0
5028,34,0,0,0
5028,35,0,0,0
5028,40,0,0,0
5029,11,3,3,0
5029,12,0,0,0
5029,13,0,0,0
5029,21,0,0,0
5029,22,0,0,0
5029,23,0,0,0
5029,31,0,0,0
5029,32,0,0,0
5029,33,0,0,0
5029,34,0,0,0
5029,35,0,0,0
5029,40,0,0,0
5030,11,759,507,252
5030,12,0,0,0
5030,13,0,0,0
5030,21,211,167,44
5030,22,0,0,0
5030,23,0,0,0
5030,31,0,0,0
5030,32,0,0,0
5030,33,0,0,0
5030,34,90,85,5
5030,35,0,0,0
5030,40,0,0,0
5031,11,0,0,0
5031,12,0,0,0
5031,13,16,14,2
5031,21,0,0,0
5031,22,0,0,0
5031,23,0,0,0
5031,31,0,0,0
5031,32,0,0,0
5031,33,0,0,0
5031,34,0,0,0
5031,35,0,0,0
5031,40,0,0,0
5032,11,26,24,2
5032,12,0,0,0
5032,13,0,0,0
5032,21,5,4,1
5032,22,0,0,0
5032,23,0,0,0
5032,31,0,0,0
5032,32,0,0,0
5032,33,0,0,0
5032,34,0,0,0
5032,35,0,0,0
5032,40,0,0,0
5033,11,59,43,16
5033,12,0,0,0
5033,13,0,0,0
5033,21,13,10,3
5033,22,0,0,0
5033,23,0,0,0
5033,31,0,0,0
5033,32,0,0,0
5033,33,0,0,0
5033,34,0,0,0
5033,35,0,0,0
5033,40,0,0,0
5034,11,13,11,2
5034,12,0,0,0
5034,13,0,0,0
5034,21,0,0,0
5034,22,0,0,0
5034,23,0,0,0
5034,31,0,0,0
5034,32,0,0,0
5034,33,0,0,0
5034,34,0,0,0
5034,35,0,0,0
5034,40,0,0,0
5035,11,586,400,186
5035,12,0,0,0
5035,13,0,0,0
5035,21,0,0,0
5035,22,0,0,0
5035,23,0,0,0
5035,31,0,0,0
5035,32,0,0,0
5035,33,0,0,0
5035,34,0,0,0
5035,35,0,0,0
5035,40,0,0,0
5036,11,37,24,13
5036,12,0,0,0
5036,13,0,0,0
5036,21,0,0,0
5036,22,0,0,0
5036,23,0,0,0
5036,31,0,0,0
5036,32,0,0,0
5036,33,0,0,0
5036,34,0,0,0
5036,35,0,0,0
5036,40,0,0,0
5037,11,4,2,2
5037,12,0,0,0
5037,13,0,0,0
5037,21,0,0,0
5037,22,0,0,0
5037,23,0,0,0
5037,31,0,0,0
5037,32,0,0,0
5037,33,0,0,0
5037,34,0,0,0
5037,35,0,0,0
5037,40,0,0,0
5038,11,7,5,2
5038,12,0,0,0
5038,13,0,0,0
5038,21,0,0,0
5038,22,0,0,0
5038,23,0,0,0
5038,31,0,0,0
5038,32,0,0,0
5038,33,0,0,0
5038,34,0,0,0
5038,35,0,0,0
5038,40,0,0,0
6001,11,41,25,16
6001,12,0,0,0
6001,13,0,0,0
6001,21,5,5,0
6001,22,0,0,0
6001,23,0,0,0
6001,31,0,0,0
6001,32,0,0,0
6001,33,0,0,0
6001,34,14,12,2
6001,35,0,0,0
6001,40,0,0,0
6002,11,126,90,36
6002,12,0,0,0
6002,13,0,0,0
6002,21,0,0,0
6002,22,0,0,0
6002,23,0,0,0
6002,31,0,0,0
6002,32,0,0,0
6002,33,0,0,0
6002,34,30,13,17
6002,35,0,0,0
6002,40,0,0,0
6003,11,0,0,0
6003,12,0,0,0
6003,13,2,2,0
6003,21,0,0,0
6003,22,0,0,0
6003,23,27,22,5
6003,31,0,0,0
6003,32,0,0,0
6003,33,0,0,0
6003,34,0,0,0
6003,35,0,0,0
6003,40,0,0,0
6004,11,46,39,7
6004,12,0,0,0
6004,13,0,0,0
6004,21,0,0,0
6004,22,0,0,0
6004,23,0,0,0
6004,31,0,0,0
6004,32,0,0,0
6004,33,0,0,0
6004,34,0,0,0
6004,35,0,0,0
6004,40,0,0,0
6005,11,51,43,8
6005,12,0,0,0
6005,13,0,0,0
6005,21,0,0,0
6005,22,0,0,0
6005,23,0,0,0
6005,31,0,0,0
6005,32,0,0,0
6005,33,0,0,0
6005,34,0,0,0
6005,35,0,0,0
6005,40,0,0,0
6006,11,0,0,0
6006,12,0,0,0
6006,13,0,0,0
6006,21,2,2,0
6006,22,0,0,0
6006,23,0,0,0
6006,31,0,0,0
6006,32,0,0,0
6006,33,0,0,0
6006,34,0,0,0
6006,35,0,0,0
6006,40,0,0,0
6007,11,315,213,102
6007,12,0,0,0
6007,13,0,0,0
6007,21,0,0,0
6007,22,0,0,0
6007,23,0,0,0
6007,31,0,0,0
6007,32,0,0,0
6007,33,0,0,0
6007,34,49,26,23
6007,35,0,0,0
6007,40,0,0,0
6008,11,14,11,3
6008,12,0,0,0
6008,13,0,0,0
6008,21,0,0,0
6008,22,0,0,0
6008,23,0,0,0
6008,31,0,0,0
6008,32,0,0,0
6008,33,0,0,0
6008,34,0,0,0
6008,35,0,0,0
6008,40,14,11,3
6009,11,205,164,41
6009,12,0,0,0
6009,13,0,0,0
6009,21,0,0,0
6009,22,0,0,0
6009,23,0,0,0
6009,31,0,0,0
6009,32,0,0,0
6009,33,0,0,0
6009,34,0,0,0
6009,35,0,0,0
6009,40,0,0,0
6010,11,145,100,45
6010,12,0,0,0
6010,13,0,0,0
6010,21,31,14,17
6010,22,9,5,4
6010,23,0,0,0
6010,31,0,0,0
6010,32,0,0,0
6010,33,0,0,0
6010,34,3,2,1
6010,35,0,0,0
6010,40,0,0,0
7001,11,0,0,0
7001,12,0,0,0
7001,13,0,0,0
7001,21,0,0,0
7001,22,0,0,0
7001,23,0,0,0
7001,31,0,0,0
7001,32,0,0,0
7001,33,0,0,0
7001,34,21,11,10
7001,35,0,0,0
7001,40,0,0,0
7002,11,0,0,0
7002,12,0,0,0
7002,13,0,0,0
7002,21,0,0,0
7002,22,0,0,0
7002,23,0,0,0
7002,31,0,0,0
7002,32,0,0,0
7002,33,0,0,0
7002,34,0,0,0
7002,35,0,0,0
7002,40,0,0,0
7003,11,10,4,6
7003,12,8,8,0
7003,13,0,0,0
7003,21,0,0,0
7003,22,10,10,0
7003,23,0,0,0
7003,31,0,0,0
7003,32,0,0,0
7003,33,0,0,0
7003,34,15,15,0
7003,35,0,0,0
7003,40,0,0,0
7004,11,0,0,0
7004,12,0,0,0
7004,13,0,0,0
7004,21,0,0,0
7004,22,0,0,0
7004,23,0,0,0
7004,31,0,0,0
7004,32,0,0,0
7004,33,0,0,0
7004,34,0,0,0
7004,35,0,0,0
7004,40,0,0,0
7005,11,0,0,0
7005,12,0,0,0
7005,13,0,0,0
7005,21,0,0,0
7005,22,0,0,0
7005,23,0,0,0
7005,31,0,0,0
7005,32,0,0,0
7005,33,0,0,0
7005,34,0,0,0
7005,35,0,0,0
7005,40,0,0,0
7006,11,0,0,0
7006,12,0,0,0
7006,13,0,0,0
7006,21,0,0,0
7006,22,0,0,0
7006,23,0,0,0
7006,31,0,0,0
7006,32,0,0,0
7006,33,0,0,0
7006,34,0,0,0
7006,35,0,0,0
7006,40,0,0,0
7007,11,0,0,0
7007,12,0,0,0
7007,13,0,0,0
7007,21,0,0,0
7007,22,0,0,0
7007,23,0,0,0
7007,31,0,0,0
7007,32,0,0,0
7007,33,0,0,0
7007,34,0,0,0
7007,35,0,0,0
7007,40,0,0,0
7008,11,0,0,0
7008,12,0,0,0
7008,13,0,0,0
7008,21,0,0,0
7008,22,0,0,0
7008,23,0,0,0
7008,31,0,0,0
7008,32,0,0,0
7008,33,0,0,0
7008,34,0,0,0
7008,35,0,0,0
7008,40,0,0,0
7009,11,49,36,13
7009,12,0,0,0
7009,13,0,0,0
7009,21,0,0,0
7009,22,0,0,0
7009,23,0,0,0
7009,31,0,0,0
7009,32,0,0,0
7009,33,0,0,0
7009,34,0,0,0
7009,35,0,0,0
7009,40,0,0,0
7010,11,0,0,0
7010,12,0,0,0
7010,13,0,0,0
7010,21,0,0,0
7010,22,0,0,0
7010,23,0,0,0
7010,31,0,0,0
7010,32,0,0,0
7010,33,0,0,0
7010,34,0,0,0
7010,35,0,0,0
7010,40,0,0,0
7011,11,0,0,0
7011,12,0,0,0
7011,13,0,0,0
7011,21,0,0,0
7011,22,0,0,0
7011,23,0,0,0
7011,31,0,0,0
7011,32,0,0,0
7011,33,0,0,0
7011,34,0,0,0
7011,35,0,0,0
7011,40,0,0,0
7012,11,0,0,0
7012,12,0,0,0
7012,13,0,0,0
7012,21,0,0,0
7012,22,0,0,0
7012,23,0,0,0
7012,31,0,0,0
7012,32,0,0,0
7012,33,0,0,0
7012,34,0,0,0
7012,35,0,0,0
7012,40,0,0,0
7013,11,0,0,0
7013,12,0,0,0
7013,13,0,0,0
7013,21,0,0,0
7013,22,0,0,0
7013,23,0,0,0
7013,31,0,0,0
7013,32,0,0,0
7013,33,0,0,0
7013,34,0,0,0
7013,35,0,0,0
7013,40,0,0,0
7014,11,0,0,0
7014,12,0,0,0
7014,13,0,0,0
7014,21,0,0,0
7014,22,0,0,0
7014,23,0,0,0
7014,31,0,0,0
7014,32,0,0,0
7014,33,0,0,0
7014,34,0,0,0
7014,35,0,0,0
7014,40,0,0,0
7015,11,92,70,22
7015,12,0,0,0
7015,13,0,0,0
7015,21,0,0,0
7015,22,0,0,0
7015,23,0,0,0
7015,31,0,0,0
7015,32,0,0,0
7015,33,0,0,0
7015,34,0,0,0
7015,35,0,0,0
7015,40,0,0,0
7016,11,0,0,0
7016,12,0,0,0
7016,13,0,0,0
7016,21,0,0,0
7016,22,0,0,0
7016,23,0,0,0
7016,31,0,0,0
7016,32,0,0,0
7016,33,0,0,0
7016,34,0,0,0
7016,35,0,0,0
7016,40,0,0,0
7017,11,120,85,35
7017,12,0,0,0
7017,13,0,0,0
7017,21,0,0,0
7017,22,0,0,0
7017,23,0,0,0
7017,31,0,0,0
7017,32,0,0,0
7017,33,0,0,0
7017,34,0,0,0
7017,35,0,0,0
7017,40,0,0,0
7018,11,0,0,0
7018,12,0,0,0
7018,13,0,0,0
7018,21,0,0,0
7018,22,0,0,0
7018,23,0,0,0
7018,31,0,0,0
7018,32,0,0,0
7018,33,0,0,0
7018,34,0,0,0
7018,35,0,0,0
7018,40,0,0,0
7019,11,0,0,0
7019,12,0,0,0
7019,13,150,122,28
7019,21,0,0,0
7019,22,0,0,0
7019,23,0,0,0
7019,31,0,0,0
7019,32,0,0,0
7019,33,0,0,0
7019,34,0,0,0
7019,35,0,0,0
7019,40,0,0,0
7020,11,0,0,0
