ubicageo_f,evaluati_a,esevsett,esevse1,esevse2,esevses1,esevse3,esevse4,esevse5,esevses2,esevse6,esevse7,esevses3,esevse9,esevse10,esevses4,esevse12,esevse13,esevses5,esevse15,esevse16,esevses6,esevse18,esevse19,esevsens,esevsenh,esevsenm
3002,2,137,106,31,49,38,11,,0,0,0,7,5,2,0,0,0,69,54,15,12,9,3,,,
3002,3,137,106,31,49,38,11,,0,0,0,7,5,2,28,20,8,49,39,10,4,4,0,,,
3003,1,775,557,218,726,513,213,,3,0,3,11,11,0,0,0,0,1,1,0,34,32,2,,,
3003,2,775,557,218,741,533,208,,13,9,4,1,1,0,0,0,0,0,0,0,20,14,6,,,
3003,3,775,557,218,447,311,136,,225,170,55,3,3,0,93,66,27,0,0,0,7,7,0,,,
3008,1,522,385,137,271,181,90,,251,204,47,0,0,0,0,0,0,0,0,0,0,0,0,,,
3008,2,522,385,137,416,315,101,,106,70,36,0,0,0,0,0,0,0,0,0,0,0,0,,,
3008,3,522,385,137,343,252,91,,179,133,46,0,0,0,0,0,0,0,0,0,0,0,0,,,
3009,1,67,51,16,63,47,16,,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,,,
3009,2,67,51,16,46,36,10,,0,0,0,21,15,6,0,0,0,0,0,0,0,0,0,,,
3009,3,67,51,16,63,47,16,,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,,,
4001,1,48,45,3,44,44,0,,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,,,
4001,2,48,45,3,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,48,45,3,,,
4001,3,48,45,3,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,48,45,3,,,
4002,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
4002,2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
4002,3,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
4003,1,246,208,38,144,113,31,,0,0,0,1,0,1,0,0,0,0,0,0,101,95,6,,,
4003,2,246,208,38,131,116,15,,0,0,0,0,0,0,45,30,15,0,0,0,70,62,8,,,
4003,3,246,208,38,72,64,8,,0,0,0,0,0,0,45,30,15,0,0,0,129,114,15,,,
4004,1,70,67,3,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,70,67,3,,,
4004,2,70,67,3,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,70,67,3,,,
4004,3,70,67,3,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,70,67,3,,,
4005,1,64,61,3,64,61,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
4005,2,64,61,3,64,61,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
4005,3,64,61,3,64,61,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
4006,1,37,37,0,37,37,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
4006,2,37,37,0,37,37,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
4006,3,37,37,0,37,37,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
4007,1,38,33,5,38,33,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
4007,2,38,33,5,38,33,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
4007,3,38,33,5,38,33,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
4008,1,40,39,1,40,39,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
4008,2,40,39,1,40,39,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
4008,3,40,39,1,40,39,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
4009,1,54,53,1,54,53,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
4009,2,54,53,1,54,53,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
4009,3,54,53,1,54,53,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
4010,1,25,25,0,25,25,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
4010,2,25,25,0,25,25,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
4010,3,25,25,0,25,25,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
4011,1,26,26,0,26,26,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
4011,2,26,26,0,26,26,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
4011,3,26,26,0,26,26,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
4012,1,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
4012,2,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
4012,3,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
4013,1,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
4013,2,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
4013,3,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
5001,1,3,3,0,3,3,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5001,2,3,3,0,3,3,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5001,3,3,3,0,3,3,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5002,1,111,70,41,111,70,41,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5002,2,111,70,41,111,70,41,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5002,3,111,70,41,111,70,41,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5003,1,3,1,2,3,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5003,2,3,1,2,3,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5003,3,3,1,2,3,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5004,1,48,36,12,48,36,12,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5004,2,48,36,12,48,36,12,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5004,3,48,36,12,48,36,12,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5005,1,4,3,1,4,3,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5005,2,4,3,1,4,3,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5005,3,4,3,1,4,3,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5006,1,27,17,10,27,17,10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5006,2,27,17,10,27,17,10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5006,3,27,17,10,27,17,10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5007,1,13,10,3,12,9,3,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,
5007,2,13,10,3,9,6,3,,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,,,
5007,3,13,10,3,9,6,3,,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,,,
5008,1,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
5008,2,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
5008,3,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
5009,1,69,50,19,69,50,19,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5009,2,69,50,19,69,50,19,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5009,3,69,50,19,69,50,19,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5010,1,70,58,12,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,70,58,12,,,
5010,2,70,58,12,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,70,58,12,,,
5010,3,70,58,12,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,70,58,12,,,
5011,1,12,7,5,12,7,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5011,2,12,7,5,12,7,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5011,3,12,7,5,12,7,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5012,1,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
5012,2,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
5012,3,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
5013,1,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
5013,2,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
5013,3,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
5014,1,12,10,2,12,10,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5014,2,12,10,2,12,10,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5014,3,12,10,2,12,10,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5015,1,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
5015,2,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
5015,3,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
5016,1,6,5,1,6,5,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5016,2,6,5,1,6,5,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5016,3,6,5,1,6,5,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5017,1,80,60,20,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,80,60,20,,,
5017,2,80,60,20,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,80,60,20,,,
5017,3,80,60,20,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,80,60,20,,,
5018,1,171,121,50,171,121,50,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5018,2,171,121,50,171,121,50,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5018,3,171,121,50,171,121,50,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5019,1,5,3,2,5,3,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5019,2,5,3,2,5,3,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5019,3,5,3,2,5,3,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5020,1,42,29,13,42,29,13,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5020,2,42,29,13,5,5,0,,0,0,0,0,0,0,0,0,0,36,23,13,1,1,0,,,
5020,3,42,29,13,42,29,13,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5021,1,6,5,1,6,5,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5021,2,6,5,1,6,5,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5021,3,6,5,1,6,5,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5022,1,19,15,4,19,15,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5022,2,19,15,4,19,15,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5022,3,19,15,4,19,15,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5023,1,16,11,5,16,11,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5023,2,16,11,5,8,7,1,,0,0,0,0,0,0,8,4,4,0,0,0,0,0,0,,,
5023,3,16,11,5,8,7,1,,0,0,0,0,0,0,8,4,4,0,0,0,0,0,0,,,
5024,1,41,33,8,41,33,8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5024,2,41,33,8,41,33,8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5024,3,41,33,8,41,33,8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5025,1,72,51,21,72,51,21,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5025,2,72,51,21,72,51,21,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5025,3,72,51,21,72,51,21,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5026,1,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
5026,2,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
5026,3,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
5027,1,146,100,46,146,100,46,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5027,2,146,100,46,146,100,46,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5027,3,146,100,46,146,100,46,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5028,1,45,30,15,45,30,15,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5028,2,45,30,15,45,30,15,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5028,3,45,30,15,45,30,15,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5029,1,10,8,2,3,3,0,,0,0,0,0,0,0,0,0,0,0,0,0,7,5,2,,,
5029,2,10,8,2,3,3,0,,0,0,0,0,0,0,0,0,0,0,0,0,7,5,2,,,
5029,3,10,8,2,3,3,0,,0,0,0,0,0,0,0,0,0,0,0,0,7,5,2,,,
5030,1,1060,759,301,1017,724,293,,0,0,0,19,17,2,19,13,6,0,0,0,0,0,0,5,5,
5030,2,1060,759,301,611,419,192,,0,0,0,0,0,0,0,0,0,406,297,109,36,36,0,7,7,
5030,3,1060,759,301,NSS,NSS,NSS,,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,1060,759,301
5031,1,16,14,2,16,14,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5031,2,16,14,2,16,14,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5031,3,16,14,2,16,14,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5032,1,31,28,3,28,26,2,,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,,,
5032,2,31,28,3,28,26,2,,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,,,
5032,3,31,28,3,28,26,2,,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,,,
5033,1,72,53,19,72,53,19,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5033,2,72,53,19,72,53,19,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5033,3,72,53,19,72,53,19,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5034,1,13,11,2,13,11,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5034,2,13,11,2,13,11,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5034,3,13,11,2,13,11,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5035,1,585,399,186,585,399,186,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5035,2,585,399,186,585,399,186,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5035,3,585,399,186,585,399,186,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5036,1,36,23,13,36,23,13,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5036,2,36,23,13,36,23,13,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5036,3,36,23,13,36,23,13,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5037,1,4,2,2,4,2,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5037,2,4,2,2,4,2,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5037,3,4,2,2,4,2,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5038,1,7,5,2,7,5,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5038,2,7,5,2,7,5,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5038,3,7,5,2,7,5,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
6001,1,60,42,18,60,42,18,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
6001,2,60,42,18,60,42,18,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
6001,3,60,42,18,60,42,18,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
6002,1,156,103,53,156,103,53,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
6002,2,156,103,53,156,103,53,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
6002,3,156,103,53,156,103,53,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
6003,1,29,24,5,18,18,0,,0,0,0,11,6,5,0,0,0,0,0,0,0,0,0,,,
6003,2,29,24,5,18,18,0,,0,0,0,11,6,5,0,0,0,0,0,0,0,0,0,,,
6003,3,29,24,5,18,18,0,,0,0,0,11,6,5,0,0,0,0,0,0,0,0,0,,,
6004,1,46,39,7,46,39,7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
6004,2,46,39,7,46,39,7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
6004,3,46,39,7,46,39,7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
6005,1,51,43,8,51,43,8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
6005,2,51,43,8,51,43,8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
6005,3,51,43,8,51,43,8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
6006,1,24,18,6,24,18,6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
6006,2,24,18,6,24,18,6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
6006,3,24,18,6,24,18,6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
6007,1,363,238,125,363,238,125,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
6007,2,363,238,125,363,238,125,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
6007,3,363,238,125,363,238,125,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
6008,1,44,34,10,13,10,3,,0,0,0,0,0,0,0,0,0,0,0,0,31,24,7,,,
6008,2,44,34,10,13,10,3,,0,0,0,0,0,0,0,0,0,0,0,0,31,24,7,,,
6008,3,44,34,10,13,10,3,,0,0,0,0,0,0,0,0,0,0,0,0,31,24,7,,,
6009,1,205,164,41,85,73,12,,0,0,0,0,0,0,120,91,29,0,0,0,0,0,0,,,
6009,2,205,164,41,144,123,21,,0,0,0,0,0,0,61,41,20,0,0,0,0,0,0,,,
6009,3,205,164,41,153,126,27,,0,0,0,0,0,0,52,38,14,0,0,0,0,0,0,,,
6010,1,203,135,68,177,114,63,,0,0,0,0,0,0,21,17,4,0,0,0,5,4,1,,,
6010,2,203,135,68,177,114,63,,0,0,0,0,0,0,21,17,4,0,0,0,5,4,1,,,
6010,3,203,135,68,177,114,63,,0,0,0,0,0,0,21,17,4,0,0,0,5,4,1,,,
7001,1,23,13,10,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,23,13,10,,,
7001,2,23,13,10,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,23,13,10,,,
