ubicageo_f,listtema_o,norealiz,accfor1,accfor2,sexostt,sexos1,sexosne
1009,306,NA,NA,NA,NA,NA,1
1009,307,NA,NA,NA,NA,NA,1
1009,308,NA,NA,NA,NA,NA,1
1009,309,NA,NA,NA,NA,NA,1
1009,310,NA,NA,NA,NA,NA,1
1009,400,NA,NA,NA,NA,NA,1
1009,500,NA,NA,NA,NA,NA,1
1009,600,NA,NA,NA,NA,NA,1
1010,101,NA,NA,NA,NA,NA,1
1010,102,NA,NA,NA,NA,NA,1
1010,103,NA,NA,NA,NA,NA,1
1010,104,NA,NA,NA,NA,NA,1
1010,105,NA,NA,NA,NA,NA,1
1010,106,NA,NA,NA,NA,NA,1
1010,107,NA,NA,NA,NA,NA,1
1010,108,NA,NA,NA,NA,NA,1
1010,201,1,1,4,3,1,
1010,202,NA,NA,NA,NA,NA,1
1010,203,NA,NA,NA,NA,NA,1
1010,204,NA,NA,NA,NA,NA,1
1010,205,1,1,2,1,1,
1010,206,1,1,2,1,1,
1010,207,NA,NA,NA,NA,NA,1
1010,301,NA,NA,NA,NA,NA,1
1010,302,NA,NA,NA,NA,NA,1
1010,303,NA,NA,NA,NA,NA,1
1010,304,NA,NA,NA,NA,NA,1
1010,305,NA,NA,NA,NA,NA,1
1010,306,NA,NA,NA,NA,NA,1
1010,307,NA,NA,NA,NA,NA,1
1010,308,NA,NA,NA,NA,NA,1
1010,309,NA,NA,NA,NA,NA,1
1010,310,NA,NA,NA,NA,NA,1
1010,400,NA,NA,NA,NA,NA,1
1010,500,NA,NA,NA,NA,NA,1
1010,600,5,5,20,12,8,
1011,101,NA,NA,NA,NA,NA,1
1011,102,NA,NA,NA,NA,NA,1
1011,103,NA,NA,NA,NA,NA,1
1011,104,NA,NA,NA,NA,NA,1
1011,105,NA,NA,NA,NA,NA,1
1011,106,NA,NA,NA,NA,NA,1
1011,107,NA,NA,NA,NA,NA,1
1011,108,NA,NA,NA,NA,NA,1
1011,201,NA,NA,NA,NA,NA,1
1011,202,NA,NA,NA,NA,NA,1
1011,203,NA,NA,NA,NA,NA,1
1011,204,NA,NA,NA,NA,NA,1
1011,205,NA,NA,NA,NA,NA,1
1011,206,NA,NA,NA,NA,NA,1
1011,207,NA,NA,NA,NA,NA,1
1011,301,NA,NA,NA,NA,NA,1
1011,302,NA,NA,NA,NA,NA,1
1011,303,NA,NA,NA,NA,NA,1
1011,304,NA,NA,NA,NA,NA,1
1011,305,NA,NA,NA,NA,NA,1
1011,306,NA,NA,NA,NA,NA,1
1011,307,NA,NA,NA,NA,NA,1
1011,308,NA,NA,NA,NA,NA,1
1011,309,NA,NA,NA,NA,NA,1
1011,310,NA,NA,NA,NA,NA,1
1011,400,NA,NA,NA,NA,NA,1
1011,500,NA,NA,NA,NA,NA,1
1011,600,1,1,10,2,8,
2001,101,NA,NA,NA,NA,NA,1
2001,102,NA,NA,NA,NA,NA,1
2001,103,NA,NA,NA,NA,NA,1
2001,104,NA,NA,NA,NA,NA,1
2001,105,NA,NA,NA,NA,NA,1
2001,106,NA,NA,NA,NA,NA,1
2001,107,NA,NA,NA,NA,NA,1
2001,108,NA,NA,NA,NA,NA,1
2001,201,NA,NA,NA,NA,NA,1
2001,202,NA,NA,NA,NA,NA,1
2001,203,NA,NA,NA,NA,NA,1
2001,204,NA,NA,NA,NA,NA,1
2001,205,60,60,30,18,12,
2001,206,60,60,30,12,18,
2001,207,NA,NA,NA,NA,NA,1
2001,301,NA,NA,NA,NA,NA,1
2001,302,NA,NA,NA,NA,NA,1
2001,303,NA,NA,NA,NA,NA,1
2001,304,NA,NA,NA,NA,NA,1
2001,305,NA,NA,NA,NA,NA,1
2001,306,NA,NA,NA,NA,NA,1
2001,307,NA,NA,NA,NA,NA,1
2001,308,NA,NA,NA,NA,NA,1
2001,309,NA,NA,NA,NA,NA,1
2001,310,NA,NA,NA,NA,NA,1
2001,400,NA,NA,NA,NA,NA,1
2001,500,NA,NA,NA,NA,NA,1
2001,600,NA,NA,NA,NA,NA,1
2002,101,100,100,100,58,42,
2002,102,NA,NA,NA,NA,NA,1
2002,103,NA,NA,NA,NA,NA,1
2002,104,100,100,100,63,37,
2002,105,NA,NA,NA,NA,NA,1
2002,106,NA,NA,NA,NA,NA,1
2002,107,NA,NA,NA,NA,NA,1
2002,108,NA,NA,NA,NA,NA,1
2002,201,NA,NA,NA,NA,NA,1
2002,202,NA,NA,NA,NA,NA,1
2002,203,31,31,31,17,14,
2002,204,173,173,173,136,37,
2002,205,101,101,101,62,39,
2002,206,150,150,150,82,68,
2002,207,NA,NA,NA,NA,NA,1
2002,301,NA,NA,NA,NA,NA,1
2002,302,NA,NA,NA,NA,NA,1
2002,303,NA,NA,NA,NA,NA,1
2002,304,NA,NA,NA,NA,NA,1
2002,305,NA,NA,NA,NA,NA,1
2002,306,NA,NA,NA,NA,NA,1
2002,307,NA,NA,NA,NA,NA,1
2002,308,NA,NA,NA,NA,NA,1
2002,309,NA,NA,NA,NA,NA,1
2002,310,NA,NA,NA,NA,NA,1
2002,400,NA,NA,NA,NA,NA,1
2002,500,738,738,738,605,133,
2002,600,72,72,72,44,28,
2003,101,NA,NA,NA,NA,NA,NA
2003,102,NA,NA,NA,NA,NA,NA
2003,103,NA,NA,NA,NA,NA,NA
2003,104,NA,NA,NA,NA,NA,NA
2003,105,NA,NA,NA,NA,NA,NA
2003,106,NA,NA,NA,NA,NA,NA
2003,107,NA,NA,NA,NA,NA,NA
2003,108,NA,NA,NA,NA,NA,NA
2003,201,NA,NA,NA,NA,NA,NA
2003,202,NA,NA,NA,NA,NA,NA
2003,203,NA,NA,NA,NA,NA,NA
2003,204,NA,NA,NA,NA,NA,NA
2003,205,NA,NA,NA,NA,NA,NA
2003,206,NA,NA,NA,NA,NA,NA
2003,207,NA,NA,NA,NA,NA,NA
2003,301,NA,NA,NA,NA,NA,NA
2003,302,NA,NA,NA,NA,NA,NA
2003,303,NA,NA,NA,NA,NA,NA
2003,304,NA,NA,NA,NA,NA,NA
2003,305,NA,NA,NA,NA,NA,NA
2003,306,NA,NA,NA,NA,NA,NA
2003,307,NA,NA,NA,NA,NA,NA
2003,308,NA,NA,NA,NA,NA,NA
2003,309,NA,NA,NA,NA,NA,NA
2003,310,NA,NA,NA,NA,NA,NA
2003,400,NA,NA,NA,NA,NA,NA
2003,500,NA,NA,NA,NA,NA,NA
2003,600,NA,NA,NA,NA,NA,NA
2004,101,3,3,12,8,4,
2004,102,2,2,11,7,4,
2004,103,NA,NA,NA,NA,NA,1
2004,104,5,5,21,13,8,
2004,105,NA,NA,NA,NA,NA,1
2004,106,NA,NA,NA,NA,NA,1
2004,107,NA,NA,NA,NA,NA,1
2004,108,NA,NA,NA,NA,NA,1
2004,201,NA,NA,NA,NA,NA,1
2004,202,NA,NA,NA,NA,NA,1
2004,203,10,10,300,243,57,
2004,204,10,10,300,243,57,
2004,205,13,13,120,112,8,
2004,206,15,15,505,435,70,
2004,207,NA,NA,NA,NA,NA,1
2004,301,NA,NA,NA,NA,NA,1
2004,302,NA,NA,NA,NA,NA,1
2004,303,NA,NA,NA,NA,NA,1
2004,304,NA,NA,NA,NA,NA,1
2004,305,NA,NA,NA,NA,NA,1
2004,306,NA,NA,NA,NA,NA,1
2004,307,NA,NA,NA,NA,NA,1
2004,308,NA,NA,NA,NA,NA,1
2004,309,NA,NA,NA,NA,NA,1
2004,310,NA,NA,NA,NA,NA,1
2004,400,NA,NA,NA,NA,NA,1
2004,500,NA,NA,NA,NA,NA,1
2004,600,71,71,227,183,44,
2005,101,NA,NA,NA,NA,NA,1
2005,102,NA,NA,NA,NA,NA,1
2005,103,NA,NA,NA,NA,NA,1
2005,104,NA,NA,NA,NA,NA,1
2005,105,2,2,15,13,2,
2005,106,NA,NA,NA,NA,NA,1
2005,107,NA,NA,NA,NA,NA,1
2005,108,NA,NA,NA,NA,NA,1
2005,201,2,2,39,35,4,
2005,202,NA,NA,NA,NA,NA,1
2005,203,NA,NA,NA,NA,NA,1
2005,204,NA,NA,NA,NA,NA,1
2005,205,NA,NA,NA,NA,NA,1
2005,206,1,1,15,12,3,
2005,207,NA,NA,NA,NA,NA,1
2005,301,NA,NA,NA,NA,NA,1
2005,302,NA,NA,NA,NA,NA,1
2005,303,NA,NA,NA,NA,NA,1
2005,304,NA,NA,NA,NA,NA,1
2005,305,NA,NA,NA,NA,NA,1
2005,306,NA,NA,NA,NA,NA,1
2005,307,NA,NA,NA,NA,NA,1
2005,308,NA,NA,NA,NA,NA,1
2005,309,NA,NA,NA,NA,NA,1
2005,310,NA,NA,NA,NA,NA,1
2005,400,NA,NA,NA,NA,NA,1
2005,500,NA,NA,NA,NA,NA,1
2005,600,9,9,52,48,4,
2006,101,NA,NA,NA,NA,NA,1
2006,102,NA,NA,NA,NA,NA,1
2006,103,NA,NA,NA,NA,NA,1
2006,104,NA,NA,NA,NA,NA,1
2006,105,NA,NA,NA,NA,NA,1
2006,106,NA,NA,NA,NA,NA,1
2006,107,NA,NA,NA,NA,NA,1
2006,108,NA,NA,NA,NA,NA,1
2006,201,NA,NA,NA,NA,NA,1
2006,202,NA,NA,NA,NA,NA,1
2006,203,NA,NA,NA,NA,NA,1
2006,204,NA,NA,NA,NA,NA,1
2006,205,1,1,69,62,7,
2006,206,NA,NA,NA,NA,NA,1
2006,207,NA,NA,NA,NA,NA,1
2006,301,NA,NA,NA,NA,NA,1
2006,302,NA,NA,NA,NA,NA,1
2006,303,NA,NA,NA,NA,NA,1
2006,304,NA,NA,NA,NA,NA,1
2006,305,NA,NA,NA,NA,NA,1
2006,306,NA,NA,NA,NA,NA,1
2006,307,NA,NA,NA,NA,NA,1
2006,308,NA,NA,NA,NA,NA,1
2006,309,NA,NA,NA,NA,NA,1
2006,310,NA,NA,NA,NA,NA,1
2006,400,NA,NA,NA,NA,NA,1
2006,500,NA,NA,NA,NA,NA,1
2006,600,NA,NA,NA,NA,NA,1
2007,101,NA,NA,NA,NA,NA,NA
2007,102,NA,NA,NA,NA,NA,NA
2007,103,NA,NA,NA,NA,NA,NA
2007,104,NA,NA,NA,NA,NA,NA
2007,105,NA,NA,NA,NA,NA,NA
2007,106,NA,NA,NA,NA,NA,NA
2007,107,NA,NA,NA,NA,NA,NA
2007,108,NA,NA,NA,NA,NA,NA
2007,201,NA,NA,NA,NA,NA,NA
2007,202,NA,NA,NA,NA,NA,NA
2007,203,NA,NA,NA,NA,NA,NA
2007,204,NA,NA,NA,NA,NA,NA
2007,205,NA,NA,NA,NA,NA,NA
2007,206,NA,NA,NA,NA,NA,NA
2007,207,NA,NA,NA,NA,NA,NA
2007,301,NA,NA,NA,NA,NA,NA
2007,302,NA,NA,NA,NA,NA,NA
2007,303,NA,NA,NA,NA,NA,NA
2007,304,NA,NA,NA,NA,NA,NA
2007,305,NA,NA,NA,NA,NA,NA
2007,306,NA,NA,NA,NA,NA,NA
2007,307,NA,NA,NA,NA,NA,NA
