ubicageo_f,animales_a,rnsnni1,anirep1,anirep2
2003,15,2,NA,NA
2003,16,2,NA,NA
2003,17,2,NA,NA
2003,18,2,NA,NA
2003,20,2,NA,NA
2004,11,2,NA,NA
2004,12,2,NA,NA
2004,13,2,NA,NA
2004,14,2,NA,NA
2004,15,2,NA,NA
2004,16,2,NA,NA
2004,17,2,NA,NA
2004,18,2,NA,NA
2004,20,2,NA,NA
2005,11,2,NA,NA
2005,12,2,NA,NA
2005,13,2,NA,NA
2005,14,2,NA,NA
2005,15,2,NA,NA
2005,16,2,NA,NA
2005,17,2,NA,NA
2005,18,2,NA,NA
2005,20,2,NA,NA
2006,11,2,NA,NA
2006,12,2,NA,NA
2006,13,2,NA,NA
2006,14,2,NA,NA
2006,15,2,NA,NA
2006,16,2,NA,NA
2006,17,2,NA,NA
2006,18,2,NA,NA
2006,20,2,NA,NA
2007,11,2,NA,NA
2007,12,2,NA,NA
2007,13,2,NA,NA
2007,14,2,NA,NA
2007,15,2,NA,NA
2007,16,2,NA,NA
2007,17,2,NA,NA
2007,18,2,NA,NA
2007,20,2,NA,NA
3001,11,2,NA,NA
3001,12,1,1,0
3001,13,2,NA,NA
3001,14,2,NA,NA
3001,15,2,NA,NA
3001,16,1,7,0
3001,17,1,5,0
3001,18,2,NA,NA
3001,20,2,NA,NA
3002,11,2,NA,NA
3002,12,2,NA,NA
3002,13,2,NA,NA
3002,14,2,NA,NA
3002,15,2,NA,NA
3002,16,2,NA,NA
3002,17,2,NA,NA
3002,18,2,NA,NA
3002,20,2,NA,NA
3003,11,2,NA,NA
3003,12,2,NA,NA
3003,13,2,NA,NA
3003,14,2,NA,NA
3003,15,2,NA,NA
3003,16,2,NA,NA
3003,17,2,NA,NA
3003,18,2,NA,NA
3003,20,2,NA,NA
3008,11,2,NA,NA
3008,12,2,NA,NA
3008,13,2,NA,NA
3008,14,2,NA,NA
3008,15,2,NA,NA
3008,16,2,NA,NA
3008,17,2,NA,NA
3008,18,2,NA,NA
3008,20,2,NA,NA
3009,11,2,NA,NA
3009,12,1,1,0
3009,13,2,NA,NA
3009,14,2,NA,NA
3009,15,2,NA,NA
3009,16,2,NA,NA
3009,17,1,1,0
3009,18,2,NA,NA
3009,20,2,NA,NA
4001,11,2,NA,NA
4001,12,2,NA,NA
4001,13,2,NA,NA
4001,14,2,NA,NA
4001,15,2,NA,NA
4001,16,2,NA,NA
4001,17,2,NA,NA
4001,18,2,NA,NA
4001,20,2,NA,NA
4002,11,2,NA,NA
4002,12,2,NA,NA
4002,13,2,NA,NA
4002,14,2,NA,NA
4002,15,2,NA,NA
4002,16,2,NA,NA
4002,17,2,NA,NA
4002,18,2,NA,NA
4002,20,2,NA,NA
4003,11,2,NA,NA
4003,12,2,NA,NA
4003,13,2,NA,NA
4003,14,2,NA,NA
4003,15,2,NA,NA
4003,16,2,NA,NA
4003,17,2,NA,NA
4003,18,2,NA,NA
4003,20,2,NA,NA
4004,11,2,NA,NA
4004,12,2,NA,NA
4004,13,2,NA,NA
4004,14,2,NA,NA
4004,15,2,NA,NA
4004,16,2,NA,NA
4004,17,2,NA,NA
4004,18,2,NA,NA
4004,20,2,NA,NA
4005,11,2,NA,NA
4005,12,2,NA,NA
4005,13,2,NA,NA
4005,14,2,NA,NA
4005,15,2,NA,NA
4005,16,2,NA,NA
4005,17,2,NA,NA
4005,18,2,NA,NA
4005,20,2,NA,NA
4006,11,9,NSS,NSS
4006,12,9,NSS,NSS
4006,13,9,NSS,NSS
4006,14,9,NSS,NSS
4006,15,9,NSS,NSS
4006,16,9,NSS,NSS
4006,17,9,NSS,NSS
4006,18,9,NSS,NSS
4006,20,9,NSS,NSS
4007,11,2,NA,NA
4007,12,2,NA,NA
4007,13,2,NA,NA
4007,14,2,NA,NA
4007,15,2,NA,NA
4007,16,2,NA,NA
4007,17,2,NA,NA
4007,18,2,NA,NA
4007,20,2,NA,NA
4008,11,2,NA,NA
4008,12,1,1,0
4008,13,2,NA,NA
4008,14,2,NA,NA
4008,15,2,NA,NA
4008,16,2,NA,NA
4008,17,2,NA,NA
4008,18,2,NA,NA
4008,20,2,NA,NA
4009,11,2,NA,NA
4009,12,1,4,4
4009,13,2,NA,NA
4009,14,2,NA,NA
4009,15,2,NA,NA
4009,16,1,5,3
4009,17,1,1,0
4009,18,2,NA,NA
4009,20,2,NA,NA
4010,11,2,NA,NA
4010,12,2,NA,NA
4010,13,2,NA,NA
4010,14,2,NA,NA
4010,15,2,NA,NA
4010,16,2,NA,NA
4010,17,2,NA,NA
4010,18,2,NA,NA
4010,20,2,NA,NA
4011,11,2,NA,NA
4011,12,2,NA,NA
4011,13,2,NA,NA
4011,14,2,NA,NA
4011,15,2,NA,NA
4011,16,2,NA,NA
4011,17,2,NA,NA
4011,18,2,NA,NA
4011,20,2,NA,NA
4012,11,0,NA,NA
4012,12,0,NA,NA
4012,13,0,NA,NA
4012,14,0,NA,NA
4012,15,0,NA,NA
4012,16,0,NA,NA
4012,17,0,NA,NA
4012,18,0,NA,NA
4012,20,0,NA,NA
4013,11,0,NA,NA
4013,12,0,NA,NA
4013,13,0,NA,NA
4013,14,0,NA,NA
4013,15,0,NA,NA
4013,16,0,NA,NA
4013,17,0,NA,NA
4013,18,0,NA,NA
4013,20,0,NA,NA
5001,11,2,NA,NA
5001,12,2,NA,NA
5001,13,2,NA,NA
5001,14,2,NA,NA
5001,15,2,NA,NA
5001,16,2,NA,NA
5001,17,2,NA,NA
5001,18,2,NA,NA
5001,20,2,NA,NA
5002,11,2,NA,NA
5002,12,2,NA,NA
5002,13,2,NA,NA
5002,14,2,NA,NA
5002,15,2,NA,NA
5002,16,2,NA,NA
5002,17,2,NA,NA
5002,18,2,NA,NA
5002,20,2,NA,NA
5003,11,9,NSS,NSS
5003,12,9,NSS,NSS
5003,13,9,NSS,NSS
5003,14,9,NSS,NSS
5003,15,9,NSS,NSS
5003,16,9,NSS,NSS
5003,17,9,NSS,NSS
5003,18,9,NSS,NSS
5003,20,9,NSS,NSS
5004,11,2,NA,NA
5004,12,2,NA,NA
5004,13,2,NA,NA
5004,14,2,NA,NA
5004,15,2,NA,NA
5004,16,2,NA,NA
5004,17,2,NA,NA
5004,18,2,NA,NA
5004,20,2,NA,NA
5005,11,2,NA,NA
5005,12,1,2,0
5005,13,1,1,0
5005,14,2,NA,NA
5005,15,2,NA,NA
5005,16,2,NA,NA
5005,17,2,NA,NA
5005,18,2,NA,NA
5005,20,2,NA,NA
5006,11,2,NA,NA
5006,12,2,NA,NA
5006,13,2,NA,NA
5006,14,2,NA,NA
5006,15,2,NA,NA
5006,16,2,NA,NA
5006,17,2,NA,NA
5006,18,2,NA,NA
5006,20,2,NA,NA
5007,11,2,NA,NA
5007,12,1,6,0
5007,13,2,NA,NA
5007,14,2,NA,NA
5007,15,2,NA,NA
5007,16,2,NA,NA
5007,17,2,NA,NA
5007,18,2,NA,NA
5007,20,2,NA,NA
5008,11,0,NA,NA
5008,12,0,NA,NA
5008,13,0,NA,NA
5008,14,0,NA,NA
5008,15,0,NA,NA
5008,16,0,NA,NA
5008,17,0,NA,NA
5008,18,0,NA,NA
5008,20,0,NA,NA
5009,11,2,NA,NA
5009,12,2,NA,NA
5009,13,1,42,42
5009,14,2,NA,NA
5009,15,1,2,2
5009,16,2,NA,NA
5009,17,2,NA,NA
5009,18,2,NA,NA
5009,20,2,NA,NA
5010,11,9,NSS,NSS
5010,12,9,NSS,NSS
5010,13,9,NSS,NSS
5010,14,9,NSS,NSS
5010,15,9,NSS,NSS
5010,16,9,NSS,NSS
5010,17,9,NSS,NSS
5010,18,9,NSS,NSS
5010,20,2,NA,NA
5011,11,2,NA,NA
5011,12,2,NA,NA
5011,13,2,NA,NA
5011,14,2,NA,NA
5011,15,2,NA,NA
5011,16,2,NA,NA
5011,17,2,NA,NA
5011,18,2,NA,NA
5011,20,2,NA,NA
5012,11,0,NA,NA
5012,12,0,NA,NA
5012,13,0,NA,NA
5012,14,0,NA,NA
5012,15,0,NA,NA
5012,16,0,NA,NA
5012,17,0,NA,NA
5012,18,0,NA,NA
5012,20,0,NA,NA
5013,11,0,NA,NA
5013,12,0,NA,NA
5013,13,0,NA,NA
5013,14,0,NA,NA
5013,15,0,NA,NA
5013,16,0,NA,NA
5013,17,0,NA,NA
5013,18,0,NA,NA
5013,20,0,NA,NA
5014,11,2,NA,NA
5014,12,1,1,0
5014,13,2,NA,NA
5014,14,2,NA,NA
5014,15,1,1,0
5014,16,1,1,0
5014,17,2,NA,NA
5014,18,2,NA,NA
5014,20,2,NA,NA
5015,11,0,NA,NA
5015,12,0,NA,NA
5015,13,0,NA,NA
5015,14,0,NA,NA
5015,15,0,NA,NA
5015,16,0,NA,NA
5015,17,0,NA,NA
5015,18,0,NA,NA
5015,20,0,NA,NA
5016,11,2,NA,NA
5016,12,2,NA,NA
5016,13,2,NA,NA
5016,14,2,NA,NA
5016,15,2,NA,NA
5016,16,2,NA,NA
5016,17,2,NA,NA
5016,18,2,NA,NA
5016,20,2,NA,NA
5017,11,2,NA,NA
5017,12,2,NA,NA
5017,13,2,NA,NA
5017,14,2,NA,NA
5017,15,2,NA,NA
5017,16,2,NA,NA
5017,17,2,NA,NA
5017,18,2,NA,NA
5017,20,2,NA,NA
5018,11,2,NA,NA
5018,12,2,NA,NA
5018,13,2,NA,NA
5018,14,2,NA,NA
5018,15,2,NA,NA
5018,16,2,NA,NA
5018,17,2,NA,NA
5018,18,2,NA,NA
5018,20,2,NA,NA
5019,11,2,NA,NA
5019,12,2,NA,NA
5019,13,2,NA,NA
5019,14,2,NA,NA
5019,15,2,NA,NA
5019,16,2,NA,NA
5019,17,2,NA,NA
5019,18,2,NA,NA
5019,20,2,NA,NA
5020,11,2,NA,NA
5020,12,2,NA,NA
5020,13,2,NA,NA
5020,14,2,NA,NA
5020,15,2,NA,NA
5020,16,2,NA,NA
5020,17,2,NA,NA
5020,18,2,NA,NA
5020,20,2,NA,NA
5021,11,2,NA,NA
5021,12,1,NSS,NSS
5021,13,2,NA,NA
5021,14,2,NA,NA
5021,15,2,NA,NA
5021,16,1,NSS,NSS
5021,17,2,NA,NA
5021,18,2,NA,NA
5021,20,1,NSS,NSS
5022,11,1,4,1
5022,12,2,NA,NA
5022,13,2,NA,NA
5022,14,2,NA,NA
5022,15,1,3,0
5022,16,1,3,0
5022,17,2,NA,NA
5022,18,2,NA,NA
5022,20,1,2,0
5023,11,2,NA,NA
5023,12,2,NA,NA
5023,13,1,3,3
5023,14,2,NA,NA
5023,15,2,NA,NA
5023,16,1,2,2
5023,17,2,NA,NA
5023,18,2,NA,NA
5023,20,2,NA,NA
5024,11,2,NA,NA
5024,12,2,NA,NA
5024,13,1,3,0
5024,14,2,NA,NA
5024,15,1,1,0
5024,16,2,NA,NA
5024,17,1,1,0
5024,18,2,NA,NA
5024,20,2,NA,NA
5025,11,2,NA,NA
5025,12,2,NA,NA
5025,13,2,NA,NA
5025,14,2,NA,NA
5025,15,2,NA,NA
5025,16,2,NA,NA
5025,17,2,NA,NA
5025,18,2,NA,NA
5025,20,2,NA,NA
5026,11,0,NA,NA
5026,12,0,NA,NA
5026,13,0,NA,NA
5026,14,0,NA,NA
5026,15,0,NA,NA
5026,16,0,NA,NA
5026,17,0,NA,NA
5026,18,0,NA,NA
5026,20,0,NA,NA
5027,11,2,NA,NA
5027,12,2,NA,NA
5027,13,2,NA,NA
5027,14,2,NA,NA
5027,15,2,NA,NA
5027,16,2,NA,NA
5027,17,2,NA,NA
5027,18,2,NA,NA
5027,20,2,NA,NA
5028,11,2,NA,NA
5028,12,2,NA,NA
5028,13,2,NA,NA
5028,14,2,NA,NA
5028,15,2,NA,NA
5028,16,2,NA,NA
5028,17,2,NA,NA
5028,18,2,NA,NA
5028,20,2,NA,NA
5029,11,2,NA,NA
5029,12,2,NA,NA
5029,13,2,NA,NA
5029,14,2,NA,NA
5029,15,2,NA,NA
5029,16,2,NA,NA
5029,17,2,NA,NA
5029,18,2,NA,NA
5029,20,2,NA,NA
5030,11,9,NSS,NSS
5030,12,9,NSS,NSS
5030,13,9,NSS,NSS
5030,14,9,NSS,NSS
5030,15,9,NSS,NSS
5030,16,9,NSS,NSS
5030,17,9,NSS,NSS
5030,18,9,NSS,NSS
5030,20,9,NSS,NSS
5031,11,2,NA,NA
5031,12,2,NA,NA
5031,13,2,NA,NA
5031,14,2,NA,NA
5031,15,2,NA,NA
5031,16,2,NA,NA
5031,17,2,NA,NA
5031,18,2,NA,NA
5031,20,2,NA,NA
5032,11,2,NA,NA
5032,12,2,NA,NA
5032,13,2,NA,NA
5032,14,2,NA,NA
5032,15,2,NA,NA
5032,16,2,NA,NA
5032,17,2,NA,NA
5032,18,2,NA,NA
5032,20,2,NA,NA
5033,11,2,NA,NA
5033,12,2,NA,NA
5033,13,2,NA,NA
5033,14,2,NA,NA
5033,15,2,NA,NA
5033,16,2,NA,NA
5033,17,2,NA,NA
5033,18,2,NA,NA
5033,20,2,NA,NA
5034,11,2,NA,NA
5034,12,2,NA,NA
5034,13,2,NA,NA
5034,14,2,NA,NA
5034,15,1,1,1
5034,16,2,NA,NA
5034,17,2,NA,NA
5034,18,2,NA,NA
5034,20,2,NA,NA
5035,11,2,NA,NA
5035,12,2,NA,NA
5035,13,2,NA,NA
5035,14,2,NA,NA
5035,15,2,NA,NA
5035,16,2,NA,NA
5035,17,2,NA,NA
5035,18,2,NA,NA
5035,20,2,NA,NA
5036,11,2,NA,NA
5036,12,2,NA,NA
5036,13,2,NA,NA
5036,14,2,NA,NA
5036,15,2,NA,NA
5036,16,2,NA,NA
5036,17,2,NA,NA
5036,18,2,NA,NA
5036,20,2,NA,NA
5037,11,1,3,3
5037,12,2,NA,NA
5037,13,2,NA,NA
5037,14,2,NA,NA
5037,15,2,NA,NA
5037,16,2,NA,NA
5037,17,2,NA,NA
5037,18,2,NA,NA
5037,20,2,NA,NA
5038,11,2,NA,NA
5038,12,1,9,9
5038,13,2,NA,NA
5038,14,2,NA,NA
5038,15,2,NA,NA
5038,16,2,NA,NA
5038,17,2,NA,NA
5038,18,2,NA,NA
5038,20,2,NA,NA
6001,11,2,NA,NA
6001,12,2,NA,NA
6001,13,2,NA,NA
6001,14,2,NA,NA
6001,15,2,NA,NA
6001,16,2,NA,NA
6001,17,2,NA,NA
6001,18,2,NA,NA
6001,20,2,NA,NA
6002,11,2,NA,NA
6002,12,2,NA,NA
6002,13,2,NA,NA
6002,14,2,NA,NA
6002,15,2,NA,NA
6002,16,2,NA,NA
6002,17,2,NA,NA
6002,18,2,NA,NA
6002,20,2,NA,NA
6003,11,2,NA,NA
6003,12,1,3,0
6003,13,2,NA,NA
6003,14,2,NA,NA
6003,15,2,NA,NA
6003,16,2,NA,NA
6003,17,2,NA,NA
6003,18,2,NA,NA
6003,20,2,NA,NA
6004,11,2,NA,NA
6004,12,2,NA,NA
6004,13,2,NA,NA
6004,14,2,NA,NA
6004,15,2,NA,NA
6004,16,2,NA,NA
6004,17,2,NA,NA
6004,18,2,NA,NA
6004,20,2,NA,NA
6005,11,2,NA,NA
6005,12,1,4,0
6005,13,2,NA,NA
6005,14,2,NA,NA
6005,15,2,NA,NA
6005,16,2,NA,NA
6005,17,2,NA,NA
6005,18,2,NA,NA
6005,20,2,NA,NA
6006,11,2,NA,NA
6006,12,2,NA,NA
6006,13,2,NA,NA
6006,14,2,NA,NA
6006,15,2,NA,NA
6006,16,2,NA,NA
6006,17,2,NA,NA
6006,18,2,NA,NA
6006,20,2,NA,NA
6007,11,2,NA,NA
6007,12,2,NA,NA
6007,13,2,NA,NA
6007,14,2,NA,NA
6007,15,2,NA,NA
6007,16,2,NA,NA
6007,17,2,NA,NA
6007,18,2,NA,NA
6007,20,2,NA,NA
6008,11,2,NA,NA
6008,12,1,1,0
6008,13,2,NA,NA
6008,14,2,NA,NA
6008,15,2,NA,NA
6008,16,2,NA,NA
6008,17,2,NA,NA
6008,18,2,NA,NA
6008,20,2,NA,NA
6009,11,2,NA,NA
6009,12,2,NA,NA
6009,13,2,NA,NA
6009,14,2,NA,NA
6009,15,2,NA,NA
6009,16,2,NA,NA
6009,17,2,NA,NA
6009,18,2,NA,NA
6009,20,2,NA,NA
6010,11,2,NA,NA
6010,12,2,NA,NA
6010,13,2,NA,NA
6010,14,2,NA,NA
6010,15,2,NA,NA
6010,16,2,NA,NA
6010,17,2,NA,NA
6010,18,2,NA,NA
6010,20,2,NA,NA
7001,11,2,NA,NA
7001,12,2,NA,NA
7001,13,2,NA,NA
7001,14,2,NA,NA
7001,15,2,NA,NA
7001,16,2,NA,NA
7001,17,2,NA,NA
7001,18,2,NA,NA
7001,20,2,NA,NA
7002,11,2,NA,NA
7002,12,2,NA,NA
7002,13,2,NA,NA
7002,14,2,NA,NA
7002,15,2,NA,NA
7002,16,2,NA,NA
7002,17,2,NA,NA
7002,18,2,NA,NA
7002,20,2,NA,NA
7003,11,2,NA,NA
7003,12,2,NA,NA
7003,13,2,NA,NA
7003,14,2,NA,NA
7003,15,2,NA,NA
7003,16,2,NA,NA
7003,17,2,NA,NA
7003,18,2,NA,NA
7003,20,2,NA,NA
7004,11,1,4,0
7004,12,2,NA,NA
7004,13,2,NA,NA
7004,14,2,NA,NA
7004,15,2,NA,NA
7004,16,2,NA,NA
7004,17,2,NA,NA
7004,18,2,NA,NA
7004,20,2,NA,NA
7005,11,2,NA,NA
7005,12,2,NA,NA
7005,13,2,NA,NA
7005,14,2,NA,NA
7005,15,2,NA,NA
7005,16,2,NA,NA
7005,17,2,NA,NA
7005,18,2,NA,NA
7005,20,2,NA,NA
7006,11,2,NA,NA
7006,12,2,NA,NA
7006,13,2,NA,NA
7006,14,2,NA,NA
7006,15,2,NA,NA
7006,16,2,NA,NA
7006,17,2,NA,NA
7006,18,2,NA,NA
7006,20,2,NA,NA
7007,11,2,NA,NA
7007,12,2,NA,NA
7007,13,2,NA,NA
7007,14,2,NA,NA
7007,15,2,NA,NA
7007,16,2,NA,NA
7007,17,2,NA,NA
7007,18,2,NA,NA
7007,20,2,NA,NA
7008,11,2,NA,NA
7008,12,2,NA,NA
7008,13,2,NA,NA
7008,14,2,NA,NA
7008,15,2,NA,NA
7008,16,2,NA,NA
7008,17,2,NA,NA
7008,18,2,NA,NA
7008,20,2,NA,NA
7009,11,2,NA,NA
7009,12,1,5,0
7009,13,2,NA,NA
7009,14,2,NA,NA
7009,15,2,NA,NA
7009,16,2,NA,NA
7009,17,2,NA,NA
7009,18,2,NA,NA
7009,20,2,NA,NA
7010,11,2,NA,NA
7010,12,2,NA,NA
7010,13,2,NA,NA
7010,14,2,NA,NA
7010,15,2,NA,NA
7010,16,2,NA,NA
7010,17,2,NA,NA
7010,18,2,NA,NA
7010,20,2,NA,NA
7011,11,2,NA,NA
7011,12,1,1,0
7011,13,2,NA,NA
7011,14,2,NA,NA
7011,15,2,NA,NA
7011,16,2,NA,NA
7011,17,2,NA,NA
7011,18,2,NA,NA
7011,20,2,NA,NA
7012,11,2,NA,NA
7012,12,2,NA,NA
7012,13,2,NA,NA
7012,14,2,NA,NA
7012,15,2,NA,NA
7012,16,2,NA,NA
7012,17,2,NA,NA
7012,18,2,NA,NA
7012,20,2,NA,NA
7013,11,2,NA,NA
7013,12,2,NA,NA
7013,13,2,NA,NA
7013,14,2,NA,NA
7013,15,2,NA,NA
7013,16,2,NA,NA
7013,17,2,NA,NA
7013,18,2,NA,NA
7013,20,2,NA,NA
7014,11,1,15,12
7014,12,2,NA,NA
7014,13,2,NA,NA
7014,14,2,NA,NA
7014,15,2,NA,NA
7014,16,2,NA,NA
7014,17,2,NA,NA
7014,18,2,NA,NA
7014,20,2,NA,NA
7015,11,2,NA,NA
7015,12,2,NA,NA
7015,13,2,NA,NA
7015,14,2,NA,NA
7015,15,2,NA,NA
7015,16,2,NA,NA
7015,17,2,NA,NA
7015,18,2,NA,NA
7015,20,2,NA,NA
7016,11,2,NA,NA
7016,12,2,NA,NA
7016,13,2,NA,NA
7016,14,2,NA,NA
7016,15,2,NA,NA
7016,16,2,NA,NA
7016,17,2,NA,NA
7016,18,2,NA,NA
7016,20,2,NA,NA
7017,11,2,NA,NA
7017,12,2,NA,NA
7017,13,2,NA,NA
7017,14,2,NA,NA
7017,15,2,NA,NA
7017,16,2,NA,NA
7017,17,2,NA,NA
7017,18,2,NA,NA
7017,20,2,NA,NA
7018,11,2,NA,NA
7018,12,1,4,0
7018,13,2,NA,NA
7018,14,2,NA,NA
7018,15,2,NA,NA
7018,16,2,NA,NA
7018,17,2,NA,NA
7018,18,2,NA,NA
7018,20,2,NA,NA
7019,11,2,NA,NA
7019,12,1,3,3
7019,13,2,NA,NA
7019,14,2,NA,NA
7019,15,1,1,1
7019,16,2,NA,NA
7019,17,2,NA,NA
7019,18,2,NA,NA
7019,20,2,NA,NA
7020,11,2,NA,NA
7020,12,2,NA,NA
7020,13,2,NA,NA
7020,14,2,NA,NA
7020,15,2,NA,NA
7020,16,2,NA,NA
7020,17,2,NA,NA
7020,18,2,NA,NA
7020,20,2,NA,NA
7021,11,2,NA,NA
7021,12,2,NA,NA
7021,13,2,NA,NA
7021,14,2,NA,NA
7021,15,2,NA,NA
7021,16,2,NA,NA
7021,17,2,NA,NA
7021,18,2,NA,NA
7021,20,2,NA,NA
7022,11,2,NA,NA
7022,12,2,NA,NA
7022,13,2,NA,NA
7022,14,2,NA,NA
7022,15,2,NA,NA
7022,16,2,NA,NA
7022,17,2,NA,NA
7022,18,2,NA,NA
7022,20,2,NA,NA
7023,11,2,NA,NA
7023,12,2,NA,NA
7023,13,2,NA,NA
7023,14,2,NA,NA
7023,15,2,NA,NA
7023,16,2,NA,NA
7023,17,2,NA,NA
7023,18,2,NA,NA
7023,20,2,NA,NA
7024,11,2,NA,NA
7024,12,2,NA,NA
7024,13,2,NA,NA
7024,14,2,NA,NA
7024,15,2,NA,NA
7024,16,2,NA,NA
7024,17,2,NA,NA
7024,18,2,NA,NA
7024,20,2,NA,NA
7025,11,2,NA,NA
7025,12,2,NA,NA
7025,13,2,NA,NA
7025,14,2,NA,NA
7025,15,2,NA,NA
7025,16,2,NA,NA
7025,17,2,NA,NA
7025,18,2,NA,NA
7025,20,2,NA,NA
7026,11,2,NA,NA
7026,12,2,NA,NA
7026,13,2,NA,NA
7026,14,2,NA,NA
7026,15,2,NA,NA
7026,16,2,NA,NA
7026,17,2,NA,NA
7026,18,2,NA,NA
7026,20,2,NA,NA
7027,11,2,NA,NA
7027,12,2,NA,NA
7027,13,2,NA,NA
7027,14,2,NA,NA
7027,15,2,NA,NA
7027,16,2,NA,NA
7027,17,2,NA,NA
7027,18,2,NA,NA
7027,20,2,NA,NA
7028,11,2,NA,NA
7028,12,2,NA,NA
7028,13,2,NA,NA
7028,14,2,NA,NA
7028,15,2,NA,NA
7028,16,2,NA,NA
7028,17,2,NA,NA
7028,18,2,NA,NA
7028,20,2,NA,NA
7029,11,2,NA,NA
7029,12,2,NA,NA
7029,13,2,NA,NA
7029,14,2,NA,NA
7029,15,2,NA,NA
7029,16,2,NA,NA
7029,17,2,NA,NA
7029,18,2,NA,NA
7029,20,2,NA,NA
7030,11,2,NA,NA
7030,12,2,NA,NA
7030,13,2,NA,NA
7030,14,2,NA,NA
7030,15,2,NA,NA
7030,16,2,NA,NA
7030,17,2,NA,NA
7030,18,2,NA,NA
7030,20,2,NA,NA
7031,11,2,NA,NA
7031,12,2,NA,NA
7031,13,2,NA,NA
7031,14,2,NA,NA
7031,15,2,NA,NA
7031,16,2,NA,NA
7031,17,2,NA,NA
7031,18,2,NA,NA
7031,20,2,NA,NA
7032,11,2,NA,NA
7032,12,2,NA,NA
7032,13,2,NA,NA
7032,14,2,NA,NA
7032,15,2,NA,NA
7032,16,2,NA,NA
7032,17,2,NA,NA
7032,18,2,NA,NA
7032,20,2,NA,NA
7033,11,2,NA,NA
7033,12,2,NA,NA
7033,13,2,NA,NA
7033,14,2,NA,NA
7033,15,2,NA,NA
7033,16,2,NA,NA
7033,17,2,NA,NA
7033,18,2,NA,NA
7033,20,2,NA,NA
7034,11,2,NA,NA
7034,12,2,NA,NA
7034,13,2,NA,NA
7034,14,2,NA,NA
7034,15,2,NA,NA
7034,16,2,NA,NA
7034,17,2,NA,NA
7034,18,2,NA,NA
7034,20,2,NA,NA
7035,11,2,NA,NA
7035,12,2,NA,NA
7035,13,2,NA,NA
7035,14,2,NA,NA
7035,15,2,NA,NA
7035,16,2,NA,NA
7035,17,2,NA,NA
7035,18,2,NA,NA
7035,20,2,NA,NA
7036,11,2,NA,NA
