ubicageo_f,funcsepu_a,sexostt,sexos1,sexos2
5017,2,80,60,20
5017,3,0,0,0
5017,4,0,0,0
5018,1,0,0,0
5018,2,115,65,50
5018,3,0,0,0
5018,4,0,0,0
5019,1,0,0,0
5019,2,5,3,2
5019,3,0,0,0
5019,4,0,0,0
5020,1,0,0,0
5020,2,42,29,13
5020,3,0,0,0
5020,4,0,0,0
5021,1,0,0,0
5021,2,6,5,1
5021,3,0,0,0
5021,4,0,0,0
5022,1,0,0,0
5022,2,19,15,4
5022,3,0,0,0
5022,4,0,0,0
5023,1,0,0,0
5023,2,11,6,5
5023,3,0,0,0
5023,4,5,5,0
5024,1,0,0,0
5024,2,0,0,0
5024,3,5,3,2
5024,4,35,29,6
5025,1,0,0,0
5025,2,0,0,0
5025,3,72,51,21
5025,4,0,0,0
5026,1,NA,NA,NA
5026,2,NA,NA,NA
5026,3,NA,NA,NA
5026,4,NA,NA,NA
5027,1,2,2,0
5027,2,2,0,2
5027,3,146,100,46
5027,4,0,0,0
5028,1,0,0,0
5028,2,45,30,15
5028,3,0,0,0
5028,4,0,0,0
5029,1,0,0,0
5029,2,0,0,0
5029,3,0,0,0
5029,4,0,0,0
5030,1,34,27,7
5030,2,61,30,31
5030,3,866,608,258
5030,4,99,94,5
5031,1,0,0,0
5031,2,12,10,2
5031,3,0,0,0
5031,4,4,4,0
5032,1,0,0,0
5032,2,26,24,2
5032,3,0,0,0
5032,4,0,0,0
5033,1,0,0,0
5033,2,69,52,17
5033,3,3,1,2
5033,4,0,0,0
5034,1,0,0,0
5034,2,13,11,2
5034,3,1,1,0
5034,4,0,0,0
5035,1,0,0,0
5035,2,30,21,9
5035,3,509,342,167
5035,4,47,37,10
5036,1,0,0,0
5036,2,36,23,13
5036,3,0,0,0
5036,4,0,0,0
5037,1,0,0,0
5037,2,4,2,2
5037,3,0,0,0
5037,4,0,0,0
5038,1,0,0,0
5038,2,7,5,2
5038,3,0,0,0
5038,4,0,0,0
6001,1,0,0,0
6001,2,30,25,5
6001,3,16,10,6
6001,4,14,12,2
6002,1,0,0,0
6002,2,156,103,53
6002,3,0,0,0
6002,4,0,0,0
6003,1,0,0,0
6003,2,4,2,2
6003,3,25,20,5
6003,4,0,0,0
6004,1,0,0,0
6004,2,46,39,7
6004,3,0,0,0
6004,4,0,0,0
6005,1,0,0,0
6005,2,51,43,8
6005,3,0,0,0
6005,4,0,0,0
6006,1,0,0,0
6006,2,18,12,6
6006,3,0,0,0
6006,4,6,6,0
6007,1,0,0,0
6007,2,0,0,0
6007,3,303,193,110
6007,4,61,46,15
6008,1,0,0,0
6008,2,44,34,10
6008,3,0,0,0
6008,4,0,0,0
6009,1,0,0,0
6009,2,0,0,0
6009,3,0,0,0
6009,4,205,164,41
6010,1,0,0,0
6010,2,0,0,0
6010,3,0,0,0
6010,4,0,0,0
7001,1,0,0,0
7001,2,23,13,10
7001,3,0,0,0
7001,4,0,0,0
7002,1,0,0,0
7002,2,0,0,0
7002,3,0,0,0
7002,4,0,0,0
7003,1,10,10,0
7003,2,10,4,6
7003,3,8,8,0
7003,4,15,15,0
7004,1,0,0,0
7004,2,69,58,11
7004,3,0,0,0
7004,4,0,0,0
7005,1,0,0,0
7005,2,11,9,2
7005,3,3,2,1
7005,4,18,14,4
7006,1,0,0,0
7006,2,28,24,4
7006,3,0,0,0
7006,4,0,0,0
7007,1,0,0,0
7007,2,20,18,2
7007,3,0,0,0
7007,4,0,0,0
7008,1,0,0,0
7008,2,0,0,0
7008,3,0,0,0
7008,4,0,0,0
7009,1,0,0,0
7009,2,49,36,13
7009,3,0,0,0
7009,4,0,0,0
7010,1,0,0,0
7010,2,0,0,0
7010,3,0,0,0
7010,4,0,0,0
7011,1,0,0,0
7011,2,24,22,2
7011,3,0,0,0
7011,4,0,0,0
7012,1,0,0,0
7012,2,88,55,33
7012,3,0,0,0
7012,4,0,0,0
7013,1,0,0,0
7013,2,62,56,6
7013,3,0,0,0
7013,4,0,0,0
7014,1,0,0,0
7014,2,0,0,0
7014,3,0,0,0
7014,4,0,0,0
7015,1,0,0,0
7015,2,92,70,22
7015,3,0,0,0
7015,4,0,0,0
7016,1,0,0,0
7016,2,34,25,9
7016,3,0,0,0
7016,4,0,0,0
7017,1,0,0,0
7017,2,120,85,35
7017,3,0,0,0
7017,4,0,0,0
7018,1,0,0,0
7018,2,19,15,4
7018,3,0,0,0
7018,4,0,0,0
7019,1,0,0,0
7019,2,364,293,71
7019,3,0,0,0
7019,4,0,0,0
7020,1,0,0,0
7020,2,0,0,0
7020,3,0,0,0
7020,4,0,0,0
7021,1,0,0,0
7021,2,47,38,9
7021,3,0,0,0
7021,4,0,0,0
7022,1,0,0,0
7022,2,13,12,1
7022,3,0,0,0
7022,4,0,0,0
7023,1,0,0,0
