ubicageo_f,rnsnni1,sexostt,sexos1,sexos2,sexos3
14003,2,NA,NA,NA,NA
14004,2,NA,NA,NA,NA
14005,1,71,43,28,0
14006,1,221,15,206,0
14007,2,NA,NA,NA,NA
14008,2,NA,NA,NA,NA
14009,1,164,60,104,0
14010,2,NA,NA,NA,NA
14011,1,14,10,4,0
14012,1,32,16,16,0
14013,1,316,0,316,0
14014,2,NA,NA,NA,NA
14015,1,439,87,352,0
14016,9,NSS,NSS,NSS,NSS
14017,2,NA,NA,NA,NA
14018,2,NA,NA,NA,NA
14019,1,4,0,4,0
14020,1,13,0,13,0
14021,1,12,2,10,0
14022,1,36,0,36,0
14023,1,370,67,303,0
14024,1,234,4,230,0
14025,1,116,0,116,0
14026,2,NA,NA,NA,NA
14027,1,36,18,18,0
14028,1,10,0,10,0
14029,1,15,0,15,0
14030,1,230,85,145,0
14031,1,1,0,1,0
14032,2,NA,NA,NA,NA
14033,2,NA,NA,NA,NA
14034,2,NA,NA,NA,NA
14035,1,1,1,0,0
14036,2,NA,NA,NA,NA
14037,2,NA,NA,NA,NA
14038,1,10,5,5,0
14039,2,NA,NA,NA,NA
14040,1,24,9,15,0
14041,2,NA,NA,NA,NA
14042,9,NSS,NSS,NSS,NSS
14043,1,80,23,57,0
14044,1,632,130,502,0
14045,2,NA,NA,NA,NA
14046,2,NA,NA,NA,NA
14047,2,NA,NA,NA,NA
14048,2,NA,NA,NA,NA
14049,2,NA,NA,NA,NA
14050,2,NA,NA,NA,NA
14051,1,140,48,92,0
14052,1,12,12,0,0
14053,2,NA,NA,NA,NA
14054,2,NA,NA,NA,NA
14055,2,NA,NA,NA,NA
14056,2,NA,NA,NA,NA
14057,2,NA,NA,NA,NA
14058,1,67,0,67,0
14059,1,24,0,24,0
14060,2,NA,NA,NA,NA
14061,2,NA,NA,NA,NA
14062,2,NA,NA,NA,NA
14063,1,349,3,346,0
14064,9,NSS,NSS,NSS,NSS
14065,1,7,0,7,0
14066,2,NA,NA,NA,NA
14067,9,NSS,NSS,NSS,NSS
14068,2,NA,NA,NA,NA
14069,1,1,0,1,0
14070,1,1414,222,1192,0
14071,1,11,0,11,0
14072,2,NA,NA,NA,NA
14073,1,155,15,140,0
14074,2,NA,NA,NA,NA
14075,2,NA,NA,NA,NA
14076,2,NA,NA,NA,NA
14077,2,NA,NA,NA,NA
14078,2,NA,NA,NA,NA
14079,2,NA,NA,NA,NA
14080,1,8,3,5,0
14081,98,ND,ND,ND,ND
14082,1,209,172,37,0
14083,1,334,34,300,0
14084,2,NA,NA,NA,NA
14085,1,7,1,6,0
14086,2,NA,NA,NA,NA
14087,2,NA,NA,NA,NA
14088,2,NA,NA,NA,NA
14089,2,NA,NA,NA,NA
14090,1,14,2,12,0
14091,2,NA,NA,NA,NA
14092,1,10,0,10,0
14093,1,321,5,316,0
14094,1,19,4,15,0
14095,2,NA,NA,NA,NA
14096,2,NA,NA,NA,NA
14097,9,NSS,NSS,NSS,NSS
14098,1,3198,82,3116,0
14099,1,1,0,1,0
14100,1,130,20,110,0
14101,1,3541,1900,1641,0
14102,2,NA,NA,NA,NA
14103,2,NA,NA,NA,NA
14104,98,ND,ND,ND,ND
14105,2,NA,NA,NA,NA
14106,2,NA,NA,NA,NA
14107,2,NA,NA,NA,NA
14108,1,48,19,29,0
14109,2,NA,NA,NA,NA
14110,9,NSS,NSS,NSS,NSS
14111,2,NA,NA,NA,NA
14112,2,NA,NA,NA,NA
14113,2,NA,NA,NA,NA
14114,2,NA,NA,NA,NA
14115,2,NA,NA,NA,NA
14116,2,NA,NA,NA,NA
14117,1,3,1,2,0
14118,1,70,15,55,0
14119,2,NA,NA,NA,NA
14120,1,6641,555,6086,0
14121,1,34,5,29,0
14122,2,NA,NA,NA,NA
14123,2,NA,NA,NA,NA
14124,1,392,62,330,0
14125,1,47,9,38,0
15001,1,38,1,37,0
15002,1,200,17,148,35
15003,1,25,0,25,0
15004,2,NA,NA,NA,NA
15005,2,NA,NA,NA,NA
15006,2,NA,NA,NA,NA
15007,2,NA,NA,NA,NA
15008,1,5,5,0,0
15009,1,232,3,229,0
15010,2,NA,NA,NA,NA
15011,1,25,10,15,0
15012,2,NA,NA,NA,NA
15013,1,798,100,698,0
15014,2,NA,NA,NA,NA
15015,2,NA,NA,NA,NA
15016,1,165,0,0,165
15017,2,NA,NA,NA,NA
15018,2,NA,NA,NA,NA
15019,2,NA,NA,NA,NA
15020,2,NA,NA,NA,NA
15021,1,3,2,1,0
15022,2,NA,NA,NA,NA
15023,1,1,0,1,0
15024,1,93,13,80,0
15025,1,451,15,436,0
15026,1,150,20,130,0
15027,2,NA,NA,NA,NA
15028,1,57,7,50,0
15029,2,NA,NA,NA,NA
15030,1,351,125,226,0
15031,1,1764,299,1465,0
15032,1,13,1,9,3
15033,1,1115,216,899,0
15034,1,37,2,35,0
15035,1,156,17,139,0
15036,2,NA,NA,NA,NA
15037,1,90,40,50,0
15038,9,NSS,NSS,NSS,NSS
15039,1,41,20,15,6
15040,2,NA,NA,NA,NA
15041,1,7,2,5,0
15042,1,62,3,59,0
15043,1,10,0,10,0
15044,9,NSS,NSS,NSS,NSS
15045,1,320,150,170,0
15046,1,130,23,107,0
15047,2,NA,NA,NA,NA
15048,1,13,5,8,0
15049,9,NSS,NSS,NSS,NSS
15050,1,400,348,52,0
15051,2,NA,NA,NA,NA
15052,1,155,55,85,15
15053,1,73,6,67,0
15054,1,25,11,14,0
15055,1,13,0,0,13
15056,1,564,166,398,0
15057,1,4624,479,3759,386
15058,1,2069,1112,957,0
15059,2,NA,NA,NA,NA
15060,1,102,30,72,0
15061,2,NA,NA,NA,NA
15062,2,NA,NA,NA,NA
15063,0,NA,NA,NA,NA
15064,2,NA,NA,NA,NA
15065,2,NA,NA,NA,NA
15066,2,NA,NA,NA,NA
15067,1,326,23,303,0
15068,2,NA,NA,NA,NA
15069,1,10,8,2,0
15070,1,79,3,76,0
15071,1,850,250,600,0
15072,2,NA,NA,NA,NA
15073,2,NA,NA,NA,NA
15074,1,80,2,78,0
15075,1,40,30,10,0
15076,1,25,11,14,0
15077,1,1,0,1,0
15078,2,NA,NA,NA,NA
15079,9,NSS,NSS,NSS,NSS
15080,1,1,0,1,0
15081,1,2476,378,2098,0
15082,2,NA,NA,NA,NA
15083,1,925,0,925,0
15084,1,106,15,91,0
15085,2,NA,NA,NA,NA
15086,2,NA,NA,NA,NA
15087,1,144,36,108,0
15088,1,213,180,33,0
15089,1,25,2,23,0
15090,9,NSS,NSS,NSS,NSS
15091,1,27,2,25,0
15092,1,100,0,0,100
15093,1,80,0,80,0
15094,2,NA,NA,NA,NA
15095,1,218,10,208,0
15096,1,29,18,11,0
15097,2,NA,NA,NA,NA
15098,2,NA,NA,NA,NA
15099,1,63,30,33,0
15100,1,200,90,110,0
15101,2,NA,NA,NA,NA
15102,1,15,0,15,0
15103,2,NA,NA,NA,NA
15104,1,975,306,660,9
15105,2,NA,NA,NA,NA
15106,1,1958,261,1697,0
15107,1,17,2,15,0
15108,1,200,5,195,0
15109,1,458,27,431,0
15110,2,NA,NA,NA,NA
15111,1,1644,951,693,0
15112,2,NA,NA,NA,NA
15113,1,17,2,15,0
15114,2,NA,NA,NA,NA
15115,1,224,8,216,0
15116,1,70,2,68,0
15117,2,NA,NA,NA,NA
15118,1,1450,400,1050,0
