ubicageo_f,vehicttt,vehict1,vehict2,vehict3,vehict4,vehict5,vehict6,vehict7,vehict8,vehict9,vehictne
20095,1,0,1,0,0,0,0,0,0,0,
20096,1,0,1,0,0,0,0,0,0,0,
20097,0,0,0,0,0,0,0,0,0,0,
20098,1,0,1,0,0,0,0,0,0,0,
20099,1,0,1,0,0,0,0,0,0,0,
20100,0,0,0,0,0,0,0,0,0,0,
20101,0,0,0,0,0,0,0,0,0,0,
20102,3,0,2,1,0,0,0,0,0,0,
20103,4,0,2,2,0,0,0,0,0,0,
20104,2,0,2,0,0,0,0,0,0,0,
20105,1,0,1,0,0,0,0,0,0,0,
20106,0,0,0,0,0,0,0,0,0,0,
20107,7,0,2,5,0,0,0,0,0,0,
20108,4,0,1,3,0,0,0,0,0,0,
20109,2,0,1,1,0,0,0,0,0,0,
20110,1,0,1,0,0,0,0,0,0,0,
20111,1,0,1,0,0,0,0,0,0,0,
20112,7,0,3,2,2,0,0,0,0,0,
20113,1,0,1,0,0,0,0,0,0,0,
20114,1,0,1,0,0,0,0,0,0,0,
20115,6,0,3,0,3,0,0,0,0,0,
20116,1,0,1,0,0,0,0,0,0,0,
20117,1,0,1,0,0,0,0,0,0,0,
20118,3,0,2,1,0,0,0,0,0,0,
20119,1,0,1,0,0,0,0,0,0,0,
20120,1,0,1,0,0,0,0,0,0,0,
20121,1,0,1,0,0,0,0,0,0,0,
20122,0,0,0,0,0,0,0,0,0,0,
20123,1,0,1,0,0,0,0,0,0,0,
20124,4,1,3,0,0,0,0,0,0,0,
20125,2,0,1,1,0,0,0,0,0,0,
20126,3,0,2,1,0,0,0,0,0,0,
20127,3,0,3,0,0,0,0,0,0,0,
20128,2,0,1,1,0,0,0,0,0,0,
20129,2,0,1,1,0,0,0,0,0,0,
20130,1,0,1,0,0,0,0,0,0,0,
20131,5,0,2,3,0,0,0,0,0,0,
20132,5,1,1,3,0,0,0,0,0,0,
20133,0,0,0,0,0,0,0,0,0,0,
20134,2,0,2,0,0,0,0,0,0,0,
20135,5,0,3,2,0,0,0,0,0,0,
20136,2,0,2,0,0,0,0,0,0,0,
20137,3,0,1,2,0,0,0,0,0,0,
20138,0,0,0,0,0,0,0,0,0,0,
20139,1,0,1,0,0,0,0,0,0,0,
20140,1,0,1,0,0,0,0,0,0,0,
20141,1,0,1,0,0,0,0,0,0,0,
20142,2,0,2,0,0,0,0,0,0,0,
20143,3,0,3,0,0,0,0,0,0,0,
20144,3,0,1,2,0,0,0,0,0,0,
20145,8,0,1,2,5,0,0,0,0,0,
20146,1,0,1,0,0,0,0,0,0,0,
20147,1,0,1,0,0,0,0,0,0,0,
20148,1,0,1,0,0,0,0,0,0,0,
20149,1,0,1,0,0,0,0,0,0,0,
20150,10,0,4,6,0,0,0,0,0,0,
20151,0,0,0,0,0,0,0,0,0,0,
20152,1,0,1,0,0,0,0,0,0,0,
20153,3,0,2,1,0,0,0,0,0,0,
20154,1,0,1,0,0,0,0,0,0,0,
20155,6,0,2,4,0,0,0,0,0,0,
20156,1,0,1,0,0,0,0,0,0,0,
20157,6,1,2,3,0,0,0,0,0,0,
20158,1,0,1,0,0,0,0,0,0,0,
20159,1,0,1,0,0,0,0,0,0,0,
20160,1,0,1,0,0,0,0,0,0,0,
20161,1,0,1,0,0,0,0,0,0,0,
