ubicageo_f,apalin1,apalin2,apalin3,apalin5,apalin6,apalin7
7070,1,0,1,1,0,1
7071,1,1,0,1,1,0
7072,0,0,0,0,0,0
7073,1,0,1,0,0,0
7074,0,0,0,0,0,0
7075,1,1,0,1,1,0
7076,1,1,0,1,1,0
7077,0,0,0,1,0,1
7078,2,2,0,9,9,0
7079,1,1,0,1,1,0
7080,1,0,1,1,0,1
7081,0,0,0,0,0,0
7082,0,0,0,0,0,0
7083,0,0,0,0,0,0
7084,1,0,1,0,0,0
7085,0,0,0,0,0,0
7086,3,2,1,3,2,1
7087,2,2,0,2,2,0
7088,0,0,0,0,0,0
7089,1,1,0,1,1,0
7090,0,0,0,0,0,0
7091,0,0,0,0,0,0
7092,1,1,0,1,1,0
7093,0,0,0,0,0,0
7094,0,0,0,0,0,0
7096,0,0,0,0,0,0
7097,1,1,0,1,1,0
7098,1,0,1,1,0,1
7099,1,1,0,1,1,0
7100,0,0,0,0,0,0
7101,8,0,8,10,10,0
7102,1,1,0,1,1,0
7103,0,0,0,1,0,1
7104,0,0,0,0,0,0
7105,1,0,1,1,0,1
7106,0,0,0,0,0,0
7107,0,0,0,0,0,0
7108,1,1,0,1,1,0
7109,1,0,1,1,0,1
7110,1,0,1,1,0,1
7111,0,0,0,0,0,0
7112,0,0,0,0,0,0
7113,0,0,0,0,0,0
7114,1,1,0,1,1,0
7115,0,0,0,0,0,0
7116,1,0,1,1,0,1
7117,0,0,0,0,0,0
7118,0,0,0,0,0,0
7119,0,0,0,0,0,0
7120,0,0,0,0,0,0
7121,0,0,0,0,0,0
7122,1,0,1,1,0,1
7123,0,0,0,0,0,0
7124,1,1,0,1,1,0
7125,0,0,0,0,0,0
8001,1,1,0,1,1,0
8002,2,2,0,8,8,0
8003,1,1,0,2,2,0
8004,1,1,0,1,1,0
8005,1,1,0,1,1,0
8006,0,0,0,0,0,0
8007,1,1,0,2,1,1
8008,1,1,0,0,0,0
8009,0,0,0,0,0,0
8010,5,4,1,0,0,0
8011,4,4,0,15,15,0
8012,1,1,0,1,1,0
8013,1,1,0,1,1,0
8014,1,1,0,1,1,0
8015,1,1,0,1,1,0
8016,1,1,0,1,1,0
8017,4,4,0,12,12,0
8018,1,1,0,1,1,0
8019,3,3,0,118,118,0
8020,1,1,0,1,1,0
8021,15,15,0,10,10,0
8022,1,1,0,1,1,0
8023,0,0,0,0,0,0
8024,1,1,0,1,1,0
8025,0,0,0,0,0,0
8026,0,0,0,0,0,0
8027,1,1,0,0,0,0
8028,0,0,0,0,0,0
8029,1,1,0,1,1,0
8030,1,1,0,1,1,0
8031,3,3,0,0,0,0
8032,7,7,0,17,17,0
8033,0,0,0,0,0,0
8034,0,0,0,0,0,0
8035,1,1,0,2,2,0
8036,2,2,0,5,5,0
8037,90,60,30,225,195,30
8038,1,1,0,1,1,0
8039,1,1,0,1,1,0
8040,2,2,0,2,2,0
8041,1,0,1,0,0,0
8042,0,0,0,0,0,0
8043,1,1,0,1,1,0
8044,1,1,0,2,2,0
8045,3,3,0,8,8,0
8046,0,0,0,0,0,0
8047,3,1,2,3,1,2
8048,1,0,1,1,0,1
8049,1,1,0,1,1,0
8050,2,2,0,0,0,0
8051,0,0,0,0,0,0
8052,2,2,0,0,0,0
8053,0,0,0,0,0,0
8054,1,1,0,1,1,0
8055,1,1,0,1,1,0
8056,3,3,0,1,0,1
8057,0,0,0,2,2,0
8058,1,0,1,1,0,1
8059,1,1,0,1,1,0
8060,1,1,0,3,3,0
8061,1,1,0,1,1,0
8062,3,3,0,3,3,0
8063,1,1,0,0,0,0
8064,1,1,0,1,1,0
8065,0,0,0,2,1,1
8066,1,1,0,0,0,0
8067,1,1,0,1,1,0
9002,NA,NA,NA,NA,NA,NA
9003,NA,NA,NA,NA,NA,NA
9004,NA,NA,NA,NA,NA,NA
9005,NA,NA,NA,NA,NA,NA
9006,NA,NA,NA,NA,NA,NA
9007,NA,NA,NA,NA,NA,NA
9008,NA,NA,NA,NA,NA,NA
9009,NA,NA,NA,NA,NA,NA
9010,NA,NA,NA,NA,NA,NA
9011,NA,NA,NA,NA,NA,NA
9012,NA,NA,NA,NA,NA,NA
9013,NA,NA,NA,NA,NA,NA
9014,NA,NA,NA,NA,NA,NA
9015,NA,NA,NA,NA,NA,NA
9016,NA,NA,NA,NA,NA,NA
9017,NA,NA,NA,NA,NA,NA
10001,1,1,0,1,0,1
10002,1,0,1,1,0,1
10003,1,1,0,1,1,0
10004,1,1,0,1,1,0
10005,1,1,0,98,98,0
10006,0,0,0,0,0,0
10007,2,2,0,14,14,0
10008,1,1,0,1,0,1
10009,2,1,1,2,1,1
10010,2,2,0,2,2,0
10011,0,0,0,0,0,0
10012,1,1,0,4,4,0
10013,3,3,0,3,3,0
10014,1,0,1,1,0,1
10015,1,1,0,1,1,0
10016,2,1,1,2,1,1
10017,1,1,0,1,1,0
10018,1,1,0,1,1,0
10019,0,0,0,0,0,0
10020,1,1,0,1,1,0
10021,1,1,0,1,1,0
10022,1,1,0,0,0,0
10023,1,1,0,1,1,0
10024,1,1,0,1,1,0
10025,0,0,0,0,0,0
10026,0,0,0,0,0,0
10027,1,1,0,1,1,0
10028,1,0,1,1,0,1
10029,1,0,1,1,0,1
10030,1,1,0,1,1,0
10031,0,0,0,0,0,0
10032,2,2,0,2,2,0
10033,0,0,0,0,0,0
10034,1,0,1,1,0,1
10035,1,1,0,1,1,0
10036,1,1,0,1,1,0
10037,0,0,0,0,0,0
10038,1,0,1,1,0,1
10039,1,1,0,1,1,0
11001,1,1,0,1,1,0
11002,1,1,0,1,1,0
11003,2,2,0,4,4,0
11004,3,3,0,3,3,0
11005,2,2,0,1,0,1
11006,2,2,0,2,2,0
11007,20,10,10,20,10,10
11008,NA,NA,NA,NA,NA,NA
11009,1,1,0,1,1,0
11010,1,1,0,1,1,0
11011,1,1,0,1,1,0
11012,4,3,1,4,3,1
11013,3,3,0,3,3,0
11014,4,4,0,10,10,0
11015,15,6,9,19,10,9
11016,2,2,0,2,2,0
11017,15,15,0,37,37,0
11018,2,2,0,2,2,0
11019,2,2,0,2,2,0
11020,48,20,28,98,70,28
11021,1,1,0,2,0,2
11022,3,3,0,3,3,0
11023,14,4,10,22,12,10
11024,1,1,0,1,1,0
11025,2,2,0,2,2,0
11026,3,3,0,0,0,0
11027,4,2,2,22,20,2
11028,3,3,0,13,13,0
11029,5,4,1,5,4,1
11030,2,2,0,2,2,0
11031,18,5,13,47,34,13
11032,6,6,0,8,8,0
11033,7,5,2,7,5,2
11034,2,2,0,1,0,1
11035,NSS,NSS,NSS,NSS,NSS,NSS
11036,1,1,0,1,1,0
11037,10,8,2,10,8,2
11038,1,1,0,1,1,0
11039,NSS,NSS,NSS,NSS,NSS,NSS
11040,2,1,1,3,2,1
11041,4,3,1,7,6,1
11042,3,3,0,3,3,0
11043,1,1,0,1,1,0
11044,5,4,1,3,2,1
11045,1,1,0,2,2,0
11046,2,2,0,2,2,0
12001,9,9,0,43,43,0
12002,1,1,0,1,1,0
12003,0,0,0,0,0,0
12004,1,1,0,1,1,0
12005,1,1,0,1,1,0
12006,0,0,0,0,0,0
12007,1,1,0,1,1,0
12008,1,1,0,1,0,1
12009,0,0,0,0,0,0
12010,0,0,0,0,0,0
12011,1,1,0,2,1,1
12012,1,1,0,1,1,0
12013,1,1,0,1,1,0
12014,1,1,0,1,1,0
12015,1,1,0,0,0,0
12016,0,0,0,0,0,0
12017,0,0,0,0,0,0
12018,1,1,0,1,1,0
12019,0,0,0,0,0,0
12020,1,1,0,1,1,0
12021,1,1,0,1,1,0
12022,1,1,0,1,1,0
12023,2,1,1,2,1,1
12024,1,1,0,1,1,0
12025,1,1,0,1,1,0
12026,0,0,0,0,0,0
12027,1,0,1,1,0,1
12028,3,3,0,3,3,0
12029,4,3,1,6,5,1
12030,1,1,0,1,1,0
12031,0,0,0,0,0,0
12032,0,0,0,0,0,0
12033,1,1,0,1,1,0
12034,2,1,1,3,2,1
12035,1,1,0,1,1,0
12036,1,1,0,1,1,0
12037,0,0,0,0,0,0
12038,2,0,2,2,0,2
12039,2,1,1,2,1,1
12040,1,1,0,1,1,0
12041,0,0,0,0,0,0
12042,1,1,0,1,1,0
12043,0,0,0,0,0,0
12044,1,1,0,1,1,0
12045,1,1,0,1,1,0
12046,2,1,1,2,1,1
12047,0,0,0,0,0,0
12048,1,1,0,1,1,0
12049,1,1,0,1,1,0
12050,1,1,0,2,1,1
12051,1,1,0,1,1,0
12052,1,1,0,1,1,0
12053,1,1,0,1,1,0
12054,0,0,0,1,0,1
12055,2,2,0,2,2,0
12056,1,0,1,1,1,0
12057,1,1,0,1,1,0
12058,1,1,0,1,1,0
12059,1,1,0,1,1,0
12060,0,0,0,0,0,0
12061,2,1,1,2,1,1
12062,2,1,1,2,1,1
12063,0,0,0,0,0,0
12064,0,0,0,0,0,0
12065,1,1,0,1,1,0
12066,1,1,0,1,1,0
12067,1,1,0,1,1,0
12068,0,0,0,1,0,1
12069,0,0,0,0,0,0
12070,1,0,1,1,0,1
12071,2,1,1,2,1,1
12072,0,0,0,0,0,0
12073,1,1,0,1,1,0
12074,0,0,0,0,0,0
12075,1,1,0,1,1,0
12076,0,0,0,0,0,0
12077,1,1,0,1,1,0
12078,0,0,0,0,0,0
12079,2,1,1,2,1,1
12080,0,0,0,0,0,0
12081,0,0,0,0,0,0
12082,NA,NA,NA,NA,NA,NA
12083,NA,NA,NA,NA,NA,NA
12084,NA,NA,NA,NA,NA,NA
12085,NA,NA,NA,NA,NA,NA
13001,1,1,0,1,1,0
13002,1,1,0,2,0,2
13003,3,3,0,3,3,0
13004,1,1,0,1,1,0
13005,2,1,1,2,1,1
13006,2,1,1,2,1,1
13007,2,2,0,2,2,0
13008,3,3,0,3,3,0
13009,1,1,0,1,1,0
13010,1,1,0,1,0,1
13011,2,2,0,2,2,0
13012,1,1,0,1,1,0
13013,2,1,1,2,1,1
13014,1,1,0,1,1,0
13015,2,1,1,2,1,1
13016,1,1,0,1,1,0
13017,1,0,1,0,0,0
13018,2,1,1,2,1,1
13019,1,1,0,1,1,0
13020,1,1,0,1,1,0
13021,1,1,0,0,0,0
13022,2,2,0,3,3,0
13023,1,1,0,1,1,0
13024,1,1,0,1,1,0
13025,1,1,0,1,1,0
13026,1,0,1,1,0,1
13027,1,0,1,1,0,1
13028,1,1,0,1,1,0
13029,2,2,0,2,2,0
13030,1,1,0,1,1,0
13031,1,1,0,1,1,0
13032,0,0,0,1,1,0
13033,1,1,0,1,1,0
13034,1,0,1,1,0,1
13035,1,1,0,1,1,0
13036,1,1,0,1,1,0
13037,2,1,1,2,1,1
13038,1,1,0,1,0,1
13039,1,1,0,1,1,0
13040,1,0,1,1,0,1
13041,1,1,0,1,1,0
13042,1,1,0,1,0,1
13043,0,0,0,0,0,0
13044,1,1,0,1,1,0
13045,1,1,0,1,1,0
13046,2,1,1,2,1,1
13047,2,1,1,2,1,1
13048,17,17,0,41,41,0
13049,1,0,1,1,0,1
13050,1,1,0,1,1,0
13051,3,3,0,3,3,0
13052,1,1,0,1,0,1
13053,1,0,1,1,0,1
13054,1,1,0,0,0,0
13055,1,1,0,1,1,0
13056,2,1,1,2,1,1
13057,2,2,0,2,2,0
13058,1,1,0,1,1,0
13059,1,1,0,1,1,0
13060,1,0,1,1,0,1
13061,1,1,0,1,0,1
13062,1,0,1,1,0,1
13063,4,3,1,3,2,1
13064,1,1,0,1,1,0
13065,1,1,0,1,1,0
13066,1,1,0,1,1,0
13067,1,1,0,1,0,1
13068,1,1,0,1,1,0
13069,13,13,0,13,13,0
13070,1,1,0,1,1,0
13071,1,1,0,1,1,0
13072,1,1,0,1,1,0
13073,2,2,0,2,2,0
13074,2,1,1,2,1,1
13075,3,2,1,3,2,1
13076,1,1,0,1,1,0
13077,3,3,0,3,3,0
13078,2,1,1,2,1,1
13079,1,1,0,1,1,0
13080,1,1,0,1,1,0
13081,1,1,0,1,0,1
13082,2,1,1,2,1,1
13083,3,2,1,3,2,1
13084,1,1,0,1,1,0
14001,2,2,0,2,2,0
14002,3,3,0,3,3,0
14003,2,1,1,3,2,1
14004,1,1,0,2,2,0
14005,1,1,0,1,1,0
14006,2,2,0,3,3,0
14007,1,1,0,1,1,0
14008,6,5,1,7,6,1
14009,1,1,0,1,1,0
14010,1,1,0,1,1,0
14011,2,1,1,2,1,1
14012,1,1,0,1,1,0
14013,4,3,1,4,3,1
14014,1,1,0,1,1,0
14015,3,3,0,7,6,1
14016,2,2,0,2,2,0
14017,1,1,0,3,1,2
14018,2,2,0,2,2,0
14019,1,1,0,1,1,0
14020,1,1,0,2,2,0
14021,2,2,0,2,2,0
14022,1,1,0,1,1,0
14023,6,6,0,2,2,0
14024,1,1,0,2,2,0
14025,1,1,0,1,1,0
14026,1,1,0,1,1,0
14027,2,2,0,0,0,0
14028,1,1,0,1,1,0
14029,1,1,0,1,1,0
14030,3,2,1,3,2,1
14031,1,1,0,1,1,0
14032,1,1,0,0,0,0
14033,2,2,0,2,2,0
14034,1,1,0,1,1,0
14035,2,2,0,2,2,0
14036,2,2,0,2,2,0
14037,2,2,0,2,2,0
14038,1,1,0,2,2,0
14039,62,39,23,312,289,23
14040,1,1,0,2,2,0
14041,1,1,0,1,1,0
14042,1,1,0,1,1,0
14043,1,1,0,1,1,0
14044,3,2,1,3,2,1
14045,3,3,0,3,3,0
14046,3,3,0,3,3,0
14047,1,1,0,2,2,0
14048,2,2,0,2,2,0
14049,1,1,0,1,1,0
14050,1,1,0,3,3,0
14051,2,1,1,3,1,2
14052,1,1,0,1,1,0
14053,2,2,0,2,2,0
14054,1,1,0,1,1,0
14055,2,2,0,2,2,0
14056,1,1,0,1,1,0
14057,1,1,0,1,1,0
14058,1,1,0,0,0,0
14059,2,2,0,2,2,0
14060,1,1,0,0,0,0
14061,1,1,0,1,1,0
14062,1,1,0,1,1,0
14063,3,2,1,3,2,1
14064,1,1,0,1,1,0
14065,1,1,0,1,1,0
14066,2,2,0,6,6,0
14067,6,6,0,32,32,0
14068,2,2,0,2,2,0
14069,1,1,0,1,1,0
14070,3,2,1,5,4,1
14071,1,1,0,1,1,0
14072,1,1,0,1,1,0
14073,2,2,0,2,2,0
14074,1,1,0,1,1,0
14075,1,1,0,1,1,0
14076,1,1,0,1,1,0
14077,2,2,0,0,0,0
14078,1,1,0,1,1,0
14079,2,2,0,2,2,0
14080,2,2,0,2,2,0
14081,1,1,0,1,1,0
14082,1,1,0,1,1,0
14083,6,4,2,6,4,2
14084,2,2,0,4,4,0
14085,2,2,0,2,2,0
14086,2,1,1,2,1,1
14087,1,1,0,1,1,0
14088,1,1,0,1,1,0
14089,1,1,0,1,1,0
14090,1,1,0,1,1,0
14091,2,2,0,2,2,0
14092,1,1,0,1,1,0
14093,5,5,0,20,19,1
14094,2,2,0,2,1,1
14095,1,1,0,1,1,0
14096,4,3,1,5,4,1
14097,20,20,0,20,20,0
14098,17,16,1,66,65,1
14099,1,1,0,1,1,0
14100,2,2,0,2,2,0
14101,10,10,0,10,10,0
14102,2,1,1,2,1,1
14103,2,2,0,2,2,0
14104,2,2,0,0,0,0
14105,2,2,0,5,5,0
14106,1,1,0,1,1,0
14107,1,1,0,1,1,0
14108,1,1,0,2,2,0
14109,2,1,1,0,0,0
14110,2,1,1,2,1,1
14111,1,1,0,3,2,1
14112,1,1,0,1,1,0
14113,1,1,0,1,1,0
14114,3,2,1,3,2,1
14115,1,1,0,1,1,0
14116,1,1,0,8,7,1
14117,1,1,0,1,1,0
14118,2,1,1,2,1,1
14119,1,1,0,2,2,0
14120,120,120,0,218,218,0
14121,2,2,0,2,2,0
14122,1,1,0,2,2,0
14123,2,1,1,2,1,1
14124,5,4,1,3,2,1
14125,2,1,1,2,1,1
15001,1,1,0,1,1,0
15002,2,2,0,2,2,0
15003,2,2,0,0,0,0
15004,1,1,0,1,1,0
15005,1,1,0,1,1,0
15006,2,2,0,1,0,1
15007,1,1,0,0,0,0
15008,1,1,0,1,1,0
15009,12,3,9,12,3,9
15010,3,2,1,3,2,1
15011,1,1,0,0,0,0
15012,2,2,0,2,2,0
15013,15,15,0,29,29,0
15014,1,1,0,1,1,0
15015,1,1,0,1,1,0
15016,2,1,1,2,1,1
15017,4,1,3,4,1,3
15018,2,2,0,2,2,0
15019,3,3,0,1,1,0
15020,3,3,0,6,6,0
15021,1,1,0,1,1,0
15022,1,1,0,1,1,0
15023,1,1,0,1,1,0
15024,4,4,0,4,4,0
15025,3,3,0,3,3,0
15026,3,1,2,1,0,1
15027,2,2,0,4,2,2
15028,1,1,0,1,1,0
15029,3,3,0,11,11,0
15030,1,1,0,1,1,0
15031,40,40,0,40,40,0
15032,1,1,0,1,1,0
15033,100,2,98,100,0,100
15034,1,1,0,1,1,0
15035,5,5,0,4,4,0
15036,2,2,0,2,2,0
15037,117,17,100,117,17,100
15038,1,1,0,2,2,0
15039,17,17,0,48,48,0
15040,1,1,0,2,2,0
15041,1,1,0,1,1,0
15042,1,1,0,16,16,0
15043,2,2,0,2,2,0
15044,1,1,0,1,1,0
15045,2,2,0,0,0,0
15046,2,1,1,2,1,1
15047,1,1,0,1,1,0
15048,2,1,1,2,1,1
15049,0,0,0,0,0,0
15050,2,1,1,2,1,1
15051,3,3,0,1,0,1
15052,2,2,0,2,2,0
15053,10,10,0,10,10,0
15054,6,6,0,24,24,0
15055,1,1,0,1,1,0
15056,1,0,1,1,0,1
15057,2,2,0,2,2,0
15058,252,2,250,326,76,250
15059,1,1,0,2,1,1
15060,6,6,0,6,6,0
15061,2,1,1,2,1,1
15062,3,2,1,3,2,1
15063,NA,NA,NA,NA,NA,NA
15064,1,1,0,2,0,2
15065,1,1,0,1,1,0
15066,0,0,0,0,0,0
15067,1,1,0,0,0,0
15068,2,1,1,2,1,1
15069,1,1,0,1,1,0
15070,4,4,0,4,4,0
15071,2,2,0,2,2,0
15072,1,1,0,1,1,0
15073,1,1,0,1,1,0
15074,1,1,0,0,0,0
15075,2,2,0,2,2,0
15076,2,1,1,2,1,1
15077,1,1,0,1,1,0
15078,1,1,0,1,1,0
15079,1,1,0,1,1,0
15080,1,1,0,1,1,0
15081,1,1,0,35,0,35
15082,1,1,0,1,1,0
15083,1,1,0,1,1,0
15084,3,2,1,3,2,1
15085,2,1,1,2,1,1
15086,1,1,0,1,1,0
15087,3,2,1,3,2,1
15088,1,1,0,1,1,0
15089,1,1,0,1,1,0
15090,2,2,0,4,4,0
15091,2,2,0,2,2,0
15092,1,1,0,1,0,1
15093,1,1,0,1,1,0
15094,1,1,0,1,1,0
15095,2,2,0,6,4,2
15096,2,1,1,2,1,1
15097,1,1,0,1,1,0
15098,1,1,0,0,0,0
15099,2,2,0,2,2,0
15100,1,1,0,1,1,0
15101,2,2,0,2,2,0
15102,1,1,0,1,1,0
15103,6,1,5,1,1,0
15104,221,51,170,221,51,170
15105,1,1,0,0,0,0
15106,57,57,0,57,57,0
15107,2,2,0,2,2,0
15108,45,4,41,45,4,41
15109,30,28,2,15,13,2
15110,2,2,0,10,10,0
15111,1,1,0,1,1,0
15112,2,2,0,2,2,0
15113,1,1,0,1,1,0
15114,1,1,0,0,0,0
15115,1,1,0,0,0,0
15116,1,1,0,1,1,0
15117,0,0,0,0,0,0
15118,2,2,0,2,2,0
15119,1,1,0,1,1,0
15120,2,1,1,2,1,1
15121,15,15,0,8,8,0
15122,4,4,0,4,4,0
15123,1,1,0,1,1,0
15124,4,3,1,4,3,1
15125,1,1,0,1,1,0
16001,1,1,0,1,1,0
16002,0,0,0,0,0,0
16003,1,1,0,0,0,0
16004,1,1,0,1,1,0
16005,1,0,1,0,0,0
16006,2,2,0,2,2,0
16007,1,0,1,1,0,1
16008,NA,NA,NA,NA,NA,NA
16009,1,1,0,0,0,0
16010,NA,NA,NA,NA,NA,NA
16011,1,1,0,0,0,0
16012,1,1,0,1,1,0
16013,1,1,0,1,0,1
16014,1,1,0,1,1,0
16015,1,0,1,1,0,1
16016,1,1,0,1,1,0
16017,1,1,0,1,1,0
16018,1,1,0,1,1,0
16019,1,1,0,1,1,0
16020,1,1,0,1,1,0
16021,0,0,0,0,0,0
16022,2,1,1,2,1,1
16023,1,1,0,1,1,0
16024,1,1,0,1,1,0
16025,1,1,0,1,1,0
16026,0,0,0,0,0,0
16027,1,1,0,1,1,0
16028,1,1,0,1,1,0
16029,0,0,0,0,0,0
16030,1,1,0,1,1,0
16031,1,1,0,1,1,0
16032,1,1,0,2,2,0
16033,1,0,1,1,0,1
16034,7,6,1,7,6,1
16035,1,1,0,1,1,0
16036,1,1,0,1,1,0
16037,0,0,0,1,1,0
16038,1,1,0,1,1,0
16039,1,1,0,1,1,0
16040,2,1,1,2,1,1
16041,3,2,1,3,2,1
16042,1,1,0,1,1,0
16043,2,2,0,6,6,0
16044,1,1,0,1,1,0
16045,1,1,0,1,1,0
16046,2,1,1,2,1,1
16047,1,1,0,1,1,0
16048,1,1,0,1,1,0
16049,1,1,0,1,1,0
16050,2,2,0,3,3,0
16051,ND,ND,ND,ND,ND,ND
16052,3,3,0,3,3,0
16053,1,1,0,80,80,0
16054,1,1,0,1,1,0
16055,1,0,1,1,0,1
16056,2,2,0,0,0,0
16057,1,1,0,0,0,0
16058,1,1,0,1,1,0
16059,1,1,0,0,0,0
16060,1,1,0,1,1,0
16061,1,1,0,1,1,0
16062,1,1,0,1,1,0
16063,1,1,0,1,1,0
16064,0,0,0,0,0,0
16065,1,1,0,0,0,0
16066,2,2,0,0,0,0
16067,1,1,0,1,1,0
16068,1,1,0,1,1,0
16069,4,3,1,4,3,1
16070,1,1,0,1,1,0
16071,1,1,0,1,1,0
16072,1,1,0,1,1,0
16073,1,1,0,1,1,0
16074,2,2,0,2,2,0
16075,1,1,0,5,5,0
16076,2,2,0,2,2,0
16077,3,3,0,3,3,0
16078,1,1,0,2,1,1
16079,1,1,0,1,1,0
16080,1,1,0,1,1,0
16081,1,1,0,1,1,0
16082,2,2,0,2,2,0
16083,3,2,1,3,2,1
16084,1,1,0,1,1,0
16085,2,1,1,2,1,1
16086,1,1,0,1,1,0
16087,1,1,0,1,1,0
16088,5,3,2,22,19,3
16089,1,1,0,1,1,0
16090,1,0,1,1,0,1
16091,1,1,0,1,1,0
16092,1,0,1,1,0,1
16093,1,1,0,0,0,0
16094,1,1,0,1,1,0
16095,1,1,0,1,1,0
16096,1,0,1,1,0,1
16097,2,2,0,2,2,0
16098,1,1,0,0,0,0
16099,1,1,0,1,1,0
16100,1,1,0,2,2,0
16101,1,1,0,1,1,0
16102,2,1,1,2,1,1
16103,1,1,0,1,1,0
16104,1,1,0,0,0,0
16105,1,1,0,1,1,0
16106,1,1,0,1,1,0
16107,2,2,0,2,2,0
16108,1,1,0,1,1,0
16109,1,1,0,1,1,0
16110,2,2,0,2,2,0
16111,1,1,0,1,1,0
16112,2,2,0,0,0,0
16113,1,1,0,1,1,0
17001,1,1,0,0,0,0
17002,2,1,1,2,1,1
17003,2,2,0,2,2,0
17004,2,2,0,2,2,0
17005,1,1,0,0,0,0
