ubicageo_f,infrapol_b,inffuntt,inffun1,inffun2,inffunne
4004,10,1,1,0,
4004,20,0,0,0,
4004,31,5,1,4,
4004,32,0,0,0,
4004,40,0,0,0,
4005,10,1,1,0,
4005,20,0,0,0,
4005,31,0,0,0,
4005,32,0,0,0,
4005,40,0,0,0,
4006,10,1,1,0,
4006,20,0,0,0,
4006,31,0,0,0,
4006,32,0,0,0,
4006,40,0,0,0,
4007,10,1,1,0,
4007,20,0,0,0,
4007,31,2,2,0,
4007,32,0,0,0,
4007,40,0,0,0,
4008,10,1,1,0,
4008,20,0,0,0,
4008,31,0,0,0,
4008,32,0,0,0,
4008,40,0,0,0,
4009,10,1,1,0,
4009,20,0,0,0,
4009,31,3,3,0,
4009,32,0,0,0,
4009,40,0,0,0,
4010,10,1,1,0,
4010,20,0,0,0,
4010,31,3,3,0,
4010,32,0,0,0,
4010,40,0,0,0,
4011,10,1,1,0,
4011,20,0,0,0,
4011,31,4,2,2,
4011,32,4,2,2,
4011,40,0,0,0,
4012,10,NA,NA,NA,
4012,20,NA,NA,NA,
4012,31,NA,NA,NA,
4012,32,NA,NA,NA,
4012,40,NA,NA,NA,
4013,10,NA,NA,NA,
4013,20,NA,NA,NA,
4013,31,NA,NA,NA,
4013,32,NA,NA,NA,
4013,40,NA,NA,NA,
5001,10,1,1,0,
5001,20,0,0,0,
5001,31,0,0,0,
5001,32,0,0,0,
5001,40,0,0,0,
5002,10,1,1,0,
5002,20,0,0,0,
5002,31,0,0,0,
5002,32,0,0,0,
5002,40,0,0,0,
5003,10,1,1,0,
5003,20,0,0,0,
5003,31,0,0,0,
5003,32,0,0,0,
5003,40,0,0,0,
5004,10,1,1,0,
5004,20,0,0,0,
5004,31,1,0,1,
5004,32,0,0,0,
5004,40,0,0,0,
5005,10,1,1,0,
5005,20,0,0,0,
5005,31,0,0,0,
5005,32,0,0,0,
5005,40,0,0,0,
5006,10,1,1,0,
5006,20,0,0,0,
5006,31,4,4,0,
5006,32,0,0,0,
5006,40,1,1,0,
5007,10,1,1,0,
5007,20,0,0,0,
5007,31,0,0,0,
5007,32,0,0,0,
5007,40,0,0,0,
5008,10,NA,NA,NA,
5008,20,NA,NA,NA,
5008,31,NA,NA,NA,
5008,32,NA,NA,NA,
5008,40,NA,NA,NA,
5009,10,1,1,0,
5009,20,0,0,0,
5009,31,1,1,0,
5009,32,0,0,0,
5009,40,0,0,0,
5010,10,1,1,0,
5010,20,0,0,0,
5010,31,0,0,0,
5010,32,0,0,0,
5010,40,0,0,0,
5011,10,1,1,0,
5011,20,0,0,0,
5011,31,0,0,0,
5011,32,0,0,0,
5011,40,0,0,0,
5012,10,NA,NA,NA,
5012,20,NA,NA,NA,
5012,31,NA,NA,NA,
5012,32,NA,NA,NA,
5012,40,NA,NA,NA,
5013,10,NA,NA,NA,
5013,20,NA,NA,NA,
5013,31,NA,NA,NA,
5013,32,NA,NA,NA,
5013,40,NA,NA,NA,
5014,10,1,1,0,
5014,20,0,0,0,
5014,31,0,0,0,
5014,32,0,0,0,
5014,40,0,0,0,
5015,10,NA,NA,NA,
5015,20,NA,NA,NA,
5015,31,NA,NA,NA,
5015,32,NA,NA,NA,
5015,40,NA,NA,NA,
5016,10,1,1,0,
5016,20,0,0,0,
5016,31,1,0,1,
5016,32,0,0,0,
5016,40,0,0,0,
5017,10,5,1,4,
5017,20,0,0,0,
5017,31,0,0,0,
5017,32,0,0,0,
5017,40,0,0,0,
5018,10,2,2,0,
5018,20,0,0,0,
5018,31,0,0,0,
5018,32,6,6,0,
5018,40,0,0,0,
5019,10,1,1,0,
5019,20,0,0,0,
5019,31,0,0,0,
5019,32,0,0,0,
5019,40,0,0,0,
5020,10,4,4,0,
5020,20,0,0,0,
5020,31,0,0,0,
5020,32,0,0,0,
5020,40,0,0,0,
5021,10,2,2,0,
5021,20,0,0,0,
5021,31,0,0,0,
5021,32,0,0,0,
5021,40,0,0,0,
5022,10,2,2,0,
5022,20,0,0,0,
5022,31,0,0,0,
5022,32,0,0,0,
5022,40,0,0,0,
5023,10,2,2,0,
5023,20,0,0,0,
5023,31,0,0,0,
5023,32,0,0,0,
5023,40,0,0,0,
5024,10,1,1,0,
5024,20,0,0,0,
5024,31,0,0,0,
5024,32,2,2,0,
5024,40,0,0,0,
5025,10,1,1,0,
5025,20,0,0,0,
5025,31,0,0,0,
5025,32,0,0,0,
5025,40,0,0,0,
5026,10,NA,NA,NA,
5026,20,NA,NA,NA,
5026,31,NA,NA,NA,
5026,32,NA,NA,NA,
5026,40,NA,NA,NA,
5027,10,5,5,0,
5027,20,0,0,0,
5027,31,0,0,0,
5027,32,0,0,0,
5027,40,0,0,0,
5028,10,1,1,0,
5028,20,0,0,0,
5028,31,0,0,0,
5028,32,0,0,0,
5028,40,0,0,0,
5029,10,1,1,0,
5029,20,0,0,0,
5029,31,0,0,0,
5029,32,0,0,0,
5029,40,0,0,0,
5030,10,11,7,4,
5030,20,1,1,0,
5030,31,0,0,0,
5030,32,49,49,0,
5030,40,0,0,0,
5031,10,1,1,0,
5031,20,0,0,0,
5031,31,0,0,0,
5031,32,1,1,0,
5031,40,0,0,0,
5032,10,2,2,0,
5032,20,0,0,0,
5032,31,1,1,0,
5032,32,0,0,0,
5032,40,0,0,0,
5033,10,1,1,0,
5033,20,0,0,0,
5033,31,0,0,0,
5033,32,0,0,0,
5033,40,0,0,0,
5034,10,1,1,0,
5034,20,0,0,0,
5034,31,0,0,0,
5034,32,0,0,0,
5034,40,0,0,0,
5035,10,1,1,0,
5035,20,1,1,0,
5035,31,3,3,0,
5035,32,4,4,0,
5035,40,1,1,0,
5036,10,1,1,0,
5036,20,4,4,0,
5036,31,0,0,0,
5036,32,0,0,0,
5036,40,0,0,0,
5037,10,1,1,0,
5037,20,0,0,0,
5037,31,0,0,0,
5037,32,0,0,0,
5037,40,0,0,0,
5038,10,1,1,0,
5038,20,0,0,0,
5038,31,0,0,0,
5038,32,0,0,0,
5038,40,0,0,0,
6001,10,1,1,0,
6001,20,0,0,0,
6001,31,9,0,9,
6001,32,0,0,0,
6001,40,0,0,0,
6002,10,1,1,0,
6002,20,0,0,0,
6002,31,5,0,5,
6002,32,0,0,0,
6002,40,0,0,0,
6003,10,1,1,0,
6003,20,0,0,0,
6003,31,0,0,0,
6003,32,0,0,0,
6003,40,0,0,0,
6004,10,1,1,0,
6004,20,0,0,0,
6004,31,1,1,0,
6004,32,0,0,0,
6004,40,0,0,0,
6005,10,1,1,0,
6005,20,0,0,0,
6005,31,0,0,0,
6005,32,0,0,0,
6005,40,0,0,0,
6006,10,1,1,0,
6006,20,0,0,0,
6006,31,0,0,0,
6006,32,0,0,0,
6006,40,0,0,0,
6007,10,2,2,0,
6007,20,0,0,0,
6007,31,22,1,21,
6007,32,0,0,0,
6007,40,0,0,0,
6008,10,1,1,0,
6008,20,0,0,0,
6008,31,3,2,1,
6008,32,0,0,0,
6008,40,0,0,0,
6009,10,1,1,0,
6009,20,0,0,0,
6009,31,2,2,0,
6009,32,0,0,0,
6009,40,0,0,0,
6010,10,1,1,0,
6010,20,0,0,0,
6010,31,0,0,0,
6010,32,0,0,0,
6010,40,0,0,0,
7001,10,1,1,0,
7001,20,0,0,0,
7001,31,0,0,0,
7001,32,0,0,0,
7001,40,0,0,0,
7002,10,1,1,0,
7002,20,0,0,0,
7002,31,3,3,0,
7002,32,0,0,0,
7002,40,0,0,0,
7003,10,2,2,0,
7003,20,0,0,0,
7003,31,0,0,0,
7003,32,0,0,0,
7003,40,0,0,0,
7004,10,1,1,0,
7004,20,0,0,0,
7004,31,2,2,0,
7004,32,0,0,0,
7004,40,0,0,0,
7005,10,1,1,0,
7005,20,0,0,0,
7005,31,0,0,0,
7005,32,0,0,0,
7005,40,0,0,0,
7006,10,6,6,0,
7006,20,0,0,0,
7006,31,0,0,0,
7006,32,0,0,0,
7006,40,0,0,0,
7007,10,1,1,0,
7007,20,0,0,0,
7007,31,0,0,0,
7007,32,0,0,0,
7007,40,0,0,0,
7008,10,0,0,0,
7008,20,1,1,0,
7008,31,1,1,0,
7008,32,0,0,0,
7008,40,0,0,0,
7009,10,1,1,0,
7009,20,1,1,0,
7009,31,0,0,0,
7009,32,0,0,0,
7009,40,0,0,0,
7010,10,4,4,0,
7010,20,0,0,0,
7010,31,0,0,0,
7010,32,0,0,0,
7010,40,0,0,0,
7011,10,1,1,0,
7011,20,0,0,0,
7011,31,1,0,1,
7011,32,0,0,0,
7011,40,0,0,0,
7012,10,1,1,0,
7012,20,0,0,0,
7012,31,5,2,3,
7012,32,0,0,0,
7012,40,0,0,0,
7013,10,1,1,0,
7013,20,0,0,0,
7013,31,7,7,0,
7013,32,0,0,0,
7013,40,0,0,0,
7014,10,1,1,0,
7014,20,0,0,0,
7014,31,0,0,0,
7014,32,0,0,0,
7014,40,0,0,0,
7015,10,1,1,0,
7015,20,0,0,0,
7015,31,4,2,2,
7015,32,0,0,0,
7015,40,0,0,0,
7016,10,1,1,0,
7016,20,0,0,0,
7016,31,3,2,1,
7016,32,0,0,0,
7016,40,0,0,0,
7017,10,1,1,0,
7017,20,0,0,0,
7017,31,3,0,3,
7017,32,0,0,0,
7017,40,0,0,0,
7018,10,1,1,0,
7018,20,0,0,0,
7018,31,0,0,0,
7018,32,0,0,0,
7018,40,0,0,0,
7019,10,1,1,0,
7019,20,1,1,0,
7019,31,5,1,4,
7019,32,0,0,0,
7019,40,0,0,0,
7020,10,1,1,0,
7020,20,0,0,0,
7020,31,4,4,0,
7020,32,0,0,0,
7020,40,0,0,0,
7021,10,1,1,0,
7021,20,0,0,0,
7021,31,0,0,0,
7021,32,0,0,0,
7021,40,0,0,0,
7022,10,1,1,0,
7022,20,0,0,0,
7022,31,3,3,0,
7022,32,0,0,0,
7022,40,0,0,0,
7023,10,0,0,0,
7023,20,0,0,0,
7023,31,0,0,0,
7023,32,0,0,0,
7023,40,0,0,0,
7024,10,1,1,0,
7024,20,0,0,0,
7024,31,0,0,0,
7024,32,0,0,0,
7024,40,0,0,0,
7025,10,1,1,0,
7025,20,0,0,0,
7025,31,1,1,0,
7025,32,0,0,0,
7025,40,0,0,0,
7026,10,1,1,0,
7026,20,0,0,0,
7026,31,0,0,0,
7026,32,0,0,0,
7026,40,0,0,0,
7027,10,1,1,0,
7027,20,0,0,0,
7027,31,0,0,0,
7027,32,0,0,0,
7027,40,0,0,0,
7028,10,1,1,0,
7028,20,0,0,0,
7028,31,2,2,0,
7028,32,0,0,0,
7028,40,0,0,0,
7029,10,1,1,0,
7029,20,0,0,0,
7029,31,0,0,0,
7029,32,0,0,0,
7029,40,0,0,0,
7030,10,1,1,0,
7030,20,0,0,0,
7030,31,0,0,0,
7030,32,0,0,0,
7030,40,0,0,0,
7031,10,2,2,0,
7031,20,1,1,0,
7031,31,4,4,0,
7031,32,0,0,0,
7031,40,0,0,0,
7032,10,2,2,0,
7032,20,0,0,0,
7032,31,0,0,0,
7032,32,0,0,0,
7032,40,0,0,0,
7033,10,1,1,0,
7033,20,0,0,0,
7033,31,0,0,0,
7033,32,0,0,0,
7033,40,0,0,0,
7034,10,1,1,0,
7034,20,0,0,0,
7034,31,0,0,0,
7034,32,0,0,0,
7034,40,0,0,0,
7035,10,1,1,0,
7035,20,0,0,0,
7035,31,0,0,0,
7035,32,0,0,0,
7035,40,0,0,0,
7036,10,1,1,0,
7036,20,0,0,0,
7036,31,0,0,0,
7036,32,0,0,0,
7036,40,0,0,0,
7037,10,2,2,0,
7037,20,0,0,0,
7037,31,0,0,0,
7037,32,0,0,0,
7037,40,0,0,0,
7038,10,1,1,0,
7038,20,0,0,0,
7038,31,0,0,0,
7038,32,0,0,0,
7038,40,0,0,0,
7039,10,1,1,0,
7039,20,0,0,0,
7039,31,2,2,0,
7039,32,0,0,0,
7039,40,0,0,0,
7040,10,1,1,0,
7040,20,0,0,0,
7040,31,7,7,0,
7040,32,0,0,0,
7040,40,0,0,0,
7041,10,1,1,0,
7041,20,0,0,0,
7041,31,2,2,0,
7041,32,0,0,0,
7041,40,0,0,0,
7042,10,1,1,0,
7042,20,0,0,0,
7042,31,0,0,0,
7042,32,0,0,0,
7042,40,0,0,0,
7043,10,1,1,0,
7043,20,0,0,0,
7043,31,4,4,0,
7043,32,0,0,0,
7043,40,0,0,0,
7044,10,1,1,0,
7044,20,0,0,0,
7044,31,0,0,0,
7044,32,0,0,0,
7044,40,0,0,0,
7045,10,1,1,0,
7045,20,0,0,0,
7045,31,2,2,0,
7045,32,0,0,0,
7045,40,0,0,0,
7046,10,1,1,0,
7046,20,0,0,0,
7046,31,0,0,0,
7046,32,0,0,0,
7046,40,0,0,0,
7047,10,1,1,0,
7047,20,0,0,0,
7047,31,0,0,0,
7047,32,0,0,0,
7047,40,0,0,0,
7048,10,1,1,0,
7048,20,0,0,0,
7048,31,0,0,0,
7048,32,0,0,0,
7048,40,0,0,0,
7049,10,1,1,0,
7049,20,0,0,0,
7049,31,0,0,0,
7049,32,0,0,0,
7049,40,0,0,0,
7050,10,1,1,0,
7050,20,0,0,0,
7050,31,0,0,0,
7050,32,0,0,0,
7050,40,0,0,0,
7051,10,1,1,0,
7051,20,0,0,0,
7051,31,0,0,0,
7051,32,0,0,0,
7051,40,1,1,0,
7052,10,1,1,0,
7052,20,0,0,0,
7052,31,6,6,0,
7052,32,0,0,0,
7052,40,0,0,0,
7053,10,1,1,0,
7053,20,0,0,0,
7053,31,0,0,0,
7053,32,0,0,0,
7053,40,0,0,0,
7054,10,1,1,0,
7054,20,0,0,0,
7054,31,0,0,0,
7054,32,0,0,0,
7054,40,0,0,0,
7055,10,1,1,0,
7055,20,0,0,0,
7055,31,0,0,0,
7055,32,0,0,0,
7055,40,0,0,0,
7056,10,0,0,0,
7056,20,0,0,0,
7056,31,0,0,0,
7056,32,0,0,0,
7056,40,0,0,0,
7057,10,2,2,0,
7057,20,0,0,0,
7057,31,2,2,0,
7057,32,13,13,0,
7057,40,0,0,0,
7058,10,1,1,0,
7058,20,0,0,0,
7058,31,1,1,0,
7058,32,0,0,0,
7058,40,0,0,0,
7059,10,1,1,0,
7059,20,0,0,0,
7059,31,0,0,0,
7059,32,0,0,0,
7059,40,0,0,0,
7060,10,1,1,0,
7060,20,0,0,0,
7060,31,1,1,0,
7060,32,0,0,0,
7060,40,0,0,0,
7061,10,1,1,0,
7061,20,0,0,0,
7061,31,4,4,0,
7061,32,0,0,0,
7061,40,0,0,0,
7062,10,1,1,0,
7062,20,0,0,0,
7062,31,0,0,0,
7062,32,0,0,0,
7062,40,0,0,0,
7063,10,1,1,0,
7063,20,0,0,0,
7063,31,0,0,0,
7063,32,0,0,0,
7063,40,0,0,0,
7064,10,0,0,0,
7064,20,0,0,0,
7064,31,0,0,0,
7064,32,0,0,0,
7064,40,1,1,0,
7065,10,1,1,0,
7065,20,0,0,0,
7065,31,1,1,0,
7065,32,0,0,0,
7065,40,0,0,0,
7066,10,1,1,0,
7066,20,0,0,0,
7066,31,0,0,0,
7066,32,0,0,0,
7066,40,0,0,0,
7067,10,1,1,0,
7067,20,0,0,0,
7067,31,0,0,0,
7067,32,0,0,0,
7067,40,0,0,0,
7068,10,0,0,0,
7068,20,0,0,0,
7068,31,0,0,0,
7068,32,0,0,0,
7068,40,0,0,0,
7069,10,1,1,0,
7069,20,1,1,0,
7069,31,1,1,0,
7069,32,0,0,0,
7069,40,0,0,0,
7070,10,2,2,0,
7070,20,0,0,0,
7070,31,0,0,0,
7070,32,0,0,0,
7070,40,0,0,0,
7071,10,3,3,0,
7071,20,0,0,0,
7071,31,0,0,0,
7071,32,0,0,0,
7071,40,0,0,0,
7072,10,1,1,0,
7072,20,0,0,0,
7072,31,2,2,0,
7072,32,0,0,0,
7072,40,0,0,0,
7073,10,1,1,0,
7073,20,0,0,0,
7073,31,0,0,0,
7073,32,0,0,0,
7073,40,0,0,0,
7074,10,1,1,0,
7074,20,0,0,0,
7074,31,4,4,0,
7074,32,0,0,0,
7074,40,0,0,0,
7075,10,1,1,0,
7075,20,0,0,0,
7075,31,0,0,0,
7075,32,0,0,0,
7075,40,0,0,0,
7076,10,1,1,0,
7076,20,0,0,0,
7076,31,2,2,0,
7076,32,0,0,0,
7076,40,0,0,0,
7077,10,1,1,0,
7077,20,0,0,0,
7077,31,5,5,0,
7077,32,0,0,0,
7077,40,0,0,0,
7078,10,1,1,0,
7078,20,0,0,0,
7078,31,4,0,4,
7078,32,0,0,0,
7078,40,0,0,0,
7079,10,1,1,0,
7079,20,0,0,0,
7079,31,3,2,1,
7079,32,0,0,0,
7079,40,0,0,0,
7080,10,1,1,0,
7080,20,0,0,0,
7080,31,2,0,2,
7080,32,0,0,0,
7080,40,0,0,0,
7081,10,1,1,0,
7081,20,0,0,0,
7081,31,4,2,2,
7081,32,0,0,0,
7081,40,0,0,0,
7082,10,1,1,0,
7082,20,0,0,0,
7082,31,0,0,0,
7082,32,0,0,0,
7082,40,0,0,0,
7083,10,1,1,0,
7083,20,0,0,0,
7083,31,0,0,0,
7083,32,0,0,0,
7083,40,0,0,0,
7084,10,1,1,0,
7084,20,0,0,0,
7084,31,0,0,0,
7084,32,0,0,0,
7084,40,0,0,0,
7085,10,3,3,0,
7085,20,0,0,0,
7085,31,0,0,0,
7085,32,0,0,0,
7085,40,0,0,0,
7086,10,1,1,0,
7086,20,0,0,0,
7086,31,5,5,0,
7086,32,0,0,0,
7086,40,0,0,0,
7087,10,2,2,0,
7087,20,0,0,0,
7087,31,0,0,0,
7087,32,0,0,0,
7087,40,0,0,0,
7088,10,1,1,0,
7088,20,0,0,0,
7088,31,0,0,0,
7088,32,0,0,0,
7088,40,0,0,0,
7089,10,1,1,0,
7089,20,0,0,0,
7089,31,23,2,21,
7089,32,0,0,0,
7089,40,0,0,0,
7090,10,1,1,0,
7090,20,0,0,0,
7090,31,1,1,0,
7090,32,0,0,0,
7090,40,0,0,0,
7091,10,1,1,0,
7091,20,0,0,0,
7091,31,0,0,0,
7091,32,0,0,0,
7091,40,0,0,0,
7092,10,4,4,0,
7092,20,0,0,0,
7092,31,0,0,0,
7092,32,0,0,0,
7092,40,0,0,0,
7093,10,1,1,0,
7093,20,0,0,0,
7093,31,0,0,0,
7093,32,0,0,0,
7093,40,0,0,0,
7094,10,1,1,0,
7094,20,0,0,0,
7094,31,0,0,0,
7094,32,0,0,0,
7094,40,0,0,0,
7096,10,1,1,0,
7096,20,0,0,0,
7096,31,5,5,0,
7096,32,0,0,0,
7096,40,0,0,0,
7097,10,1,1,0,
7097,20,0,0,0,
7097,31,9,5,4,
7097,32,0,0,0,
7097,40,0,0,0,
7098,10,1,1,0,
7098,20,0,0,0,
7098,31,1,1,0,
7098,32,0,0,0,
7098,40,0,0,0,
7099,10,1,1,0,
7099,20,0,0,0,
7099,31,2,2,0,
7099,32,0,0,0,
7099,40,0,0,0,
7100,10,1,1,0,
7100,20,0,0,0,
7100,31,3,3,0,
7100,32,0,0,0,
7100,40,0,0,0,
7101,10,0,0,0,
7101,20,1,0,1,
7101,31,0,0,0,
7101,32,0,0,0,
7101,40,0,0,0,
7102,10,1,1,0,
7102,20,0,0,0,
7102,31,2,2,0,
7102,32,0,0,0,
7102,40,0,0,0,
7103,10,1,1,0,
7103,20,0,0,0,
7103,31,0,0,0,
7103,32,0,0,0,
7103,40,0,0,0,
7104,10,1,1,0,
7104,20,0,0,0,
7104,31,3,3,0,
7104,32,0,0,0,
7104,40,0,0,0,
7105,10,1,1,0,
7105,20,0,0,0,
7105,31,1,1,0,
7105,32,0,0,0,
7105,40,0,0,0,
7106,10,0,0,0,
7106,20,0,0,0,
7106,31,1,0,1,
7106,32,0,0,0,
7106,40,1,1,0,
7107,10,1,1,0,
7107,20,0,0,0,
7107,31,2,2,0,
7107,32,0,0,0,
7107,40,0,0,0,
7108,10,1,1,0,
7108,20,0,0,0,
7108,31,11,11,0,
7108,32,0,0,0,
7108,40,0,0,0,
7109,10,1,1,0,
7109,20,0,0,0,
7109,31,7,7,0,
7109,32,0,0,0,
7109,40,0,0,0,
7110,10,1,1,0,
7110,20,0,0,0,
7110,31,4,4,0,
7110,32,0,0,0,
7110,40,0,0,0,
7111,10,1,1,0,
7111,20,0,0,0,
7111,31,0,0,0,
7111,32,0,0,0,
7111,40,0,0,0,
7112,10,1,1,0,
7112,20,0,0,0,
7112,31,0,0,0,
7112,32,0,0,0,
7112,40,0,0,0,
7113,10,1,1,0,
7113,20,0,0,0,
7113,31,0,0,0,
7113,32,0,0,0,
7113,40,0,0,0,
7114,10,1,1,0,
7114,20,0,0,0,
7114,31,0,0,0,
7114,32,0,0,0,
7114,40,0,0,0,
7115,10,1,1,0,
7115,20,0,0,0,
7115,31,0,0,0,
7115,32,0,0,0,
7115,40,0,0,0,
7116,10,1,1,0,
7116,20,0,0,0,
7116,31,0,0,0,
7116,32,0,0,0,
7116,40,0,0,0,
7117,10,1,1,0,
7117,20,0,0,0,
7117,31,0,0,0,
7117,32,0,0,0,
7117,40,0,0,0,
7118,10,1,1,0,
7118,20,0,0,0,
7118,31,1,1,0,
7118,32,0,0,0,
7118,40,0,0,0,
7119,10,1,1,0,
7119,20,0,0,0,
7119,31,0,0,0,
7119,32,0,0,0,
7119,40,0,0,0,
7120,10,1,1,0,
7120,20,0,0,0,
7120,31,0,0,0,
7120,32,0,0,0,
7120,40,0,0,0,
7121,10,1,1,0,
7121,20,0,0,0,
7121,31,0,0,0,
7121,32,0,0,0,
7121,40,0,0,0,
7122,10,1,1,0,
7122,20,0,0,0,
7122,31,2,2,0,
7122,32,0,0,0,
7122,40,0,0,0,
7123,10,0,0,0,
7123,20,1,1,0,
7123,31,2,1,1,
7123,32,0,0,0,
7123,40,0,0,0,
7124,10,2,2,0,
7124,20,0,0,0,
7124,31,1,1,0,
7124,32,0,0,0,
7124,40,0,0,0,
7125,10,1,1,0,
7125,20,0,0,0,
7125,31,1,1,0,
7125,32,0,0,0,
7125,40,0,0,0,
8001,10,1,1,0,
8001,20,0,0,0,
8001,31,0,0,0,
8001,32,0,0,0,
8001,40,0,0,0,
8002,10,2,2,0,
8002,20,0,0,0,
8002,31,0,0,0,
8002,32,0,0,0,
8002,40,0,0,0,
8003,10,2,2,0,
8003,20,0,0,0,
8003,31,0,0,0,
8003,32,0,0,0,
8003,40,0,0,0,
8004,10,1,1,0,
8004,20,0,0,0,
8004,31,0,0,0,
8004,32,0,0,0,
8004,40,0,0,0,
8005,10,3,3,0,
8005,20,0,0,0,
8005,31,0,0,0,
8005,32,3,3,0,
8005,40,0,0,0,
8006,10,1,1,0,
8006,20,0,0,0,
8006,31,0,0,0,
8006,32,0,0,0,
8006,40,0,0,0,
8007,10,3,3,0,
8007,20,0,0,0,
8007,31,0,0,0,
8007,32,0,0,0,
8007,40,0,0,0,
8008,10,1,1,0,
8008,20,0,0,0,
8008,31,0,0,0,
8008,32,0,0,0,
8008,40,0,0,0,
8009,10,0,0,0,
8009,20,0,0,0,
8009,31,0,0,0,
8009,32,0,0,0,
8009,40,0,0,0,
8010,10,5,5,0,
8010,20,0,0,0,
8010,31,0,0,0,
8010,32,0,0,0,
8010,40,0,0,0,
8011,10,1,1,0,
8011,20,NA,NA,NA,
8011,31,2,1,1,
8011,32,NA,NA,NA,
8011,40,NA,NA,NA,
8012,10,1,1,0,
8012,20,0,0,0,
8012,31,0,0,0,
8012,32,0,0,0,
8012,40,0,0,0,
8013,10,2,2,0,
8013,20,0,0,0,
8013,31,0,0,0,
8013,32,0,0,0,
8013,40,0,0,0,
8014,10,0,0,0,
8014,20,0,0,0,
8014,31,0,0,0,
8014,32,0,0,0,
8014,40,1,1,0,
8015,10,1,1,0,
8015,20,0,0,0,
8015,31,0,0,0,
8015,32,0,0,0,
8015,40,0,0,0,
8016,10,2,2,0,
8016,20,0,0,0,
8016,31,0,0,0,
8016,32,0,0,0,
8016,40,0,0,0,
8017,10,3,3,0,
8017,20,0,0,0,
8017,31,0,0,0,
8017,32,0,0,0,
8017,40,0,0,0,
8018,10,2,1,1,
8018,20,0,0,0,
8018,31,0,0,0,
8018,32,0,0,0,
8018,40,0,0,0,
8019,10,2,2,0,
8019,20,0,0,0,
8019,31,6,6,0,
8019,32,0,0,0,
8019,40,3,3,0,
8020,10,3,3,0,
8020,20,0,0,0,
8020,31,0,0,0,
8020,32,0,0,0,
8020,40,0,0,0,
8021,10,1,1,0,
8021,20,0,0,0,
8021,31,0,0,0,
8021,32,0,0,0,
8021,40,0,0,0,
8022,10,1,1,0,
8022,20,0,0,0,
8022,31,0,0,0,
8022,32,0,0,0,
8022,40,0,0,0,
