ubicageo_f,eqinfo9,eqinfo10,eqinfo11,eqinfo1,eqinfo2,eqinfo3,eqinfo4,eqinfo5,eqinfo6,eqinfo7,rnsnni1
8019,56,59,800,400,340,60,,56,0,56,1
8020,0,0,0,1,1,0,,1,1,0,1
8021,0,4,10,70,70,0,,0,0,0,2
8022,1,1,0,2,1,1,,2,2,0,2
8023,1,0,0,1,1,0,,0,0,0,1
8024,0,0,0,2,2,0,,2,1,1,2
8025,0,0,0,0,0,0,,0,0,0,2
8026,0,0,0,1,1,0,,1,1,0,2
8027,0,0,0,2,2,0,,4,2,2,1
8028,0,0,0,0,0,0,,0,0,0,2
8029,1,0,0,1,1,0,,0,0,0,2
8030,0,0,0,2,2,0,,1,0,1,2
8031,3,3,0,3,3,0,,0,0,0,1
8032,6,3,0,69,66,3,,17,17,0,1
8033,0,0,0,1,0,1,,0,0,0,2
8034,0,0,0,0,0,0,,0,0,0,2
8035,1,0,0,1,1,0,,1,0,1,1
8036,1,1,0,4,4,0,,2,0,2,2
8037,73,13,300,586,583,3,,73,0,73,1
8038,0,0,0,4,3,1,,1,0,1,1
8039,0,0,0,0,0,0,,0,0,0,2
8040,4,0,0,5,5,0,,4,4,0,1
8041,0,0,0,0,0,0,,0,0,0,2
8042,0,0,0,0,0,0,,0,0,0,2
8043,0,0,0,1,1,0,,1,0,1,2
8044,0,0,0,1,1,0,,1,1,0,2
8045,3,1,0,17,15,2,,9,7,2,1
8046,0,0,0,1,1,0,,0,0,0,2
8047,0,0,0,1,1,0,,1,1,0,2
8048,1,0,0,1,1,0,,1,0,1,2
8049,0,0,0,1,1,0,,1,1,0,2
8050,0,0,0,17,17,0,,6,0,6,2
8051,0,0,0,3,3,0,,1,0,1,2
8052,4,2,0,7,7,0,,4,0,4,2
8053,0,0,0,0,0,0,,0,0,0,2
8054,1,1,0,3,3,0,,1,0,1,1
8055,1,0,0,4,4,0,,2,0,2,2
8056,0,0,0,3,3,0,,0,0,0,2
8057,0,0,0,1,1,0,,1,1,0,2
8058,0,0,0,0,0,0,,0,0,0,2
8059,1,0,0,2,1,1,,0,0,0,1
8060,0,2,0,2,2,0,,1,1,0,2
8061,0,0,0,2,1,1,,1,0,1,2
8062,4,3,0,5,4,1,,3,0,3,2
8063,0,0,0,3,2,1,,2,0,2,2
8064,0,0,0,0,0,0,,0,0,0,2
8065,0,0,0,1,0,1,,1,1,0,2
8066,1,0,0,1,1,0,,1,1,0,2
8067,1,0,0,1,1,0,,1,1,0,2
9002,NA,NA,NA,NA,NA,NA,,NA,NA,NA,0
9003,NA,NA,NA,NA,NA,NA,,NA,NA,NA,0
9004,NA,NA,NA,NA,NA,NA,,NA,NA,NA,0
9005,NA,NA,NA,NA,NA,NA,,NA,NA,NA,0
9006,NA,NA,NA,NA,NA,NA,,NA,NA,NA,0
9007,NA,NA,NA,NA,NA,NA,,NA,NA,NA,0
9008,NA,NA,NA,NA,NA,NA,,NA,NA,NA,0
9009,NA,NA,NA,NA,NA,NA,,NA,NA,NA,0
9010,NA,NA,NA,NA,NA,NA,,NA,NA,NA,0
9011,NA,NA,NA,NA,NA,NA,,NA,NA,NA,0
9012,NA,NA,NA,NA,NA,NA,,NA,NA,NA,0
9013,NA,NA,NA,NA,NA,NA,,NA,NA,NA,0
9014,NA,NA,NA,NA,NA,NA,,NA,NA,NA,0
9015,NA,NA,NA,NA,NA,NA,,NA,NA,NA,0
9016,NA,NA,NA,NA,NA,NA,,NA,NA,NA,0
9017,NA,NA,NA,NA,NA,NA,,NA,NA,NA,0
10001,0,0,0,2,2,0,,2,2,0,2
10002,0,0,0,1,1,0,,0,0,0,1
10003,0,0,0,0,0,0,,0,0,0,2
10004,0,0,0,2,2,0,,2,2,0,2
10005,0,0,0,163,150,13,,35,32,3,2
10006,0,0,0,1,1,0,,1,1,0,2
10007,1,1,0,39,35,4,,4,0,4,1
10008,1,0,0,3,3,0,,1,1,0,1
10009,0,0,0,1,1,0,,1,1,0,1
10010,0,0,0,1,1,0,,0,0,0,1
10011,0,0,0,1,1,0,,1,1,0,1
10012,6,0,10,25,23,2,,34,29,5,2
10013,1,1,1,3,3,0,,1,1,0,1
10014,0,0,0,3,3,0,,3,3,0,2
10015,0,0,0,1,1,0,,1,1,0,2
10016,0,0,0,1,1,0,,1,1,0,1
10017,1,0,0,1,1,0,,0,0,0,1
10018,0,0,0,1,1,0,,1,1,0,1
10019,0,0,0,0,0,0,,0,0,0,2
10020,0,0,0,1,1,0,,1,0,1,2
10021,0,0,0,0,0,0,,0,0,0,2
10022,0,0,0,3,2,1,,2,0,2,2
10023,3,0,0,4,4,0,,3,3,0,9
10024,1,0,0,1,1,0,,1,1,0,1
10025,0,0,0,1,1,0,,0,0,0,1
10026,3,0,0,1,1,0,,2,0,2,2
10027,0,0,0,1,0,1,,0,0,0,2
10028,0,0,0,2,2,0,,2,0,2,2
10029,1,0,0,1,1,0,,1,0,1,2
10030,0,0,0,2,2,0,,0,0,0,2
10031,0,0,0,0,0,0,,0,0,0,2
10032,1,0,0,2,2,0,,1,0,1,2
10033,0,0,0,1,1,0,,1,1,0,1
10034,0,1,0,2,1,1,,1,0,1,2
10035,0,0,0,2,2,0,,2,0,2,2
10036,1,0,0,1,1,0,,0,0,0,2
10037,0,0,0,1,1,0,,1,1,0,2
10038,1,0,0,1,1,0,,0,0,0,9
10039,0,0,0,2,2,0,,1,0,1,1
11001,1,1,0,14,10,4,,1,0,1,2
11002,1,0,0,38,32,6,,12,12,0,1
11003,1,1,0,11,11,0,,1,0,1,1
11004,0,32,0,32,30,2,,11,0,11,1
11005,0,0,0,21,20,1,,3,0,3,9
11006,0,0,0,2,2,0,,1,1,0,2
11007,3,1,0,25,20,5,,6,3,3,9
11008,NA,NA,NA,NA,NA,NA,,NA,NA,NA,9
11009,1,0,0,6,4,2,,3,3,0,1
11010,5,0,0,5,5,0,,3,0,3,9
11011,1,1,0,21,17,4,,2,1,1,1
11012,1,6,0,8,6,2,,2,0,2,1
11013,0,0,0,6,6,0,,2,0,2,1
11014,10,2,0,40,36,4,,16,16,0,1
11015,11,0,0,32,32,0,,11,0,11,1
11016,3,3,0,6,4,2,,0,0,0,2
11017,0,14,0,52,50,2,,2,0,2,1
11018,0,0,0,16,15,1,,5,5,0,2
11019,0,0,0,3,3,0,,2,1,1,2
11020,8,0,20,251,233,18,,50,15,35,1
11021,1,0,0,6,5,1,,2,0,2,1
11022,0,1,0,9,6,3,,3,2,1,2
11023,2,1,0,18,16,2,,15,12,3,1
11024,1,0,0,2,2,0,,1,0,1,9
11025,1,1,0,46,46,0,,2,0,2,1
11026,0,0,0,10,10,0,,3,0,3,2
11027,4,5,5,88,81,7,,16,10,6,2
11028,7,1,0,39,37,2,,11,11,0,2
11029,0,0,0,20,11,9,,7,7,0,1
11030,9,0,9,29,26,3,,11,10,1,2
11031,11,2,2,68,56,12,,40,40,0,1
11032,1,1,0,10,10,0,,3,0,3,2
11033,0,0,0,20,17,3,,1,0,1,2
11034,0,1,0,3,3,0,,2,0,2,2
11035,NSS,NSS,NSS,NSS,NSS,NSS,,NSS,NSS,NSS,2
11036,1,1,1,6,5,1,,4,0,4,2
11037,8,1,0,30,27,3,,9,7,2,2
11038,0,0,0,1,1,0,,1,0,1,2
11039,NSS,NSS,NSS,10,NSS,NSS,10,NSS,NSS,NSS,9
11040,3,1,0,6,3,3,,3,2,1,2
11041,2,1,0,19,17,2,,0,0,0,2
11042,4,1,0,18,15,3,,4,0,4,1
11043,1,0,0,5,5,0,,1,0,1,2
11044,1,2,0,21,20,1,,2,1,1,9
11045,1,0,0,2,2,0,,2,2,0,9
11046,0,0,0,8,3,5,,2,0,2,2
12001,15,2,9,192,179,13,,52,46,6,2
12002,1,0,0,1,1,0,,1,1,0,1
12003,0,0,0,0,0,0,,0,0,0,2
12004,0,0,0,1,1,0,,0,0,0,2
12005,0,0,0,0,0,0,,0,0,0,2
12006,0,0,0,1,1,0,,0,0,0,2
12007,1,0,0,1,1,0,,0,0,0,1
12008,1,1,0,1,1,0,,1,1,0,2
12009,0,0,0,0,0,0,,0,0,0,2
12010,0,0,0,1,1,0,,1,1,0,2
12011,0,0,0,3,3,0,,2,2,0,2
12012,0,0,0,1,1,0,,1,1,0,2
12013,0,0,0,1,1,0,,0,0,0,1
12014,0,0,0,1,1,0,,1,1,0,2
12015,1,0,0,2,1,1,,1,0,1,1
12016,0,0,0,0,0,0,,0,0,0,2
12017,0,0,0,0,0,0,,0,0,0,2
12018,1,0,0,1,1,0,,0,0,0,2
12019,0,0,0,0,0,0,,0,0,0,2
12020,0,0,0,1,1,0,,1,0,1,2
12021,0,0,0,3,3,0,,1,0,1,1
12022,0,0,0,1,1,0,,1,1,0,2
12023,1,1,0,1,1,0,,1,0,1,9
12024,0,0,0,1,1,0,,1,1,0,1
12025,1,0,1,1,1,0,,0,0,0,2
12026,0,0,0,0,0,0,,0,0,0,2
12027,0,0,0,0,0,0,,0,0,0,2
12028,2,0,0,7,7,0,,2,0,2,1
12029,0,3,0,23,21,2,,5,3,2,1
12030,0,0,0,1,1,0,,1,1,0,2
12031,0,0,0,0,0,0,,0,0,0,2
12032,1,0,0,1,1,0,,0,0,0,2
12033,0,0,0,1,1,0,,1,0,1,1
12034,1,2,0,3,3,0,,2,2,0,1
12035,10,0,0,10,9,1,,5,5,0,2
12036,0,0,0,1,1,0,,1,1,0,2
12037,1,0,0,1,1,0,,1,0,1,2
12038,0,0,0,22,20,2,,14,9,5,2
12039,1,0,0,5,5,0,,1,0,1,2
12040,1,0,0,2,2,0,,1,1,0,2
12041,0,0,0,1,1,0,,1,1,0,2
12042,0,0,0,1,1,0,,1,1,0,2
12043,0,0,0,1,1,0,,0,0,0,2
12044,0,0,0,2,1,1,,2,2,0,1
12045,1,0,0,2,2,0,,1,0,1,1
12046,0,0,0,2,1,1,,1,1,0,1
12047,0,0,0,0,0,0,,0,0,0,2
12048,5,0,0,5,5,0,,0,0,0,2
12049,0,1,0,1,1,0,,1,1,0,1
12050,0,0,0,2,2,0,,2,2,0,1
12051,0,0,0,3,1,2,,2,1,1,2
12052,2,1,0,2,2,0,,2,0,2,1
12053,3,0,0,2,2,0,,3,1,2,1
12054,0,1,0,2,2,0,,2,2,0,1
12055,1,0,0,11,11,0,,6,5,1,2
12056,0,0,0,1,1,0,,1,1,0,2
12057,1,0,0,2,2,0,,0,0,0,1
12058,0,0,0,1,1,0,,1,1,0,1
12059,0,0,0,2,2,0,,2,2,0,2
12060,0,0,0,0,0,0,,0,0,0,2
12061,7,1,0,8,7,1,,7,7,0,2
12062,0,0,0,1,1,0,,1,1,0,2
12063,0,0,0,0,0,0,,0,0,0,2
12064,0,0,0,1,1,0,,0,0,0,2
12065,1,0,0,1,1,0,,0,0,0,2
12066,3,0,0,6,6,0,,3,0,3,2
12067,0,0,0,1,1,0,,0,0,0,1
12068,0,0,0,3,3,0,,2,0,2,2
12069,0,0,0,0,0,0,,0,0,0,2
12070,0,0,0,1,1,0,,1,1,0,1
12071,0,0,0,1,1,0,,1,1,0,2
12072,0,0,0,1,1,0,,1,1,0,2
12073,0,0,0,1,1,0,,1,1,0,1
12074,0,0,0,1,1,0,,1,1,0,2
12075,1,0,0,5,5,0,,1,0,1,2
12076,1,0,0,2,2,0,,0,0,0,2
12077,1,0,0,1,1,0,,1,0,1,2
12078,0,0,0,1,1,0,,1,1,0,2
12079,0,0,0,2,1,1,,1,0,1,2
12080,0,0,0,1,1,0,,1,1,0,2
12081,0,0,0,1,1,0,,1,1,0,2
12082,NA,NA,NA,NA,NA,NA,,NA,NA,NA,0
12083,NA,NA,NA,NA,NA,NA,,NA,NA,NA,0
12084,NA,NA,NA,NA,NA,NA,,NA,NA,NA,0
12085,NA,NA,NA,NA,NA,NA,,NA,NA,NA,0
13001,1,1,0,2,2,0,,1,0,1,2
13002,2,1,0,2,2,0,,2,0,2,1
13003,1,0,1,14,13,1,,3,0,3,2
13004,3,0,0,4,0,4,,0,0,0,1
13005,1,1,0,2,2,0,,2,2,0,1
13006,1,0,0,4,3,1,,0,0,0,1
13007,0,0,0,3,2,1,,1,0,1,2
13008,3,1,0,5,4,1,,4,0,4,2
13009,2,2,0,3,1,2,,3,2,1,2
13010,2,0,0,4,3,1,,1,0,1,2
13011,1,0,0,1,1,0,,1,0,1,1
13012,1,1,0,2,2,0,,1,0,1,1
13013,0,0,0,10,10,0,,3,0,3,9
13014,1,0,0,1,1,0,,1,1,0,2
13015,2,0,0,3,3,0,,2,0,2,1
13016,8,0,0,8,8,0,,3,0,3,2
13017,0,0,0,4,4,0,,1,0,1,2
13018,1,1,0,1,1,0,,1,1,0,1
13019,1,1,0,4,3,1,,4,0,4,1
13020,1,0,0,1,1,0,,1,0,1,2
13021,0,0,0,3,3,0,,2,0,2,2
13022,2,0,0,3,3,0,,0,0,0,1
13023,0,0,0,2,2,0,,2,2,0,1
13024,0,0,0,2,2,0,,2,2,0,2
13025,1,0,0,2,1,1,,1,0,1,2
13026,0,2,0,1,1,0,,1,0,1,1
13027,0,0,0,1,1,0,,1,0,1,1
13028,0,0,0,10,10,0,,6,0,6,2
13029,1,1,0,4,4,0,,3,0,3,2
13030,0,0,0,9,8,1,,2,0,2,2
13031,1,1,0,1,1,0,,1,0,1,2
13032,0,0,0,2,2,0,,1,0,1,1
13033,2,2,0,2,2,0,,1,0,1,2
13034,1,1,0,2,0,2,,1,0,1,1
13035,0,0,0,3,3,0,,2,0,2,1
13036,1,0,0,2,2,0,,1,1,0,1
13037,4,0,0,2,2,0,,2,0,2,1
13038,1,0,0,1,1,0,,2,1,1,1
13039,1,0,0,4,3,1,,0,0,0,2
13040,0,0,0,1,1,0,,1,0,1,1
13041,1,0,0,3,3,0,,1,0,1,1
13042,1,0,0,3,2,1,,3,1,2,1
13043,0,0,0,1,1,0,,1,0,1,1
13044,0,0,0,5,4,1,,3,3,0,1
13045,0,0,0,2,2,0,,1,0,1,2
13046,0,1,0,2,0,2,,2,0,2,1
13047,0,0,0,2,2,0,,2,2,0,2
13048,14,8,0,146,128,18,,40,0,40,1
13049,0,0,0,1,1,0,,1,1,0,1
13050,0,0,0,3,2,1,,1,0,1,1
13051,2,0,0,31,25,6,,4,1,3,1
13052,2,0,0,3,2,1,,1,0,1,2
13053,0,0,0,2,2,0,,1,0,1,1
13054,0,0,0,2,2,0,,2,0,2,9
13055,1,0,0,3,3,0,,2,0,2,1
13056,1,0,0,3,3,0,,3,0,3,2
13057,1,1,0,2,2,0,,1,0,1,1
13058,1,1,1,1,1,0,,0,0,0,1
13059,2,0,0,2,2,0,,1,0,1,1
13060,0,0,0,3,3,0,,0,0,0,2
13061,0,0,0,4,3,1,,3,0,3,2
13062,0,0,0,2,1,1,,1,0,1,2
13063,0,0,0,13,12,1,,2,0,2,2
13064,1,0,1,1,1,0,,0,0,0,2
13065,0,0,0,3,3,0,,1,0,1,2
13066,1,0,0,2,1,1,,1,0,1,2
13067,0,0,0,4,3,1,,3,0,3,2
13068,0,1,0,2,1,1,,1,0,1,2
13069,14,0,0,54,39,15,,1,1,0,9
13070,1,0,0,2,2,0,,1,0,1,2
13071,2,0,0,1,1,0,,1,1,0,2
13072,0,0,0,1,1,0,,1,1,0,2
13073,1,0,0,1,1,0,,1,1,0,2
13074,0,0,0,1,1,0,,1,0,1,2
13075,1,0,0,3,3,0,,1,0,1,1
13076,2,0,0,25,25,0,,7,4,3,1
13077,1,1,1,12,10,2,,5,4,1,1
13078,1,0,0,1,1,0,,1,1,0,2
13079,0,0,0,1,1,0,,1,1,0,2
13080,0,0,0,2,1,1,,1,0,1,2
13081,1,1,0,8,4,4,,3,0,3,2
13082,0,1,0,2,2,0,,1,0,1,1
13083,2,1,0,14,11,3,,3,2,1,1
13084,0,0,0,5,5,0,,1,0,1,2
14001,2,0,0,2,2,0,,2,2,0,2
14002,0,0,0,3,3,0,,1,0,1,2
14003,1,0,0,5,4,1,,1,0,1,9
14004,1,0,0,1,1,0,,1,0,1,1
14005,1,0,0,6,6,0,,1,0,1,2
14006,1,1,0,5,4,1,,2,0,2,1
14007,0,0,0,2,1,1,,1,0,1,2
14008,4,0,0,14,12,2,,2,0,2,2
14009,1,0,0,3,3,0,,1,0,1,2
14010,0,0,0,1,1,0,,0,0,0,2
14011,1,0,0,2,2,0,,0,0,0,1
14012,0,0,3,5,1,4,,3,0,3,1
14013,2,0,0,6,4,2,,5,5,0,2
14014,1,0,0,2,2,0,,1,1,0,2
14015,3,0,0,18,18,0,,8,8,0,2
14016,0,0,0,2,2,0,,1,1,0,2
14017,0,1,0,4,2,2,,2,1,1,1
14018,2,0,0,8,8,0,,3,2,1,1
