ubicageo_f,tipoequi_g,rnsnni1,totalca1
2002,42,2,NA
2002,50,2,NA
2002,60,2,NA
2002,70,2,NA
2002,80,2,NA
2002,90,1,1300
2002,101,2,NA
2002,102,2,NA
2002,103,2,NA
2002,104,2,NA
2002,105,2,NA
2002,110,2,NA
2003,10,2,NA
2003,20,2,NA
2003,30,2,NA
2003,41,2,NA
2003,42,2,NA
2003,50,2,NA
2003,60,2,NA
2003,70,2,NA
2003,80,2,NA
2003,90,1,15
2003,101,1,3
2003,102,2,NA
2003,103,2,NA
2003,104,2,NA
2003,105,2,NA
2003,110,2,NA
2004,10,2,NA
2004,20,2,NA
2004,30,2,NA
2004,41,2,NA
2004,42,2,NA
2004,50,2,NA
2004,60,1,9
2004,70,1,280
2004,80,2,NA
2004,90,1,2348
2004,101,1,210
2004,102,2,NA
2004,103,2,NA
2004,104,2,NA
2004,105,2,NA
2004,110,1,430
2005,10,1,1
2005,20,2,NA
2005,30,1,2
2005,41,2,NA
2005,42,1,2
2005,50,2,NA
2005,60,2,NA
2005,70,1,15
2005,80,2,NA
2005,90,1,10
2005,101,1,11
2005,102,2,NA
2005,103,2,NA
2005,104,2,NA
2005,105,2,NA
2005,110,2,NA
2006,10,2,NA
2006,20,2,NA
2006,30,2,NA
2006,41,2,NA
2006,42,2,NA
2006,50,2,NA
2006,60,2,NA
2006,70,2,NA
2006,80,2,NA
2006,90,2,NA
2006,101,2,NA
2006,102,2,NA
2006,103,2,NA
2006,104,2,NA
2006,105,2,NA
2006,110,2,NA
2007,10,2,NA
2007,20,2,NA
2007,30,2,NA
2007,41,2,NA
2007,42,2,NA
2007,50,2,NA
2007,60,2,NA
2007,70,2,NA
2007,80,2,NA
2007,90,2,NA
2007,101,1,3
2007,102,2,NA
2007,103,2,NA
2007,104,2,NA
2007,105,2,NA
2007,110,2,NA
3001,10,2,NA
3001,20,2,NA
3001,30,2,NA
3001,41,2,NA
3001,42,2,NA
3001,50,2,NA
3001,60,2,NA
3001,70,2,NA
3001,80,2,NA
3001,90,1,1
3001,101,2,NA
3001,102,2,NA
3001,103,2,NA
3001,104,2,NA
3001,105,2,NA
3001,110,2,NA
3002,10,2,NA
3002,20,2,NA
3002,30,2,NA
3002,41,2,NA
3002,42,2,NA
3002,50,2,NA
3002,60,2,NA
3002,70,2,NA
3002,80,2,NA
3002,90,1,41
3002,101,1,1
3002,102,1,1
3002,103,1,1
3002,104,2,NA
3002,105,2,NA
3002,110,2,NA
3003,10,2,NA
3003,20,2,NA
3003,30,2,NA
3003,41,2,NA
3003,42,2,NA
3003,50,2,NA
3003,60,1,3
3003,70,2,NA
3003,80,2,NA
3003,90,1,118
3003,101,2,NA
3003,102,2,NA
3003,103,2,NA
3003,104,2,NA
3003,105,2,NA
3003,110,2,NA
3008,10,2,NA
3008,20,2,NA
3008,30,2,NA
3008,41,2,NA
3008,42,2,NA
3008,50,2,NA
3008,60,2,NA
3008,70,2,NA
3008,80,2,NA
3008,90,2,NA
3008,101,2,NA
3008,102,2,NA
3008,103,2,NA
3008,104,2,NA
3008,105,2,NA
3008,110,2,NA
3009,10,2,NA
3009,20,2,NA
3009,30,2,NA
3009,41,2,NA
3009,42,2,NA
3009,50,2,NA
3009,60,2,NA
3009,70,2,NA
3009,80,2,NA
3009,90,2,NA
3009,101,2,NA
3009,102,2,NA
3009,103,2,NA
3009,104,2,NA
3009,105,2,NA
3009,110,2,NA
4001,10,2,NA
4001,20,2,NA
4001,30,2,NA
4001,41,2,NA
4001,42,2,NA
4001,50,2,NA
4001,60,2,NA
4001,70,2,NA
4001,80,2,NA
4001,90,1,1
4001,101,2,NA
4001,102,2,NA
4001,103,2,NA
4001,104,2,NA
4001,105,2,NA
4001,110,2,NA
4002,10,2,NA
4002,20,2,NA
4002,30,2,NA
4002,41,2,NA
4002,42,2,NA
4002,50,2,NA
4002,60,2,NA
4002,70,2,NA
4002,80,2,NA
4002,90,2,NA
4002,101,2,NA
4002,102,2,NA
4002,103,2,NA
4002,104,2,NA
4002,105,2,NA
4002,110,2,NA
4003,10,2,NA
4003,20,2,NA
4003,30,2,NA
4003,41,2,NA
4003,42,2,NA
4003,50,2,NA
4003,60,1,5
4003,70,2,NA
4003,80,1,2
4003,90,2,NA
4003,101,2,NA
4003,102,2,NA
4003,103,2,NA
4003,104,2,NA
4003,105,2,NA
4003,110,2,NA
4004,10,2,NA
4004,20,2,NA
4004,30,2,NA
4004,41,2,NA
4004,42,2,NA
4004,50,2,NA
4004,60,2,NA
4004,70,2,NA
4004,80,2,NA
4004,90,1,14
4004,101,2,NA
4004,102,2,NA
4004,103,2,NA
4004,104,2,NA
4004,105,2,NA
4004,110,2,NA
4005,10,2,NA
4005,20,2,NA
4005,30,2,NA
4005,41,2,NA
4005,42,2,NA
4005,50,2,NA
4005,60,2,NA
4005,70,2,NA
4005,80,2,NA
4005,90,2,NA
4005,101,2,NA
4005,102,2,NA
4005,103,2,NA
4005,104,2,NA
4005,105,2,NA
4005,110,2,NA
4006,10,2,NA
4006,20,2,NA
4006,30,2,NA
4006,41,2,NA
4006,42,2,NA
4006,50,2,NA
4006,60,2,NA
4006,70,2,NA
4006,80,2,NA
4006,90,2,NA
4006,101,2,NA
4006,102,2,NA
4006,103,2,NA
4006,104,2,NA
4006,105,2,NA
4006,110,2,NA
4007,10,2,NA
4007,20,2,NA
4007,30,2,NA
4007,41,2,NA
4007,42,2,NA
4007,50,2,NA
4007,60,2,NA
4007,70,2,NA
4007,80,2,NA
4007,90,2,NA
4007,101,2,NA
4007,102,2,NA
4007,103,2,NA
4007,104,2,NA
4007,105,2,NA
4007,110,2,NA
4008,10,2,NA
4008,20,2,NA
4008,30,2,NA
4008,41,2,NA
4008,42,1,1
4008,50,2,NA
4008,60,2,NA
4008,70,2,NA
4008,80,2,NA
4008,90,1,10
4008,101,2,NA
4008,102,2,NA
4008,103,2,NA
4008,104,2,NA
4008,105,2,NA
4008,110,2,NA
4009,10,2,NA
4009,20,2,NA
4009,30,2,NA
4009,41,2,NA
4009,42,2,NA
4009,50,2,NA
4009,60,2,NA
4009,70,2,NA
4009,80,2,NA
4009,90,2,NA
4009,101,2,NA
4009,102,2,NA
4009,103,2,NA
4009,104,2,NA
4009,105,2,NA
4009,110,2,NA
4010,10,2,NA
4010,20,2,NA
4010,30,2,NA
4010,41,2,NA
4010,42,2,NA
4010,50,2,NA
4010,60,2,NA
4010,70,2,NA
4010,80,2,NA
4010,90,2,NA
4010,101,2,NA
4010,102,2,NA
4010,103,2,NA
4010,104,2,NA
4010,105,2,NA
4010,110,2,NA
4011,10,2,NA
4011,20,2,NA
4011,30,2,NA
4011,41,2,NA
4011,42,2,NA
4011,50,2,NA
4011,60,2,NA
4011,70,2,NA
4011,80,2,NA
4011,90,2,NA
4011,101,2,NA
4011,102,2,NA
4011,103,2,NA
4011,104,2,NA
4011,105,2,NA
4011,110,2,NA
4012,10,0,NA
4012,20,0,NA
4012,30,0,NA
4012,41,0,NA
4012,42,0,NA
4012,50,0,NA
4012,60,0,NA
4012,70,0,NA
4012,80,0,NA
4012,90,0,NA
4012,101,0,NA
4012,102,0,NA
4012,103,0,NA
4012,104,0,NA
4012,105,0,NA
4012,110,0,NA
4013,10,0,NA
4013,20,0,NA
4013,30,0,NA
4013,41,0,NA
4013,42,0,NA
4013,50,0,NA
4013,60,0,NA
4013,70,0,NA
4013,80,0,NA
4013,90,0,NA
4013,101,0,NA
4013,102,0,NA
4013,103,0,NA
4013,104,0,NA
4013,105,0,NA
4013,110,0,NA
5001,10,2,NA
5001,20,2,NA
5001,30,2,NA
5001,41,2,NA
5001,42,2,NA
5001,50,2,NA
5001,60,2,NA
5001,70,2,NA
5001,80,2,NA
5001,90,2,NA
5001,101,2,NA
5001,102,2,NA
5001,103,2,NA
5001,104,2,NA
5001,105,2,NA
5001,110,2,NA
5002,10,2,NA
5002,20,2,NA
5002,30,2,NA
5002,41,2,NA
5002,42,2,NA
5002,50,2,NA
5002,60,2,NA
5002,70,2,NA
5002,80,2,NA
5002,90,2,NA
5002,101,2,NA
5002,102,2,NA
5002,103,2,NA
5002,104,2,NA
5002,105,2,NA
5002,110,2,NA
5003,10,2,NA
5003,20,2,NA
5003,30,2,NA
5003,41,2,NA
5003,42,2,NA
5003,50,2,NA
5003,60,2,NA
5003,70,2,NA
5003,80,2,NA
5003,90,2,NA
5003,101,2,NA
5003,102,2,NA
5003,103,2,NA
5003,104,2,NA
5003,105,2,NA
5003,110,2,NA
5004,10,2,NA
5004,20,2,NA
5004,30,2,NA
5004,41,2,NA
5004,42,2,NA
5004,50,2,NA
5004,60,1,2
5004,70,2,NA
5004,80,2,NA
5004,90,2,NA
5004,101,2,NA
5004,102,2,NA
5004,103,2,NA
5004,104,2,NA
5004,105,2,NA
5004,110,2,NA
5005,10,2,NA
5005,20,2,NA
5005,30,2,NA
5005,41,2,NA
5005,42,2,NA
5005,50,2,NA
5005,60,2,NA
5005,70,2,NA
5005,80,2,NA
5005,90,2,NA
5005,101,2,NA
5005,102,2,NA
5005,103,2,NA
5005,104,2,NA
5005,105,2,NA
5005,110,2,NA
5006,10,2,NA
5006,20,2,NA
5006,30,2,NA
5006,41,2,NA
5006,42,2,NA
5006,50,2,NA
5006,60,1,150
5006,70,2,NA
5006,80,2,NA
5006,90,2,NA
5006,101,2,NA
5006,102,2,NA
5006,103,2,NA
5006,104,2,NA
5006,105,2,NA
5006,110,2,NA
5007,10,2,NA
5007,20,1,4
5007,30,2,NA
5007,41,2,NA
5007,42,2,NA
5007,50,2,NA
5007,60,2,NA
5007,70,2,NA
5007,80,2,NA
5007,90,2,NA
5007,101,2,NA
5007,102,2,NA
5007,103,2,NA
5007,104,2,NA
5007,105,2,NA
5007,110,2,NA
5008,10,0,NA
5008,20,0,NA
5008,30,0,NA
5008,41,0,NA
5008,42,0,NA
5008,50,0,NA
5008,60,0,NA
5008,70,0,NA
5008,80,0,NA
5008,90,0,NA
5008,101,0,NA
5008,102,0,NA
5008,103,0,NA
5008,104,0,NA
5008,105,0,NA
5008,110,0,NA
5009,10,2,NA
5009,20,2,NA
5009,30,2,NA
5009,41,2,NA
5009,42,2,NA
5009,50,2,NA
5009,60,2,NA
5009,70,2,NA
5009,80,2,NA
5009,90,2,NA
5009,101,2,NA
5009,102,2,NA
5009,103,2,NA
5009,104,2,NA
5009,105,2,NA
5009,110,2,NA
5010,10,2,NA
5010,20,2,NA
5010,30,2,NA
5010,41,2,NA
5010,42,2,NA
5010,50,2,NA
5010,60,1,1
5010,70,2,NA
5010,80,2,NA
5010,90,2,NA
5010,101,2,NA
5010,102,2,NA
5010,103,2,NA
5010,104,2,NA
5010,105,2,NA
5010,110,2,NA
5011,10,2,NA
5011,20,2,NA
5011,30,2,NA
5011,41,2,NA
5011,42,2,NA
5011,50,2,NA
5011,60,2,NA
5011,70,2,NA
5011,80,2,NA
5011,90,2,NA
5011,101,2,NA
5011,102,2,NA
5011,103,2,NA
5011,104,2,NA
5011,105,2,NA
5011,110,2,NA
5012,10,0,NA
5012,20,0,NA
5012,30,0,NA
5012,41,0,NA
5012,42,0,NA
5012,50,0,NA
5012,60,0,NA
5012,70,0,NA
5012,80,0,NA
5012,90,0,NA
5012,101,0,NA
5012,102,0,NA
5012,103,0,NA
5012,104,0,NA
5012,105,0,NA
5012,110,0,NA
5013,10,0,NA
5013,20,0,NA
5013,30,0,NA
5013,41,0,NA
5013,42,0,NA
5013,50,0,NA
5013,60,0,NA
5013,70,0,NA
5013,80,0,NA
5013,90,0,NA
5013,101,0,NA
5013,102,0,NA
5013,103,0,NA
5013,104,0,NA
5013,105,0,NA
5013,110,0,NA
5014,10,2,NA
5014,20,2,NA
5014,30,2,NA
5014,41,2,NA
5014,42,2,NA
5014,50,2,NA
5014,60,2,NA
5014,70,2,NA
5014,80,2,NA
5014,90,2,NA
5014,101,2,NA
5014,102,2,NA
5014,103,2,NA
5014,104,2,NA
5014,105,2,NA
5014,110,2,NA
5015,10,0,NA
5015,20,0,NA
5015,30,0,NA
5015,41,0,NA
5015,42,0,NA
5015,50,0,NA
5015,60,0,NA
5015,70,0,NA
5015,80,0,NA
5015,90,0,NA
5015,101,0,NA
5015,102,0,NA
5015,103,0,NA
5015,104,0,NA
5015,105,0,NA
5015,110,0,NA
5016,10,2,NA
5016,20,2,NA
5016,30,2,NA
5016,41,2,NA
5016,42,2,NA
5016,50,2,NA
5016,60,2,NA
5016,70,2,NA
5016,80,2,NA
5016,90,2,NA
5016,101,2,NA
5016,102,2,NA
5016,103,2,NA
5016,104,2,NA
5016,105,2,NA
5016,110,2,NA
5017,10,2,NA
5017,20,2,NA
5017,30,2,NA
5017,41,2,NA
5017,42,2,NA
5017,50,2,NA
5017,60,1,1
5017,70,2,NA
5017,80,2,NA
5017,90,1,6
5017,101,2,NA
5017,102,2,NA
5017,103,2,NA
5017,104,2,NA
5017,105,2,NA
5017,110,2,NA
5018,10,2,NA
5018,20,1,55
5018,30,2,NA
5018,41,2,NA
5018,42,2,NA
5018,50,2,NA
5018,60,1,2
5018,70,1,150
5018,80,2,NA
5018,90,2,NA
5018,101,2,NA
5018,102,2,NA
5018,103,2,NA
5018,104,2,NA
5018,105,2,NA
5018,110,2,NA
5019,10,2,NA
5019,20,2,NA
5019,30,2,NA
5019,41,2,NA
5019,42,2,NA
5019,50,2,NA
5019,60,2,NA
5019,70,2,NA
5019,80,2,NA
5019,90,2,NA
5019,101,2,NA
5019,102,2,NA
5019,103,2,NA
5019,104,2,NA
5019,105,2,NA
5019,110,2,NA
5020,10,2,NA
5020,20,2,NA
5020,30,2,NA
5020,41,2,NA
5020,42,1,2
5020,50,2,NA
5020,60,1,1
5020,70,2,NA
5020,80,2,NA
5020,90,2,NA
5020,101,2,NA
5020,102,2,NA
5020,103,2,NA
5020,104,2,NA
5020,105,2,NA
5020,110,2,NA
5021,10,2,NA
5021,20,2,NA
5021,30,2,NA
5021,41,2,NA
5021,42,2,NA
5021,50,2,NA
5021,60,2,NA
5021,70,2,NA
5021,80,2,NA
5021,90,2,NA
5021,101,2,NA
5021,102,2,NA
5021,103,2,NA
5021,104,2,NA
5021,105,2,NA
5021,110,2,NA
5022,10,2,NA
5022,20,2,NA
5022,30,2,NA
5022,41,2,NA
5022,42,2,NA
5022,50,2,NA
5022,60,2,NA
5022,70,2,NA
5022,80,2,NA
5022,90,2,NA
5022,101,2,NA
5022,102,2,NA
5022,103,2,NA
5022,104,2,NA
5022,105,2,NA
5022,110,2,NA
5023,10,2,NA
5023,20,2,NA
5023,30,2,NA
5023,41,2,NA
5023,42,2,NA
5023,50,2,NA
5023,60,2,NA
5023,70,2,NA
5023,80,2,NA
5023,90,2,NA
5023,101,2,NA
5023,102,2,NA
5023,103,2,NA
5023,104,2,NA
5023,105,2,NA
5023,110,2,NA
5024,10,2,NA
5024,20,1,10
5024,30,2,NA
5024,41,2,NA
5024,42,2,NA
5024,50,2,NA
5024,60,1,2
5024,70,2,NA
5024,80,2,NA
5024,90,1,9
5024,101,2,NA
5024,102,2,NA
5024,103,2,NA
5024,104,2,NA
5024,105,2,NA
5024,110,2,NA
5025,10,2,NA
5025,20,2,NA
5025,30,2,NA
5025,41,2,NA
5025,42,1,23
5025,50,2,NA
5025,60,1,2
5025,70,2,NA
5025,80,1,2
5025,90,1,30
5025,101,2,NA
5025,102,2,NA
5025,103,2,NA
5025,104,2,NA
5025,105,2,NA
5025,110,2,NA
5026,10,0,NA
5026,20,0,NA
5026,30,0,NA
5026,41,0,NA
5026,42,0,NA
5026,50,0,NA
5026,60,0,NA
5026,70,0,NA
5026,80,0,NA
5026,90,0,NA
5026,101,0,NA
5026,102,0,NA
5026,103,0,NA
5026,104,0,NA
5026,105,0,NA
5026,110,0,NA
5027,10,2,NA
5027,20,2,NA
5027,30,2,NA
5027,41,2,NA
5027,42,2,NA
5027,50,2,NA
5027,60,2,NA
5027,70,2,NA
5027,80,2,NA
5027,90,2,NA
5027,101,2,NA
5027,102,2,NA
5027,103,2,NA
5027,104,2,NA
5027,105,2,NA
5027,110,2,NA
5028,10,2,NA
5028,20,2,NA
5028,30,2,NA
5028,41,2,NA
5028,42,2,NA
5028,50,2,NA
5028,60,2,NA
5028,70,2,NA
5028,80,2,NA
5028,90,2,NA
5028,101,2,NA
5028,102,2,NA
5028,103,2,NA
5028,104,2,NA
5028,105,2,NA
5028,110,2,NA
5029,10,2,NA
5029,20,2,NA
5029,30,2,NA
5029,41,2,NA
5029,42,2,NA
5029,50,2,NA
5029,60,2,NA
5029,70,2,NA
5029,80,2,NA
5029,90,2,NA
5029,101,2,NA
5029,102,2,NA
5029,103,2,NA
5029,104,2,NA
5029,105,2,NA
5029,110,2,NA
5030,10,2,NA
5030,20,2,NA
5030,30,2,NA
5030,41,2,NA
5030,42,2,NA
5030,50,2,NA
5030,60,1,NSS
5030,70,1,NSS
5030,80,2,NA
5030,90,1,NSS
5030,101,1,NSS
5030,102,2,NA
5030,103,2,NA
5030,104,2,NA
5030,105,2,NA
5030,110,2,NA
5031,10,2,NA
5031,20,2,NA
5031,30,2,NA
5031,41,2,NA
5031,42,2,NA
5031,50,2,NA
5031,60,2,NA
5031,70,2,NA
5031,80,2,NA
5031,90,1,4
5031,101,2,NA
5031,102,2,NA
5031,103,2,NA
5031,104,2,NA
5031,105,2,NA
5031,110,2,NA
5032,10,9,NSS
5032,20,9,NSS
5032,30,2,NA
5032,41,2,NA
5032,42,2,NA
5032,50,2,NA
5032,60,2,NA
5032,70,1,10
5032,80,2,NA
5032,90,1,15
5032,101,2,NA
5032,102,2,NA
5032,103,2,NA
5032,104,2,NA
5032,105,2,NA
5032,110,2,NA
5033,10,2,NA
5033,20,2,NA
5033,30,2,NA
5033,41,2,NA
5033,42,2,NA
5033,50,2,NA
5033,60,1,2
5033,70,2,NA
5033,80,1,3
5033,90,2,NA
5033,101,2,NA
5033,102,2,NA
5033,103,2,NA
5033,104,2,NA
5033,105,2,NA
5033,110,2,NA
5034,10,2,NA
5034,20,2,NA
5034,30,2,NA
5034,41,2,NA
5034,42,2,NA
5034,50,2,NA
5034,60,2,NA
5034,70,2,NA
5034,80,2,NA
5034,90,2,NA
5034,101,2,NA
5034,102,2,NA
5034,103,2,NA
5034,104,2,NA
5034,105,2,NA
5034,110,2,NA
5035,10,2,NA
5035,20,2,NA
5035,30,1,163
5035,41,1,1
5035,42,2,NA
5035,50,2,NA
5035,60,2,NA
5035,70,1,1
5035,80,2,NA
5035,90,1,250
5035,101,2,NA
5035,102,2,NA
5035,103,1,3
5035,104,2,NA
5035,105,2,NA
5035,110,2,NA
5036,10,2,NA
5036,20,2,NA
5036,30,2,NA
5036,41,2,NA
5036,42,2,NA
5036,50,2,NA
5036,60,2,NA
5036,70,2,NA
5036,80,2,NA
5036,90,2,NA
5036,101,2,NA
5036,102,2,NA
5036,103,2,NA
5036,104,2,NA
5036,105,2,NA
5036,110,2,NA
5037,10,2,NA
5037,20,2,NA
5037,30,2,NA
5037,41,2,NA
5037,42,2,NA
5037,50,2,NA
5037,60,2,NA
5037,70,2,NA
5037,80,2,NA
5037,90,2,NA
5037,101,2,NA
5037,102,2,NA
5037,103,2,NA
5037,104,2,NA
5037,105,2,NA
5037,110,2,NA
5038,10,2,NA
5038,20,2,NA
5038,30,2,NA
5038,41,2,NA
5038,42,2,NA
5038,50,2,NA
5038,60,2,NA
5038,70,2,NA
5038,80,2,NA
5038,90,2,NA
5038,101,2,NA
5038,102,2,NA
5038,103,2,NA
5038,104,2,NA
5038,105,2,NA
5038,110,2,NA
6001,10,2,NA
6001,20,2,NA
6001,30,2,NA
6001,41,2,NA
6001,42,1,3
6001,50,2,NA
6001,60,2,NA
6001,70,2,NA
6001,80,2,NA
6001,90,1,24
6001,101,1,1
6001,102,2,NA
6001,103,2,NA
6001,104,2,NA
6001,105,2,NA
6001,110,2,NA
6002,10,2,NA
6002,20,2,NA
6002,30,2,NA
6002,41,2,NA
6002,42,1,10
6002,50,2,NA
6002,60,1,1
6002,70,2,NA
6002,80,1,1
6002,90,2,NA
6002,101,1,1
6002,102,2,NA
6002,103,2,NA
6002,104,2,NA
6002,105,2,NA
6002,110,2,NA
6003,10,2,NA
6003,20,2,NA
6003,30,2,NA
6003,41,2,NA
6003,42,2,NA
6003,50,2,NA
6003,60,2,NA
6003,70,2,NA
6003,80,2,NA
6003,90,1,20
6003,101,2,NA
6003,102,2,NA
6003,103,2,NA
6003,104,2,NA
6003,105,2,NA
6003,110,2,NA
6004,10,2,NA
6004,20,2,NA
6004,30,2,NA
6004,41,2,NA
6004,42,2,NA
6004,50,2,NA
6004,60,1,1
6004,70,2,NA
6004,80,2,NA
6004,90,1,26
6004,101,1,1
6004,102,2,NA
6004,103,2,NA
6004,104,2,NA
6004,105,2,NA
6004,110,2,NA
6005,10,2,NA
6005,20,2,NA
6005,30,2,NA
6005,41,2,NA
6005,42,2,NA
6005,50,2,NA
6005,60,2,NA
6005,70,2,NA
6005,80,2,NA
6005,90,1,15
6005,101,2,NA
6005,102,2,NA
6005,103,2,NA
6005,104,2,NA
6005,105,2,NA
6005,110,2,NA
6006,10,2,NA
6006,20,2,NA
6006,30,2,NA
6006,41,2,NA
6006,42,1,3
6006,50,2,NA
6006,60,2,NA
6006,70,2,NA
6006,80,2,NA
6006,90,2,NA
6006,101,1,1
6006,102,2,NA
6006,103,2,NA
6006,104,2,NA
6006,105,2,NA
6006,110,2,NA
6007,10,2,NA
6007,20,2,NA
6007,30,2,NA
6007,41,2,NA
6007,42,1,5
6007,50,2,NA
6007,60,1,1
6007,70,2,NA
6007,80,2,NA
6007,90,1,2
6007,101,2,NA
6007,102,2,NA
6007,103,2,NA
6007,104,2,NA
6007,105,2,NA
6007,110,2,NA
6008,10,2,NA
6008,20,2,NA
6008,30,2,NA
6008,41,2,NA
6008,42,1,3
6008,50,2,NA
6008,60,2,NA
6008,70,2,NA
6008,80,1,1
6008,90,1,17
6008,101,1,1
6008,102,2,NA
6008,103,2,NA
6008,104,2,NA
6008,105,2,NA
6008,110,2,NA
6009,10,2,NA
6009,20,2,NA
6009,30,1,23
6009,41,2,NA
6009,42,2,NA
6009,50,2,NA
6009,60,2,NA
6009,70,2,NA
6009,80,2,NA
6009,90,2,NA
6009,101,2,NA
6009,102,2,NA
6009,103,2,NA
6009,104,2,NA
6009,105,2,NA
6009,110,2,NA
6010,10,2,NA
6010,20,2,NA
6010,30,2,NA
6010,41,2,NA
6010,42,2,NA
6010,50,2,NA
6010,60,1,2
6010,70,2,NA
6010,80,2,NA
6010,90,1,93
6010,101,9,NSS
6010,102,2,NA
6010,103,2,NA
6010,104,2,NA
6010,105,2,NA
6010,110,2,NA
7001,10,2,NA
7001,20,2,NA
7001,30,2,NA
7001,41,2,NA
7001,42,2,NA
7001,50,2,NA
7001,60,2,NA
7001,70,2,NA
7001,80,2,NA
7001,90,2,NA
7001,101,2,NA
7001,102,2,NA
7001,103,2,NA
7001,104,2,NA
7001,105,2,NA
7001,110,2,NA
7002,10,2,NA
7002,20,2,NA
7002,30,2,NA
7002,41,2,NA
7002,42,2,NA
7002,50,2,NA
7002,60,2,NA
7002,70,2,NA
7002,80,2,NA
7002,90,2,NA
7002,101,2,NA
7002,102,2,NA
7002,103,2,NA
7002,104,2,NA
7002,105,2,NA
7002,110,2,NA
7003,10,9,NSS
7003,20,9,NSS
7003,30,9,NSS
7003,41,9,NSS
7003,42,9,NSS
7003,50,9,NSS
7003,60,1,2
7003,70,9,NSS
7003,80,9,NSS
7003,90,9,NSS
7003,101,9,NSS
7003,102,9,NSS
7003,103,9,NSS
7003,104,9,NSS
7003,105,9,NSS
7003,110,9,NSS
7004,10,2,NA
7004,20,2,NA
7004,30,2,NA
7004,41,2,NA
7004,42,2,NA
7004,50,2,NA
7004,60,2,NA
7004,70,2,NA
7004,80,2,NA
7004,90,2,NA
