ubicageo_f,aniorefe_b,rnsnni1,totalca1,pudisptt,pudisp1,pudisp2,pudispne
7104,1,2,NA,NA,NA,NA,
7104,2,1,0,85,85,0,
7105,1,2,NA,NA,NA,NA,
7105,2,2,NA,NA,NA,NA,
7106,1,2,NA,NA,NA,NA,
7106,2,1,130,130,130,0,
7107,1,9,NSS,NSS,NSS,NSS,
7107,2,1,0,364,364,0,
7108,1,1,0,143,73,70,
7108,2,1,0,127,84,43,
7109,1,1,2,8,0,8,
7109,2,1,0,7,0,7,
7110,1,2,NA,NA,NA,NA,
7110,2,1,0,2,0,2,
7111,1,1,0,2,2,0,
7111,2,1,0,25,25,0,
7112,1,2,NA,NA,NA,NA,
7112,2,2,NA,NA,NA,NA,
7113,1,1,0,87,87,0,
7113,2,1,0,349,349,0,
7114,1,1,0,53,53,0,
7114,2,1,0,103,103,0,
7115,1,2,NA,NA,NA,NA,
7115,2,2,NA,NA,NA,NA,
7116,1,2,NA,NA,NA,NA,
7116,2,2,NA,NA,NA,NA,
7117,1,2,NA,NA,NA,NA,
7117,2,1,1,26,25,1,
7118,1,1,0,10,10,0,
7118,2,1,0,80,80,0,
7119,1,1,0,10,10,0,
7119,2,1,0,15,15,0,
7120,1,1,5,5,5,0,
7120,2,1,35,35,35,0,
7121,1,1,0,10,10,0,
7121,2,1,0,80,80,0,
7122,1,2,NA,NA,NA,NA,
7122,2,1,26,26,26,0,
7123,1,2,NA,NA,NA,NA,
7123,2,2,NA,NA,NA,NA,
7124,1,2,NA,NA,NA,NA,
7124,2,2,NA,NA,NA,NA,
7125,1,1,0,15,15,0,
7125,2,1,0,20,20,0,
8001,1,1,4,4,0,4,
8001,2,1,12,5,0,5,
8002,1,1,0,991,991,0,
8002,2,1,0,1524,1524,0,
8003,1,1,0,70,65,5,
8003,2,1,0,60,55,5,
8004,1,1,2,2,2,0,
8004,2,1,4,4,4,0,
8005,1,9,NSS,NSS,NSS,NSS,
8005,2,1,0,3241,3191,50,
8006,1,2,NA,NA,NA,NA,
8006,2,2,NA,NA,NA,NA,
8007,1,1,0,75,75,0,
8007,2,1,0,85,83,2,
8008,1,1,0,2,0,2,
8008,2,1,0,13,10,3,
8009,1,2,NA,NA,NA,NA,
8009,2,2,NA,NA,NA,NA,
8010,1,1,0,2,0,2,
8010,2,1,0,1,0,1,
8011,1,1,31,1837,1662,175,
8011,2,1,29,2454,2258,196,
8012,1,2,NA,NA,NA,NA,
8012,2,2,NA,NA,NA,NA,
8013,1,9,NSS,NSS,NSS,NSS,
8013,2,9,NSS,NSS,NSS,NSS,
8014,1,2,NA,NA,NA,NA,
8014,2,2,NA,NA,NA,NA,
8015,1,1,12,12,12,0,
8015,2,1,35,35,35,0,
8016,1,1,0,2,0,2,
8016,2,1,0,2,0,2,
8017,1,1,NSS,95,0,95,
8017,2,1,NSS,6843,6612,231,
8018,1,2,NA,NA,NA,NA,
8018,2,2,NA,NA,NA,NA,
8019,1,1,971,19724,18004,1720,
8019,2,1,950,17269,15532,1737,
8020,1,2,NA,NA,NA,NA,
8020,2,1,1,1,0,1,
8021,1,1,0,3828,3462,366,
8021,2,1,0,3497,3062,435,
8022,1,2,NA,NA,NA,NA,
8022,2,2,NA,NA,NA,NA,
8023,1,2,NA,NA,NA,NA,
8023,2,2,NA,NA,NA,NA,
8024,1,2,NA,NA,NA,NA,
8024,2,2,NA,NA,NA,NA,
8025,1,2,NA,NA,NA,NA,
8025,2,2,NA,NA,NA,NA,
8026,1,2,NA,NA,NA,NA,
8026,2,2,NA,NA,NA,NA,
8027,1,1,0,23,0,23,
8027,2,1,0,215,180,35,
8028,1,2,NA,NA,NA,NA,
8028,2,2,NA,NA,NA,NA,
8029,1,1,0,108,100,8,
8029,2,1,0,64,64,0,
8030,1,2,NA,NA,NA,NA,
8030,2,1,3,3,0,3,
8031,1,2,NA,NA,NA,NA,
8031,2,2,NA,NA,NA,NA,
8032,1,1,351,9075,9075,0,
8032,2,1,1786,9075,9075,0,
8033,1,1,0,2,2,0,
8033,2,1,0,3,3,0,
8034,1,2,NA,NA,NA,NA,
8034,2,2,NA,NA,NA,NA,
8035,1,2,NA,NA,NA,NA,
8035,2,2,NA,NA,NA,NA,
8036,1,1,0,12,0,12,
8036,2,1,0,1980,1968,12,
8037,1,1,1,11913,395,11518,
8037,2,1,1,15489,6310,9179,
8038,1,9,NSS,NSS,NSS,NSS,
8038,2,1,0,9,3,6,
8039,1,9,NSS,NSS,NSS,NSS,
8039,2,1,2,220,220,0,
8040,1,1,0,1105,1105,0,
8040,2,1,0,870,870,0,
8041,1,2,NA,NA,NA,NA,
8041,2,2,NA,NA,NA,NA,
8042,1,2,NA,NA,NA,NA,
8042,2,2,NA,NA,NA,NA,
8043,1,2,NA,NA,NA,NA,
8043,2,2,NA,NA,NA,NA,
8044,1,1,0,25,25,0,
8044,2,1,0,26,26,0,
8045,1,1,0,1629,1356,273,
8045,2,1,0,942,802,140,
8046,1,1,2,2,2,0,
8046,2,1,2,2,2,0,
8047,1,2,NA,NA,NA,NA,
8047,2,2,NA,NA,NA,NA,
8048,1,1,2,NSS,NSS,NSS,
8048,2,1,3,0,0,0,
8049,1,2,NA,NA,NA,NA,
8049,2,2,NA,NA,NA,NA,
8050,1,1,NSS,1756,1512,244,
8050,2,1,36,1589,1315,274,
8051,1,2,NA,NA,NA,NA,
8051,2,2,NA,NA,NA,NA,
8052,1,1,2,1875,1860,15,
8052,2,1,1,989,977,12,
8053,1,2,NA,NA,NA,NA,
8053,2,2,NA,NA,NA,NA,
8054,1,2,NA,NA,NA,NA,
8054,2,2,NA,NA,NA,NA,
8055,1,9,NSS,NSS,NSS,NSS,
8055,2,1,1,34,0,34,
8056,1,2,NA,NA,NA,NA,
8056,2,2,NA,NA,NA,NA,
8057,1,2,NA,NA,NA,NA,
8057,2,2,NA,NA,NA,NA,
8058,1,1,1,1,0,1,
8058,2,1,2,2,0,2,
8059,1,1,0,14,14,0,
8059,2,1,0,209,207,2,
8060,1,1,158,380,368,12,
8060,2,1,93,665,655,10,
8061,1,2,NA,NA,NA,NA,
8061,2,2,NA,NA,NA,NA,
8062,1,1,7,899,867,32,
8062,2,1,13,945,917,28,
8063,1,1,5,5,0,5,
8063,2,1,5,3,0,3,
8064,1,1,0,10,10,0,
8064,2,1,1,24,23,1,
8065,1,2,NA,NA,NA,NA,
8065,2,1,1,20,20,0,
8066,1,2,NA,NA,NA,NA,
8066,2,2,NA,NA,NA,NA,
8067,1,2,NA,NA,NA,NA,
8067,2,2,NA,NA,NA,NA,
9002,1,0,NA,NA,NA,NA,
9002,2,0,NA,NA,NA,NA,
9003,1,0,NA,NA,NA,NA,
9003,2,0,NA,NA,NA,NA,
9004,1,0,NA,NA,NA,NA,
9004,2,0,NA,NA,NA,NA,
9005,1,0,NA,NA,NA,NA,
9005,2,0,NA,NA,NA,NA,
9006,1,0,NA,NA,NA,NA,
9006,2,0,NA,NA,NA,NA,
9007,1,0,NA,NA,NA,NA,
9007,2,0,NA,NA,NA,NA,
9008,1,0,NA,NA,NA,NA,
9008,2,0,NA,NA,NA,NA,
