ubicageo_f,aniorefe_b,rnsnni1,totalca1,pudisptt,pudisp1,pudisp2,pudispne
15103,2,1,3,1026,972,54,
15104,1,1,600,6311,5000,1311,
15104,2,1,427,6227,5300,927,
15105,1,9,NSS,NSS,NSS,NSS,
15105,2,9,NSS,NSS,NSS,NSS,
15106,1,1,95,984,250,734,
15106,2,1,146,3058,1331,1727,
15107,1,1,0,145,140,5,
15107,2,1,0,165,160,5,
15108,1,2,NA,NA,NA,NA,
15108,2,1,35,2098,1920,178,
15109,1,1,95,2278,1780,498,
15109,2,1,73,3092,2653,439,
15110,1,2,NA,NA,NA,NA,
15110,2,1,1,578,578,0,
15111,1,9,NSS,NSS,NSS,NSS,
15111,2,1,0,583,530,53,
15112,1,1,60,180,100,80,
15112,2,1,90,215,165,50,
15113,1,1,0,145,140,5,
15113,2,1,0,165,160,5,
15114,1,1,1,410,353,57,
15114,2,1,1,442,404,38,
15115,1,9,NSS,NSS,NSS,NSS,
15115,2,1,256,3647,3552,95,
15116,1,9,NSS,NSS,NSS,NSS,
15116,2,1,2,54,25,29,
15117,1,2,NA,NA,NA,NA,
15117,2,1,0,15,15,0,
15118,1,1,27,880,715,165,
15118,2,1,12,845,590,255,
15119,1,1,10,216,209,7,
15119,2,1,8,262,256,6,
15120,1,1,97,223,0,223,
15120,2,1,108,15086,14631,455,
15121,1,1,76,6690,3826,2864,
15121,2,1,123,7374,4353,3021,
15122,1,1,0,4125,3845,280,
15122,2,1,0,5194,4903,291,
15123,1,1,0,136,136,0,
15123,2,1,0,36,36,0,
15124,1,1,23,329,302,27,
15124,2,1,32,333,304,29,
15125,1,2,NA,NA,NA,NA,
15125,2,1,23,243,157,86,
16001,1,1,3,5,0,5,
16001,2,1,4,8,0,8,
16002,1,2,NA,NA,NA,NA,
16002,2,2,NA,NA,NA,NA,
16003,1,2,NA,NA,NA,NA,
16003,2,2,NA,NA,NA,NA,
16004,1,2,NA,NA,NA,NA,
16004,2,1,5,4,0,4,
16005,1,2,NA,NA,NA,NA,
16005,2,2,NA,NA,NA,NA,
16006,1,1,91,91,0,91,
16006,2,1,87,87,0,87,
16007,1,9,NSS,NSS,NSS,NSS,
16007,2,2,NA,NA,NA,NA,
16008,1,0,NA,NA,NA,NA,
16008,2,0,NA,NA,NA,NA,
16009,1,9,NSS,NSS,NSS,NSS,
16009,2,1,17,6,0,6,
16010,1,0,NA,NA,NA,NA,
16010,2,0,NA,NA,NA,NA,
16011,1,1,0,12,0,12,
16011,2,1,0,15,0,15,
16012,1,1,5,0,0,0,
16012,2,1,29,1,0,1,
16013,1,2,NA,NA,NA,NA,
16013,2,2,NA,NA,NA,NA,
16014,1,2,NA,NA,NA,NA,
16014,2,2,NA,NA,NA,NA,
16015,1,1,1,78,77,1,
16015,2,1,1,80,74,6,
16016,1,1,1,1,0,1,
16016,2,1,4,4,0,4,
16017,1,1,8,8,0,8,
16017,2,1,15,15,0,15,
16018,1,1,2,0,0,0,
16018,2,1,4,2,0,2,
16019,1,2,NA,NA,NA,NA,
16019,2,2,NA,NA,NA,NA,
16020,1,9,NSS,NSS,NSS,NSS,
16020,2,2,NA,NA,NA,NA,
16021,1,1,1,0,0,0,
16021,2,1,2,1,0,1,
16022,1,2,NA,NA,NA,NA,
16022,2,2,NA,NA,NA,NA,
16023,1,1,11,11,0,11,
16023,2,1,6,6,0,6,
16024,1,2,NA,NA,NA,NA,
16024,2,1,0,2,0,2,
16025,1,1,16,9,0,9,
16025,2,1,24,7,0,7,
16026,1,2,NA,NA,NA,NA,
16026,2,2,NA,NA,NA,NA,
16027,1,2,NA,NA,NA,NA,
16027,2,1,1,1,0,1,
16028,1,1,12,12,12,0,
16028,2,1,15,15,15,0,
16029,1,2,NA,NA,NA,NA,
16029,2,2,NA,NA,NA,NA,
16030,1,1,4,0,0,0,
16030,2,1,3,0,0,0,
16031,1,9,NSS,NSS,NSS,NSS,
16031,2,1,3,6,0,6,
16032,1,2,NA,NA,NA,NA,
16032,2,2,NA,NA,NA,NA,
16033,1,2,NA,NA,NA,NA,
16033,2,2,NA,NA,NA,NA,
16034,1,1,105,1006,901,105,
16034,2,1,143,1716,1573,143,
16035,1,2,NA,NA,NA,NA,
16035,2,2,NA,NA,NA,NA,
16036,1,2,NA,NA,NA,NA,
16036,2,2,NA,NA,NA,NA,
16037,1,1,6,79,79,0,
16037,2,1,8,144,144,0,
16038,1,1,35,35,0,35,
16038,2,1,30,30,0,30,
16039,1,1,1,0,0,0,
16039,2,1,2,1,0,1,
16040,1,1,1,0,0,0,
16040,2,1,1,0,0,0,
16041,1,2,NA,NA,NA,NA,
16041,2,1,0,1,0,1,
16042,1,1,5,5,0,5,
16042,2,1,6,6,0,6,
16043,1,1,71,263,89,174,
16043,2,1,191,362,171,191,
16044,1,2,NA,NA,NA,NA,
16044,2,1,1,1,0,1,
16045,1,1,146,306,0,306,
16045,2,1,64,114,0,114,
16046,1,2,NA,NA,NA,NA,
16046,2,2,NA,NA,NA,NA,
16047,1,2,NA,NA,NA,NA,
16047,2,2,NA,NA,NA,NA,
16048,1,1,19,109,90,19,
16048,2,1,40,169,129,40,
16049,1,1,12,5,0,5,
16049,2,1,13,4,0,4,
16050,1,1,63,1252,1189,63,
16050,2,1,62,1427,1365,62,
16051,1,98,ND,ND,ND,ND,
16051,2,98,ND,ND,ND,ND,
16052,1,1,62,1411,1356,55,
16052,2,1,87,690,645,45,
16053,1,1,285,2142,1857,285,
16053,2,1,689,6718,6029,689,
16054,1,1,1,26,23,3,
16054,2,1,4,67,59,8,
16055,1,1,8,542,542,0,
16055,2,1,2,582,582,0,
16056,1,1,15,15,0,15,
16056,2,1,20,20,0,20,
16057,1,2,NA,NA,NA,NA,
16057,2,2,NA,NA,NA,NA,
16058,1,1,0,108,108,0,
16058,2,1,32,142,141,1,
16059,1,2,NA,NA,NA,NA,
16059,2,2,NA,NA,NA,NA,
16060,1,2,NA,NA,NA,NA,
16060,2,1,1,1,0,1,
16061,1,2,NA,NA,NA,NA,
16061,2,2,NA,NA,NA,NA,
16062,1,2,NA,NA,NA,NA,
16062,2,2,NA,NA,NA,NA,
16063,1,9,NSS,NSS,NSS,NSS,
16063,2,1,48,9,0,9,
16064,1,2,NA,NA,NA,NA,
16064,2,2,NA,NA,NA,NA,
16065,1,1,1,1,0,1,
16065,2,1,2,2,0,2,
16066,1,1,36,204,123,81,
16066,2,1,49,831,704,127,
16067,1,9,NSS,NSS,NSS,NSS,
16067,2,1,1,1,0,1,
16068,1,1,4,4,0,4,
16068,2,1,2,3,0,3,
16069,1,1,13,22,0,22,
16069,2,1,20,58,0,58,
16070,1,2,NA,NA,NA,NA,
16070,2,1,10,10,0,10,
16071,1,1,36,41,0,41,
16071,2,1,21,24,0,24,
16072,1,9,NSS,NSS,NSS,NSS,
16072,2,1,1,2,1,1,
16073,1,1,13,101,98,3,
16073,2,1,4,176,174,2,
16074,1,2,NA,NA,NA,NA,
16074,2,1,0,1,0,1,
16075,1,1,5,5,0,5,
16075,2,1,4,4,0,4,
16076,1,1,26,1596,1570,26,
16076,2,1,76,1538,1462,76,
16077,1,2,NA,NA,NA,NA,
16077,2,2,NA,NA,NA,NA,
16078,1,1,1,2,0,2,
16078,2,1,3,4,0,4,
16079,1,2,NA,NA,NA,NA,
16079,2,1,1918,1078,1051,27,
16080,1,2,NA,NA,NA,NA,
16080,2,2,NA,NA,NA,NA,
16081,1,2,NA,NA,NA,NA,
16081,2,2,NA,NA,NA,NA,
16082,1,1,25,7,0,7,
16082,2,1,6,6,0,6,
16083,1,1,3,3,0,3,
16083,2,1,4,4,0,4,
16084,1,2,NA,NA,NA,NA,
16084,2,2,NA,NA,NA,NA,
16085,1,1,242,20,0,20,
16085,2,1,98,17,0,17,
16086,1,2,NA,NA,NA,NA,
16086,2,2,NA,NA,NA,NA,
16087,1,2,NA,NA,NA,NA,
16087,2,1,3,5,0,5,
16088,1,1,616,515,470,45,
16088,2,1,528,461,424,37,
16089,1,2,NA,NA,NA,NA,
16089,2,2,NA,NA,NA,NA,
16090,1,1,4,2,0,2,
16090,2,1,2,1,0,1,
16091,1,1,8,8,0,8,
16091,2,1,10,10,0,10,
16092,1,2,NA,NA,NA,NA,
16092,2,1,0,3,0,3,
16093,1,1,2,1,0,1,
16093,2,1,1,2,0,2,
16094,1,1,8,8,0,8,
16094,2,1,6,6,0,6,
16095,1,1,15,15,0,15,
16095,2,1,8,8,0,8,
16096,1,1,0,15,0,15,
16096,2,1,0,25,0,25,
16097,1,1,1,0,0,0,
16097,2,1,1,0,0,0,
16098,1,1,4,4,0,4,
16098,2,1,18,18,0,18,
16099,1,2,NA,NA,NA,NA,
16099,2,2,NA,NA,NA,NA,
16100,1,9,NSS,NSS,NSS,NSS,
16100,2,1,8,176,173,3,
16101,1,2,NA,NA,NA,NA,
16101,2,2,NA,NA,NA,NA,
16102,1,1,165,350,0,350,
16102,2,1,112,137,0,137,
16103,1,1,0,5,0,5,
16103,2,1,0,7,0,7,
16104,1,2,NA,NA,NA,NA,
16104,2,2,NA,NA,NA,NA,
16105,1,2,NA,NA,NA,NA,
16105,2,2,NA,NA,NA,NA,
16106,1,1,20,20,0,20,
16106,2,1,26,26,0,26,
16107,1,1,43,43,0,43,
16107,2,1,14,14,0,14,
16108,1,1,178,3829,3490,339,
16108,2,1,137,5699,5418,281,
16109,1,2,NA,NA,NA,NA,
16109,2,2,NA,NA,NA,NA,
16110,1,1,6,5,0,5,
16110,2,1,8,2,0,2,
16111,1,1,10,30,10,20,
16111,2,1,10,16,10,6,
16112,1,1,259,384,0,384,
16112,2,1,304,247,0,247,
16113,1,1,15,20,10,10,
16113,2,1,20,25,10,15,
17001,1,1,3,11,9,2,
17001,2,1,4,16,11,5,
17002,1,9,NSS,NSS,NSS,NSS,
17002,2,1,1,618,602,16,
17003,1,9,NSS,NSS,NSS,NSS,
17003,2,1,0,205,156,49,
17004,1,1,55,863,780,83,
17004,2,1,268,583,503,80,
17005,1,1,0,57,53,4,
17005,2,1,0,29,26,3,
17006,1,1,25,3939,3712,227,
17006,2,1,32,2871,2635,236,
17007,1,1,124,2475,2055,420,
17007,2,1,312,2652,2206,446,
17008,1,1,98,387,352,35,
17008,2,1,36,134,117,17,
17009,1,9,NSS,NSS,NSS,NSS,
17009,2,1,24,24,0,24,
17010,1,1,13,63,49,14,
17010,2,1,15,59,42,17,
17011,1,1,290,930,892,38,
17011,2,1,161,809,741,68,
17012,1,1,2,853,698,155,
17012,2,1,3,702,624,78,
17013,1,9,NSS,NSS,NSS,NSS,
17013,2,1,1,290,280,10,
17014,1,2,NA,NA,NA,NA,
17014,2,1,56,56,45,11,
17015,1,1,5,132,113,19,
17015,2,1,5,68,54,14,
17016,1,9,NSS,NSS,NSS,NSS,
17016,2,1,4,71,67,4,
17017,1,1,10,317,229,88,
17017,2,1,48,288,210,78,
17018,1,1,42,1260,1120,140,
17018,2,1,47,644,529,115,
17019,1,1,15,365,340,25,
17019,2,1,18,372,347,25,
17020,1,1,7,0,0,0,
17020,2,1,11,567,526,41,
17021,1,9,NSS,NSS,NSS,NSS,
17021,2,1,25,25,15,10,
17022,1,1,0,86,80,6,
17022,2,1,0,80,72,8,
17023,1,1,16,82,67,15,
17023,2,1,8,86,77,9,
17024,1,1,7,455,430,25,
17024,2,1,16,645,590,55,
17025,1,1,15,475,450,25,
17025,2,1,20,309,279,30,
17026,1,9,NSS,NSS,NSS,NSS,
17026,2,1,25,353,329,24,
17027,1,2,NA,NA,NA,NA,
17027,2,2,NA,NA,NA,NA,
17028,1,1,19,565,547,18,
17028,2,1,26,566,487,79,
17029,1,1,65,601,497,104,
17029,2,1,0,630,534,96,
17030,1,1,3,690,625,65,
17030,2,1,2,640,553,87,
17031,1,0,NA,NA,NA,NA,
17031,2,0,NA,NA,NA,NA,
17032,1,1,5,68,61,7,
17032,2,1,14,61,39,22,
17033,1,2,NA,NA,NA,NA,
17033,2,1,2,222,211,11,
17034,1,9,NSS,NSS,NSS,NSS,
17034,2,1,0,171,162,9,
17035,1,0,NA,NA,NA,NA,
17035,2,0,NA,NA,NA,NA,
17036,1,9,NSS,NSS,NSS,NSS,
17036,2,1,6,27,22,5,
18001,1,1,10,617,567,50,
18001,2,1,15,654,612,42,
18002,1,1,0,24,18,6,
18002,2,1,0,41,25,16,
18003,1,2,NA,NA,NA,NA,
18003,2,1,0,108,72,36,
18004,1,1,0,1209,1139,70,
18004,2,1,0,1337,1286,51,
18005,1,2,NA,NA,NA,NA,
18005,2,1,1,165,143,22,
18006,1,1,0,499,459,40,
18006,2,1,0,410,366,44,
18007,1,9,NSS,NSS,NSS,NSS,
18007,2,1,0,42,26,16,
18008,1,1,0,376,330,46,
18008,2,1,0,805,717,88,
18009,1,1,1,232,232,0,
18009,2,1,0,40,40,0,
18010,1,1,0,94,52,42,
18010,2,1,0,232,130,102,
18011,1,1,21,273,127,146,
18011,2,1,34,258,109,149,
18012,1,1,1,NSS,NSS,NSS,
18012,2,1,3,499,463,36,
18013,1,1,0,56,41,15,
18013,2,1,0,70,56,14,
18014,1,1,6,241,218,23,
18014,2,1,20,232,199,33,
18015,1,1,24,1119,1095,24,
18015,2,1,30,1151,1120,31,
18016,1,1,0,507,500,7,
18016,2,1,0,909,802,107,
18017,1,1,86,5864,5772,92,
18017,2,1,76,9638,8432,1206,
18018,1,1,0,1390,1265,125,
18018,2,1,0,1193,933,260,
18019,1,1,0,20,20,0,
18019,2,1,0,23,23,0,
18020,1,1,41,2009,1838,171,
18020,2,1,53,3301,2757,544,
19001,1,1,28,28,0,28,
19001,2,1,65,65,0,65,
19002,1,0,NA,NA,NA,NA,
19002,2,0,NA,NA,NA,NA,
19003,1,2,NA,NA,NA,NA,
19003,2,2,NA,NA,NA,NA,
19004,1,1,0,1430,1371,59,
19004,2,1,0,1182,1086,96,
19005,1,1,0,1,0,1,
19005,2,1,3,4,0,4,
19006,1,1,1,8711,6366,2345,
19006,2,1,1,8491,5831,2660,
19007,1,1,0,40,40,0,
19007,2,1,0,65,65,0,
19008,1,2,NA,NA,NA,NA,
19008,2,1,2,2,0,2,
19009,1,1,NSS,3340,3240,100,
19009,2,1,NSS,2619,2499,120,
19010,1,1,41,808,767,41,
19010,2,1,145,2614,2469,145,
19011,1,1,6,6,0,6,
19011,2,1,6,6,0,6,
19012,1,2,NA,NA,NA,NA,
19012,2,1,3,1960,1855,105,
19013,1,1,4,29,24,5,
19013,2,1,5,36,30,6,
19014,1,1,0,120,120,0,
19014,2,1,0,115,115,0,
19015,1,2,NA,NA,NA,NA,
19015,2,2,NA,NA,NA,NA,
19016,1,1,0,2,0,2,
19016,2,1,0,1,0,1,
19017,1,1,8,175,170,5,
19017,2,1,9,184,177,7,
19018,1,1,NSS,5614,4942,672,
19018,2,1,NSS,6473,5748,725,
19019,1,1,139,1518,1251,267,
19019,2,1,197,1491,1175,316,
19020,1,1,0,75,70,5,
19020,2,1,0,66,62,4,
19021,1,1,117,3815,3254,561,
19021,2,1,461,3301,2722,579,
19022,1,1,81,407,386,21,
19022,2,1,318,394,361,33,
19023,1,0,NA,NA,NA,NA,
19023,2,0,NA,NA,NA,NA,
19024,1,2,NA,NA,NA,NA,
19024,2,2,NA,NA,NA,NA,
19025,1,2,NA,NA,NA,NA,
19025,2,2,NA,NA,NA,NA,
19026,1,1,1029,10503,7509,2994,
19026,2,1,1032,10421,6017,4404,
19027,1,1,1,15,15,0,
19027,2,1,0,6,6,0,
19028,1,1,1,1,0,1,
19028,2,1,1,1,0,1,
19029,1,1,0,154,142,12,
19029,2,1,0,168,160,8,
19030,1,1,0,56,55,1,
19030,2,1,0,28,26,2,
19031,1,1,9,416,0,416,
19031,2,1,6,3113,2575,538,
19032,1,1,4,4,0,4,
19032,2,1,6,6,0,6,
19033,1,1,250,2819,2629,190,
19033,2,1,350,2868,2656,212,
19034,1,1,3,3,0,3,
19034,2,1,7,7,0,7,
19035,1,2,NA,NA,NA,NA,
19035,2,2,NA,NA,NA,NA,
19036,1,2,NA,NA,NA,NA,
19036,2,1,1,56,55,1,
19037,1,9,NSS,NSS,NSS,NSS,
19037,2,1,41,41,40,1,
19038,1,2,NA,NA,NA,NA,
19038,2,2,NA,NA,NA,NA,
19039,1,1,541,8152,6745,1407,
19039,2,1,577,9128,7146,1982,
19040,1,0,NA,NA,NA,NA,
19040,2,0,NA,NA,NA,NA,
19041,1,1,1,1754,1649,105,
19041,2,1,1,2292,2085,207,
19042,1,2,NA,NA,NA,NA,
19042,2,1,2,34,26,8,
19043,1,2,NA,NA,NA,NA,
19043,2,9,NSS,NSS,NSS,NSS,
19044,1,1,0,20,0,20,
19044,2,1,0,13,0,13,
19045,1,2,NA,NA,NA,NA,
19045,2,1,0,2849,2569,280,
19046,1,1,236,4402,3486,916,
19046,2,1,437,4215,3390,825,
19047,1,9,NSS,NSS,NSS,NSS,
19047,2,1,0,424,402,22,
19048,1,1,1284,1284,800,484,
19048,2,1,1251,1251,750,501,
19049,1,2,NA,NA,NA,NA,
19049,2,1,23,204,0,204,
19050,1,0,NA,NA,NA,NA,
19050,2,0,NA,NA,NA,NA,
19051,1,9,NSS,NSS,NSS,NSS,
19051,2,1,1,0,0,0,
20001,1,1,0,6,6,0,
20001,2,1,0,5,5,0,
20002,1,1,2,290,290,0,
20002,2,1,1,416,416,0,
20003,1,2,NA,NA,NA,NA,
20003,2,2,NA,NA,NA,NA,
20004,1,2,NA,NA,NA,NA,
20004,2,1,0,6,4,2,
20005,1,2,NA,NA,NA,NA,
20005,2,1,0,106,105,1,
20006,1,1,0,68,68,0,
20006,2,1,0,82,82,0,
20007,1,9,NSS,NSS,NSS,NSS,
20007,2,1,2,12,12,0,
20008,1,2,NA,NA,NA,NA,
20008,2,2,NA,NA,NA,NA,
20009,1,9,NSS,NSS,NSS,NSS,
20009,2,1,0,53,50,3,
20010,1,9,NSS,NSS,NSS,NSS,
20010,2,1,0,5,5,0,
20011,1,1,0,2,2,0,
20011,2,1,0,7,7,0,
20012,1,1,1,1,1,0,
20012,2,1,1,1,1,0,
20013,1,2,NA,NA,NA,NA,
20013,2,1,0,5,5,0,
20014,1,2,NA,NA,NA,NA,
20014,2,1,1,1,0,1,
20015,1,1,0,8,8,0,
20015,2,1,0,4,4,0,
20016,1,1,0,2,2,0,
20016,2,1,0,7,7,0,
20017,1,1,0,4,4,0,
20017,2,1,0,7,7,0,
20018,1,2,NA,NA,NA,NA,
20018,2,2,NA,NA,NA,NA,
20019,1,1,0,6,6,0,
20019,2,1,1,8,8,0,
20020,1,2,NA,NA,NA,NA,
20020,2,2,NA,NA,NA,NA,
20021,1,9,NSS,NSS,NSS,NSS,
20021,2,1,0,335,290,45,
20022,1,1,0,12,12,0,
20022,2,1,0,40,40,0,
20023,1,9,NSS,NSS,NSS,NSS,
20023,2,1,0,341,341,0,
20024,1,2,NA,NA,NA,NA,
20024,2,1,0,1,0,1,
20025,1,9,NSS,NSS,NSS,NSS,
20025,2,1,0,75,75,0,
20026,1,1,5,45,45,0,
20026,2,1,7,62,60,2,
20027,1,2,NA,NA,NA,NA,
20027,2,1,0,3,3,0,
20028,1,1,14,396,378,18,
20028,2,1,11,315,296,19,
20029,1,2,NA,NA,NA,NA,
20029,2,1,18,18,18,0,
20030,1,9,NSS,NSS,NSS,NSS,
20030,2,1,0,30,30,0,
20031,1,2,NA,NA,NA,NA,
20031,2,2,NA,NA,NA,NA,
20032,1,1,0,2,2,0,
20032,2,1,0,2,2,0,
20033,1,1,1,10,8,2,
20033,2,1,1,22,20,2,
20034,1,1,0,12,12,0,
20034,2,1,0,8,8,0,
20035,1,1,0,8,8,0,
20035,2,1,0,5,5,0,
20036,1,2,NA,NA,NA,NA,
20036,2,1,0,6,6,0,
20037,1,2,NA,NA,NA,NA,
20037,2,2,NA,NA,NA,NA,
20038,1,2,NA,NA,NA,NA,
20038,2,2,NA,NA,NA,NA,
20039,1,9,NSS,NSS,NSS,NSS,
20039,2,1,0,1269,1157,112,
20040,1,9,NSS,NSS,NSS,NSS,
20040,2,1,0,21,21,0,
20041,1,1,92,92,92,0,
20041,2,1,146,146,146,0,
20042,1,1,0,104,100,4,
20042,2,1,0,202,198,4,
20043,1,9,NSS,NSS,NSS,NSS,
20043,2,1,0,900,175,725,
20044,1,2,NA,NA,NA,NA,
20044,2,1,15,362,332,30,
20045,1,1,0,11,5,6,
20045,2,1,0,32,28,4,
20046,1,9,NSS,NSS,NSS,NSS,
20046,2,1,2,27,23,4,
20047,1,2,NA,NA,NA,NA,
20047,2,2,NA,NA,NA,NA,
20048,1,2,NA,NA,NA,NA,
20048,2,2,NA,NA,NA,NA,
20049,1,1,0,4,4,0,
20049,2,1,0,5,5,0,
20050,1,2,NA,NA,NA,NA,
20050,2,2,NA,NA,NA,NA,
20051,1,1,0,32,32,0,
20051,2,1,0,11,11,0,
20052,1,2,NA,NA,NA,NA,
20052,2,1,0,55,55,0,
20053,1,2,NA,NA,NA,NA,
20053,2,2,NA,NA,NA,NA,
20054,1,9,NSS,NSS,NSS,NSS,
20054,2,1,0,3,3,0,
20055,1,1,0,40,36,4,
20055,2,1,0,43,38,5,
20056,1,2,NA,NA,NA,NA,
20056,2,1,0,17,15,2,
20057,1,9,NSS,NSS,NSS,NSS,
20057,2,1,0,582,499,83,
20058,1,9,NSS,NSS,NSS,NSS,
20058,2,1,0,102,100,2,
20059,1,1,NSS,465,465,0,
20059,2,1,NSS,470,470,0,
20060,1,9,NSS,NSS,NSS,NSS,
20060,2,1,0,45,45,0,
20061,1,9,NSS,NSS,NSS,NSS,
20061,2,9,NSS,NSS,NSS,NSS,
20062,1,2,NA,NA,NA,NA,
20062,2,1,0,12,10,2,
20063,1,1,0,10,10,0,
20063,2,1,0,14,14,0,
20064,1,2,NA,NA,NA,NA,
20064,2,2,NA,NA,NA,NA,
20065,1,1,0,6,6,0,
20065,2,1,0,7,7,0,
20066,1,9,NSS,NSS,NSS,NSS,
20066,2,1,0,50,50,0,
20067,1,1,93,1698,1355,343,
20067,2,1,2037,2564,1844,720,
20068,1,9,NSS,NSS,NSS,NSS,
20068,2,1,2,212,178,34,
20069,1,1,0,1,1,0,
20069,2,2,NA,NA,NA,NA,
20070,1,2,NA,NA,NA,NA,
20070,2,1,0,50,50,0,
20071,1,2,NA,NA,NA,NA,
20071,2,2,NA,NA,NA,NA,
20072,1,2,NA,NA,NA,NA,
20072,2,2,NA,NA,NA,NA,
20073,1,1,2,39,36,3,
20073,2,1,5,66,36,30,
20074,1,2,NA,NA,NA,NA,
20074,2,2,NA,NA,NA,NA,
20075,1,9,NSS,NSS,NSS,NSS,
20075,2,1,0,15,15,0,
20076,1,2,NA,NA,NA,NA,
20076,2,1,0,15,15,0,
20077,1,9,NSS,NSS,NSS,NSS,
20077,2,1,0,28,28,0,
20078,1,1,0,NSS,NSS,0,
20078,2,1,0,NSS,NSS,0,
20079,1,9,NSS,NSS,NSS,NSS,
20079,2,1,23,1240,1230,10,
20080,1,2,NA,NA,NA,NA,
20080,2,2,NA,NA,NA,NA,
20081,1,1,0,45,45,0,
20081,2,1,0,56,56,0,
20082,1,2,NA,NA,NA,NA,
20082,2,2,NA,NA,NA,NA,
20083,1,1,15,256,230,26,
20083,2,1,20,278,240,38,
20084,1,9,NSS,NSS,NSS,NSS,
20084,2,1,0,24,24,0,
20085,1,9,NSS,NSS,NSS,NSS,
20085,2,1,25,25,25,0,
20086,1,2,NA,NA,NA,NA,
20086,2,1,0,6,6,0,
20087,1,2,NA,NA,NA,NA,
20087,2,1,0,15,13,2,
20088,1,2,NA,NA,NA,NA,
20088,2,1,1,16,15,1,
20089,1,2,NA,NA,NA,NA,
20089,2,1,0,15,15,0,
20090,1,2,NA,NA,NA,NA,
20090,2,2,NA,NA,NA,NA,
20091,1,1,0,1,0,1,
20091,2,1,1,4,0,4,
20092,1,2,NA,NA,NA,NA,
20092,2,1,0,20,20,0,
20093,1,1,0,1,1,0,
20093,2,1,0,1,1,0,
20094,1,9,NSS,NSS,NSS,NSS,
20094,2,1,0,12,12,0,
20095,1,1,0,26,26,0,
20095,2,1,0,30,30,0,
20096,1,2,NA,NA,NA,NA,
20096,2,2,NA,NA,NA,NA,
20097,1,2,NA,NA,NA,NA,
20097,2,2,NA,NA,NA,NA,
20098,1,9,NSS,NSS,NSS,NSS,
20098,2,1,0,40,40,0,
20099,1,1,0,10,10,0,
20099,2,1,0,12,12,0,
20100,1,1,0,15,15,0,
20100,2,1,0,16,15,1,
20101,1,2,NA,NA,NA,NA,
20101,2,2,NA,NA,NA,NA,
20102,1,1,1,11,10,1,
20102,2,1,0,21,19,2,
20103,1,9,NSS,NSS,NSS,NSS,
20103,2,1,0,56,54,2,
20104,1,1,0,48,48,0,
20104,2,1,0,50,48,2,
20105,1,1,0,1,1,0,
20105,2,1,0,1,1,0,
20106,1,2,NA,NA,NA,NA,
20106,2,2,NA,NA,NA,NA,
20107,1,1,18,105,93,12,
20107,2,1,30,120,100,20,
20108,1,9,NSS,NSS,NSS,NSS,
20108,2,1,0,31,31,0,
20109,1,1,0,9,8,1,
20109,2,1,0,8,8,0,
20110,1,2,NA,NA,NA,NA,
20110,2,1,0,11,11,0,
20111,1,2,NA,NA,NA,NA,
20111,2,2,NA,NA,NA,NA,
20112,1,2,NA,NA,NA,NA,
20112,2,2,NA,NA,NA,NA,
20113,1,1,10,10,10,0,
20113,2,1,15,15,15,0,
20114,1,2,NA,NA,NA,NA,
20114,2,2,NA,NA,NA,NA,
20115,1,9,NSS,NSS,NSS,NSS,
20115,2,9,NSS,NSS,NSS,NSS,
20116,1,9,NSS,NSS,NSS,NSS,
20116,2,1,0,18,18,0,
20117,1,9,NSS,NSS,NSS,NSS,
20117,2,1,0,20,20,0,
20118,1,2,NA,NA,NA,NA,
20118,2,1,76,76,76,0,
20119,1,1,1,10,10,0,
20119,2,1,0,2,2,0,
20120,1,2,NA,NA,NA,NA,
20120,2,2,NA,NA,NA,NA,
20121,1,1,0,2,2,0,
20121,2,1,0,4,4,0,
20122,1,2,NA,NA,NA,NA,
20122,2,2,NA,NA,NA,NA,
20123,1,1,0,6,0,6,
20123,2,1,0,5,0,5,
20124,1,9,NSS,NSS,NSS,NSS,
20124,2,1,5,506,506,0,
20125,1,2,NA,NA,NA,NA,
20125,2,1,0,30,30,0,
20126,1,1,0,150,150,0,
20126,2,1,2,523,488,35,
20127,1,1,1,1,1,0,
20127,2,1,1,1,1,0,
20128,1,1,0,10,10,0,
20128,2,1,0,8,8,0,
20129,1,2,NA,NA,NA,NA,
20129,2,1,1,1,0,1,
20130,1,9,NSS,NSS,NSS,NSS,
20130,2,1,0,20,20,0,
20131,1,9,NSS,NSS,NSS,NSS,
20131,2,1,15,15,11,4,
20132,1,1,1,16,16,0,
20132,2,1,0,10,10,0,
20133,1,2,NA,NA,NA,NA,
20133,2,2,NA,NA,NA,NA,
20134,1,2,NA,NA,NA,NA,
20134,2,1,0,330,330,0,
20135,1,1,0,12,10,2,
20135,2,1,0,17,13,4,
20136,1,9,NSS,NSS,NSS,NSS,
20136,2,1,0,78,77,1,
20137,1,9,NSS,NSS,NSS,NSS,
20137,2,1,0,48,48,0,
20138,1,2,NA,NA,NA,NA,
20138,2,2,NA,NA,NA,NA,
20139,1,2,NA,NA,NA,NA,
20139,2,1,0,2,2,0,
20140,1,2,NA,NA,NA,NA,
20140,2,1,0,1,0,1,
20141,1,9,NSS,NSS,NSS,NSS,
20141,2,1,0,39,39,0,
20142,1,1,2,2,2,0,
20142,2,1,2,2,2,0,
20143,1,9,NSS,NSS,NSS,NSS,
20143,2,1,0,75,75,0,
20144,1,1,0,4,4,0,
20144,2,1,0,5,5,0,
20145,1,1,0,14,14,0,
20145,2,1,0,13,13,0,
