ubicageo_f,aniorefe_b,ppiflf1,ppiflf2,ppiflf3
13038,1,NA,NA,NA
13038,2,0,0,0
13039,1,30,0,0
13039,2,45,0,0
13040,1,5,0,0
13040,2,6,0,0
13041,1,NA,NA,NA
13041,2,NA,NA,NA
13042,1,125,0,0
13042,2,105,0,0
13043,1,NSS,NSS,NSS
13043,2,0,0,0
13044,1,NSS,NSS,NSS
13044,2,NA,NA,NA
13045,1,NA,NA,NA
13045,2,NA,NA,NA
13046,1,0,0,0
13046,2,0,0,0
13047,1,4,0,0
13047,2,6,0,0
13048,1,2979,0,0
13048,2,4560,0,0
13049,1,0,0,0
13049,2,0,0,0
13050,1,23,0,0
13050,2,25,0,0
13051,1,0,0,0
13051,2,0,0,0
13052,1,0,0,0
13052,2,0,0,0
13053,1,NSS,NSS,NSS
13053,2,130,0,0
13054,1,0,0,0
13054,2,0,0,0
13055,1,17,0,0
13055,2,14,0,0
13056,1,556,12,0
13056,2,413,15,0
13057,1,66,0,0
13057,2,79,0,0
13058,1,0,0,0
13058,2,0,0,0
13059,1,0,0,0
13059,2,0,0,0
13060,1,0,0,0
13060,2,0,0,0
13061,1,0,0,0
13061,2,0,0,0
13062,1,0,0,0
13062,2,0,0,0
13063,1,0,0,0
13063,2,0,0,0
13064,1,0,0,0
13064,2,0,0,0
13065,1,NSS,NSS,NSS
13065,2,0,0,0
13066,1,NA,NA,NA
13066,2,NA,NA,NA
13067,1,313,0,0
13067,2,323,0,0
13068,1,NA,NA,NA
13068,2,NA,NA,NA
13069,1,0,0,0
13069,2,0,0,0
13070,1,50,0,0
13070,2,73,0,0
13071,1,0,0,0
13071,2,2,0,0
13072,1,NA,NA,NA
13072,2,0,0,0
13073,1,95,0,0
13073,2,125,0,0
13074,1,117,0,0
13074,2,234,0,0
13075,1,0,0,0
13075,2,0,0,0
13076,1,1695,0,0
13076,2,1245,0,0
13077,1,0,0,0
13077,2,0,0,0
13078,1,0,0,0
13078,2,0,0,0
13079,1,0,0,0
13079,2,NA,NA,NA
13080,1,6,0,0
13080,2,5,0,0
13081,1,NSS,NSS,NSS
13081,2,0,0,0
13082,1,0,0,0
13082,2,0,0,0
13083,1,0,0,0
13083,2,0,0,0
13084,1,150,0,0
13084,2,233,0,0
14001,1,NA,NA,NA
14001,2,0,0,0
14002,1,0,0,0
14002,2,0,0,0
14003,1,NA,NA,NA
14003,2,NA,NA,NA
14004,1,27,0,0
14004,2,23,0,0
14005,1,NA,NA,NA
14005,2,149,0,0
14006,1,0,0,0
14006,2,0,0,0
14007,1,0,0,0
14007,2,0,0,0
14008,1,NA,NA,NA
14008,2,NA,NA,NA
