ubicageo_f,sitpaptt,sitpap1,sitpap2,sitpap3,sitpap4,sitpap5,sitpap6,sitpap7,sitpap8
8024,NA,NA,NA,NA,NA,NA,NA,NA,NA
8025,NA,NA,NA,NA,NA,NA,NA,NA,NA
8026,NA,NA,NA,NA,NA,NA,NA,NA,NA
8027,180,30,10,0,140,0,0,0,0
8028,NA,NA,NA,NA,NA,NA,NA,NA,NA
8029,64,8,0,0,20,0,36,0,0
8030,NA,NA,NA,NA,NA,NA,NA,NA,NA
8031,NA,NA,NA,NA,NA,NA,NA,NA,NA
8032,9075,280,33,0,7215,0,820,0,727
8033,3,0,0,0,3,0,0,0,0
8034,NA,NA,NA,NA,NA,NA,NA,NA,NA
8035,NA,NA,NA,NA,NA,NA,NA,NA,NA
8036,1968,194,0,0,1774,0,0,0,0
8037,6344,94,0,80,5546,0,585,5,34
8038,3,0,0,0,1,0,2,0,0
8039,264,10,0,0,152,0,102,0,0
8040,870,38,0,18,16,0,795,0,3
8041,NA,NA,NA,NA,NA,NA,NA,NA,NA
8042,NA,NA,NA,NA,NA,NA,NA,NA,NA
8043,NA,NA,NA,NA,NA,NA,NA,NA,NA
8044,26,2,0,0,24,0,0,0,0
8045,802,0,0,0,0,0,0,0,802
8046,7,0,0,0,7,0,0,0,0
8047,NA,NA,NA,NA,NA,NA,NA,NA,NA
8048,NA,NA,NA,NA,NA,NA,NA,NA,NA
8049,NA,NA,NA,NA,NA,NA,NA,NA,NA
8050,1315,0,0,0,1315,0,0,0,0
8051,NA,NA,NA,NA,NA,NA,NA,NA,NA
8052,977,182,0,188,439,0,168,0,0
8053,NA,NA,NA,NA,NA,NA,NA,NA,NA
8054,NA,NA,NA,NA,NA,NA,NA,NA,NA
8055,NA,NA,NA,NA,NA,NA,NA,NA,NA
8056,NA,NA,NA,NA,NA,NA,NA,NA,NA
8057,NA,NA,NA,NA,NA,NA,NA,NA,NA
8058,NA,NA,NA,NA,NA,NA,NA,NA,NA
8059,207,11,0,0,127,0,0,3,66
8060,655,29,0,0,448,0,164,14,0
8061,NA,NA,NA,NA,NA,NA,NA,NA,NA
8062,917,36,0,0,769,0,97,0,15
8063,NA,NA,NA,NA,NA,NA,NA,NA,NA
8064,25,0,0,0,25,0,0,0,0
8065,20,10,0,0,10,0,0,0,0
8066,NA,NA,NA,NA,NA,NA,NA,NA,NA
8067,NA,NA,NA,NA,NA,NA,NA,NA,NA
9002,NA,NA,NA,NA,NA,NA,NA,NA,NA
9003,NA,NA,NA,NA,NA,NA,NA,NA,NA
9004,NA,NA,NA,NA,NA,NA,NA,NA,NA
9005,NA,NA,NA,NA,NA,NA,NA,NA,NA
9006,NA,NA,NA,NA,NA,NA,NA,NA,NA
9007,NA,NA,NA,NA,NA,NA,NA,NA,NA
9008,NA,NA,NA,NA,NA,NA,NA,NA,NA
9009,NA,NA,NA,NA,NA,NA,NA,NA,NA
9010,NA,NA,NA,NA,NA,NA,NA,NA,NA
9011,NA,NA,NA,NA,NA,NA,NA,NA,NA
9012,NA,NA,NA,NA,NA,NA,NA,NA,NA
9013,NA,NA,NA,NA,NA,NA,NA,NA,NA
9014,NA,NA,NA,NA,NA,NA,NA,NA,NA
9015,NA,NA,NA,NA,NA,NA,NA,NA,NA
9016,NA,NA,NA,NA,NA,NA,NA,NA,NA
9017,NA,NA,NA,NA,NA,NA,NA,NA,NA
10001,NA,NA,NA,NA,NA,NA,NA,NA,NA
10002,NA,NA,NA,NA,NA,NA,NA,NA,NA
10003,20,0,0,0,20,0,0,0,0
10004,NA,NA,NA,NA,NA,NA,NA,NA,NA
10005,10543,0,0,0,10543,0,0,0,0
10006,47,15,0,0,17,0,15,0,0
10007,2686,0,0,0,2686,0,0,0,0
10008,142,5,0,0,137,0,0,0,0
10009,NA,NA,NA,NA,NA,NA,NA,NA,NA
10010,NA,NA,NA,NA,NA,NA,NA,NA,NA
10011,NA,NA,NA,NA,NA,NA,NA,NA,NA
10012,1239,0,0,0,1239,0,0,0,0
10013,NA,NA,NA,NA,NA,NA,NA,NA,NA
10014,72,0,0,0,50,0,22,0,0
10015,NA,NA,NA,NA,NA,NA,NA,NA,NA
10016,450,41,34,31,244,0,100,0,0
10017,29,0,0,0,19,0,10,0,0
10018,7,0,0,0,5,0,2,0,0
10019,NA,NA,NA,NA,NA,NA,NA,NA,NA
10020,NA,NA,NA,NA,NA,NA,NA,NA,NA
10021,NA,NA,NA,NA,NA,NA,NA,NA,NA
10022,NA,NA,NA,NA,NA,NA,NA,NA,NA
10023,451,0,0,0,451,0,0,0,0
10024,8,0,0,0,8,0,0,0,0
10025,NA,NA,NA,NA,NA,NA,NA,NA,NA
10026,NA,NA,NA,NA,NA,NA,NA,NA,NA
10027,NA,NA,NA,NA,NA,NA,NA,NA,NA
10028,NA,NA,NA,NA,NA,NA,NA,NA,NA
10029,NA,NA,NA,NA,NA,NA,NA,NA,NA
10030,NA,NA,NA,NA,NA,NA,NA,NA,NA
10031,NA,NA,NA,NA,NA,NA,NA,NA,NA
10032,231,73,0,2,156,0,0,0,0
10033,58,0,0,0,0,0,0,0,58
10034,45,0,0,0,45,0,0,0,0
10035,NA,NA,NA,NA,NA,NA,NA,NA,NA
10036,40,0,0,0,20,0,20,0,0
10037,NA,NA,NA,NA,NA,NA,NA,NA,NA
10038,17,0,0,0,17,0,0,0,0
10039,431,0,0,0,431,0,0,0,0
11001,NA,NA,NA,NA,NA,NA,NA,NA,NA
11002,NA,NA,NA,NA,NA,NA,NA,NA,NA
11003,4885,668,457,78,3634,0,48,0,0
11004,NA,NA,NA,NA,NA,NA,NA,NA,NA
11005,1728,335,0,0,589,0,804,0,0
11006,NA,NA,NA,NA,NA,NA,NA,NA,NA
11007,2783,632,0,0,1962,0,189,0,0
11008,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
11009,2173,879,0,0,1294,0,0,0,0
11010,NA,NA,NA,NA,NA,NA,NA,NA,NA
11011,NA,NA,NA,NA,NA,NA,NA,NA,NA
11012,925,21,0,0,904,0,0,0,0
11013,274,37,0,0,210,0,27,0,0
11014,956,3,0,0,953,0,0,0,NSS
11015,7239,0,0,0,7239,0,0,0,0
11016,182,22,0,5,139,0,12,4,0
11017,2560,41,12,98,1961,13,368,0,67
11018,916,72,0,0,352,0,15,0,477
11019,18,7,0,0,11,0,0,0,0
11020,128933,0,0,0,128933,0,0,0,0
11021,709,0,10,0,72,0,627,0,0
11022,400,5,0,0,395,0,0,0,0
11023,2833,587,0,0,2123,0,0,123,0
11024,NA,NA,NA,NA,NA,NA,NA,NA,NA
11025,3000,278,0,0,2479,0,243,0,0
11026,470,77,0,0,217,0,176,0,0
11027,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
11028,805,229,20,0,409,6,125,0,16
11029,1466,81,0,0,1050,0,335,0,0
11030,1036,290,0,0,746,0,0,0,0
11031,NA,NA,NA,NA,NA,NA,NA,NA,NA
11032,546,47,0,0,499,0,0,0,0
11033,1382,0,0,23,1342,0,0,0,17
11034,NA,NA,NA,NA,NA,NA,NA,NA,NA
11035,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
11036,NA,NA,NA,NA,NA,NA,NA,NA,NA
11037,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
11038,27,0,0,0,27,0,0,0,0
11039,466,47,0,17,290,0,112,0,0
11040,NA,NA,NA,NA,NA,NA,NA,NA,NA
11041,615,251,46,0,318,0,0,0,0
11042,2212,376,0,0,1201,15,620,0,0
11043,177,7,0,0,170,0,0,0,0
11044,1072,0,0,0,0,0,0,0,1072
11045,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
11046,NA,NA,NA,NA,NA,NA,NA,NA,NA
12001,773,0,0,0,763,0,7,0,3
12002,NA,NA,NA,NA,NA,NA,NA,NA,NA
12003,NA,NA,NA,NA,NA,NA,NA,NA,NA
12004,NA,NA,NA,NA,NA,NA,NA,NA,NA
12005,NA,NA,NA,NA,NA,NA,NA,NA,NA
12006,NA,NA,NA,NA,NA,NA,NA,NA,NA
12007,NA,NA,NA,NA,NA,NA,NA,NA,NA
12008,178,60,2,0,110,0,6,0,0
12009,2,0,0,0,2,0,0,0,0
12010,20,7,0,0,13,0,0,0,0
12011,292,98,0,0,131,0,0,63,0
12012,49,11,0,0,29,0,9,0,0
12013,NA,NA,NA,NA,NA,NA,NA,NA,NA
12014,NA,NA,NA,NA,NA,NA,NA,NA,NA
12015,8,0,0,0,8,0,0,0,0
12016,NA,NA,NA,NA,NA,NA,NA,NA,NA
12017,NA,NA,NA,NA,NA,NA,NA,NA,NA
12018,10,5,0,0,2,0,3,0,0
12019,157,42,0,0,94,0,21,0,0
12020,NA,NA,NA,NA,NA,NA,NA,NA,NA
12021,202,0,0,0,0,0,0,0,202
12022,NA,NA,NA,NA,NA,NA,NA,NA,NA
12023,118,24,0,0,94,0,0,0,0
12024,12,0,1,2,6,0,3,0,0
