ubicageo_f,aniorefe_b,rnsnni1,mymenitt,mymeni1,mymeni2,mymeni3,mymenis1,mymeni4,mymeni5,mymeni6,mymenis2,mymeni8,mymeni9,mymeni10,mymenis3,mymeni12,mymeni13,mymeni14,mymenins,mymeni16
5008,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
5009,1,1,1052,959,93,0,964,897,67,0,88,62,26,0,0,0,0,0,,
5009,2,1,1322,1158,164,0,1114,1014,100,0,208,144,64,0,0,0,0,0,,
5010,1,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,,
5010,2,1,3405,3031,374,0,3130,2788,342,0,275,243,32,0,0,0,0,0,,
5011,1,1,110,106,4,0,105,101,4,0,5,5,0,0,0,0,0,0,,
5011,2,1,116,111,5,0,113,108,5,0,3,3,0,0,0,0,0,0,,
5012,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
5012,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
5013,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
5013,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
5014,1,1,261,261,0,0,229,229,0,0,32,32,0,0,0,0,0,0,,
5014,2,1,269,269,0,0,253,253,0,0,16,16,0,0,0,0,0,0,,
5015,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
5015,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
5016,1,1,100,98,2,0,85,83,2,0,15,15,0,0,0,0,0,0,,
5016,2,1,77,72,5,0,74,69,5,0,3,3,0,0,0,0,0,0,,
5017,1,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,,
5017,2,1,3058,2811,247,0,2698,2463,235,0,360,348,12,0,0,0,0,0,,
5018,1,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,,
5018,2,1,10901,10068,833,0,10250,9483,767,0,651,585,66,0,0,0,0,0,,
5019,1,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,,
5019,2,1,280,270,10,0,275,265,10,0,5,5,0,0,0,0,0,0,,
5020,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
5020,2,1,3265,0,0,3265,2894,0,0,2894,371,0,0,371,0,0,0,0,,
5021,1,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,,
5021,2,1,112,108,4,0,0,0,0,0,0,0,0,0,112,108,4,0,,
5022,1,1,1002,1000,2,0,987,986,1,0,15,14,1,0,0,0,0,0,,
5022,2,1,1518,1515,3,0,1502,1500,2,0,16,15,1,0,0,0,0,0,,
5023,1,1,121,121,0,0,121,121,0,0,0,0,0,0,0,0,0,0,,
5023,2,1,108,108,0,0,108,108,0,0,0,0,0,0,0,0,0,0,,
5024,1,1,1453,1245,207,1,1395,1196,199,0,57,49,8,0,1,0,0,1,,
5024,2,1,1420,1235,183,2,1376,1198,178,0,42,37,5,0,2,0,0,2,,
5025,1,1,12331,11705,626,0,11192,10659,533,0,1139,1046,93,0,0,0,0,0,,
5025,2,1,25250,23789,1461,0,23131,21822,1309,0,2119,1967,152,0,0,0,0,0,,
5026,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
5026,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
5027,1,1,5108,4752,356,0,4950,4606,344,0,158,146,12,0,0,0,0,0,,
5027,2,1,5954,5653,301,0,5766,5480,286,0,188,173,15,0,0,0,0,0,,
5028,1,1,2256,2008,248,0,2170,1925,245,0,86,83,3,0,0,0,0,0,,
5028,2,1,1263,1023,240,0,1173,947,226,0,90,76,14,0,0,0,0,0,,
5029,1,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,,
5029,2,1,50,50,0,0,40,40,0,0,10,10,0,0,0,0,0,0,,
5030,1,1,13952,13000,952,0,12867,12009,858,0,1085,991,94,0,0,0,0,0,,
5030,2,1,12775,11918,857,0,11523,10783,740,0,1252,1135,117,0,0,0,0,0,,
5031,1,1,389,354,11,24,340,335,0,5,19,19,0,0,30,0,11,19,,
5031,2,1,579,523,54,2,527,472,54,1,51,51,0,0,1,0,0,1,,
5032,1,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,,
5032,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
5033,1,1,2251,2089,162,0,2114,1972,142,0,137,117,20,0,0,0,0,0,,
5033,2,1,2290,2132,158,0,2175,2029,146,0,115,103,12,0,0,0,0,0,,
5034,1,1,38,32,6,0,38,32,6,0,0,0,0,0,0,0,0,0,,
5034,2,1,45,41,4,0,45,41,4,0,0,0,0,0,0,0,0,0,,
5035,1,1,6038,0,0,6038,0,0,0,0,0,0,0,0,6038,0,0,6038,,
5035,2,1,7160,7159,0,1,6551,6550,0,1,609,609,0,0,0,0,0,0,,
5036,1,1,52,52,0,0,52,52,0,0,0,0,0,0,0,0,0,0,,
5036,2,1,264,264,0,0,244,244,0,0,20,20,0,0,0,0,0,0,,
5037,1,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,,
5037,2,1,342,342,0,0,317,317,0,0,25,25,0,0,0,0,0,0,,
5038,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
5038,2,1,190,190,0,0,183,183,0,0,7,7,0,0,0,0,0,0,,
6001,1,1,286,270,16,0,210,200,10,0,76,70,6,0,0,0,0,0,,
