ubicageo_f,cantdeli_b,mymenitt,mymeni1,mymeni2,mymeni3,mymenint,mymenis1,mymeni4,mymeni5,mymeni6,mymenis2,mymeni8,mymeni9,mymeni10,mymenis3,mymeni12,mymeni13,mymeni14,mymenins
1001,1,4549,NSS,NSS,4549,,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,4549,NSS,NSS,4549,
3008,4,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3008,5,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3008,6,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3008,9,,,,,,,,,,,,,,,,,,
3009,1,9,9,0,0,,9,9,0,0,0,0,0,0,0,0,0,0,
3009,2,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
3009,3,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
3009,4,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
3009,5,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
3009,6,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
3009,9,,,,,,,,,,,,,,,,,,
4001,1,54,0,0,54,,0,0,0,0,0,0,0,0,54,0,0,54,
4001,2,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
4001,3,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
4001,4,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
4001,5,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
4001,6,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
4001,9,,,,,,,,,,,,,,,,,,
4002,1,1177,1157,20,0,,1042,1023,19,0,135,134,1,0,0,0,0,0,
4002,2,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
