ubicageo_f,aniorefe_b,pprfue1,pprfue2,pprfue3
20327,2,NA,NA,NA
20328,1,NA,NA,NA
20328,2,NA,NA,NA
20329,1,NA,NA,NA
20329,2,NA,NA,NA
20330,1,NSS,NSS,NSS
20330,2,NA,NA,NA
20331,1,NA,NA,NA
20331,2,NA,NA,NA
20332,1,NA,NA,NA
20332,2,NA,NA,NA
20333,1,NSS,NSS,NSS
20333,2,NA,NA,NA
20334,1,NA,NA,NA
20334,2,NA,NA,NA
20335,1,NA,NA,NA
20335,2,NA,NA,NA
20336,1,NA,NA,NA
20336,2,NA,NA,NA
20337,1,NA,NA,NA
20337,2,NA,NA,NA
20338,1,0,0,0
20338,2,1,0,0
20339,1,NA,NA,NA
20339,2,NA,NA,NA
20340,1,NSS,NSS,NSS
20340,2,NA,NA,NA
20341,1,NSS,NSS,NSS
20341,2,NA,NA,NA
20342,1,NA,NA,NA
20342,2,NA,NA,NA
20343,1,NA,NA,NA
20343,2,NA,NA,NA
20344,1,NA,NA,NA
20344,2,NA,NA,NA
20345,1,NA,NA,NA
20345,2,NA,NA,NA
20346,1,NA,NA,NA
20346,2,NA,NA,NA
20347,1,NA,NA,NA
20347,2,NA,NA,NA
20348,1,NA,NA,NA
20348,2,NA,NA,NA
20349,1,NA,NA,NA
20349,2,NA,NA,NA
20350,1,NSS,NSS,NSS
20350,2,0,0,0
20351,1,NA,NA,NA
20351,2,NA,NA,NA
20352,1,NA,NA,NA
20352,2,NA,NA,NA
20353,1,NA,NA,NA
20353,2,NA,NA,NA
20354,1,NA,NA,NA
20354,2,NA,NA,NA
20355,1,NA,NA,NA
20355,2,NA,NA,NA
20356,1,NA,NA,NA
20356,2,NA,NA,NA
20357,1,NA,NA,NA
20357,2,NA,NA,NA
20358,1,NSS,NSS,NSS
20358,2,NA,NA,NA
20359,1,NA,NA,NA
20359,2,NA,NA,NA
20360,1,NA,NA,NA
20360,2,NA,NA,NA
20361,1,NA,NA,NA
20361,2,NA,NA,NA
20362,1,NA,NA,NA
20362,2,NA,NA,NA
20363,1,NA,NA,NA
20363,2,0,0,0
20364,1,NA,NA,NA
20364,2,NA,NA,NA
20365,1,NA,NA,NA
20365,2,NA,NA,NA
20366,1,NA,NA,NA
20366,2,NA,NA,NA
20367,1,NA,NA,NA
20367,2,NA,NA,NA
20368,1,NA,NA,NA
20368,2,NA,NA,NA
20369,1,0,0,0
20369,2,0,0,0
20370,1,NA,NA,NA
20370,2,NA,NA,NA
20371,1,NA,NA,NA
20371,2,NA,NA,NA
20372,1,NA,NA,NA
20372,2,NA,NA,NA
20373,1,NA,NA,NA
20373,2,NA,NA,NA
20374,1,NSS,NSS,NSS
20374,2,NSS,NSS,NSS
20375,1,NSS,NSS,NSS
20375,2,NA,NA,NA
20376,1,NA,NA,NA
20376,2,NA,NA,NA
20377,1,NA,NA,NA
20377,2,1,0,0
20378,1,NSS,NSS,NSS
20378,2,NA,NA,NA
20379,1,NA,NA,NA
20379,2,NA,NA,NA
20380,1,NA,NA,NA
20380,2,NA,NA,NA
20381,1,NA,NA,NA
20381,2,NA,NA,NA
20382,1,NA,NA,NA
20382,2,NA,NA,NA
20383,1,NA,NA,NA
20383,2,NA,NA,NA
20384,1,NA,NA,NA
20384,2,NA,NA,NA
20385,1,NSS,NSS,NSS
20385,2,NSS,NSS,NSS
20386,1,NA,NA,NA
20386,2,NA,NA,NA
20387,1,NA,NA,NA
20387,2,NA,NA,NA
20388,1,NSS,NSS,NSS
20388,2,0,0,0
20389,1,NA,NA,NA
20389,2,5,0,0
20390,1,NA,NA,NA
20390,2,0,0,0
20391,1,NA,NA,NA
20391,2,NA,NA,NA
20392,1,NA,NA,NA
20392,2,NA,NA,NA
20393,1,1,0,0
20393,2,1,0,0
20394,1,NA,NA,NA
20394,2,NA,NA,NA
20395,1,NA,NA,NA
20395,2,NA,NA,NA
20396,1,NA,NA,NA
20396,2,NA,NA,NA
20397,1,25,0,0
20397,2,28,0,0
20398,1,0,0,0
20398,2,0,0,0
20399,1,NA,NA,NA
20399,2,0,0,0
20400,1,NA,NA,NA
20400,2,NA,NA,NA
20401,1,NSS,NSS,NSS
20401,2,NSS,NSS,NSS
20402,1,NA,NA,NA
20402,2,NA,NA,NA
20403,1,NA,NA,NA
20403,2,5,0,0
20404,1,NA,NA,NA
20404,2,NA,NA,NA
20405,1,NA,NA,NA
20405,2,6,0,0
20406,1,NA,NA,NA
20406,2,NA,NA,NA
20407,1,NSS,NSS,NSS
20407,2,NA,NA,NA
20408,1,NA,NA,NA
20408,2,NA,NA,NA
20409,1,NSS,NSS,NSS
20409,2,NSS,NSS,NSS
20410,1,NA,NA,NA
20410,2,NA,NA,NA
20411,1,NA,NA,NA
20411,2,NA,NA,NA
20412,1,NA,NA,NA
