ubicageo_f,aniorefe_b,totalca1
5036,1,52
5036,2,264
5037,1,NSS
5037,2,342
5038,1,NA
5038,2,190
6001,1,286
6001,2,500
6002,1,2842
6002,2,837
6003,1,282
6003,2,241
6004,1,586
6004,2,403
6005,1,142
6005,2,136
6006,1,10
6006,2,62
6007,1,5036
6007,2,4897
6008,1,52
6008,2,37
6009,1,4735
6009,2,3072
6010,1,1817
6010,2,2363
7001,1,NA
7001,2,NA
7002,1,60
7002,2,360
7003,1,NA
7003,2,NA
7004,1,NSS
7004,2,NA
7005,1,NA
7005,2,311
7006,1,5
7006,2,6
7007,1,NA
7007,2,NA
7008,1,NA
7008,2,NA
7009,1,10
7009,2,47
7010,1,6
7010,2,8
7011,1,NA
7011,2,150
7012,1,186
7012,2,908
7013,1,130
7013,2,720
7014,1,70
7014,2,502
7015,1,500
7015,2,956
7016,1,NA
7016,2,NA
7017,1,392
7017,2,1063
7018,1,20
7018,2,14
7019,1,705
7019,2,2800
7020,1,41
7020,2,103
7021,1,115
7021,2,407
7022,1,57
7022,2,208
7023,1,13
7023,2,15
7024,1,NA
7024,2,NA
7025,1,NSS
7025,2,30
7026,1,125
7026,2,502
7027,1,1074
7027,2,912
7028,1,NA
7028,2,60
7029,1,NA
7029,2,27
7030,1,30
7030,2,100
7031,1,NA
7031,2,NA
7032,1,212
7032,2,178
7033,1,12
7033,2,35
7034,1,90
7034,2,996
7035,1,NA
7035,2,NA
7036,1,NA
7036,2,50
7037,1,NSS
7037,2,55
7038,1,NA
7038,2,8
7039,1,40
7039,2,64
7040,1,NA
7040,2,2272
7041,1,NA
7041,2,NA
7042,1,134
7042,2,53
7043,1,NSS
7043,2,70
7044,1,NA
7044,2,NA
7045,1,NA
7045,2,NA
7046,1,303
7046,2,236
7047,1,NA
7047,2,NA
7048,1,NA
7048,2,NA
7049,1,3
7049,2,5
7050,1,NSS
7050,2,NSS
7051,1,274
7051,2,577
7052,1,360
7052,2,2016
7053,1,38
7053,2,40
7054,1,NA
7054,2,3
7055,1,NA
7055,2,NA
7056,1,NA
7056,2,NA
7057,1,1825
7057,2,1911
7058,1,NA
7058,2,46
7059,1,NSS
7059,2,1963
7060,1,75
7060,2,450
7061,1,NSS
7061,2,1605
7062,1,NA
7062,2,NA
7063,1,NA
7063,2,27
7064,1,NA
7064,2,NSS
7065,1,2000
7065,2,1500
7066,1,NSS
7066,2,NA
7067,1,NA
7067,2,50
7068,1,NA
7068,2,NA
7069,1,NA
7069,2,453
7070,1,140
7070,2,164
7071,1,NA
7071,2,NA
7072,1,40
7072,2,160
7073,1,50
7073,2,288
7074,1,NA
7074,2,NA
7075,1,80
7075,2,100
7076,1,NA
7076,2,NA
7077,1,NSS
7077,2,NSS
7078,1,2659
7078,2,3503
7079,1,NA
7079,2,569
7080,1,NSS
7080,2,499
7081,1,859
7081,2,576
7082,1,NA
7082,2,NA
7083,1,NA
7083,2,50
7084,1,NA
7084,2,4
7085,1,NA
7085,2,25
7086,1,154
7086,2,680
7087,1,2772
7087,2,1027
7088,1,NA
7088,2,NA
7089,1,11652
7089,2,10875
7090,1,4
7090,2,12
7091,1,NA
7091,2,NA
7092,1,NA
7092,2,331
7093,1,NA
7093,2,NA
7094,1,NSS
7094,2,107
7096,1,NA
7096,2,NA
7097,1,435
7097,2,915
7098,1,5
7098,2,8
7099,1,27
7099,2,70
7100,1,NA
7100,2,NA
7101,1,6471
7101,2,6031
7102,1,NA
7102,2,NA
7103,1,52
7103,2,67
7104,1,NA
7104,2,85
7105,1,NA
7105,2,NA
7106,1,NA
7106,2,130
7107,1,NSS
7107,2,364
7108,1,73
7108,2,84
7109,1,NA
7109,2,NA
7110,1,NA
7110,2,NA
7111,1,2
7111,2,25
7112,1,NA
7112,2,NA
7113,1,87
7113,2,349
7114,1,53
7114,2,103
7115,1,NA
7115,2,NA
7116,1,NA
7116,2,NA
7117,1,NA
7117,2,25
7118,1,10
7118,2,80
7119,1,10
7119,2,15
7120,1,5
7120,2,35
7121,1,10
7121,2,80
7122,1,NA
7122,2,26
7123,1,NA
7123,2,NA
7124,1,NA
7124,2,NA
7125,1,15
7125,2,20
8001,1,NA
8001,2,NA
8002,1,991
8002,2,1524
8003,1,70
8003,2,60
8004,1,187
8004,2,361
8005,1,NSS
8005,2,3191
8006,1,NA
8006,2,NA
8007,1,75
8007,2,85
8008,1,NA
8008,2,10
8009,1,NA
8009,2,NA
8010,1,NA
8010,2,NA
8011,1,1662
8011,2,2258
8012,1,NA
8012,2,NA
8013,1,NSS
8013,2,NSS
8014,1,NA
8014,2,NA
8015,1,12
8015,2,35
8016,1,NA
8016,2,NA
8017,1,NA
8017,2,6612
8018,1,NA
8018,2,NA
8019,1,18004
8019,2,15532
8020,1,NA
8020,2,NA
8021,1,3462
8021,2,3062
8022,1,NA
8022,2,NA
8023,1,NA
8023,2,NA
8024,1,NA
8024,2,NA
8025,1,NA
8025,2,NA
8026,1,NA
8026,2,NA
8027,1,NA
8027,2,180
8028,1,NA
8028,2,NA
8029,1,100
8029,2,64
8030,1,NA
8030,2,NA
8031,1,NA
8031,2,NA
8032,1,9075
8032,2,9075
8033,1,2
8033,2,3
8034,1,NA
8034,2,NA
8035,1,NA
8035,2,NA
8036,1,NA
8036,2,1968
8037,1,395
8037,2,6344
8038,1,NSS
8038,2,3
8039,1,NSS
8039,2,264
8040,1,1105
8040,2,870
8041,1,NA
8041,2,NA
8042,1,NA
8042,2,NA
8043,1,NA
8043,2,NA
8044,1,25
8044,2,26
8045,1,1356
8045,2,802
8046,1,14
8046,2,7
8047,1,NA
8047,2,NA
8048,1,NA
8048,2,NA
8049,1,NA
8049,2,NA
8050,1,1512
8050,2,1315
8051,1,NA
8051,2,NA
8052,1,1860
8052,2,977
8053,1,NA
8053,2,NA
8054,1,NA
8054,2,NA
8055,1,NSS
8055,2,NA
8056,1,NA
8056,2,NA
8057,1,NA
8057,2,NA
8058,1,NA
8058,2,NA
8059,1,14
8059,2,207
8060,1,368
8060,2,655
8061,1,NA
8061,2,NA
8062,1,867
8062,2,917
8063,1,NA
8063,2,NA
8064,1,10
8064,2,25
8065,1,NA
8065,2,20
8066,1,NA
8066,2,NA
8067,1,NA
8067,2,NA
9002,1,NA
9002,2,NA
9003,1,NA
9003,2,NA
9004,1,NA
9004,2,NA
9005,1,NA
9005,2,NA
9006,1,NA
9006,2,NA
9007,1,NA
9007,2,NA
9008,1,NA
9008,2,NA
9009,1,NA
9009,2,NA
9010,1,NA
9010,2,NA
9011,1,NA
9011,2,NA
9012,1,NA
9012,2,NA
9013,1,NA
9013,2,NA
9014,1,NA
9014,2,NA
9015,1,NA
9015,2,NA
9016,1,NA
9016,2,NA
9017,1,NA
9017,2,NA
10001,1,NA
10001,2,NA
10002,1,NA
10002,2,NA
10003,1,NA
10003,2,20
10004,1,NA
10004,2,NA
10005,1,16097
10005,2,10543
10006,1,NSS
10006,2,47
10007,1,3149
10007,2,2686
10008,1,206
10008,2,142
10009,1,NA
10009,2,NA
10010,1,NA
10010,2,NA
10011,1,NA
10011,2,NA
10012,1,1498
10012,2,1239
10013,1,NA
10013,2,NA
10014,1,85
10014,2,72
10015,1,NA
10015,2,NA
10016,1,NSS
10016,2,450
10017,1,NA
10017,2,29
10018,1,NA
10018,2,7
10019,1,NA
10019,2,NA
10020,1,NA
10020,2,NA
10021,1,NA
10021,2,NA
10022,1,NA
10022,2,NA
10023,1,319
10023,2,451
10024,1,NA
10024,2,8
10025,1,NA
10025,2,NA
10026,1,NA
10026,2,NA
10027,1,NA
10027,2,NA
10028,1,NA
10028,2,NA
10029,1,NA
10029,2,NA
10030,1,NA
10030,2,NA
10031,1,NSS
10031,2,NA
10032,1,164
10032,2,231
10033,1,NA
10033,2,58
10034,1,36
10034,2,45
10035,1,NA
10035,2,NA
10036,1,45
10036,2,40
10037,1,NA
10037,2,NA
10038,1,NSS
10038,2,17
10039,1,382
10039,2,431
11001,1,NA
11001,2,NA
11002,1,NSS
11002,2,NA
11003,1,4108
11003,2,4885
11004,1,NA
11004,2,NA
11005,1,1800
11005,2,1728
11006,1,NA
11006,2,NA
11007,1,4139
11007,2,2783
11008,1,NSS
11008,2,NSS
11009,1,2088
11009,2,2173
11010,1,NA
11010,2,NA
11011,1,NA
11011,2,NA
11012,1,1000
11012,2,925
11013,1,188
11013,2,274
11014,1,1556
11014,2,956
11015,1,6866
11015,2,7239
11016,1,119
11016,2,182
11017,1,5962
11017,2,2560
11018,1,399
11018,2,916
11019,1,NA
11019,2,18
11020,1,157115
11020,2,128933
11021,1,418
11021,2,709
11022,1,446
11022,2,400
11023,1,3284
11023,2,2833
11024,1,NA
11024,2,NA
11025,1,3643
11025,2,3000
11026,1,516
11026,2,470
11027,1,NSS
11027,2,NSS
11028,1,NSS
11028,2,805
11029,1,463
11029,2,1466
11030,1,1131
11030,2,1036
11031,1,NA
11031,2,NA
11032,1,NSS
11032,2,546
11033,1,1444
11033,2,1382
11034,1,NSS
11034,2,NA
11035,1,NSS
11035,2,NSS
11036,1,NA
11036,2,NA
11037,1,NSS
11037,2,NSS
11038,1,19
11038,2,27
11039,1,537
11039,2,466
11040,1,NA
11040,2,NA
11041,1,657
11041,2,615
11042,1,2271
11042,2,2212
11043,1,182
11043,2,177
11044,1,1104
11044,2,1072
11045,1,NSS
11045,2,NSS
11046,1,NA
11046,2,NA
12001,1,1048
12001,2,773
12002,1,NA
12002,2,NA
12003,1,NA
12003,2,NA
12004,1,NA
12004,2,NA
12005,1,NA
12005,2,NA
12006,1,NA
12006,2,NA
12007,1,NA
12007,2,NA
12008,1,126
12008,2,178
12009,1,NA
12009,2,2
12010,1,30
12010,2,20
12011,1,211
12011,2,292
12012,1,NA
12012,2,49
12013,1,NA
12013,2,NA
12014,1,NA
12014,2,NA
12015,1,NA
12015,2,8
12016,1,NA
12016,2,NA
12017,1,NA
12017,2,NA
12018,1,NA
12018,2,10
12019,1,49
12019,2,157
12020,1,NA
12020,2,NA
12021,1,NSS
12021,2,202
12022,1,NA
12022,2,NA
12023,1,37
12023,2,118
12024,1,8
12024,2,12
12025,1,5
12025,2,39
12026,1,NA
12026,2,NA
12027,1,NA
12027,2,NA
12028,1,350
12028,2,339
12029,1,1494
12029,2,636
12030,1,10
12030,2,15
12031,1,NA
12031,2,NA
12032,1,NA
12032,2,13
12033,1,NA
12033,2,86
12034,1,25
12034,2,182
12035,1,NA
12035,2,NA
12036,1,NA
12036,2,89
12037,1,NA
12037,2,NA
12038,1,1234
12038,2,1012
12039,1,6
12039,2,8
12040,1,NA
12040,2,NA
12041,1,NA
12041,2,15
12042,1,NA
12042,2,3
12043,1,NA
12043,2,NA
12044,1,NA
12044,2,10
12045,1,NA
12045,2,NA
12046,1,5
12046,2,229
12047,1,NA
12047,2,NA
12048,1,2
12048,2,74
12049,1,NA
12049,2,2
12050,1,9
12050,2,41
12051,1,1
12051,2,NA
12052,1,60
12052,2,90
12053,1,185
12053,2,311
12054,1,NA
12054,2,NA
12055,1,NA
12055,2,285
12056,1,20
12056,2,63
12057,1,54
12057,2,302
12058,1,NA
12058,2,NA
12059,1,24
12059,2,103
12060,1,NA
12060,2,NA
12061,1,1449
12061,2,1662
12062,1,69
12062,2,135
12063,1,NA
12063,2,41
12064,1,NA
12064,2,NA
12065,1,NA
12065,2,NA
12066,1,NA
12066,2,NA
12067,1,12
12067,2,20
12068,1,NA
12068,2,NA
12069,1,NA
12069,2,2
12070,1,NA
12070,2,4
12071,1,NA
12071,2,199
12072,1,NA
12072,2,26
12073,1,NA
12073,2,NA
12074,1,NA
12074,2,13
12075,1,46
12075,2,142
12076,1,NA
12076,2,NA
12077,1,62
12077,2,54
12078,1,NA
12078,2,NA
12079,1,10
12079,2,8
12080,1,1
12080,2,1
12081,1,NA
12081,2,80
12082,1,NA
12082,2,NA
12083,1,NA
12083,2,NA
12084,1,NA
12084,2,NA
12085,1,NA
12085,2,NA
13001,1,NA
13001,2,NA
13002,1,109
13002,2,142
13003,1,1366
13003,2,1246
13004,1,65
13004,2,76
13005,1,70
13005,2,63
13006,1,58
13006,2,65
13007,1,88
13007,2,118
13008,1,479
13008,2,385
13009,1,132
13009,2,167
13010,1,NA
13010,2,449
13011,1,112
13011,2,164
13012,1,319
13012,2,263
13013,1,334
13013,2,552
13014,1,59
13014,2,57
13015,1,54
13015,2,45
13016,1,NSS
13016,2,265
13017,1,NA
13017,2,32
13018,1,115
13018,2,112
13019,1,72
13019,2,71
13020,1,17
13020,2,7
13021,1,300
13021,2,198
13022,1,207
13022,2,127
13023,1,223
13023,2,288
13024,1,135
13024,2,104
13025,1,86
13025,2,79
13026,1,30
13026,2,38
13027,1,1
13027,2,1
13028,1,693
13028,2,1073
13029,1,NSS
13029,2,574
13030,1,520
13030,2,427
13031,1,71
13031,2,45
13032,1,59
13032,2,56
13033,1,9
13033,2,16
13034,1,70
13034,2,65
13035,1,32
13035,2,25
13036,1,67
13036,2,17
13037,1,95
13037,2,60
13038,1,NA
13038,2,20
13039,1,95
13039,2,120
13040,1,20
13040,2,18
13041,1,NA
13041,2,NA
13042,1,125
13042,2,105
13043,1,NSS
13043,2,4
13044,1,NSS
13044,2,NA
13045,1,NA
13045,2,NA
13046,1,150
13046,2,154
13047,1,4
13047,2,30
13048,1,3081
13048,2,4528
13049,1,45
13049,2,25
13050,1,309
13050,2,323
13051,1,1316
13051,2,1262
13052,1,500
13052,2,339
13053,1,NSS
13053,2,261
13054,1,125
13054,2,129
13055,1,17
13055,2,14
13056,1,738
13056,2,506
13057,1,67
13057,2,79
13058,1,115
13058,2,52
13059,1,79
13059,2,64
13060,1,45
13060,2,45
13061,1,213
13061,2,288
13062,1,88
13062,2,149
13063,1,1328
13063,2,875
13064,1,33
13064,2,16
13065,1,NSS
13065,2,193
13066,1,NA
13066,2,NA
13067,1,313
13067,2,323
13068,1,NA
13068,2,NA
13069,1,932
13069,2,1170
13070,1,358
13070,2,361
13071,1,8
13071,2,17
13072,1,NA
13072,2,34
13073,1,104
13073,2,189
13074,1,473
13074,2,628
13075,1,199
13075,2,120
13076,1,1749
13076,2,1468
13077,1,3211
13077,2,2571
13078,1,57
13078,2,170
13079,1,20
13079,2,NA
13080,1,103
13080,2,66
13081,1,NSS
13081,2,705
13082,1,226
13082,2,178
13083,1,230
13083,2,188
13084,1,230
13084,2,255
14001,1,NA
14001,2,167
14002,1,132
14002,2,114
14003,1,NSS
14003,2,NA
14004,1,27
14004,2,23
14005,1,NA
14005,2,149
14006,1,298
14006,2,333
14007,1,333
14007,2,150
14008,1,NA
14008,2,NA
14009,1,NA
14009,2,NA
14010,1,180
14010,2,243
14011,1,7
14011,2,51
14012,1,NA
14012,2,NA
14013,1,1086
14013,2,672
14014,1,NSS
14014,2,108
14015,1,721
14015,2,644
14016,1,NA
14016,2,NA
14017,1,49
14017,2,45
14018,1,537
14018,2,401
14019,1,33
14019,2,45
14020,1,33
14020,2,10
14021,1,120
14021,2,163
14022,1,600
14022,2,548
14023,1,2047
14023,2,1893
14024,1,NA
14024,2,424
14025,1,612
14025,2,436
14026,1,NA
14026,2,NA
14027,1,NA
14027,2,NA
14028,1,18
14028,2,11
14029,1,NA
14029,2,29
14030,1,NSS
14030,2,529
14031,1,NA
14031,2,NA
14032,1,NA
14032,2,NA
14033,1,79
14033,2,167
14034,1,NA
14034,2,NA
14035,1,477
14035,2,536
14036,1,90
14036,2,78
14037,1,302
14037,2,226
14038,1,17
14038,2,22
14039,1,9958
14039,2,4017
14040,1,59
14040,2,116
14041,1,208
14041,2,117
14042,1,NA
14042,2,94
14043,1,371
14043,2,368
14044,1,399
14044,2,1132
14045,1,25
14045,2,31
14046,1,913
14046,2,620
14047,1,338
14047,2,513
14048,1,NA
14048,2,270
14049,1,6
14049,2,10
14050,1,NA
14050,2,610
14051,1,102
14051,2,431
14052,1,5
14052,2,3
14053,1,749
14053,2,780
14054,1,56
14054,2,116
14055,1,94
14055,2,128
14056,1,NA
14056,2,NA
14057,1,NA
14057,2,NA
14058,1,97
14058,2,40
14059,1,30
14059,2,23
14060,1,3
14060,2,3
14061,1,NA
14061,2,NA
14062,1,4
14062,2,31
14063,1,2309
14063,2,1718
14064,1,250
14064,2,400
14065,1,63
14065,2,66
14066,1,678
14066,2,756
14067,1,3472
14067,2,2580
14068,1,102
14068,2,75
14069,1,22
14069,2,23
14070,1,2303
14070,2,2178
14071,1,NA
14071,2,45
14072,1,NA
14072,2,NA
14073,1,3393
14073,2,2018
14074,1,NSS
14074,2,102
14075,1,NA
14075,2,NA
14076,1,NA
14076,2,NA
14077,1,185
14077,2,277
14078,1,NA
14078,2,369
14079,1,76
14079,2,301
14080,1,NA
14080,2,NA
14081,1,ND
14081,2,ND
14082,1,1171
14082,2,1702
14083,1,1292
14083,2,1449
14084,1,186
14084,2,221
14085,1,4
14085,2,65
14086,1,NA
14086,2,227
14087,1,11
14087,2,53
14088,1,69
14088,2,110
14089,1,20
14089,2,30
14090,1,56
14090,2,50
14091,1,247
14091,2,358
14092,1,NA
14092,2,NA
14093,1,1264
14093,2,1057
14094,1,1145
14094,2,1812
14095,1,NSS
14095,2,41
14096,1,89
14096,2,189
14097,1,1056
14097,2,510
14098,1,1298
14098,2,1198
14099,1,32
14099,2,39
14100,1,180
14100,2,202
14101,1,634
14101,2,3775
14102,1,41
14102,2,32
14103,1,NA
14103,2,NA
14104,1,ND
14104,2,ND
14105,1,270
14105,2,94
14106,1,2
14106,2,41
14107,1,NA
14107,2,NA
14108,1,177
14108,2,161
14109,1,180
14109,2,207
14110,1,144
14110,2,202
14111,1,NA
14111,2,18
14112,1,80
14112,2,63
14113,1,97
14113,2,362
14114,1,253
14114,2,162
14115,1,NA
14115,2,NA
14116,1,23
14116,2,28
14117,1,11
14117,2,11
14118,1,86
14118,2,99
14119,1,NA
14119,2,NA
14120,1,1557
14120,2,3931
14121,1,NA
14121,2,718
14122,1,NA
14122,2,22
14123,1,268
14123,2,201
14124,1,70
14124,2,349
14125,1,NA
14125,2,337
15001,1,131
15001,2,91
15002,1,NA
15002,2,528
15003,1,NSS
15003,2,111
15004,1,NA
15004,2,NA
15005,1,NSS
15005,2,341
15006,1,NA
15006,2,189
15007,1,NA
15007,2,NA
15008,1,NSS
15008,2,NA
15009,1,332
15009,2,727
15010,1,279
15010,2,373
15011,1,452
15011,2,301
15012,1,NSS
15012,2,76
15013,1,3224
15013,2,2791
15014,1,1016
15014,2,1036
15015,1,224
15015,2,202
15016,1,NA
15016,2,20
15017,1,76
15017,2,66
15018,1,346
15018,2,324
15019,1,NSS
15019,2,317
15020,1,277
15020,2,495
15021,1,NSS
15021,2,59
15022,1,40
15022,2,63
15023,1,137
15023,2,335
15024,1,NA
15024,2,1538
15025,1,1600
15025,2,1414
15026,1,95
15026,2,72
15027,1,NSS
15027,2,NA
15028,1,364
15028,2,200
15029,1,2804
15029,2,2765
15030,1,227
15030,2,416
15031,1,NA
15031,2,3538
15032,1,36
15032,2,5
15033,1,648
15033,2,752
15034,1,49
15034,2,36
15035,1,1162
15035,2,1124
15036,1,175
15036,2,189
15037,1,564
15037,2,718
15038,1,NSS
15038,2,30
15039,1,5102
15039,2,2959
15040,1,323
15040,2,326
15041,1,NA
15041,2,NA
15042,1,1142
15042,2,1371
15043,1,807
15043,2,1674
15044,1,NA
15044,2,54
15045,1,181
15045,2,456
15046,1,NA
15046,2,40
15047,1,161
15047,2,88
15048,1,289
15048,2,529
15049,1,NA
15049,2,NA
15050,1,100
15050,2,400
15051,1,NA
15051,2,1118
15052,1,136
15052,2,36
15053,1,NSS
15053,2,2127
15054,1,4797
15054,2,2826
15055,1,NA
15055,2,41
15056,1,33
15056,2,46
15057,1,7680
15057,2,8240
15058,1,9652
15058,2,11129
15059,1,375
15059,2,405
15060,1,3046
15060,2,2529
15061,1,NA
15061,2,56
15062,1,NA
15062,2,938
15063,1,NA
15063,2,NA
15064,1,NA
15064,2,317
15065,1,NA
15065,2,164
15066,1,NA
15066,2,NA
15067,1,80
15067,2,92
15068,1,331
15068,2,380
15069,1,414
15069,2,249
15070,1,4898
15070,2,4258
15071,1,NA
15071,2,101
15072,1,95
15072,2,130
15073,1,121
15073,2,43
15074,1,NSS
15074,2,28
15075,1,NA
15075,2,75
15076,1,4797
15076,2,2826
15077,1,NSS
15077,2,NSS
15078,1,NA
15078,2,10
15079,1,39
15079,2,44
15080,1,NSS
15080,2,5
15081,1,2484
15081,2,3718
15082,1,371
15082,2,370
15083,1,NSS
15083,2,123
15084,1,NA
15084,2,401
15085,1,108
15085,2,149
15086,1,NA
15086,2,NA
15087,1,939
15087,2,677
15088,1,1887
15088,2,2317
15089,1,180
15089,2,172
15090,1,NSS
15090,2,424
15091,1,NA
15091,2,1709
15092,1,12
15092,2,1589
15093,1,80
15093,2,201
15094,1,256
15094,2,248
15095,1,1093
15095,2,1032
15096,1,NA
15096,2,668
15097,1,NA
15097,2,NA
15098,1,163
15098,2,197
15099,1,NA
15099,2,1901
15100,1,NA
15100,2,360
15101,1,NA
15101,2,938
15102,1,NA
15102,2,14
15103,1,878
15103,2,981
15104,1,5000
15104,2,5300
15105,1,NSS
15105,2,NSS
15106,1,250
15106,2,1718
15107,1,140
15107,2,160
15108,1,NA
15108,2,1920
15109,1,1780
15109,2,2663
15110,1,NA
15110,2,651
15111,1,NSS
15111,2,530
15112,1,180
15112,2,215
15113,1,140
15113,2,160
15114,1,353
15114,2,404
15115,1,NSS
15115,2,3552
15116,1,NSS
15116,2,25
15117,1,NA
15117,2,15
15118,1,715
15118,2,590
15119,1,254
15119,2,303
15120,1,NA
15120,2,14631
15121,1,3935
15121,2,4353
15122,1,4198
15122,2,5194
15123,1,136
15123,2,36
15124,1,302
15124,2,304
15125,1,NA
15125,2,157
16001,1,NA
16001,2,NA
16002,1,NA
16002,2,NA
16003,1,NA
16003,2,NA
16004,1,NA
16004,2,NA
16005,1,NA
16005,2,NA
16006,1,NA
16006,2,NA
16007,1,NSS
16007,2,NA
16008,1,NA
16008,2,NA
16009,1,NSS
16009,2,NA
16010,1,NA
16010,2,NA
16011,1,NA
16011,2,NA
16012,1,NA
16012,2,NA
16013,1,NA
16013,2,NA
16014,1,NA
16014,2,NA
16015,1,78
16015,2,80
16016,1,NA
16016,2,NA
16017,1,NA
16017,2,NA
16018,1,NA
16018,2,NA
16019,1,NA
16019,2,NA
16020,1,NSS
16020,2,NA
16021,1,NA
16021,2,NA
16022,1,NA
16022,2,NA
16023,1,NA
16023,2,NA
16024,1,NA
16024,2,NA
16025,1,NA
16025,2,NA
16026,1,NA
16026,2,NA
16027,1,NA
16027,2,NA
16028,1,12
16028,2,15
16029,1,NA
16029,2,NA
16030,1,NA
16030,2,NA
16031,1,NSS
16031,2,NA
16032,1,NA
16032,2,NA
16033,1,NA
16033,2,NA
16034,1,901
16034,2,2234
16035,1,NA
16035,2,NA
16036,1,NA
16036,2,NA
16037,1,79
16037,2,144
16038,1,NA
16038,2,NA
16039,1,NA
16039,2,NA
16040,1,NA
16040,2,NA
16041,1,NA
16041,2,NA
16042,1,NA
16042,2,NA
16043,1,89
16043,2,171
16044,1,NA
16044,2,NA
16045,1,NA
16045,2,NA
16046,1,NA
16046,2,NA
16047,1,NA
16047,2,NA
16048,1,90
16048,2,129
16049,1,NA
16049,2,NA
16050,1,1189
16050,2,1365
16051,1,ND
16051,2,ND
16052,1,1356
16052,2,645
16053,1,1857
16053,2,6029
16054,1,23
16054,2,59
16055,1,542
16055,2,582
16056,1,NA
16056,2,NA
16057,1,NA
16057,2,NA
16058,1,108
16058,2,141
16059,1,NA
16059,2,NA
16060,1,NA
16060,2,NA
16061,1,NA
16061,2,NA
16062,1,NA
16062,2,NA
16063,1,NSS
16063,2,NA
16064,1,NA
16064,2,NA
16065,1,NA
16065,2,NA
16066,1,123
16066,2,704
16067,1,NSS
16067,2,NA
16068,1,NA
16068,2,NA
16069,1,NA
16069,2,NA
16070,1,NA
16070,2,NA
16071,1,NA
16071,2,NA
16072,1,NSS
16072,2,75
16073,1,98
16073,2,174
16074,1,NA
16074,2,NA
16075,1,NA
16075,2,NA
16076,1,1570
16076,2,1462
16077,1,NA
16077,2,NA
16078,1,NA
16078,2,NA
16079,1,NA
16079,2,1624
16080,1,NA
16080,2,NA
16081,1,NA
16081,2,NA
16082,1,NA
16082,2,NA
16083,1,NA
16083,2,NA
16084,1,NA
16084,2,NA
16085,1,NA
16085,2,NA
16086,1,NA
16086,2,NA
16087,1,NA
16087,2,NA
16088,1,470
16088,2,424
16089,1,NA
16089,2,NA
16090,1,NA
16090,2,NA
16091,1,NA
16091,2,NA
16092,1,NA
16092,2,NA
16093,1,NA
16093,2,NA
16094,1,NA
16094,2,NA
16095,1,NA
16095,2,NA
16096,1,NA
16096,2,NA
16097,1,NA
16097,2,NA
16098,1,NA
16098,2,NA
16099,1,NA
16099,2,NA
16100,1,NSS
16100,2,173
16101,1,NA
16101,2,NA
16102,1,NA
16102,2,NA
16103,1,NA
16103,2,NA
16104,1,NA
16104,2,NA
16105,1,NA
16105,2,NA
16106,1,NA
16106,2,NA
16107,1,NA
16107,2,NA
16108,1,3490
16108,2,5418
16109,1,NA
16109,2,NA
16110,1,NA
16110,2,NA
16111,1,10
16111,2,10
16112,1,NA
16112,2,NA
16113,1,10
16113,2,10
17001,1,9
17001,2,11
17002,1,NSS
17002,2,602
17003,1,NSS
17003,2,156
17004,1,780
17004,2,503
17005,1,53
17005,2,26
17006,1,3712
17006,2,2635
17007,1,2093
17007,2,2304
17008,1,352
17008,2,127
