ubicageo_f,aniorefe_b,totalca1
12028,1,NA
12028,2,NA
12029,1,75
12029,2,60
12030,1,2
12030,2,1
12031,1,NA
12031,2,NA
12032,1,NA
12032,2,1
12033,1,NA
12033,2,6
12034,1,NA
12034,2,1
12035,1,NA
12035,2,NA
12036,1,NA
12036,2,NA
12037,1,NA
12037,2,NA
12038,1,50
12038,2,76
12039,1,NA
12039,2,7
12040,1,1
12040,2,NA
12041,1,NA
12041,2,NA
12042,1,NA
12042,2,2
12043,1,NA
12043,2,NA
12044,1,NA
12044,2,NA
12045,1,NA
12045,2,2
12046,1,NA
12046,2,NA
12047,1,NA
12047,2,NA
12048,1,NA
12048,2,5
12049,1,NA
12049,2,5
12050,1,NA
12050,2,1
12051,1,3
12051,2,2
12052,1,NA
12052,2,NA
12053,1,NA
12053,2,NA
12054,1,NA
12054,2,NA
12055,1,NA
12055,2,NA
12056,1,5
12056,2,4
12057,1,2
12057,2,NA
12058,1,NA
12058,2,NA
12059,1,NA
12059,2,1
12060,1,NA
12060,2,NA
12061,1,4
12061,2,8
12062,1,NA
12062,2,NA
12063,1,NA
12063,2,NA
12064,1,NA
12064,2,NA
12065,1,NA
12065,2,NA
12066,1,NA
12066,2,2
12067,1,NA
12067,2,1
12068,1,1
12068,2,NA
12069,1,NA
12069,2,NA
12070,1,NA
12070,2,2
12071,1,NA
12071,2,1
12072,1,NA
12072,2,NA
12073,1,NA
12073,2,NA
12074,1,NA
12074,2,NA
12075,1,NA
12075,2,NA
12076,1,NA
12076,2,NA
12077,1,NA
12077,2,1
12078,1,NA
12078,2,NA
12079,1,NA
12079,2,NA
12080,1,2
12080,2,1
12081,1,NA
12081,2,1
12082,1,NA
12082,2,NA
12083,1,NA
12083,2,NA
12084,1,NA
12084,2,NA
12085,1,NA
12085,2,NA
13001,1,NA
13001,2,NA
13002,1,1
13002,2,7
13003,1,98
13003,2,67
13004,1,1
13004,2,1
13005,1,9
13005,2,5
13006,1,3
13006,2,3
13007,1,10
13007,2,17
13008,1,42
13008,2,60
13009,1,10
13009,2,8
13010,1,NA
13010,2,42
13011,1,6
13011,2,17
13012,1,3
13012,2,4
13013,1,34
13013,2,67
13014,1,2
13014,2,2
13015,1,5
13015,2,1
13016,1,NSS
13016,2,4
13017,1,NA
13017,2,5
13018,1,60
13018,2,55
13019,1,19
13019,2,11
13020,1,NA
13020,2,NA
13021,1,NSS
13021,2,NSS
13022,1,20
13022,2,18
13023,1,36
13023,2,24
13024,1,20
13024,2,15
13025,1,2
13025,2,3
13026,1,7
13026,2,8
13027,1,NA
13027,2,NA
13028,1,28
13028,2,18
13029,1,NSS
13029,2,31
13030,1,110
13030,2,111
13031,1,1
13031,2,NA
13032,1,NA
13032,2,NA
13033,1,NA
13033,2,1
13034,1,2
13034,2,3
13035,1,8
13035,2,2
13036,1,3
13036,2,6
13037,1,3
13037,2,4
13038,1,NA
13038,2,20
13039,1,NA
13039,2,NA
13040,1,1
13040,2,NA
13041,1,NA
13041,2,NA
13042,1,7
13042,2,5
13043,1,NSS
13043,2,1
13044,1,NSS
13044,2,NA
13045,1,NA
13045,2,NA
13046,1,NA
13046,2,NA
13047,1,NA
13047,2,2
13048,1,305
13048,2,355
13049,1,4
13049,2,3
13050,1,12
13050,2,15
13051,1,137
13051,2,173
13052,1,6
13052,2,38
13053,1,NSS
13053,2,8
13054,1,7
13054,2,6
13055,1,NA
13055,2,3
13056,1,10
13056,2,11
13057,1,1
13057,2,2
13058,1,18
13058,2,8
13059,1,NA
13059,2,NA
13060,1,1
13060,2,7
13061,1,45
13061,2,100
13062,1,2
13062,2,6
13063,1,113
13063,2,100
13064,1,8
13064,2,6
13065,1,NSS
13065,2,NA
13066,1,NA
13066,2,NA
13067,1,37
13067,2,62
13068,1,NA
13068,2,NA
13069,1,263
13069,2,293
13070,1,14
13070,2,16
13071,1,NA
13071,2,NA
13072,1,NA
13072,2,8
13073,1,NA
13073,2,NA
13074,1,19
13074,2,16
13075,1,18
13075,2,22
13076,1,76
13076,2,99
13077,1,159
13077,2,111
13078,1,1
13078,2,4
13079,1,NA
13079,2,NA
13080,1,4
13080,2,2
13081,1,NSS
13081,2,31
13082,1,16
13082,2,20
13083,1,109
13083,2,137
13084,1,8
13084,2,10
14001,1,NA
14001,2,NA
14002,1,11
14002,2,8
14003,1,NSS
14003,2,2
14004,1,NA
14004,2,NA
14005,1,NA
14005,2,86
14006,1,8
14006,2,17
14007,1,NA
14007,2,1
14008,1,643
14008,2,618
14009,1,NA
14009,2,NA
14010,1,NA
14010,2,NA
14011,1,NA
14011,2,NA
14012,1,5
14012,2,1
14013,1,NA
14013,2,NA
14014,1,NSS
14014,2,NA
14015,1,7
14015,2,9
14016,1,24
14016,2,21
14017,1,NA
14017,2,NA
14018,1,97
14018,2,200
14019,1,NA
14019,2,NA
14020,1,NA
14020,2,NA
14021,1,NA
14021,2,NA
14022,1,9
14022,2,5
14023,1,16
14023,2,13
14024,1,NA
14024,2,NA
14025,1,NA
14025,2,NA
14026,1,NA
14026,2,1
14027,1,NA
14027,2,NA
14028,1,NA
14028,2,NA
14029,1,NA
14029,2,1
14030,1,NSS
14030,2,NA
14031,1,NA
14031,2,NA
14032,1,2
14032,2,NA
14033,1,NA
14033,2,1
14034,1,NA
14034,2,NA
14035,1,NA
14035,2,NA
14036,1,NA
14036,2,NA
14037,1,NA
14037,2,1
14038,1,1
14038,2,2
14039,1,2258
14039,2,2491
14040,1,NA
14040,2,NA
14041,1,NA
14041,2,NA
14042,1,NA
14042,2,NA
14043,1,NA
14043,2,NA
14044,1,76
14044,2,119
14045,1,53
14045,2,56
14046,1,NA
14046,2,NA
14047,1,5
14047,2,3
14048,1,NA
14048,2,NA
14049,1,NA
14049,2,3
14050,1,NA
14050,2,3
14051,1,282
14051,2,297
14052,1,7
14052,2,5
14053,1,1086
14053,2,1916
14054,1,NA
14054,2,NA
14055,1,NA
14055,2,NA
14056,1,NA
14056,2,NA
14057,1,18
14057,2,21
14058,1,NA
14058,2,NA
14059,1,3
14059,2,5
14060,1,NA
14060,2,NA
14061,1,NA
14061,2,NA
14062,1,NA
14062,2,3
14063,1,87
14063,2,10
14064,1,10
14064,2,9
14065,1,NA
14065,2,NA
14066,1,6
14066,2,9
14067,1,70
14067,2,35
14068,1,NA
14068,2,NA
14069,1,NA
14069,2,5
14070,1,456
14070,2,534
14071,1,NA
14071,2,NA
14072,1,NA
14072,2,NA
14073,1,6
14073,2,2
14074,1,NSS
14074,2,NA
14075,1,NA
14075,2,NA
14076,1,NA
14076,2,NA
14077,1,88
14077,2,95
14078,1,NA
14078,2,NA
14079,1,NA
14079,2,2
14080,1,NA
14080,2,NA
14081,1,ND
14081,2,ND
14082,1,182
14082,2,NA
