ubicageo_f,formprot_a,rnsnni1,motivott,motivo1,motivo2,motivo3,motivo4,motivo5,motivo6,motivo7,motivo8,motivo9,motivo10,motivo11,motivo12
20332,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20332,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20332,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20333,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20333,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20333,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20334,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20334,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20334,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20335,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20335,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20335,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20336,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20336,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20336,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20337,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20337,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20337,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20338,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20338,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20338,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20339,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20339,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20339,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20340,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20340,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20340,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20341,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20341,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20341,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20342,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20342,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20342,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20343,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20343,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20343,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20344,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20344,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20344,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20345,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20345,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20345,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20346,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20346,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20346,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20347,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20347,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20347,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20348,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20348,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20348,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20349,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20349,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20349,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0
20350,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20350,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20350,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20351,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20351,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20351,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20352,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20352,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20352,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20353,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20353,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20353,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20354,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20354,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20354,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20355,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20355,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20355,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20356,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20356,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20356,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20357,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20357,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20357,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20358,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20358,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20358,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20359,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20359,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20359,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20360,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20360,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20360,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20361,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20361,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20361,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20362,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20362,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20362,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20363,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20363,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20363,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20364,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20364,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20364,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20365,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20365,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20365,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20366,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20366,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20366,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20367,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20367,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20367,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20368,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20368,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20368,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20369,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20369,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20369,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20370,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20370,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20370,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20371,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20371,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20371,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20372,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20372,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20372,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20373,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20373,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20373,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20374,1,9,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
20374,2,9,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
20374,3,9,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
20375,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20375,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20375,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20376,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20376,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20376,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20377,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20377,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20377,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20378,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20378,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20378,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20379,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20379,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20379,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20380,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20380,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20380,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20381,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20381,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20381,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20382,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20382,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20382,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20383,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20383,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20383,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20384,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20384,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20384,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20385,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
