ubicageo_f,tipoequi_f,rnsnni1,rnsnni2,totalca1,sexostt,sexos1,sexos2,sexosne
1004,16,2,0,NA,NA,NA,NA,
1004,17,2,0,NA,NA,NA,NA,
1004,18,2,0,NA,NA,NA,NA,
1004,19,2,0,NA,NA,NA,NA,
1004,21,2,0,NA,NA,NA,NA,
1004,22,2,0,NA,NA,NA,NA,
1004,23,2,0,NA,NA,NA,NA,
1004,24,2,0,NA,NA,NA,NA,
1004,25,2,0,NA,NA,NA,NA,
1004,31,2,0,NA,NA,NA,NA,
1004,32,2,0,NA,NA,NA,NA,
1004,40,2,0,NA,NA,NA,NA,
1005,11,2,0,NA,NA,NA,NA,
1005,12,2,0,NA,NA,NA,NA,
1005,13,2,0,NA,NA,NA,NA,
1005,14,2,0,NA,NA,NA,NA,
1005,15,2,0,NA,NA,NA,NA,
1005,16,2,0,NA,NA,NA,NA,
1005,17,1,1,30,30,20,10,
1005,18,2,0,NA,NA,NA,NA,
1005,19,2,0,NA,NA,NA,NA,
1005,21,2,0,NA,NA,NA,NA,
1005,22,2,0,NA,NA,NA,NA,
1005,23,2,0,NA,NA,NA,NA,
1005,24,2,0,NA,NA,NA,NA,
1005,25,2,0,NA,NA,NA,NA,
1005,31,1,1,27,27,20,7,
1005,32,2,0,NA,NA,NA,NA,
1005,40,2,0,NA,NA,NA,NA,
1006,11,1,1,7,7,7,0,
1006,12,1,1,10,10,NA,10,
1006,13,1,2,NA,NA,NA,NA,
1006,14,1,2,NA,NA,NA,NA,
1006,15,1,1,12,12,9,3,
1006,16,1,2,NA,NA,NA,NA,
1006,17,1,1,18,18,9,9,
1006,18,1,1,26,26,13,13,
1006,19,9,97,NSS,NSS,NSS,NSS,
1006,21,1,2,NA,NA,NA,NA,
1006,22,9,97,NSS,NSS,NSS,NSS,
1006,23,1,2,NA,NA,NA,NA,
1006,24,1,2,NA,NA,NA,NA,
1006,25,9,97,NSS,NSS,NSS,NSS,
1006,31,1,2,NA,NA,NA,NA,
1006,32,2,0,NA,NA,NA,NA,
1006,40,2,0,NA,NA,NA,NA,
1007,11,2,0,NA,NA,NA,NA,
1007,12,2,0,NA,NA,NA,NA,
1007,13,1,1,12,12,10,2,
1007,14,2,0,NA,NA,NA,NA,
1007,15,1,1,12,12,10,2,
1007,16,2,0,NA,NA,NA,NA,
1007,17,2,0,NA,NA,NA,NA,
1007,18,2,0,NA,NA,NA,NA,
1007,19,2,0,NA,NA,NA,NA,
1007,21,2,0,NA,NA,NA,NA,
1007,22,2,0,NA,NA,NA,NA,
1007,23,2,0,NA,NA,NA,NA,
1007,24,2,0,NA,NA,NA,NA,
1007,25,2,0,NA,NA,NA,NA,
1007,31,2,0,NA,NA,NA,NA,
1007,32,2,0,NA,NA,NA,NA,
1007,40,2,0,NA,NA,NA,NA,
1008,11,2,0,NA,NA,NA,NA,
1008,12,2,0,NA,NA,NA,NA,
1008,13,1,1,4,4,4,0,
1008,14,2,0,NA,NA,NA,NA,
1008,15,1,1,8,8,8,0,
1008,16,2,0,NA,NA,NA,NA,
1008,17,1,1,2,2,1,1,
1008,18,2,0,NA,NA,NA,NA,
1008,19,2,0,NA,NA,NA,NA,
1008,21,2,0,NA,NA,NA,NA,
1008,22,2,0,NA,NA,NA,NA,
1008,23,2,0,NA,NA,NA,NA,
1008,24,2,0,NA,NA,NA,NA,
1008,25,2,0,NA,NA,NA,NA,
1008,31,2,0,NA,NA,NA,NA,
1008,32,2,0,NA,NA,NA,NA,
1008,40,2,0,NA,NA,NA,NA,
1009,11,2,0,NA,NA,NA,NA,
1009,12,2,0,NA,NA,NA,NA,
1009,13,2,0,NA,NA,NA,NA,
1009,14,2,0,NA,NA,NA,NA,
1009,15,2,0,NA,NA,NA,NA,
1009,16,2,0,NA,NA,NA,NA,
1009,17,1,1,22,22,17,5,
1009,18,2,0,NA,NA,NA,NA,
1009,19,2,0,NA,NA,NA,NA,
1009,21,1,1,22,22,17,5,
1009,22,2,0,NA,NA,NA,NA,
1009,23,1,1,22,22,17,5,
1009,24,2,0,NA,NA,NA,NA,
1009,25,2,0,NA,NA,NA,NA,
1009,31,1,1,22,22,17,5,
1009,32,2,0,NA,NA,NA,NA,
1009,40,2,0,NA,NA,NA,NA,
1010,11,9,97,NSS,NSS,NSS,NSS,
1010,12,9,97,NSS,NSS,NSS,NSS,
1010,13,9,97,NSS,NSS,NSS,NSS,
1010,14,9,97,NSS,NSS,NSS,NSS,
1010,15,9,97,NSS,NSS,NSS,NSS,
1010,16,9,97,NSS,NSS,NSS,NSS,
1010,17,9,97,NSS,NSS,NSS,NSS,
1010,18,9,97,NSS,NSS,NSS,NSS,
1010,19,9,97,NSS,NSS,NSS,NSS,
1010,21,9,97,NSS,NSS,NSS,NSS,
1010,22,9,97,NSS,NSS,NSS,NSS,
1010,23,9,97,NSS,NSS,NSS,NSS,
1010,24,9,97,NSS,NSS,NSS,NSS,
1010,25,9,97,NSS,NSS,NSS,NSS,
1010,31,9,97,NSS,NSS,NSS,NSS,
1010,32,9,97,NSS,NSS,NSS,NSS,
1010,40,9,97,NSS,NSS,NSS,NSS,
1011,11,1,1,30,30,30,0,
1011,12,1,1,30,30,NA,30,
1011,13,2,0,NA,NA,NA,NA,
1011,14,2,0,NA,NA,NA,NA,
1011,15,2,0,NA,NA,NA,NA,
1011,16,2,0,NA,NA,NA,NA,
1011,17,1,1,60,60,30,30,
1011,18,2,0,NA,NA,NA,NA,
1011,19,2,0,NA,NA,NA,NA,
1011,21,1,1,60,60,30,30,
1011,22,2,0,NA,NA,NA,NA,
1011,23,1,1,60,60,30,30,
1011,24,2,0,NA,NA,NA,NA,
1011,25,1,1,60,60,30,30,
1011,31,1,1,60,60,30,30,
1011,32,2,0,NA,NA,NA,NA,
1011,40,2,0,NA,NA,NA,NA,
2001,11,2,0,NA,NA,NA,NA,
2001,12,2,0,NA,NA,NA,NA,
2001,13,2,0,NA,NA,NA,NA,
2001,14,2,0,NA,NA,NA,NA,
2001,15,2,0,NA,NA,NA,NA,
2001,16,2,0,NA,NA,NA,NA,
2001,17,2,0,NA,NA,NA,NA,
2001,18,2,0,NA,NA,NA,NA,
2001,19,2,0,NA,NA,NA,NA,
2001,21,2,0,NA,NA,NA,NA,
2001,22,2,0,NA,NA,NA,NA,
2001,23,2,0,NA,NA,NA,NA,
2001,24,2,0,NA,NA,NA,NA,
2001,25,2,0,NA,NA,NA,NA,
2001,31,2,0,NA,NA,NA,NA,
2001,32,2,0,NA,NA,NA,NA,
2001,40,2,0,NA,NA,NA,NA,
2002,11,1,1,NSS,NSS,NSS,NSS,
2002,12,2,0,NA,NA,NA,NA,
2002,13,1,1,NSS,NSS,NSS,NSS,
2002,14,1,1,NSS,NSS,NSS,NSS,
2002,15,2,0,NA,NA,NA,NA,
2002,16,2,0,NA,NA,NA,NA,
2002,17,1,1,NSS,NSS,NSS,NSS,
2002,18,2,0,NA,NA,NA,NA,
2002,19,2,0,NA,NA,NA,NA,
2002,21,2,0,NA,NA,NA,NA,
2002,22,2,0,NA,NA,NA,NA,
2002,23,1,1,NSS,NSS,NSS,NSS,
2002,24,2,0,NA,NA,NA,NA,
2002,25,2,0,NA,NA,NA,NA,
2002,31,2,0,NA,NA,NA,NA,
2002,32,2,0,NA,NA,NA,NA,
2002,40,2,0,NA,NA,NA,NA,
2003,11,2,0,NA,NA,NA,NA,
2003,12,2,0,NA,NA,NA,NA,
2003,13,2,0,NA,NA,NA,NA,
2003,14,2,0,NA,NA,NA,NA,
2003,15,2,0,NA,NA,NA,NA,
2003,16,2,0,NA,NA,NA,NA,
2003,17,2,0,NA,NA,NA,NA,
2003,18,2,0,NA,NA,NA,NA,
2003,19,2,0,NA,NA,NA,NA,
2003,21,2,0,NA,NA,NA,NA,
2003,22,2,0,NA,NA,NA,NA,
2003,23,2,0,NA,NA,NA,NA,
2003,24,2,0,NA,NA,NA,NA,
2003,25,2,0,NA,NA,NA,NA,
2003,31,2,0,NA,NA,NA,NA,
2003,32,2,0,NA,NA,NA,NA,
2003,40,2,0,NA,NA,NA,NA,
2004,11,2,0,NA,NA,NA,NA,
2004,12,2,0,NA,NA,NA,NA,
2004,13,1,1,60,60,55,5,
2004,14,1,1,6,6,4,2,
2004,15,2,0,NA,NA,NA,NA,
2004,16,2,0,NA,NA,NA,NA,
2004,17,1,1,90,90,45,45,
2004,18,2,0,NA,NA,NA,NA,
2004,19,2,0,NA,NA,NA,NA,
2004,21,2,0,NA,NA,NA,NA,
2004,22,2,0,NA,NA,NA,NA,
2004,23,1,1,600,600,528,72,
2004,24,1,1,30,30,15,15,
2004,25,2,0,NA,NA,NA,NA,
2004,31,2,0,NA,NA,NA,NA,
2004,32,2,0,NA,NA,NA,NA,
2004,40,1,1,1200,1200,1063,137,
2005,11,2,0,NA,NA,NA,NA,
2005,12,2,0,NA,NA,NA,NA,
2005,13,2,0,NA,NA,NA,NA,
2005,14,2,0,NA,NA,NA,NA,
2005,15,2,0,NA,NA,NA,NA,
2005,16,2,0,NA,NA,NA,NA,
2005,17,2,0,NA,NA,NA,NA,
2005,18,2,0,NA,NA,NA,NA,
2005,19,2,0,NA,NA,NA,NA,
2005,21,2,0,NA,NA,NA,NA,
2005,22,2,0,NA,NA,NA,NA,
2005,23,2,0,NA,NA,NA,NA,
2005,24,2,0,NA,NA,NA,NA,
2005,25,2,0,NA,NA,NA,NA,
2005,31,2,0,NA,NA,NA,NA,
2005,32,2,0,NA,NA,NA,NA,
2005,40,2,0,NA,NA,NA,NA,
2006,11,1,1,67,67,61,6,
2006,12,2,0,NA,NA,NA,NA,
2006,13,1,1,67,67,61,6,
2006,14,1,1,67,67,61,6,
2006,15,1,1,67,67,61,6,
2006,16,2,0,NA,NA,NA,NA,
2006,17,1,1,67,67,61,6,
2006,18,2,0,NA,NA,NA,NA,
2006,19,2,0,NA,NA,NA,NA,
2006,21,2,0,NA,NA,NA,NA,
2006,22,2,0,NA,NA,NA,NA,
2006,23,2,0,NA,NA,NA,NA,
2006,24,2,0,NA,NA,NA,NA,
2006,25,2,0,NA,NA,NA,NA,
2006,31,1,1,67,67,61,6,
2006,32,2,0,NA,NA,NA,NA,
2006,40,2,0,NA,NA,NA,NA,
2007,11,2,0,NA,NA,NA,NA,
2007,12,2,0,NA,NA,NA,NA,
2007,13,2,0,NA,NA,NA,NA,
2007,14,2,0,NA,NA,NA,NA,
2007,15,2,0,NA,NA,NA,NA,
2007,16,2,0,NA,NA,NA,NA,
2007,17,2,0,NA,NA,NA,NA,
2007,18,2,0,NA,NA,NA,NA,
2007,19,2,0,NA,NA,NA,NA,
2007,21,2,0,NA,NA,NA,NA,
2007,22,2,0,NA,NA,NA,NA,
2007,23,2,0,NA,NA,NA,NA,
2007,24,2,0,NA,NA,NA,NA,
2007,25,2,0,NA,NA,NA,NA,
2007,31,2,0,NA,NA,NA,NA,
2007,32,2,0,NA,NA,NA,NA,
2007,40,2,0,NA,NA,NA,NA,
3001,11,1,1,6,6,6,0,
3001,12,2,0,NA,NA,NA,NA,
3001,13,2,0,NA,NA,NA,NA,
3001,14,2,0,NA,NA,NA,NA,
3001,15,2,0,NA,NA,NA,NA,
3001,16,2,0,NA,NA,NA,NA,
3001,17,2,0,NA,NA,NA,NA,
3001,18,2,0,NA,NA,NA,NA,
3001,19,2,0,NA,NA,NA,NA,
3001,21,2,0,NA,NA,NA,NA,
3001,22,2,0,NA,NA,NA,NA,
3001,23,1,1,3,3,1,2,
3001,24,2,0,NA,NA,NA,NA,
3001,25,2,0,NA,NA,NA,NA,
3001,31,2,0,NA,NA,NA,NA,
3001,32,2,0,NA,NA,NA,NA,
3001,40,2,0,NA,NA,NA,NA,
3002,11,2,0,NA,NA,NA,NA,
3002,12,2,0,NA,NA,NA,NA,
3002,13,2,0,NA,NA,NA,NA,
3002,14,2,0,NA,NA,NA,NA,
3002,15,2,0,NA,NA,NA,NA,
3002,16,2,0,NA,NA,NA,NA,
3002,17,2,0,NA,NA,NA,NA,
3002,18,2,0,NA,NA,NA,NA,
3002,19,2,0,NA,NA,NA,NA,
3002,21,2,0,NA,NA,NA,NA,
3002,22,2,0,NA,NA,NA,NA,
3002,23,2,0,NA,NA,NA,NA,
3002,24,2,0,NA,NA,NA,NA,
3002,25,2,0,NA,NA,NA,NA,
3002,31,2,0,NA,NA,NA,NA,
3002,32,2,0,NA,NA,NA,NA,
3002,40,2,0,NA,NA,NA,NA,
3003,11,2,0,NA,NA,NA,NA,
3003,12,2,0,NA,NA,NA,NA,
3003,13,2,0,NA,NA,NA,NA,
3003,14,2,0,NA,NA,NA,NA,
3003,15,2,0,NA,NA,NA,NA,
3003,16,2,0,NA,NA,NA,NA,
3003,17,2,0,NA,NA,NA,NA,
3003,18,1,1,97,NSS,NSS,NSS,
3003,19,2,0,NA,NA,NA,NA,
3003,21,2,0,NA,NA,NA,NA,
3003,22,2,0,NA,NA,NA,NA,
3003,23,2,0,NA,NA,NA,NA,
3003,24,2,0,NA,NA,NA,NA,
3003,25,2,0,NA,NA,NA,NA,
3003,31,2,0,NA,NA,NA,NA,
3003,32,2,0,NA,NA,NA,NA,
3003,40,2,0,NA,NA,NA,NA,
3008,11,2,0,NA,NA,NA,NA,
3008,12,2,0,NA,NA,NA,NA,
3008,13,2,0,NA,NA,NA,NA,
3008,14,2,0,NA,NA,NA,NA,
3008,15,2,0,NA,NA,NA,NA,
3008,16,2,0,NA,NA,NA,NA,
3008,17,2,0,NA,NA,NA,NA,
3008,18,2,0,NA,NA,NA,NA,
3008,19,2,0,NA,NA,NA,NA,
3008,21,2,0,NA,NA,NA,NA,
3008,22,2,0,NA,NA,NA,NA,
3008,23,2,0,NA,NA,NA,NA,
3008,24,2,0,NA,NA,NA,NA,
3008,25,2,0,NA,NA,NA,NA,
3008,31,2,0,NA,NA,NA,NA,
3008,32,2,0,NA,NA,NA,NA,
3008,40,2,0,NA,NA,NA,NA,
3009,11,1,1,12,12,3,9,
3009,12,2,0,NA,NA,NA,NA,
3009,13,1,1,12,12,3,9,
3009,14,2,0,NA,NA,NA,NA,
3009,15,2,0,NA,NA,NA,NA,
3009,16,2,0,NA,NA,NA,NA,
3009,17,1,1,7,7,5,2,
3009,18,1,1,2,2,1,1,
3009,19,2,0,NA,NA,NA,NA,
3009,21,2,0,NA,NA,NA,NA,
3009,22,2,0,NA,NA,NA,NA,
3009,23,1,1,54,54,48,6,
3009,24,2,0,NA,NA,NA,NA,
3009,25,2,0,NA,NA,NA,NA,
3009,31,1,1,109,50,40,10,
3009,32,2,0,NA,NA,NA,NA,
3009,40,2,0,NA,NA,NA,NA,
4001,11,1,1,8,NSS,NSS,NSS,
4001,12,1,2,NA,NA,NA,NA,
4001,13,1,1,20,NSS,NSS,NSS,
4001,14,1,1,20,NSS,NSS,NSS,
4001,15,1,1,20,NSS,NSS,NSS,
4001,16,1,2,NA,NA,NA,NA,
4001,17,1,1,6,NSS,NSS,NSS,
4001,18,1,1,4,NSS,NSS,NSS,
4001,19,1,2,NA,NA,NA,NA,
4001,21,1,1,35,NSS,NSS,NSS,
4001,22,1,2,NA,NA,NA,NA,
4001,23,1,2,NA,NA,NA,NA,
4001,24,1,2,NA,NA,NA,NA,
4001,25,1,2,NA,NA,NA,NA,
4001,31,1,1,41,NSS,NSS,NSS,
4001,32,1,2,NA,NA,NA,NA,
4001,40,2,0,NA,NA,NA,NA,
4002,11,2,0,NA,NA,NA,NA,
4002,12,2,0,NA,NA,NA,NA,
4002,13,2,0,NA,NA,NA,NA,
4002,14,2,0,NA,NA,NA,NA,
4002,15,2,0,NA,NA,NA,NA,
4002,16,2,0,NA,NA,NA,NA,
4002,17,2,0,NA,NA,NA,NA,
4002,18,2,0,NA,NA,NA,NA,
4002,19,2,0,NA,NA,NA,NA,
4002,21,2,0,NA,NA,NA,NA,
4002,22,2,0,NA,NA,NA,NA,
4002,23,2,0,NA,NA,NA,NA,
4002,24,2,0,NA,NA,NA,NA,
4002,25,2,0,NA,NA,NA,NA,
4002,31,2,0,NA,NA,NA,NA,
4002,32,2,0,NA,NA,NA,NA,
4002,40,2,0,NA,NA,NA,NA,
4003,11,1,1,193,193,181,12,
4003,12,2,0,NA,NA,NA,NA,
4003,13,1,1,100,100,NSS,NSS,100
4003,14,1,1,50,50,NSS,NSS,50
4003,15,1,1,50,50,NSS,NSS,50
4003,16,2,0,NA,NA,NA,NA,
4003,17,2,0,NA,NA,NA,NA,
4003,18,2,0,NA,NA,NA,NA,
4003,19,2,0,NA,NA,NA,NA,
4003,21,1,1,192,192,NSS,NSS,192
4003,22,2,0,NA,NA,NA,NA,
4003,23,1,1,189,189,NSS,NSS,189
4003,24,2,0,NA,NA,NA,NA,
4003,25,2,0,NA,NA,NA,NA,
4003,31,1,1,170,170,155,15,
4003,32,2,0,NA,NA,NA,NA,
4003,40,2,0,NA,NA,NA,NA,
4004,11,2,0,NA,NA,NA,NA,
4004,12,2,0,NA,NA,NA,NA,
4004,13,2,0,NA,NA,NA,NA,
4004,14,2,0,NA,NA,NA,NA,
4004,15,2,0,NA,NA,NA,NA,
4004,16,2,0,NA,NA,NA,NA,
4004,17,2,0,NA,NA,NA,NA,
4004,18,2,0,NA,NA,NA,NA,
4004,19,2,0,NA,NA,NA,NA,
4004,21,2,0,NA,NA,NA,NA,
4004,22,2,0,NA,NA,NA,NA,
4004,23,2,0,NA,NA,NA,NA,
4004,24,2,0,NA,NA,NA,NA,
4004,25,2,0,NA,NA,NA,NA,
4004,31,2,0,NA,NA,NA,NA,
4004,32,2,0,NA,NA,NA,NA,
4004,40,2,0,NA,NA,NA,NA,
4005,11,2,0,NA,NA,NA,NA,
4005,12,2,0,NA,NA,NA,NA,
4005,13,2,0,NA,NA,NA,NA,
4005,14,2,0,NA,NA,NA,NA,
4005,15,2,0,NA,NA,NA,NA,
4005,16,2,0,NA,NA,NA,NA,
4005,17,1,1,10,10,10,0,
4005,18,2,0,NA,NA,NA,NA,
4005,19,2,0,NA,NA,NA,NA,
4005,21,2,0,NA,NA,NA,NA,
4005,22,2,0,NA,NA,NA,NA,
4005,23,2,0,NA,NA,NA,NA,
4005,24,2,0,NA,NA,NA,NA,
4005,25,2,0,NA,NA,NA,NA,
4005,31,2,0,NA,NA,NA,NA,
4005,32,2,0,NA,NA,NA,NA,
4005,40,2,0,NA,NA,NA,NA,
4006,11,9,97,NSS,NSS,NSS,NSS,
4006,12,9,97,NSS,NSS,NSS,NSS,
4006,13,9,97,NSS,NSS,NSS,NSS,
4006,14,9,97,NSS,NSS,NSS,NSS,
4006,15,9,97,NSS,NSS,NSS,NSS,
4006,16,9,97,NSS,NSS,NSS,NSS,
4006,17,9,97,NSS,NSS,NSS,NSS,
4006,18,9,97,NSS,NSS,NSS,NSS,
4006,19,9,97,NSS,NSS,NSS,NSS,
4006,21,9,97,NSS,NSS,NSS,NSS,
4006,22,9,97,NSS,NSS,NSS,NSS,
4006,23,9,97,NSS,NSS,NSS,NSS,
4006,24,9,97,NSS,NSS,NSS,NSS,
4006,25,9,97,NSS,NSS,NSS,NSS,
4006,31,9,97,NSS,NSS,NSS,NSS,
4006,32,9,97,NSS,NSS,NSS,NSS,
4006,40,9,97,NSS,NSS,NSS,NSS,
4007,11,2,0,NA,NA,NA,NA,
4007,12,2,0,NA,NA,NA,NA,
4007,13,2,0,NA,NA,NA,NA,
4007,14,2,0,NA,NA,NA,NA,
4007,15,2,0,NA,NA,NA,NA,
4007,16,2,0,NA,NA,NA,NA,
4007,17,2,0,NA,NA,NA,NA,
4007,18,2,0,NA,NA,NA,NA,
4007,19,2,0,NA,NA,NA,NA,
4007,21,2,0,NA,NA,NA,NA,
4007,22,2,0,NA,NA,NA,NA,
4007,23,2,0,NA,NA,NA,NA,
4007,24,2,0,NA,NA,NA,NA,
4007,25,2,0,NA,NA,NA,NA,
4007,31,2,0,NA,NA,NA,NA,
4007,32,2,0,NA,NA,NA,NA,
4007,40,2,0,NA,NA,NA,NA,
4008,11,2,0,NA,NA,NA,NA,
4008,12,2,0,NA,NA,NA,NA,
4008,13,2,0,NA,NA,NA,NA,
4008,14,2,0,NA,NA,NA,NA,
4008,15,2,0,NA,NA,NA,NA,
4008,16,2,0,NA,NA,NA,NA,
4008,17,2,0,NA,NA,NA,NA,
4008,18,2,0,NA,NA,NA,NA,
4008,19,2,0,NA,NA,NA,NA,
4008,21,2,0,NA,NA,NA,NA,
4008,22,2,0,NA,NA,NA,NA,
4008,23,2,0,NA,NA,NA,NA,
4008,24,2,0,NA,NA,NA,NA,
4008,25,2,0,NA,NA,NA,NA,
4008,31,1,1,40,40,39,1,
4008,32,2,0,NA,NA,NA,NA,
4008,40,2,0,NA,NA,NA,NA,
4009,11,1,1,54,54,53,1,
4009,12,2,0,NA,NA,NA,NA,
4009,13,1,1,54,54,53,1,
4009,14,1,1,54,54,53,1,
4009,15,1,1,54,54,53,1,
4009,16,2,0,NA,NA,NA,NA,
4009,17,1,1,54,54,53,1,
4009,18,2,0,NA,NA,NA,NA,
4009,19,2,0,NA,NA,NA,NA,
4009,21,1,1,54,54,53,1,
4009,22,2,0,NA,NA,NA,NA,
4009,23,2,0,NA,NA,NA,NA,
4009,24,2,0,NA,NA,NA,NA,
4009,25,2,0,NA,NA,NA,NA,
4009,31,1,1,54,54,53,1,
4009,32,1,1,20,20,20,0,
4009,40,2,0,NA,NA,NA,NA,
4010,11,2,0,NA,NA,NA,NA,
4010,12,2,0,NA,NA,NA,NA,
4010,13,2,0,NA,NA,NA,NA,
4010,14,2,0,NA,NA,NA,NA,
4010,15,2,0,NA,NA,NA,NA,
4010,16,2,0,NA,NA,NA,NA,
4010,17,2,0,NA,NA,NA,NA,
4010,18,2,0,NA,NA,NA,NA,
4010,19,2,0,NA,NA,NA,NA,
4010,21,2,0,NA,NA,NA,NA,
4010,22,2,0,NA,NA,NA,NA,
4010,23,2,0,NA,NA,NA,NA,
4010,24,2,0,NA,NA,NA,NA,
4010,25,2,0,NA,NA,NA,NA,
4010,31,2,0,NA,NA,NA,NA,
4010,32,2,0,NA,NA,NA,NA,
4010,40,2,0,NA,NA,NA,NA,
4011,11,1,1,26,26,26,0,
4011,12,2,0,NA,NA,NA,NA,
4011,13,1,1,26,26,26,0,
4011,14,2,0,NA,NA,NA,NA,
4011,15,2,0,NA,NA,NA,NA,
4011,16,2,0,NA,NA,NA,NA,
4011,17,2,0,NA,NA,NA,NA,
4011,18,2,0,NA,NA,NA,NA,
4011,19,2,0,NA,NA,NA,NA,
4011,21,2,0,NA,NA,NA,NA,
4011,22,2,0,NA,NA,NA,NA,
4011,23,2,0,NA,NA,NA,NA,
4011,24,2,0,NA,NA,NA,NA,
4011,25,2,0,NA,NA,NA,NA,
4011,31,2,0,NA,NA,NA,NA,
4011,32,2,0,NA,NA,NA,NA,
4011,40,2,0,NA,NA,NA,NA,
4012,11,0,0,NA,NA,NA,NA,
4012,12,0,0,NA,NA,NA,NA,
4012,13,0,0,NA,NA,NA,NA,
4012,14,0,0,NA,NA,NA,NA,
4012,15,0,0,NA,NA,NA,NA,
4012,16,0,0,NA,NA,NA,NA,
4012,17,0,0,NA,NA,NA,NA,
4012,18,0,0,NA,NA,NA,NA,
4012,19,0,0,NA,NA,NA,NA,
4012,21,0,0,NA,NA,NA,NA,
4012,22,0,0,NA,NA,NA,NA,
4012,23,0,0,NA,NA,NA,NA,
4012,24,0,0,NA,NA,NA,NA,
4012,25,0,0,NA,NA,NA,NA,
4012,31,0,0,NA,NA,NA,NA,
4012,32,0,0,NA,NA,NA,NA,
4012,40,0,0,NA,NA,NA,NA,
4013,11,0,0,NA,NA,NA,NA,
4013,12,0,0,NA,NA,NA,NA,
4013,13,0,0,NA,NA,NA,NA,
4013,14,0,0,NA,NA,NA,NA,
4013,15,0,0,NA,NA,NA,NA,
4013,16,0,0,NA,NA,NA,NA,
4013,17,0,0,NA,NA,NA,NA,
4013,18,0,0,NA,NA,NA,NA,
4013,19,0,0,NA,NA,NA,NA,
4013,21,0,0,NA,NA,NA,NA,
4013,22,0,0,NA,NA,NA,NA,
4013,23,0,0,NA,NA,NA,NA,
4013,24,0,0,NA,NA,NA,NA,
4013,25,0,0,NA,NA,NA,NA,
4013,31,0,0,NA,NA,NA,NA,
4013,32,0,0,NA,NA,NA,NA,
4013,40,0,0,NA,NA,NA,NA,
5001,11,2,0,NA,NA,NA,NA,
5001,12,2,0,NA,NA,NA,NA,
5001,13,2,0,NA,NA,NA,NA,
5001,14,2,0,NA,NA,NA,NA,
5001,15,2,0,NA,NA,NA,NA,
5001,16,2,0,NA,NA,NA,NA,
5001,17,2,0,NA,NA,NA,NA,
5001,18,2,0,NA,NA,NA,NA,
5001,19,2,0,NA,NA,NA,NA,
5001,21,2,0,NA,NA,NA,NA,
5001,22,2,0,NA,NA,NA,NA,
5001,23,2,0,NA,NA,NA,NA,
5001,24,2,0,NA,NA,NA,NA,
5001,25,2,0,NA,NA,NA,NA,
5001,31,2,0,NA,NA,NA,NA,
5001,32,2,0,NA,NA,NA,NA,
5001,40,2,0,NA,NA,NA,NA,
5002,11,2,0,NA,NA,NA,NA,
5002,12,2,0,NA,NA,NA,NA,
5002,13,2,0,NA,NA,NA,NA,
5002,14,2,0,NA,NA,NA,NA,
5002,15,2,0,NA,NA,NA,NA,
