ubicageo_f,elemunif_b,rnsnni1,totalca1,frecuenc_e
2001,16,9,NSS,997
2002,1,1,79,1
2002,2,1,79,1
2002,3,1,79,1
2002,4,2,NA,0
2002,5,1,79,1
2002,6,1,79,1
2002,7,2,NA,0
2002,8,2,NA,0
2002,9,1,79,1
2002,10,2,NA,0
2002,11,2,NA,0
2002,12,2,NA,0
2002,13,2,NA,0
2002,14,1,79,1
2002,15,1,79,1
2002,16,2,NA,0
2003,1,2,NA,0
2003,2,2,NA,0
2003,3,2,NA,0
2003,4,2,NA,0
2003,5,2,NA,0
2003,6,2,NA,0
2003,7,2,NA,0
2003,8,2,NA,0
2003,9,2,NA,0
2003,10,2,NA,0
2003,11,2,NA,0
2003,12,2,NA,0
2003,13,2,NA,0
2003,14,2,NA,0
2003,15,2,NA,0
2003,16,2,NA,0
2004,1,1,1,3
2004,2,1,2,3
2004,3,2,NA,0
2004,4,2,NA,0
2004,5,1,2,3
2004,6,2,NA,0
2004,7,2,NA,0
2004,8,2,NA,0
2004,9,1,1,3
2004,10,2,NA,0
2004,11,2,NA,0
2004,12,2,NA,0
2004,13,2,NA,0
2004,14,2,NA,0
2004,15,2,NA,0
2004,16,2,NA,0
2005,1,2,NA,0
2005,2,2,NA,0
2005,3,2,NA,0
2005,4,2,NA,0
2005,5,2,NA,0
2005,6,2,NA,0
2005,7,2,NA,0
2005,8,2,NA,0
2005,9,2,NA,0
2005,10,2,NA,0
2005,11,2,NA,0
2005,12,2,NA,0
2005,13,2,NA,0
2005,14,2,NA,0
2005,15,2,NA,0
2005,16,2,NA,0
2006,1,1,2,1
2006,2,1,2,1
2006,3,1,2,1
2006,4,1,2,1
2006,5,1,2,1
2006,6,2,NA,0
2006,7,2,NA,0
2006,8,1,1,1
2006,9,1,1,1
2006,10,2,NA,0
2006,11,2,NA,0
2006,12,2,NA,0
2006,13,2,NA,0
2006,14,1,1,1
2006,15,2,NA,0
2006,16,2,NA,0
2007,1,2,NA,0
2007,2,2,NA,0
2007,3,2,NA,0
2007,4,2,NA,0
2007,5,2,NA,0
2007,6,2,NA,0
2007,7,2,NA,0
2007,8,2,NA,0
2007,9,2,NA,0
2007,10,2,NA,0
2007,11,2,NA,0
2007,12,2,NA,0
2007,13,2,NA,0
2007,14,2,NA,0
2007,15,2,NA,0
2007,16,2,NA,0
3001,1,1,105,5
3001,2,1,222,5
3001,3,1,6,5
3001,4,2,NA,0
3001,5,1,224,5
3001,6,1,203,5
3001,7,2,NA,0
3001,8,2,NA,0
3001,9,1,207,5
3001,10,2,NA,0
3001,11,2,NA,0
3001,12,2,NA,0
3001,13,2,NA,0
3001,14,2,NA,0
3001,15,1,9,5
3001,16,2,NA,0
3002,1,1,7,1
3002,2,1,7,1
3002,3,2,NA,0
3002,4,2,NA,0
3002,5,2,NA,0
3002,6,2,NA,0
3002,7,2,NA,0
3002,8,2,NA,0
3002,9,1,7,1
3002,10,2,NA,0
3002,11,2,NA,0
3002,12,1,7,1
3002,13,2,NA,0
3002,14,1,128,1
3002,15,2,NA,0
3002,16,2,NA,0
3003,1,2,NA,0
3003,2,2,NA,0
3003,3,2,NA,0
3003,4,2,NA,0
3003,5,2,NA,0
3003,6,1,775,2
3003,7,2,NA,0
3003,8,2,NA,0
3003,9,1,775,2
3003,10,2,NA,0
3003,11,2,NA,0
3003,12,1,1400,3
3003,13,2,NA,0
3003,14,2,NA,0
3003,15,2,NA,0
3003,16,2,NA,0
3008,1,2,NA,0
3008,2,2,NA,0
3008,3,2,NA,0
3008,4,2,NA,0
3008,5,2,NA,0
3008,6,2,NA,0
3008,7,2,NA,0
3008,8,2,NA,0
3008,9,2,NA,0
3008,10,2,NA,0
3008,11,2,NA,0
3008,12,2,NA,0
3008,13,2,NA,0
3008,14,2,NA,0
3008,15,2,NA,0
3008,16,2,NA,0
3009,1,1,8,3
3009,2,1,93,3
3009,3,2,NA,0
3009,4,2,NA,0
3009,5,1,93,3
3009,6,1,93,3
3009,7,2,NA,0
3009,8,2,NA,0
3009,9,1,93,3
3009,10,2,NA,0
3009,11,2,NA,0
3009,12,2,NA,0
3009,13,2,NA,0
3009,14,1,50,9
3009,15,2,NA,0
3009,16,2,NA,0
4001,1,2,NA,0
4001,2,2,NA,0
4001,3,2,NA,0
4001,4,2,NA,0
4001,5,2,NA,0
4001,6,2,NA,0
4001,7,2,NA,0
4001,8,2,NA,0
4001,9,2,NA,0
4001,10,2,NA,0
4001,11,2,NA,0
4001,12,2,NA,0
4001,13,2,NA,0
4001,14,2,NA,0
4001,15,2,NA,0
4001,16,2,NA,0
4002,1,2,NA,0
4002,2,2,NA,0
4002,3,2,NA,0
4002,4,2,NA,0
4002,5,2,NA,0
4002,6,2,NA,0
4002,7,2,NA,0
4002,8,2,NA,0
4002,9,2,NA,0
4002,10,2,NA,0
4002,11,2,NA,0
4002,12,2,NA,0
4002,13,2,NA,0
4002,14,2,NA,0
4002,15,2,NA,0
4002,16,2,NA,0
4003,1,2,NA,0
4003,2,2,NA,0
4003,3,2,NA,0
4003,4,1,246,3
4003,5,2,NA,0
4003,6,2,NA,0
4003,7,2,NA,0
4003,8,2,NA,0
4003,9,1,246,3
4003,10,2,NA,0
4003,11,2,NA,0
4003,12,1,246,3
4003,13,1,10,3
4003,14,1,246,3
4003,15,1,246,3
4003,16,2,NA,0
4004,1,2,NA,0
4004,2,2,NA,0
4004,3,2,NA,0
4004,4,2,NA,0
4004,5,2,NA,0
4004,6,2,NA,0
4004,7,2,NA,0
4004,8,2,NA,0
4004,9,2,NA,0
4004,10,2,NA,0
4004,11,2,NA,0
4004,12,2,NA,0
4004,13,2,NA,0
4004,14,2,NA,0
4004,15,2,NA,0
4004,16,2,NA,0
4005,1,2,NA,0
4005,2,2,NA,0
4005,3,2,NA,0
4005,4,2,NA,0
4005,5,2,NA,0
4005,6,2,NA,0
4005,7,2,NA,0
4005,8,2,NA,0
4005,9,2,NA,0
4005,10,2,NA,0
4005,11,2,NA,0
4005,12,2,NA,0
4005,13,2,NA,0
4005,14,2,NA,0
4005,15,2,NA,0
4005,16,2,NA,0
4006,1,2,NA,0
4006,2,2,NA,0
4006,3,2,NA,0
4006,4,2,NA,0
4006,5,2,NA,0
4006,6,2,NA,0
4006,7,2,NA,0
4006,8,2,NA,0
4006,9,2,NA,0
4006,10,2,NA,0
4006,11,2,NA,0
4006,12,2,NA,0
4006,13,2,NA,0
4006,14,2,NA,0
4006,15,2,NA,0
4006,16,2,NA,0
4007,1,2,NA,0
4007,2,2,NA,0
4007,3,2,NA,0
4007,4,2,NA,0
4007,5,2,NA,0
4007,6,2,NA,0
4007,7,2,NA,0
4007,8,2,NA,0
4007,9,2,NA,0
4007,10,2,NA,0
4007,11,2,NA,0
4007,12,2,NA,0
4007,13,2,NA,0
4007,14,2,NA,0
4007,15,2,NA,0
4007,16,2,NA,0
4008,1,2,NA,0
4008,2,1,40,1
4008,3,2,NA,0
4008,4,1,40,1
4008,5,1,40,1
4008,6,1,40,1
4008,7,2,NA,0
4008,8,2,NA,0
4008,9,1,40,1
4008,10,1,40,1
4008,11,2,NA,0
4008,12,2,NA,0
4008,13,2,NA,0
4008,14,1,40,1
4008,15,2,NA,0
4008,16,2,NA,0
4009,1,2,NA,0
4009,2,1,54,1
4009,3,1,54,1
4009,4,1,54,1
4009,5,1,54,1
4009,6,1,54,1
4009,7,2,NA,0
4009,8,2,NA,0
4009,9,1,54,1
4009,10,2,NA,0
4009,11,2,NA,0
4009,12,2,NA,0
4009,13,2,NA,0
4009,14,1,54,1
4009,15,2,NA,0
4009,16,2,NA,0
4010,1,2,NA,0
4010,2,2,NA,0
4010,3,2,NA,0
4010,4,2,NA,0
4010,5,2,NA,0
4010,6,2,NA,0
4010,7,2,NA,0
4010,8,2,NA,0
4010,9,2,NA,0
4010,10,2,NA,0
4010,11,2,NA,0
4010,12,2,NA,0
4010,13,2,NA,0
4010,14,2,NA,0
4010,15,2,NA,0
4010,16,2,NA,0
4011,1,2,NA,0
4011,2,1,27,1
4011,3,2,NA,0
4011,4,1,27,1
4011,5,1,27,1
4011,6,2,NA,0
4011,7,2,NA,0
4011,8,1,27,1
4011,9,1,27,1
4011,10,2,NA,0
4011,11,2,NA,0
4011,12,1,27,1
4011,13,2,NA,0
4011,14,2,NA,0
4011,15,2,NA,0
4011,16,2,NA,0
4012,1,0,NA,0
4012,2,0,NA,0
4012,3,0,NA,0
4012,4,0,NA,0
4012,5,0,NA,0
4012,6,0,NA,0
4012,7,0,NA,0
4012,8,0,NA,0
4012,9,0,NA,0
4012,10,0,NA,0
4012,11,0,NA,0
4012,12,0,NA,0
4012,13,0,NA,0
4012,14,0,NA,0
4012,15,0,NA,0
4012,16,0,NA,0
4013,1,0,NA,0
4013,2,0,NA,0
4013,3,0,NA,0
4013,4,0,NA,0
4013,5,0,NA,0
4013,6,0,NA,0
4013,7,0,NA,0
4013,8,0,NA,0
4013,9,0,NA,0
4013,10,0,NA,0
4013,11,0,NA,0
4013,12,0,NA,0
4013,13,0,NA,0
4013,14,0,NA,0
4013,15,0,NA,0
4013,16,0,NA,0
5001,1,2,NA,0
5001,2,2,NA,0
5001,3,2,NA,0
5001,4,2,NA,0
5001,5,2,NA,0
5001,6,2,NA,0
5001,7,2,NA,0
5001,8,2,NA,0
5001,9,2,NA,0
5001,10,2,NA,0
5001,11,2,NA,0
5001,12,2,NA,0
5001,13,2,NA,0
5001,14,2,NA,0
5001,15,2,NA,0
5001,16,2,NA,0
5002,1,2,NA,0
5002,2,1,111,3
5002,3,2,NA,0
5002,4,2,NA,0
5002,5,1,111,3
5002,6,1,111,3
5002,7,2,NA,0
5002,8,1,111,1
5002,9,1,111,3
5002,10,2,NA,0
5002,11,2,NA,0
5002,12,2,NA,0
5002,13,2,NA,0
5002,14,1,111,3
5002,15,2,NA,0
5002,16,2,NA,0
5003,1,1,3,3
5003,2,1,3,3
5003,3,2,NA,0
5003,4,1,3,3
5003,5,1,3,3
5003,6,2,NA,0
5003,7,2,NA,0
5003,8,1,3,3
5003,9,2,NA,0
5003,10,2,NA,0
5003,11,2,NA,0
5003,12,1,3,3
5003,13,2,NA,0
5003,14,2,NA,0
5003,15,2,NA,0
5003,16,2,NA,0
5004,1,1,50,3
5004,2,1,50,3
5004,3,9,NSS,997
5004,4,9,NSS,997
5004,5,1,50,3
5004,6,9,NSS,997
5004,7,9,NSS,997
5004,8,1,50,3
5004,9,1,50,3
5004,10,9,NSS,997
5004,11,9,NSS,997
5004,12,1,50,3
5004,13,9,NSS,997
5004,14,1,50,3
5004,15,9,NSS,997
5004,16,9,NSS,997
5005,1,2,NA,0
5005,2,2,NA,0
5005,3,2,NA,0
5005,4,2,NA,0
5005,5,2,NA,0
5005,6,2,NA,0
5005,7,2,NA,0
5005,8,2,NA,0
5005,9,1,3,3
5005,10,2,NA,0
5005,11,2,NA,0
5005,12,1,3,3
5005,13,2,NA,0
5005,14,2,NA,0
5005,15,2,NA,0
5005,16,2,NA,0
5006,1,2,NA,0
5006,2,1,28,3
5006,3,2,NA,0
5006,4,1,28,3
5006,5,1,28,3
5006,6,2,NA,0
5006,7,2,NA,0
5006,8,2,NA,0
5006,9,1,28,3
5006,10,2,NA,0
5006,11,2,NA,0
5006,12,2,NA,0
5006,13,2,NA,0
5006,14,2,NA,0
5006,15,2,NA,0
5006,16,2,NA,0
5007,1,2,NA,0
5007,2,2,NA,0
5007,3,2,NA,0
5007,4,1,14,2
5007,5,1,14,2
5007,6,1,14,2
5007,7,2,NA,0
5007,8,2,NA,0
5007,9,1,14,2
5007,10,2,NA,0
5007,11,2,NA,0
5007,12,2,NA,0
5007,13,2,NA,0
5007,14,2,NA,0
5007,15,2,NA,0
5007,16,2,NA,0
5008,1,0,NA,0
5008,2,0,NA,0
5008,3,0,NA,0
5008,4,0,NA,0
5008,5,0,NA,0
5008,6,0,NA,0
5008,7,0,NA,0
5008,8,0,NA,0
5008,9,0,NA,0
5008,10,0,NA,0
5008,11,0,NA,0
5008,12,0,NA,0
5008,13,0,NA,0
5008,14,0,NA,0
5008,15,0,NA,0
5008,16,0,NA,0
5009,1,1,69,3
5009,2,1,69,3
5009,3,1,69,3
5009,4,1,69,3
5009,5,1,69,3
5009,6,1,69,3
5009,7,2,NA,0
5009,8,2,NA,0
5009,9,1,69,3
5009,10,2,NA,0
5009,11,2,NA,0
5009,12,1,69,3
5009,13,2,NA,0
5009,14,1,69,3
5009,15,2,NA,0
5009,16,2,NA,0
5010,1,2,NA,0
5010,2,1,77,3
5010,3,2,NA,0
5010,4,2,NA,0
5010,5,1,2,3
5010,6,1,2,3
5010,7,2,NA,0
5010,8,2,NA,0
5010,9,1,1,3
5010,10,2,NA,0
5010,11,2,NA,0
5010,12,2,NA,0
5010,13,2,NA,0
5010,14,2,NA,0
5010,15,2,NA,0
5010,16,2,NA,0
5011,1,1,13,3
5011,2,1,13,3
5011,3,2,NA,0
5011,4,1,26,3
5011,5,1,13,3
5011,6,2,NA,0
5011,7,2,NA,0
5011,8,2,NA,0
5011,9,1,13,3
5011,10,2,NA,0
5011,11,2,NA,0
5011,12,2,NA,0
5011,13,2,NA,0
5011,14,1,13,3
5011,15,2,NA,0
5011,16,1,13,3
5012,1,0,NA,0
5012,2,0,NA,0
5012,3,0,NA,0
5012,4,0,NA,0
5012,5,0,NA,0
5012,6,0,NA,0
5012,7,0,NA,0
5012,8,0,NA,0
5012,9,0,NA,0
5012,10,0,NA,0
5012,11,0,NA,0
5012,12,0,NA,0
5012,13,0,NA,0
5012,14,0,NA,0
5012,15,0,NA,0
5012,16,0,NA,0
5013,1,0,NA,0
5013,2,0,NA,0
5013,3,0,NA,0
5013,4,0,NA,0
5013,5,0,NA,0
5013,6,0,NA,0
5013,7,0,NA,0
5013,8,0,NA,0
5013,9,0,NA,0
5013,10,0,NA,0
5013,11,0,NA,0
5013,12,0,NA,0
5013,13,0,NA,0
5013,14,0,NA,0
5013,15,0,NA,0
5013,16,0,NA,0
5014,1,2,NA,0
5014,2,1,12,1
5014,3,2,NA,0
5014,4,2,NA,0
5014,5,1,12,1
5014,6,2,NA,0
5014,7,2,NA,0
5014,8,2,NA,0
5014,9,1,12,1
5014,10,2,NA,0
5014,11,2,NA,0
5014,12,2,NA,0
5014,13,2,NA,0
5014,14,2,NA,0
5014,15,2,NA,0
5014,16,2,NA,0
5015,1,0,NA,0
5015,2,0,NA,0
5015,3,0,NA,0
5015,4,0,NA,0
5015,5,0,NA,0
5015,6,0,NA,0
5015,7,0,NA,0
5015,8,0,NA,0
5015,9,0,NA,0
5015,10,0,NA,0
5015,11,0,NA,0
5015,12,0,NA,0
5015,13,0,NA,0
5015,14,0,NA,0
5015,15,0,NA,0
5015,16,0,NA,0
5016,1,2,NA,0
5016,2,2,NA,0
5016,3,2,NA,0
5016,4,2,NA,0
5016,5,2,NA,0
5016,6,2,NA,0
5016,7,2,NA,0
5016,8,2,NA,0
5016,9,2,NA,0
5016,10,2,NA,0
5016,11,2,NA,0
5016,12,2,NA,0
5016,13,2,NA,0
5016,14,2,NA,0
5016,15,2,NA,0
5016,16,2,NA,0
5017,1,1,80,3
5017,2,1,80,3
5017,3,2,NA,0
5017,4,1,80,3
5017,5,1,80,3
5017,6,1,80,3
5017,7,2,NA,0
5017,8,2,NA,0
5017,9,1,80,3
5017,10,2,NA,0
5017,11,2,NA,0
5017,12,2,NA,0
5017,13,2,NA,0
5017,14,2,NA,0
5017,15,2,NA,0
5017,16,2,NA,0
5018,1,2,NA,0
5018,2,1,174,1
5018,3,2,NA,0
5018,4,2,NA,0
5018,5,1,174,1
5018,6,2,NA,0
5018,7,2,NA,0
5018,8,2,NA,0
5018,9,1,114,1
5018,10,1,60,1
5018,11,2,NA,0
5018,12,2,NA,0
5018,13,2,NA,0
5018,14,2,NA,0
5018,15,2,NA,0
5018,16,2,NA,0
5019,1,2,NA,0
5019,2,2,NA,0
5019,3,2,NA,0
5019,4,2,NA,0
5019,5,2,NA,0
5019,6,2,NA,0
5019,7,2,NA,0
5019,8,2,NA,0
5019,9,2,NA,0
5019,10,2,NA,0
5019,11,2,NA,0
5019,12,2,NA,0
5019,13,2,NA,0
5019,14,2,NA,0
5019,15,2,NA,0
5019,16,2,NA,0
5020,1,2,NA,0
5020,2,2,NA,0
5020,3,2,NA,0
5020,4,2,NA,0
5020,5,2,NA,0
5020,6,2,NA,0
5020,7,2,NA,0
5020,8,2,NA,0
5020,9,2,NA,0
5020,10,2,NA,0
5020,11,2,NA,0
5020,12,2,NA,0
5020,13,2,NA,0
5020,14,2,NA,0
5020,15,2,NA,0
5020,16,2,NA,0
5021,1,1,10,3
5021,2,1,10,3
5021,3,1,10,3
5021,4,1,10,3
5021,5,1,10,3
5021,6,2,NA,0
5021,7,2,NA,0
5021,8,1,10,3
5021,9,1,10,3
5021,10,2,NA,0
5021,11,2,NA,0
5021,12,1,10,3
5021,13,2,NA,0
5021,14,2,NA,0
5021,15,1,10,3
5021,16,2,NA,0
5022,1,1,24,1
5022,2,2,NA,0
5022,3,2,NA,0
5022,4,2,NA,0
5022,5,2,NA,0
5022,6,2,NA,0
5022,7,2,NA,0
5022,8,2,NA,0
5022,9,2,NA,0
5022,10,2,NA,0
5022,11,2,NA,0
5022,12,2,NA,0
5022,13,2,NA,0
5022,14,2,NA,0
5022,15,2,NA,0
5022,16,2,NA,0
5023,1,2,NA,0
5023,2,2,NA,0
5023,3,2,NA,0
5023,4,2,NA,0
5023,5,2,NA,0
5023,6,2,NA,0
5023,7,2,NA,0
5023,8,2,NA,0
5023,9,2,NA,0
5023,10,2,NA,0
5023,11,2,NA,0
5023,12,2,NA,0
5023,13,2,NA,0
5023,14,2,NA,0
5023,15,2,NA,0
5023,16,2,NA,0
5024,1,1,51,2
5024,2,1,51,2
5024,3,1,51,2
5024,4,1,51,2
5024,5,1,51,2
5024,6,1,51,2
5024,7,2,NA,0
5024,8,2,NA,0
5024,9,1,51,2
5024,10,2,NA,0
5024,11,2,NA,0
5024,12,1,51,2
5024,13,2,NA,0
5024,14,2,NA,0
5024,15,1,51,2
5024,16,2,NA,0
5025,1,1,73,2
5025,2,1,73,2
5025,3,2,NA,0
5025,4,2,NA,0
5025,5,1,73,2
5025,6,1,73,2
5025,7,2,NA,0
5025,8,1,73,2
5025,9,2,NA,0
5025,10,2,NA,0
5025,11,1,73,2
5025,12,2,NA,0
5025,13,2,NA,0
5025,14,2,NA,0
5025,15,2,NA,0
5025,16,2,NA,0
5026,1,0,NA,0
5026,2,0,NA,0
5026,3,0,NA,0
5026,4,0,NA,0
5026,5,0,NA,0
5026,6,0,NA,0
5026,7,0,NA,0
5026,8,0,NA,0
5026,9,0,NA,0
5026,10,0,NA,0
5026,11,0,NA,0
5026,12,0,NA,0
5026,13,0,NA,0
5026,14,0,NA,0
5026,15,0,NA,0
5026,16,0,NA,0
5027,1,2,NA,0
5027,2,1,146,3
5027,3,2,NA,0
5027,4,1,146,3
5027,5,1,146,3
5027,6,1,146,3
5027,7,2,NA,0
5027,8,2,NA,0
5027,9,1,146,3
5027,10,2,NA,0
5027,11,2,NA,0
5027,12,2,NA,0
5027,13,2,NA,0
5027,14,2,NA,0
5027,15,2,NA,0
5027,16,2,NA,0
5028,1,1,46,1
5028,2,1,46,1
5028,3,2,NA,0
5028,4,2,NA,0
5028,5,1,46,1
5028,6,2,NA,0
5028,7,2,NA,0
5028,8,2,NA,0
5028,9,1,46,1
5028,10,2,NA,0
5028,11,2,NA,0
5028,12,2,NA,0
5028,13,2,NA,0
5028,14,2,NA,0
5028,15,2,NA,0
5028,16,2,NA,0
5029,1,2,NA,0
5029,2,1,10,3
5029,3,2,NA,0
5029,4,1,10,3
5029,5,1,10,3
5029,6,1,10,3
5029,7,2,NA,0
5029,8,2,NA,0
5029,9,1,10,3
5029,10,2,NA,0
5029,11,2,NA,0
5029,12,2,NA,0
5029,13,2,NA,0
5029,14,2,NA,0
5029,15,2,NA,0
5029,16,2,NA,0
5030,1,2,NA,0
5030,2,1,1060,3
5030,3,2,NA,0
5030,4,2,NA,0
5030,5,1,1060,3
5030,6,1,1060,3
5030,7,2,NA,0
5030,8,2,NA,0
5030,9,1,1060,3
5030,10,1,1060,3
5030,11,1,1060,3
5030,12,1,1060,3
5030,13,2,NA,0
5030,14,2,NA,0
5030,15,2,NA,0
5030,16,2,NA,0
5031,1,2,NA,0
5031,2,1,16,1
5031,3,2,NA,0
5031,4,1,16,1
5031,5,1,16,1
5031,6,1,16,1
5031,7,2,NA,0
5031,8,2,NA,0
5031,9,1,16,1
5031,10,1,16,1
5031,11,2,NA,0
5031,12,1,16,1
5031,13,2,NA,0
5031,14,1,16,1
5031,15,2,NA,0
5031,16,2,NA,0
5032,1,2,NA,0
5032,2,2,NA,0
5032,3,1,30,3
5032,4,1,30,3
5032,5,1,30,3
5032,6,2,NA,0
5032,7,2,NA,0
5032,8,1,30,3
5032,9,1,30,3
5032,10,2,NA,0
5032,11,2,NA,0
5032,12,2,NA,0
5032,13,2,NA,0
5032,14,1,30,3
5032,15,2,NA,0
5032,16,2,NA,0
5033,1,1,72,3
5033,2,1,72,3
5033,3,2,NA,0
5033,4,1,72,3
5033,5,1,72,3
5033,6,2,NA,0
5033,7,2,NA,0
5033,8,1,72,3
5033,9,2,NA,0
5033,10,2,NA,0
5033,11,2,NA,0
5033,12,2,NA,0
5033,13,2,NA,0
5033,14,2,NA,0
5033,15,2,NA,0
5033,16,2,NA,0
5034,1,1,13,3
5034,2,1,13,3
5034,3,2,NA,0
5034,4,1,13,3
5034,5,1,13,3
5034,6,1,13,3
5034,7,2,NA,0
5034,8,2,NA,0
5034,9,1,13,3
5034,10,2,NA,0
5034,11,1,13,3
5034,12,1,13,3
5034,13,2,NA,0
5034,14,1,13,3
5034,15,2,NA,0
5034,16,2,NA,0
5035,1,2,NA,0
5035,2,1,573,3
5035,3,2,NA,0
5035,4,1,573,3
5035,5,1,573,3
5035,6,2,NA,0
5035,7,2,NA,0
5035,8,2,NA,0
5035,9,1,573,3
5035,10,1,573,3
5035,11,2,NA,0
5035,12,1,573,3
5035,13,2,NA,0
5035,14,1,573,3
5035,15,2,NA,0
5035,16,1,573,3
5036,1,2,NA,0
5036,2,2,NA,0
5036,3,2,NA,0
5036,4,2,NA,0
5036,5,2,NA,0
5036,6,2,NA,0
5036,7,2,NA,0
5036,8,2,NA,0
5036,9,2,NA,0
5036,10,2,NA,0
5036,11,2,NA,0
5036,12,2,NA,0
5036,13,2,NA,0
5036,14,2,NA,0
5036,15,2,NA,0
5036,16,2,NA,0
5037,1,2,NA,0
5037,2,1,4,1
5037,3,2,NA,0
5037,4,2,NA,0
5037,5,1,4,1
5037,6,2,NA,0
5037,7,2,NA,0
5037,8,2,NA,0
5037,9,2,NA,0
5037,10,2,NA,0
5037,11,2,NA,0
5037,12,2,NA,0
5037,13,2,NA,0
5037,14,2,NA,0
5037,15,2,NA,0
5037,16,2,NA,0
5038,1,2,NA,0
5038,2,2,NA,0
5038,3,2,NA,0
5038,4,2,NA,0
5038,5,2,NA,0
5038,6,2,NA,0
5038,7,2,NA,0
5038,8,2,NA,0
5038,9,2,NA,0
5038,10,2,NA,0
5038,11,2,NA,0
5038,12,2,NA,0
5038,13,2,NA,0
5038,14,2,NA,0
