ubicageo_f,inftrans_d,totalca1
1007,42,0
1007,43,0
1007,44,0
1007,45,0
1007,46,0
1008,1,1
1008,2,41
1008,3,0
1008,4,6
1008,5,11
1008,6,0
1008,7,0
1008,8,0
1008,9,1
1008,10,0
1008,11,0
1008,12,0
1008,13,0
1008,14,1
1008,15,0
1008,16,20
1008,17,0
1008,18,0
1008,19,0
1008,20,1
1008,21,0
1008,22,70
1008,23,0
1008,24,1
1008,25,0
1008,26,0
1008,27,4
1008,28,0
1008,29,3
1008,30,0
1008,31,0
1008,32,3
1008,33,0
1008,34,1
1008,35,0
1008,36,5
1008,37,0
1008,38,0
1008,39,0
1008,40,0
1008,41,0
1008,42,0
1008,43,0
1008,44,0
1008,45,0
1008,46,0
1009,1,1
1009,2,13
1009,3,0
1009,4,1
1009,5,4
1009,6,0
1009,7,0
1009,8,1
1009,9,0
1009,10,0
1009,11,0
1009,12,0
1009,13,0
1009,14,0
1009,15,0
1009,16,5
1009,17,0
1009,18,0
1009,19,0
1009,20,0
1009,21,6
1009,22,6
1009,23,8
1009,24,0
1009,25,0
1009,26,0
1009,27,2
1009,28,0
1009,29,1
1009,30,0
1009,31,4
1009,32,2
1009,33,10
1009,34,13
1009,35,1
1009,36,7
1009,37,0
1009,38,1
1009,39,0
1009,40,0
1009,41,0
1009,42,0
1009,43,0
1009,44,0
1009,45,0
1009,46,0
1010,1,6
1010,2,59
1010,3,0
1010,4,14
1010,5,110
1010,6,97
1010,7,2
1010,8,0
1010,9,8
1010,10,0
1010,11,0
1010,12,0
1010,13,0
1010,14,2
1010,15,0
1010,16,68
1010,17,0
1010,18,0
1010,19,0
1010,20,3
1010,21,0
1010,22,1015
1010,23,154
1010,24,2
1010,25,13
1010,26,0
1010,27,130
1010,28,3
1010,29,110
1010,30,0
1010,31,58
1010,32,0
1010,33,0
1010,34,22
1010,35,28
1010,36,0
1010,37,0
1010,38,0
1010,39,0
1010,40,0
1010,41,0
1010,42,0
1010,43,0
1010,44,0
1010,45,0
1010,46,0
1011,1,59
1011,2,100
1011,3,0
1011,4,2
1011,5,4
1011,6,0
1011,7,0
1011,8,0
1011,9,3
1011,10,2
1011,11,0
1011,12,8
1011,13,205
1011,14,0
1011,15,0
1011,16,10
1011,17,0
1011,18,0
1011,19,0
1011,20,3
1011,21,0
1011,22,76
1011,23,34
1011,24,0
1011,25,2
1011,26,0
1011,27,41
1011,28,0
1011,29,4
1011,30,0
1011,31,2
1011,32,2
1011,33,0
1011,34,62
1011,35,28
1011,36,106
1011,37,0
1011,38,14
1011,39,0
1011,40,0
1011,41,0
1011,42,0
1011,43,0
1011,44,0
1011,45,0
1011,46,0
2001,1,745
2001,2,4665
2001,3,157
2001,4,894
2001,5,1620
2001,6,1944
2001,7,0
2001,8,9763
2001,9,32
2001,10,616
2001,11,8
2001,12,791
2001,13,9223
2001,14,7
2001,15,28
2001,16,11214
2001,17,0
2001,18,65
2001,19,5
2001,20,18
2001,21,177
2001,22,297
2001,23,3372
2001,24,2421
2001,25,1
2001,26,0
2001,27,1001
2001,28,176
2001,29,1048
2001,30,0
2001,31,99
2001,32,576
2001,33,1217
2001,34,3990
2001,35,1059
2001,36,2990
2001,37,0
2001,38,0
2001,39,693
2001,40,23
2001,41,2
2001,42,2
2001,43,27
2001,44,84
2001,45,0
2001,46,0
2002,1,10441
2002,2,1761
2002,3,80
2002,4,1491
2002,5,1010
2002,6,909
2002,7,75
2002,8,8906
2002,9,97
2002,10,255
2002,11,3
2002,12,514
2002,13,1613
2002,14,3353
2002,15,89
2002,16,4094
2002,17,0
2002,18,441
2002,19,39
2002,20,4
2002,21,3455
2002,22,48
2002,23,35
2002,24,5972
2002,25,214
2002,26,414
2002,27,2
2002,28,104
2002,29,229
2002,30,0
2002,31,3
2002,32,410
2002,33,1
2002,34,7320
2002,35,10825
2002,36,122
2002,37,146
2002,38,0
2002,39,0
2002,40,20
2002,41,0
2002,42,0
2002,43,0
2002,44,0
2002,45,728
2002,46,11944
2003,1,212
2003,2,30
2003,3,12
2003,4,250
2003,5,149
2003,6,81
2003,7,1
2003,8,1632
2003,9,0
2003,10,32
2003,11,7
2003,12,55
2003,13,0
2003,14,75
2003,15,0
2003,16,496
2003,17,0
2003,18,5
2003,19,1
2003,20,2
2003,21,0
2003,22,8
2003,23,674
2003,24,370
2003,25,33
2003,26,9
2003,27,14
2003,28,9
2003,29,183
2003,30,0
2003,31,57
2003,32,8
2003,33,0
2003,34,48
2003,35,0
2003,36,85
2003,37,0
2003,38,4
2003,39,0
2003,40,0
2003,41,0
2003,42,0
2003,43,0
2003,44,0
2003,45,295
2003,46,0
2004,1,5252
2004,2,6454
2004,3,996
2004,4,725
2004,5,3259
2004,6,1503
2004,7,0
2004,8,4509
2004,9,846
2004,10,4926
2004,11,8
2004,12,1234
2004,13,4284
2004,14,134
2004,15,0
2004,16,22621
2004,17,0
2004,18,69
2004,19,15
2004,20,22
2004,21,288
2004,22,22
2004,23,4142
2004,24,5208
2004,25,20
2004,26,152
2004,27,3308
2004,28,94
2004,29,390
2004,30,0
2004,31,89
2004,32,775
2004,33,1787
2004,34,661
2004,35,0
2004,36,1730
2004,37,0
2004,38,0
2004,39,5806
2004,40,162
2004,41,190
2004,42,18
2004,43,0
2004,44,507
2004,45,614
2004,46,153
2005,1,348
2005,2,84
2005,3,0
2005,4,24
2005,5,120
2005,6,96
2005,7,0
2005,8,745
2005,9,0
2005,10,12
2005,11,0
2005,12,12
2005,13,0
2005,14,492
2005,15,12
2005,16,900
2005,17,0
2005,18,0
2005,19,36
2005,20,0
2005,21,0
2005,22,0
2005,23,852
2005,24,264
2005,25,12
2005,26,0
2005,27,354
2005,28,168
2005,29,170
2005,30,0
2005,31,0
2005,32,108
2005,33,0
2005,34,1020
2005,35,948
2005,36,60
2005,37,30
2005,38,0
2005,39,0
2005,40,0
2005,41,0
2005,42,0
2005,43,48
2005,44,0
2005,45,0
2005,46,0
2006,1,324
2006,2,680
2006,3,90
2006,4,25
2006,5,25
2006,6,89
2006,7,13
2006,8,178
2006,9,130
2006,10,180
2006,11,14
2006,12,12
2006,13,90
2006,14,89
2006,15,0
2006,16,76
2006,17,0
2006,18,245
2006,19,47
2006,20,0
2006,21,45
2006,22,12
2006,23,109
2006,24,120
2006,25,5
2006,26,45
2006,27,167
2006,28,14
2006,29,43
2006,30,0
2006,31,98
2006,32,69
2006,33,34
2006,34,245
2006,35,205
2006,36,182
2006,37,0
2006,38,0
2006,39,0
2006,40,0
2006,41,0
2006,42,0
2006,43,0
2006,44,0
2006,45,0
2006,46,0
2007,1,NSS
2007,2,203
2007,3,NSS
2007,4,NSS
2007,5,NSS
2007,6,NSS
2007,7,NSS
2007,8,NSS
2007,9,NSS
2007,10,NSS
2007,11,NSS
2007,12,NSS
2007,13,NSS
2007,14,NSS
2007,15,NSS
2007,16,NSS
2007,17,NSS
2007,18,NSS
2007,19,NSS
2007,20,NSS
2007,21,NSS
2007,22,NSS
2007,23,NSS
2007,24,NSS
2007,25,NSS
2007,26,NSS
2007,27,NSS
2007,28,NSS
2007,29,NSS
2007,30,NSS
2007,31,NSS
2007,32,NSS
2007,33,NSS
2007,34,NSS
2007,35,NSS
2007,36,NSS
2007,37,NSS
2007,38,NSS
2007,39,NSS
2007,40,NSS
2007,41,NSS
2007,42,NSS
2007,43,NSS
2007,44,NSS
2007,45,NSS
2007,46,1730
3001,1,43
3001,2,43
3001,3,0
3001,4,0
3001,5,2
3001,6,0
3001,7,0
3001,8,26
3001,9,20
3001,10,0
3001,11,0
3001,12,1
3001,13,256
3001,14,0
3001,15,0
3001,16,32
3001,17,0
3001,18,0
3001,19,0
3001,20,0
3001,21,2
3001,22,5
3001,23,18
3001,24,0
3001,25,0
3001,26,1
3001,27,0
3001,28,1
3001,29,5
3001,30,0
3001,31,0
3001,32,8
3001,33,11
3001,34,43
3001,35,4
3001,36,11
3001,37,0
3001,38,2
3001,39,6
3001,40,9
3001,41,0
3001,42,0
3001,43,0
3001,44,0
3001,45,3
3001,46,0
3002,1,136
3002,2,70
3002,3,NA
3002,4,1
3002,5,50
3002,6,8
3002,7,7
3002,8,61
3002,9,51
3002,10,NA
3002,11,2
3002,12,42
3002,13,19
3002,14,3
3002,15,NA
3002,16,258
3002,17,NA
3002,18,1
3002,19,5
3002,20,NA
3002,21,1
3002,22,2
3002,23,6
3002,24,3
3002,25,1
3002,26,NA
3002,27,3
3002,28,NA
3002,29,18
3002,30,NA
3002,31,NA
3002,32,27
3002,33,129
3002,34,408
3002,35,35
3002,36,35
3002,37,NA
3002,38,217
3002,39,48
3002,40,NA
3002,41,NA
3002,42,NA
3002,43,NA
3002,44,NA
3002,45,146
3002,46,2
3003,1,47
3003,2,126
3003,3,0
3003,4,68
3003,5,450
3003,6,35
3003,7,0
3003,8,2461
3003,9,119
3003,10,51
3003,11,3
3003,12,38
3003,13,63
3003,14,91
3003,15,28
3003,16,9959
3003,17,0
3003,18,17
3003,19,1
3003,20,3
3003,21,76
3003,22,71
3003,23,695
3003,24,3481
3003,25,48
3003,26,13
3003,27,29
3003,28,8
3003,29,133
3003,30,0
3003,31,155
3003,32,0
3003,33,47
3003,34,116
3003,35,11
3003,36,2051
3003,37,0
3003,38,0
3003,39,1637
3003,40,48
3003,41,0
3003,42,67
3003,43,2
3003,44,37
3003,45,0
3003,46,0
3008,1,58
3008,2,59
3008,3,131
3008,4,0
3008,5,552
3008,6,68
3008,7,1
3008,8,409
3008,9,33
3008,10,324
3008,11,7
3008,12,2
3008,13,0
3008,14,0
3008,15,0
3008,16,2753
3008,17,0
3008,18,0
3008,19,65
3008,20,0
3008,21,0
3008,22,44
3008,23,70
3008,24,465
3008,25,97
3008,26,0
3008,27,111
3008,28,1
3008,29,163
3008,30,0
3008,31,44
3008,32,0
3008,33,0
3008,34,215
3008,35,23
3008,36,344
3008,37,41
3008,38,2
3008,39,0
3008,40,11
3008,41,0
3008,42,75
3008,43,0
3008,44,11
3008,45,0
3008,46,3415
3009,1,26
3009,2,97
3009,3,0
3009,4,76
3009,5,105
3009,6,47
3009,7,0
3009,8,117
3009,9,53
3009,10,39
3009,11,0
3009,12,102
3009,13,0
3009,14,74
3009,15,0
3009,16,39
3009,17,0
3009,18,13
3009,19,53
3009,20,0
3009,21,13
3009,22,127
3009,23,0
3009,24,34
3009,25,13
3009,26,0
3009,27,51
3009,28,0
3009,29,0
3009,30,0
3009,31,0
3009,32,68
3009,33,39
3009,34,43
3009,35,32
3009,36,47
3009,37,0
3009,38,0
3009,39,13
3009,40,0
3009,41,0
3009,42,0
3009,43,0
3009,44,0
3009,45,0
3009,46,0
4001,1,1
4001,2,0
4001,3,0
4001,4,0
4001,5,0
4001,6,1
4001,7,1
4001,8,1
4001,9,0
4001,10,0
4001,11,0
4001,12,0
4001,13,4
4001,14,2
4001,15,0
4001,16,5
4001,17,0
4001,18,0
4001,19,0
4001,20,0
4001,21,0
4001,22,4
4001,23,1
4001,24,0
4001,25,0
4001,26,0
4001,27,0
4001,28,0
4001,29,0
4001,30,0
4001,31,1
4001,32,0
4001,33,0
4001,34,11
4001,35,5
4001,36,0
4001,37,0
4001,38,0
4001,39,0
4001,40,0
4001,41,0
4001,42,0
4001,43,0
4001,44,0
4001,45,0
4001,46,0
4002,1,121
4002,2,851
4002,3,0
4002,4,0
4002,5,143
4002,6,21
4002,7,0
4002,8,0
4002,9,0
4002,10,1
4002,11,0
4002,12,65
4002,13,0
4002,14,60
4002,15,0
4002,16,38
4002,17,0
4002,18,0
4002,19,26
4002,20,0
4002,21,0
4002,22,0
4002,23,0
4002,24,21
4002,25,21
4002,26,14
4002,27,90
4002,28,4
4002,29,0
4002,30,0
4002,31,4
4002,32,0
4002,33,0
4002,34,117
4002,35,485
4002,36,256
4002,37,0
4002,38,0
4002,39,0
4002,40,3
4002,41,0
4002,42,0
4002,43,0
4002,44,0
4002,45,0
4002,46,3460
4003,1,148
4003,2,114
4003,3,116
4003,4,16
4003,5,137
4003,6,79
4003,7,18
4003,8,2300
4003,9,3
4003,10,28
4003,11,1
4003,12,183
4003,13,835
4003,14,173
4003,15,0
4003,16,247
4003,17,0
4003,18,0
4003,19,136
4003,20,27
4003,21,113
4003,22,84
4003,23,49
4003,24,84
4003,25,16
4003,26,1
4003,27,35
4003,28,39
4003,29,47
4003,30,0
4003,31,21
4003,32,92
4003,33,3
4003,34,506
4003,35,0
4003,36,501
4003,37,1
4003,38,1
4003,39,15
4003,40,1
4003,41,1
4003,42,1
4003,43,0
4003,44,4
4003,45,39
4003,46,0
4004,1,37
4004,2,57
4004,3,5
4004,4,1
4004,5,78
4004,6,0
4004,7,0
4004,8,19
4004,9,0
4004,10,12
4004,11,0
4004,12,12
4004,13,21
4004,14,0
4004,15,0
4004,16,100
4004,17,0
4004,18,0
4004,19,0
4004,20,0
4004,21,15
4004,22,65
4004,23,11
4004,24,7
4004,25,5
4004,26,0
4004,27,5
4004,28,0
4004,29,14
4004,30,0
4004,31,0
4004,32,0
4004,33,0
4004,34,234
4004,35,232
4004,36,109
4004,37,0
4004,38,0
4004,39,0
4004,40,0
4004,41,0
4004,42,0
4004,43,0
4004,44,0
4004,45,19
4004,46,0
4005,1,2
4005,2,4
4005,3,0
4005,4,0
4005,5,1
4005,6,0
4005,7,0
4005,8,3
4005,9,0
4005,10,0
4005,11,0
4005,12,0
4005,13,0
4005,14,0
4005,15,0
4005,16,1
4005,17,0
4005,18,0
4005,19,0
4005,20,0
4005,21,0
4005,22,1
4005,23,0
4005,24,0
4005,25,0
4005,26,0
4005,27,0
4005,28,0
4005,29,0
4005,30,0
4005,31,0
4005,32,0
4005,33,0
4005,34,8
4005,35,6
4005,36,0
4005,37,0
4005,38,0
4005,39,0
4005,40,0
4005,41,0
4005,42,0
4005,43,0
4005,44,0
4005,45,6
4005,46,0
4006,1,0
4006,2,136
4006,3,0
4006,4,0
4006,5,4
4006,6,0
4006,7,0
4006,8,0
4006,9,0
4006,10,0
4006,11,0
4006,12,0
4006,13,0
4006,14,0
4006,15,0
4006,16,0
4006,17,0
4006,18,0
4006,19,0
4006,20,1
4006,21,0
4006,22,6
4006,23,0
4006,24,0
4006,25,0
4006,26,0
4006,27,3
4006,28,0
4006,29,0
4006,30,0
4006,31,0
4006,32,5
4006,33,0
4006,34,65
4006,35,0
4006,36,65
4006,37,0
4006,38,0
4006,39,0
4006,40,12
4006,41,0
4006,42,0
4006,43,0
4006,44,0
4006,45,0
4006,46,0
4007,1,8
4007,2,6
4007,3,0
4007,4,0
4007,5,0
4007,6,0
4007,7,0
4007,8,0
4007,9,0
4007,10,3
4007,11,0
4007,12,0
4007,13,0
4007,14,0
4007,15,0
4007,16,4
4007,17,0
4007,18,0
4007,19,0
4007,20,0
4007,21,0
4007,22,2
4007,23,0
4007,24,0
4007,25,0
4007,26,0
4007,27,4
4007,28,0
4007,29,0
4007,30,0
4007,31,0
4007,32,3
4007,33,0
4007,34,24
4007,35,9
4007,36,0
4007,37,0
4007,38,0
4007,39,0
4007,40,0
4007,41,0
4007,42,0
4007,43,0
4007,44,0
4007,45,0
4007,46,0
4008,1,4
4008,2,12
4008,3,0
4008,4,0
4008,5,0
4008,6,0
4008,7,0
4008,8,6
4008,9,0
4008,10,0
4008,11,0
4008,12,0
4008,13,0
4008,14,0
4008,15,0
4008,16,8
4008,17,0
4008,18,0
4008,19,6
4008,20,0
4008,21,0
4008,22,15
4008,23,4
4008,24,5
4008,25,0
4008,26,0
4008,27,0
4008,28,0
4008,29,0
4008,30,3
4008,31,0
4008,32,0
4008,33,0
4008,34,25
4008,35,0
4008,36,0
4008,37,0
4008,38,0
4008,39,2
4008,40,0
4008,41,0
4008,42,0
4008,43,0
4008,44,0
4008,45,0
4008,46,0
4009,1,8
4009,2,84
4009,3,0
4009,4,0
4009,5,6
4009,6,0
4009,7,0
4009,8,0
4009,9,0
4009,10,0
4009,11,0
4009,12,0
4009,13,0
4009,14,10
4009,15,0
4009,16,6
4009,17,0
4009,18,0
4009,19,0
4009,20,0
4009,21,0
4009,22,30
4009,23,35
4009,24,10
4009,25,5
4009,26,0
4009,27,5
4009,28,0
4009,29,10
4009,30,0
4009,31,5
4009,32,0
4009,33,0
4009,34,125
4009,35,56
4009,36,15
4009,37,0
4009,38,0
4009,39,0
4009,40,5
4009,41,0
4009,42,0
4009,43,0
4009,44,10
4009,45,0
4009,46,0
4010,1,6
4010,2,9
4010,3,0
4010,4,0
4010,5,3
4010,6,2
4010,7,0
4010,8,0
4010,9,0
4010,10,0
4010,11,0
4010,12,1
4010,13,0
4010,14,0
4010,15,0
4010,16,3
4010,17,0
4010,18,0
4010,19,0
4010,20,0
4010,21,0
4010,22,18
4010,23,8
4010,24,1
4010,25,2
4010,26,0
4010,27,0
4010,28,0
4010,29,0
4010,30,0
4010,31,0
4010,32,2
4010,33,0
4010,34,36
4010,35,25
4010,36,12
4010,37,0
4010,38,0
4010,39,0
4010,40,0
4010,41,0
4010,42,0
4010,43,0
4010,44,0
4010,45,0
4010,46,0
4011,1,15
4011,2,18
4011,3,0
4011,4,0
4011,5,58
4011,6,0
4011,7,0
4011,8,18
4011,9,0
4011,10,0
4011,11,0
4011,12,0
4011,13,10
4011,14,0
4011,15,0
4011,16,236
4011,17,0
4011,18,0
4011,19,0
4011,20,0
4011,21,22
4011,22,62
4011,23,0
4011,24,1
4011,25,2
4011,26,1
4011,27,3
4011,28,0
4011,29,0
4011,30,0
4011,31,0
4011,32,8
4011,33,0
4011,34,195
4011,35,135
4011,36,6
4011,37,0
4011,38,0
4011,39,34
4011,40,0
4011,41,0
4011,42,0
4011,43,1
4011,44,0
4011,45,0
4011,46,0
4012,1,NA
4012,2,NA
4012,3,NA
4012,4,NA
4012,5,NA
4012,6,NA
4012,7,NA
4012,8,NA
4012,9,NA
4012,10,NA
4012,11,NA
4012,12,NA
4012,13,NA
4012,14,NA
4012,15,NA
4012,16,NA
4012,17,NA
4012,18,NA
4012,19,NA
4012,20,NA
4012,21,NA
4012,22,NA
4012,23,NA
4012,24,NA
4012,25,NA
4012,26,NA
4012,27,NA
4012,28,NA
4012,29,NA
4012,30,NA
4012,31,NA
4012,32,NA
4012,33,NA
4012,34,NA
4012,35,NA
4012,36,NA
4012,37,NA
4012,38,NA
4012,39,NA
4012,40,NA
4012,41,NA
4012,42,NA
4012,43,NA
4012,44,NA
4012,45,NA
4012,46,NA
4013,1,NA
4013,2,NA
4013,3,NA
4013,4,NA
4013,5,NA
4013,6,NA
4013,7,NA
4013,8,NA
4013,9,NA
4013,10,NA
4013,11,NA
4013,12,NA
4013,13,NA
4013,14,NA
4013,15,NA
4013,16,NA
4013,17,NA
4013,18,NA
4013,19,NA
4013,20,NA
4013,21,NA
4013,22,NA
4013,23,NA
4013,24,NA
4013,25,NA
4013,26,NA
4013,27,NA
4013,28,NA
4013,29,NA
4013,30,NA
4013,31,NA
4013,32,NA
4013,33,NA
4013,34,NA
4013,35,NA
4013,36,NA
4013,37,NA
4013,38,NA
4013,39,NA
4013,40,NA
4013,41,NA
4013,42,NA
4013,43,NA
4013,44,NA
4013,45,NA
4013,46,NA
5001,1,NA
5001,2,NA
5001,3,NA
5001,4,NA
5001,5,NA
5001,6,NA
5001,7,NA
5001,8,NA
5001,9,NA
5001,10,NA
5001,11,NA
5001,12,NA
5001,13,NA
5001,14,NA
5001,15,NA
5001,16,NA
5001,17,NA
5001,18,NA
5001,19,NA
5001,20,NA
5001,21,NA
5001,22,NA
5001,23,NA
5001,24,NA
5001,25,NA
5001,26,NA
5001,27,NA
5001,28,NA
5001,29,NA
5001,30,NA
5001,31,NA
5001,32,NA
5001,33,NA
5001,34,NA
5001,35,NA
5001,36,NA
5001,37,NA
5001,38,NA
5001,39,NA
5001,40,NA
5001,41,NA
5001,42,NA
5001,43,NA
5001,44,NA
5001,45,NA
5001,46,NA
5002,1,167
5002,2,380
5002,3,21
5002,4,27
5002,5,7
5002,6,29
5002,7,0
5002,8,2058
5002,9,0
5002,10,25
5002,11,0
5002,12,50
5002,13,1855
5002,14,0
5002,15,0
5002,16,730
5002,17,0
5002,18,25
5002,19,0
5002,20,0
5002,21,0
5002,22,210
5002,23,44
5002,24,281
5002,25,0
5002,26,0
5002,27,28
5002,28,13
5002,29,30
5002,30,0
5002,31,16
5002,32,147
5002,33,0
5002,34,103
5002,35,0
5002,36,0
5002,37,0
5002,38,0
5002,39,0
5002,40,0
5002,41,0
5002,42,0
5002,43,0
5002,44,0
5002,45,0
5002,46,0
5003,1,17
5003,2,19
5003,3,0
5003,4,0
5003,5,0
5003,6,0
5003,7,0
5003,8,0
5003,9,0
5003,10,0
5003,11,0
5003,12,0
5003,13,68
5003,14,0
5003,15,0
5003,16,17
5003,17,0
5003,18,0
5003,19,0
5003,20,0
5003,21,0
5003,22,0
5003,23,0
5003,24,0
5003,25,0
5003,26,0
5003,27,0
5003,28,0
5003,29,0
5003,30,0
5003,31,0
5003,32,0
5003,33,12
5003,34,0
5003,35,0
5003,36,0
5003,37,0
5003,38,0
5003,39,0
5003,40,0
5003,41,0
5003,42,0
5003,43,0
5003,44,0
5003,45,0
5003,46,0
5004,1,89
5004,2,1564
5004,3,5
5004,4,4
5004,5,53
5004,6,36
5004,7,16
5004,8,110
5004,9,15
5004,10,0
5004,11,0
5004,12,0
5004,13,0
5004,14,26
5004,15,0
5004,16,0
5004,17,0
5004,18,120
5004,19,0
5004,20,0
5004,21,0
5004,22,40
5004,23,10
5004,24,15
5004,25,26
5004,26,0
5004,27,26
5004,28,0
5004,29,16
5004,30,0
5004,31,0
5004,32,14
5004,33,0
5004,34,18
5004,35,10
5004,36,113
5004,37,0
5004,38,0
5004,39,0
5004,40,0
5004,41,0
5004,42,0
5004,43,0
5004,44,0
5004,45,0
5004,46,0
5005,1,NA
5005,2,NA
5005,3,NA
5005,4,NA
5005,5,NA
5005,6,NA
5005,7,NA
5005,8,NA
5005,9,NA
5005,10,NA
5005,11,NA
5005,12,NA
5005,13,NA
5005,14,NA
5005,15,NA
5005,16,NA
5005,17,NA
5005,18,NA
5005,19,NA
5005,20,NA
5005,21,NA
5005,22,NA
5005,23,NA
5005,24,NA
5005,25,NA
5005,26,NA
5005,27,NA
5005,28,NA
5005,29,NA
5005,30,NA
5005,31,NA
5005,32,NA
5005,33,NA
5005,34,NA
5005,35,NA
5005,36,NA
5005,37,NA
5005,38,NA
5005,39,NA
5005,40,NA
5005,41,NA
5005,42,NA
5005,43,NA
5005,44,NA
5005,45,NA
5005,46,NA
5006,1,NA
5006,2,NA
5006,3,NA
5006,4,NA
5006,5,NA
5006,6,NA
5006,7,NA
5006,8,NA
5006,9,NA
5006,10,NA
5006,11,NA
5006,12,NA
5006,13,NA
5006,14,NA
5006,15,NA
5006,16,NA
5006,17,NA
5006,18,NA
5006,19,NA
5006,20,NA
5006,21,NA
5006,22,NA
5006,23,NA
5006,24,NA
5006,25,NA
5006,26,NA
5006,27,NA
5006,28,NA
5006,29,NA
5006,30,NA
5006,31,NA
5006,32,NA
5006,33,NA
5006,34,NA
5006,35,NA
5006,36,NA
5006,37,NA
5006,38,NA
5006,39,NA
5006,40,NA
5006,41,NA
5006,42,NA
5006,43,NA
5006,44,NA
5006,45,NA
5006,46,NA
5007,1,8
5007,2,0
5007,3,0
5007,4,0
