ubicageo_f,montos1,montos2
14120,NA,NA
14121,NA,NA
14122,NA,NA
14123,NA,NA
14124,1821850.94,0
14125,98872,0
15001,NA,NA
15002,NA,NA
15003,NA,NA
15004,NA,NA
15005,NA,NA
15006,NA,NA
15007,NA,NA
15008,NA,NA
15009,NA,NA
15010,NA,NA
15011,NA,NA
15012,NA,NA
15013,NA,NA
15014,NA,NA
15015,NA,NA
15016,NA,NA
15017,NA,NA
15018,NA,NA
15019,NA,NA
15020,500000,150000
15021,NA,NA
15022,NA,NA
15023,NA,NA
15024,NA,NA
15025,NA,NA
15026,NA,NA
15027,NA,NA
15028,NA,NA
15029,NA,NA
15030,NA,NA
15031,NA,NA
15032,NA,NA
15033,NA,NA
15034,NA,NA
15035,NA,NA
15036,NA,NA
15037,NA,NA
15038,NA,NA
15039,1535255,0
15040,NA,NA
15041,NA,NA
15042,NA,NA
15043,NA,NA
15044,NA,NA
15045,NA,NA
15046,NA,NA
15047,NA,NA
15048,NA,NA
15049,NA,NA
15050,NA,NA
15051,5795249,856696
15052,NA,NA
15053,NA,NA
15054,2961359,28480157.8
15055,NA,NA
15056,NA,NA
15057,NA,NA
15058,NA,NA
15059,NA,NA
15060,NA,NA
15061,NA,NA
15062,NA,NA
15063,NA,NA
15064,NA,NA
15065,NA,NA
15066,NA,NA
15067,1044649.8,4535093.11
15068,NA,NA
15069,NA,NA
15070,178907,535945.4
15071,NA,NA
15072,NA,NA
15073,NA,NA
15074,NA,NA
15075,NA,NA
15076,2961359,28480157.8
15077,NA,NA
15078,NA,NA
15079,NA,NA
15080,NA,NA
15081,NA,NA
15082,NA,NA
15083,NA,NA
15084,NA,NA
15085,NA,NA
15086,NA,NA
15087,NA,NA
15088,NA,NA
15089,NA,NA
15090,NA,NA
15091,NA,NA
15092,NA,NA
15093,NA,NA
15094,NA,NA
15095,3300612,4365534.3
15096,NA,NA
15097,NA,NA
15098,NA,NA
15099,NA,NA
15100,NA,NA
15101,NA,NA
15102,NA,NA
15103,NA,NA
15104,NA,NA
15105,NA,NA
15106,19750433.1,28603739.99
15107,NA,NA
15108,NA,NA
15109,4569249.85,7858844.42
15110,NA,NA
15111,NA,NA
15112,NA,NA
15113,NA,NA
15114,NA,NA
15115,NA,NA
15116,NA,NA
15117,NA,NA
15118,NA,NA
15119,NA,NA
15120,NA,NA
15121,NA,NA
15122,13218.95,13443
15123,8240,0
15124,NA,NA
15125,NA,NA
16001,NA,NA
16002,NA,NA
16003,NA,NA
16004,NA,NA
16005,NA,NA
16006,NA,NA
16007,NA,NA
16008,NA,NA
16009,NA,NA
16010,NA,NA
16011,NA,NA
16012,NA,NA
16013,NA,NA
16014,NA,NA
16015,NA,NA
16016,NA,NA
16017,NA,NA
16018,NA,NA
16019,NA,NA
16020,34000,0
16021,NA,NA
16022,NA,NA
16023,NA,NA
16024,NA,NA
16025,8691,0
16026,NA,NA
16027,NA,NA
16028,NA,NA
16029,NA,NA
16030,NA,NA
16031,NA,NA
16032,NA,NA
16033,NA,NA
16034,1006674.62,0
16035,NA,NA
16036,NA,NA
16037,NA,NA
16038,NA,NA
16039,NA,NA
16040,NA,NA
16041,NA,NA
16042,NA,NA
16043,47612.12,76000
16044,NA,NA
16045,150000,109900
16046,NA,NA
16047,NA,NA
16048,NA,NA
16049,NA,NA
16050,NSS,NSS
16051,ND,ND
16052,NA,NA
16053,2062069636,NSS
16054,NA,NA
16055,NA,NA
16056,NA,NA
16057,NA,NA
16058,NA,NA
16059,NA,NA
16060,NA,NA
16061,NA,NA
16062,NA,NA
16063,NSS,NSS
16064,NA,NA
16065,NA,NA
16066,NA,NA
16067,NA,NA
16068,NA,NA
16069,NA,NA
16070,NA,NA
16071,NSS,NSS
16072,NSS,NSS
16073,NA,NA
16074,NA,NA
16075,NA,NA
16076,NSS,NSS
16077,NA,NA
16078,129593.88,0
16079,NA,NA
