ubicageo_f,trapertt,traper1,traper2,traper3,traper4,traper5,traper6
11030,NSS,NSS,0,NSS,0,0,0
11031,2035,177,0,42,0,1816,0
11032,510,180,20,200,110,0,0
11033,0,0,0,0,0,0,0
11034,3,3,0,0,0,0,0
11035,NSS,NSS,NSS,NSS,NSS,NSS,NSS
11036,0,0,0,0,0,0,0
11037,31,31,0,0,0,0,0
11038,0,0,0,0,0,0,0
11039,150,135,0,15,0,0,0
11040,15,15,0,0,0,0,0
11041,0,0,0,0,0,0,0
11042,0,0,0,0,0,0,0
11043,0,0,0,0,0,0,0
11044,5,5,0,0,0,0,0
11045,0,0,0,0,0,0,0
11046,124,124,0,0,0,0,0
12001,0,0,0,0,0,0,0
12002,0,0,0,0,0,0,0
12003,0,0,0,0,0,0,0
12004,0,0,0,0,0,0,0
12005,0,0,0,0,0,0,0
12006,0,0,0,0,0,0,0
12007,0,0,0,0,0,0,0
12008,9,8,0,1,0,0,0
12009,2,0,0,2,0,0,0
12010,0,0,0,0,0,0,0
12011,2,2,0,0,0,0,0
12012,0,0,0,0,0,0,0
12013,2,2,0,0,0,0,0
12014,9,1,0,8,0,0,0
12015,0,0,0,0,0,0,0
12016,0,0,0,0,0,0,0
12017,0,0,0,0,0,0,0
12018,0,0,0,0,0,0,0
12019,1,1,0,0,0,0,0
12020,0,0,0,0,0,0,0
12021,0,0,0,0,0,0,0
12022,0,0,0,0,0,0,0
12023,0,0,0,0,0,0,0
12024,3,1,0,2,0,0,0
12025,10,0,0,0,0,10,0
12026,0,0,0,0,0,0,0
12027,0,0,0,0,0,0,0
12028,4,0,4,0,0,0,0
12029,0,0,0,0,0,0,0
12030,0,0,0,0,0,0,0
12031,0,0,0,0,0,0,0
12032,1,1,0,0,0,0,0
12033,0,0,0,0,0,0,0
12034,1,1,0,0,0,0,0
12035,0,0,0,0,0,0,0
12036,20,0,0,10,10,0,0
12037,0,0,0,0,0,0,0
12038,80,80,0,0,0,0,0
12039,7,7,0,0,0,0,0
12040,0,0,0,0,0,0,0
12041,0,0,0,0,0,0,0
12042,22,2,0,0,0,20,0
12043,0,0,0,0,0,0,0
12044,0,0,0,0,0,0,0
12045,1,1,0,0,0,0,0
12046,8,0,0,8,0,0,0
12047,0,0,0,0,0,0,0
12048,5,5,0,0,0,0,0
12049,0,0,0,0,0,0,0
12050,3,1,0,0,2,0,0
12051,2,2,0,0,0,0,0
12052,40,40,0,0,0,0,0
12053,0,0,0,0,0,0,0
12054,10,0,0,10,0,0,0
12055,0,0,0,0,0,0,0
12056,0,0,0,0,0,0,0
12057,6,0,0,0,0,6,0
12058,0,0,0,0,0,0,0
12059,1,1,0,0,0,0,0
12060,0,0,0,0,0,0,0
12061,4,4,0,0,0,0,0
12062,0,0,0,0,0,0,0
12063,0,0,0,0,0,0,0
12064,0,0,0,0,0,0,0
12065,88,0,0,88,0,0,0
12066,0,0,0,0,0,0,0
12067,0,0,0,0,0,0,0
12068,50,0,0,3,47,0,0
12069,0,0,0,0,0,0,0
12070,2,2,0,0,0,0,0
12071,0,0,0,0,0,0,0
12072,0,0,0,0,0,0,0
12073,0,0,0,0,0,0,0
12074,0,0,0,0,0,0,0
12075,0,0,0,0,0,0,0
12076,0,0,0,0,0,0,0
12077,0,0,0,0,0,0,0
12078,0,0,0,0,0,0,0
12079,0,0,0,0,0,0,0
12080,1,1,0,0,0,0,0
12081,1,1,0,0,0,0,0
12082,NA,NA,NA,NA,NA,NA,NA
12083,NA,NA,NA,NA,NA,NA,NA
12084,NA,NA,NA,NA,NA,NA,NA
12085,NA,NA,NA,NA,NA,NA,NA
13001,5,5,0,0,0,0,0
13002,0,0,0,0,0,0,0
13003,45,17,5,15,8,0,0
13004,1,1,0,0,0,0,0
13005,0,0,0,0,0,0,0
13006,3,3,0,0,0,0,0
13007,0,0,0,0,0,0,0
13008,NSS,NSS,NSS,NSS,NSS,NSS,NSS
