ubicageo_f,tordenes_b,rnsnni1,ordcum1,ordcum2
3009,4,9,NSS,NSS
3009,5,2,NA,NA
3009,6,2,NA,NA
4001,1,1,NSS,NSS
4001,2,1,NSS,NSS
4001,3,2,NA,NA
4001,4,1,NSS,NSS
4001,5,1,NSS,NSS
4001,6,2,NA,NA
4002,1,2,NA,NA
4002,2,2,NA,NA
4002,3,2,NA,NA
4002,4,2,NA,NA
4002,5,2,NA,NA
4002,6,2,NA,NA
4003,1,2,NA,NA
4003,2,2,NA,NA
4003,3,2,NA,NA
4003,4,2,NA,NA
4003,5,2,NA,NA
4003,6,2,NA,NA
4004,1,2,NA,NA
4004,2,2,NA,NA
4004,3,2,NA,NA
4004,4,2,NA,NA
4004,5,1,20,20
4004,6,2,NA,NA
4005,1,2,NA,NA
4005,2,2,NA,NA
4005,3,2,NA,NA
4005,4,2,NA,NA
4005,5,2,NA,NA
4005,6,2,NA,NA
4006,1,9,NSS,NSS
4006,2,9,NSS,NSS
4006,3,9,NSS,NSS
4006,4,9,NSS,NSS
4006,5,9,NSS,NSS
4006,6,9,NSS,NSS
4007,1,2,NA,NA
4007,2,2,NA,NA
4007,3,2,NA,NA
4007,4,2,NA,NA
4007,5,2,NA,NA
4007,6,2,NA,NA
4008,1,2,NA,NA
4008,2,2,NA,NA
4008,3,2,NA,NA
4008,4,2,NA,NA
4008,5,1,10,10
4008,6,2,NA,NA
4009,1,2,NA,NA
4009,2,2,NA,NA
4009,3,1,3,3
4009,4,1,2,2
4009,5,2,NA,NA
4009,6,2,NA,NA
4010,1,2,NA,NA
4010,2,2,NA,NA
4010,3,2,NA,NA
4010,4,2,NA,NA
4010,5,2,NA,NA
4010,6,2,NA,NA
4011,1,2,NA,NA
4011,2,2,NA,NA
4011,3,2,NA,NA
4011,4,2,NA,NA
4011,5,2,NA,NA
4011,6,2,NA,NA
4012,1,0,NA,NA
4012,2,0,NA,NA
4012,3,0,NA,NA
4012,4,0,NA,NA
4012,5,0,NA,NA
4012,6,0,NA,NA
4013,1,0,NA,NA
4013,2,0,NA,NA
4013,3,0,NA,NA
4013,4,0,NA,NA
4013,5,0,NA,NA
4013,6,0,NA,NA
5001,1,2,NA,NA
5001,2,2,NA,NA
5001,3,2,NA,NA
5001,4,2,NA,NA
5001,5,2,NA,NA
5001,6,2,NA,NA
5002,1,2,NA,NA
5002,2,1,1,0
5002,3,2,NA,NA
5002,4,1,1,0
5002,5,1,1,0
5002,6,2,NA,NA
5003,1,9,NSS,NSS
5003,2,9,NSS,NSS
5003,3,9,NSS,NSS
5003,4,9,NSS,NSS
5003,5,9,NSS,NSS
5003,6,9,NSS,NSS
5004,1,2,NA,NA
5004,2,2,NA,NA
5004,3,2,NA,NA
5004,4,2,NA,NA
5004,5,2,NA,NA
5004,6,2,NA,NA
5005,1,2,NA,NA
5005,2,2,NA,NA
5005,3,2,NA,NA
5005,4,2,NA,NA
5005,5,1,2,2
5005,6,2,NA,NA
5006,1,2,NA,NA
5006,2,2,NA,NA
5006,3,2,NA,NA
5006,4,2,NA,NA
5006,5,2,NA,NA
5006,6,2,NA,NA
5007,1,2,NA,NA
5007,2,2,NA,NA
5007,3,2,NA,NA
5007,4,2,NA,NA
5007,5,2,NA,NA
5007,6,2,NA,NA
5008,1,0,NA,NA
5008,2,0,NA,NA
5008,3,0,NA,NA
5008,4,0,NA,NA
5008,5,0,NA,NA
5008,6,0,NA,NA
5009,1,2,NA,NA
5009,2,2,NA,NA
5009,3,2,NA,NA
5009,4,2,NA,NA
5009,5,2,NA,NA
5009,6,2,NA,NA
5010,1,9,NSS,NSS
5010,2,9,NSS,NSS
5010,3,9,NSS,NSS
5010,4,9,NSS,NSS
5010,5,9,NSS,NSS
5010,6,9,NSS,NSS
5011,1,2,NA,NA
5011,2,2,NA,NA
5011,3,2,NA,NA
5011,4,2,NA,NA
5011,5,2,NA,NA
5011,6,2,NA,NA
5012,1,0,NA,NA
5012,2,0,NA,NA
5012,3,0,NA,NA
5012,4,0,NA,NA
5012,5,0,NA,NA
5012,6,0,NA,NA
5013,1,0,NA,NA
5013,2,0,NA,NA
5013,3,0,NA,NA
5013,4,0,NA,NA
5013,5,0,NA,NA
5013,6,0,NA,NA
5014,1,2,NA,NA
5014,2,2,NA,NA
5014,3,2,NA,NA
5014,4,2,NA,NA
5014,5,2,NA,NA
5014,6,2,NA,NA
5015,1,0,NA,NA
5015,2,0,NA,NA
5015,3,0,NA,NA
5015,4,0,NA,NA
5015,5,0,NA,NA
5015,6,0,NA,NA
5016,1,2,NA,NA
5016,2,2,NA,NA
5016,3,2,NA,NA
5016,4,2,NA,NA
5016,5,2,NA,NA
5016,6,2,NA,NA
5017,1,1,3971,3971
5017,2,2,NA,NA
5017,3,2,NA,NA
5017,4,2,NA,NA
5017,5,2,NA,NA
5017,6,2,NA,NA
5018,1,2,NA,NA
5018,2,1,NSS,NSS
5018,3,1,NSS,NSS
5018,4,1,NSS,NSS
5018,5,1,NSS,NSS
5018,6,1,NSS,NSS
5019,1,2,NA,NA
5019,2,2,NA,NA
5019,3,2,NA,NA
5019,4,2,NA,NA
5019,5,1,10,10
5019,6,2,NA,NA
5020,1,2,NA,NA
5020,2,2,NA,NA
5020,3,2,NA,NA
5020,4,1,1,1
5020,5,1,40,40
5020,6,2,NA,NA
5021,1,2,NA,NA
5021,2,2,NA,NA
5021,3,1,NSS,NSS
5021,4,2,NA,NA
5021,5,1,NSS,NSS
5021,6,2,NA,NA
5022,1,2,NA,NA
5022,2,2,NA,NA
5022,3,2,NA,NA
5022,4,1,5,5
5022,5,1,17,17
5022,6,2,NA,NA
5023,1,2,NA,NA
5023,2,2,NA,NA
5023,3,2,NA,NA
5023,4,2,NA,NA
5023,5,2,NA,NA
5023,6,2,NA,NA
5024,1,2,NA,NA
5024,2,1,4,4
5024,3,2,NA,NA
5024,4,2,NA,NA
5024,5,1,83,83
5024,6,2,NA,NA
5025,1,2,NA,NA
5025,2,2,NA,NA
5025,3,2,NA,NA
5025,4,2,NA,NA
5025,5,2,NA,NA
5025,6,2,NA,NA
5026,1,0,NA,NA
5026,2,0,NA,NA
5026,3,0,NA,NA
5026,4,0,NA,NA
5026,5,0,NA,NA
5026,6,0,NA,NA
5027,1,2,NA,NA
5027,2,2,NA,NA
5027,3,2,NA,NA
5027,4,2,NA,NA
5027,5,2,NA,NA
5027,6,2,NA,NA
5028,1,2,NA,NA
5028,2,2,NA,NA
5028,3,2,NA,NA
5028,4,2,NA,NA
5028,5,2,NA,NA
5028,6,2,NA,NA
5029,1,2,NA,NA
5029,2,2,NA,NA
5029,3,2,NA,NA
5029,4,2,NA,NA
5029,5,2,NA,NA
5029,6,2,NA,NA
5030,1,2,NA,NA
5030,2,2,NA,NA
5030,3,1,287,287
5030,4,1,57,57
5030,5,1,3778,3778
5030,6,2,NA,NA
5031,1,2,NA,NA
5031,2,2,NA,NA
5031,3,2,NA,NA
5031,4,2,NA,NA
5031,5,2,NA,NA
5031,6,2,NA,NA
5032,1,1,10,10
5032,2,2,NA,NA
5032,3,2,NA,NA
5032,4,2,NA,NA
5032,5,2,NA,NA
5032,6,2,NA,NA
5033,1,2,NA,NA
5033,2,2,NA,NA
5033,3,2,NA,NA
5033,4,2,NA,NA
5033,5,2,NA,NA
5033,6,2,NA,NA
5034,1,2,NA,NA
5034,2,2,NA,NA
5034,3,2,NA,NA
5034,4,2,NA,NA
5034,5,2,NA,NA
5034,6,2,NA,NA
5035,1,1,6,6
5035,2,1,7,7
5035,3,1,80,40
5035,4,1,341,341
5035,5,9,NSS,NSS
5035,6,9,NSS,NSS
5036,1,2,NA,NA
5036,2,2,NA,NA
5036,3,2,NA,NA
5036,4,2,NA,NA
5036,5,2,NA,NA
5036,6,2,NA,NA
5037,1,2,NA,NA
5037,2,2,NA,NA
5037,3,2,NA,NA
5037,4,2,NA,NA
5037,5,2,NA,NA
5037,6,2,NA,NA
5038,1,2,NA,NA
5038,2,2,NA,NA
5038,3,2,NA,NA
5038,4,2,NA,NA
5038,5,1,3,3
5038,6,2,NA,NA
6001,1,2,NA,NA
6001,2,2,NA,NA
6001,3,2,NA,NA
6001,4,1,747,747
6001,5,1,29,29
6001,6,2,NA,NA
6002,1,2,NA,NA
6002,2,2,NA,NA
6002,3,2,NA,NA
6002,4,2,NA,NA
6002,5,2,NA,NA
6002,6,2,NA,NA
6003,1,2,NA,NA
6003,2,2,NA,NA
6003,3,2,NA,NA
6003,4,1,88,0
6003,5,1,80,0
6003,6,2,NA,NA
6004,1,2,NA,NA
6004,2,2,NA,NA
6004,3,2,NA,NA
6004,4,1,70,70
6004,5,2,NA,NA
6004,6,2,NA,NA
6005,1,2,NA,NA
6005,2,2,NA,NA
6005,3,2,NA,NA
6005,4,2,NA,NA
6005,5,1,22,22
6005,6,2,NA,NA
6006,1,2,NA,NA
6006,2,2,NA,NA
6006,3,2,NA,NA
6006,4,1,2,2
6006,5,2,NA,NA
6006,6,2,NA,NA
6007,1,2,NA,NA
6007,2,1,80,28
6007,3,2,NA,NA
6007,4,1,820,10
6007,5,1,2000,1800
6007,6,2,NA,NA
6008,1,2,NA,NA
6008,2,2,NA,NA
6008,3,2,NA,NA
6008,4,1,NSS,NSS
6008,5,1,NSS,NSS
6008,6,2,NA,NA
6009,1,2,NA,NA
6009,2,2,NA,NA
6009,3,2,NA,NA
6009,4,1,913,913
6009,5,1,209,209
6009,6,2,NA,NA
6010,1,2,NA,NA
6010,2,2,NA,NA
6010,3,2,NA,NA
6010,4,1,730,730
6010,5,1,485,485
6010,6,2,NA,NA
7001,1,2,NA,NA
7001,2,2,NA,NA
7001,3,2,NA,NA
7001,4,1,1,1
7001,5,1,10,10
7001,6,2,NA,NA
7002,1,2,NA,NA
7002,2,2,NA,NA
7002,3,2,NA,NA
7002,4,2,NA,NA
7002,5,2,NA,NA
7002,6,2,NA,NA
7003,1,2,NA,NA
7003,2,2,NA,NA
7003,3,2,NA,NA
7003,4,2,NA,NA
7003,5,2,NA,NA
7003,6,2,NA,NA
7004,1,2,NA,NA
7004,2,2,NA,NA
7004,3,2,NA,NA
7004,4,1,3,3
7004,5,2,NA,NA
7004,6,2,NA,NA
7005,1,2,NA,NA
7005,2,2,NA,NA
7005,3,2,NA,NA
7005,4,2,NA,NA
7005,5,2,NA,NA
7005,6,2,NA,NA
7006,1,2,NA,NA
7006,2,2,NA,NA
7006,3,2,NA,NA
7006,4,2,NA,NA
7006,5,2,NA,NA
7006,6,2,NA,NA
7007,1,2,NA,NA
7007,2,2,NA,NA
7007,3,2,NA,NA
7007,4,2,NA,NA
7007,5,2,NA,NA
7007,6,2,NA,NA
7008,1,2,NA,NA
7008,2,2,NA,NA
7008,3,2,NA,NA
7008,4,2,NA,NA
7008,5,1,64,64
7008,6,2,NA,NA
7009,1,2,NA,NA
7009,2,2,NA,NA
7009,3,2,NA,NA
7009,4,2,NA,NA
7009,5,2,NA,NA
7009,6,2,NA,NA
7010,1,2,NA,NA
7010,2,2,NA,NA
7010,3,2,NA,NA
7010,4,2,NA,NA
7010,5,2,NA,NA
7010,6,2,NA,NA
7011,1,2,NA,NA
7011,2,2,NA,NA
7011,3,2,NA,NA
7011,4,2,NA,NA
7011,5,2,NA,NA
7011,6,2,NA,NA
7012,1,2,NA,NA
7012,2,2,NA,NA
7012,3,2,NA,NA
7012,4,1,50,50
7012,5,1,150,150
7012,6,2,NA,NA
7013,1,2,NA,NA
7013,2,2,NA,NA
7013,3,2,NA,NA
7013,4,2,NA,NA
7013,5,2,NA,NA
7013,6,2,NA,NA
7014,1,2,NA,NA
7014,2,2,NA,NA
7014,3,2,NA,NA
7014,4,2,NA,NA
7014,5,2,NA,NA
7014,6,2,NA,NA
7015,1,2,NA,NA
7015,2,2,NA,NA
7015,3,2,NA,NA
7015,4,2,NA,NA
7015,5,2,NA,NA
7015,6,2,NA,NA
7016,1,2,NA,NA
7016,2,2,NA,NA
7016,3,2,NA,NA
7016,4,2,NA,NA
7016,5,2,NA,NA
7016,6,2,NA,NA
7017,1,2,NA,NA
7017,2,2,NA,NA
7017,3,2,NA,NA
7017,4,1,6,6
7017,5,1,125,125
7017,6,2,NA,NA
7018,1,2,NA,NA
7018,2,2,NA,NA
7018,3,2,NA,NA
7018,4,2,NA,NA
7018,5,1,30,30
7018,6,2,NA,NA
7019,1,2,NA,NA
7019,2,2,NA,NA
7019,3,2,NA,NA
7019,4,1,71,1
7019,5,1,1005,1005
7019,6,2,NA,NA
7020,1,2,NA,NA
7020,2,2,NA,NA
7020,3,2,NA,NA
7020,4,2,NA,NA
7020,5,2,NA,NA
7020,6,2,NA,NA
7021,1,2,NA,NA
7021,2,2,NA,NA
7021,3,2,NA,NA
7021,4,2,NA,NA
7021,5,1,25,25
7021,6,2,NA,NA
7022,1,2,NA,NA
7022,2,2,NA,NA
7022,3,2,NA,NA
7022,4,2,NA,NA
7022,5,2,NA,NA
7022,6,2,NA,NA
7023,1,2,NA,NA
7023,2,1,5,5
7023,3,2,NA,NA
7023,4,2,NA,NA
7023,5,2,NA,NA
7023,6,2,NA,NA
7024,1,2,NA,NA
7024,2,2,NA,NA
7024,3,2,NA,NA
7024,4,2,NA,NA
7024,5,1,15,15
7024,6,2,NA,NA
7025,1,2,NA,NA
7025,2,2,NA,NA
7025,3,2,NA,NA
7025,4,2,NA,NA
7025,5,2,NA,NA
7025,6,2,NA,NA
7026,1,2,NA,NA
7026,2,2,NA,NA
7026,3,2,NA,NA
7026,4,2,NA,NA
7026,5,2,NA,NA
7026,6,2,NA,NA
7027,1,2,NA,NA
7027,2,2,NA,NA
7027,3,2,NA,NA
7027,4,1,50,50
7027,5,1,900,900
7027,6,2,NA,NA
7028,1,2,NA,NA
7028,2,2,NA,NA
7028,3,2,NA,NA
7028,4,2,NA,NA
7028,5,2,NA,NA
7028,6,2,NA,NA
7029,1,2,NA,NA
7029,2,2,NA,NA
7029,3,2,NA,NA
7029,4,2,NA,NA
7029,5,1,2,2
7029,6,2,NA,NA
7030,1,1,1,1
7030,2,2,NA,NA
7030,3,2,NA,NA
7030,4,2,NA,NA
7030,5,2,NA,NA
7030,6,2,NA,NA
7031,1,2,NA,NA
7031,2,2,NA,NA
7031,3,2,NA,NA
7031,4,2,NA,NA
7031,5,2,NA,NA
7031,6,2,NA,NA
7032,1,2,NA,NA
7032,2,2,NA,NA
7032,3,2,NA,NA
7032,4,2,NA,NA
7032,5,1,58,58
7032,6,2,NA,NA
7033,1,2,NA,NA
7033,2,2,NA,NA
7033,3,2,NA,NA
7033,4,2,NA,NA
7033,5,2,NA,NA
7033,6,2,NA,NA
7034,1,2,NA,NA
7034,2,2,NA,NA
7034,3,2,NA,NA
7034,4,2,NA,NA
7034,5,2,NA,NA
7034,6,2,NA,NA
7035,1,2,NA,NA
7035,2,2,NA,NA
7035,3,2,NA,NA
7035,4,2,NA,NA
7035,5,2,NA,NA
7035,6,2,NA,NA
7036,1,2,NA,NA
7036,2,2,NA,NA
7036,3,2,NA,NA
7036,4,2,NA,NA
7036,5,2,NA,NA
7036,6,2,NA,NA
7037,1,2,NA,NA
7037,2,2,NA,NA
7037,3,2,NA,NA
7037,4,1,4,4
7037,5,1,520,520
7037,6,2,NA,NA
7038,1,2,NA,NA
7038,2,2,NA,NA
7038,3,2,NA,NA
7038,4,2,NA,NA
7038,5,2,NA,NA
7038,6,2,NA,NA
7039,1,2,NA,NA
7039,2,2,NA,NA
7039,3,2,NA,NA
7039,4,2,NA,NA
7039,5,2,NA,NA
7039,6,2,NA,NA
7040,1,2,NA,NA
7040,2,2,NA,NA
7040,3,2,NA,NA
7040,4,1,2,0
7040,5,1,55,55
7040,6,2,NA,NA
7041,1,1,1,1
7041,2,1,3,3
7041,3,2,NA,NA
7041,4,2,NA,NA
7041,5,1,15,15
7041,6,2,NA,NA
7042,1,2,NA,NA
7042,2,1,10,10
7042,3,2,NA,NA
7042,4,1,2,2
7042,5,1,10,10
7042,6,2,NA,NA
7043,1,2,NA,NA
7043,2,2,NA,NA
7043,3,2,NA,NA
7043,4,2,NA,NA
7043,5,1,20,20
7043,6,2,NA,NA
7044,1,2,NA,NA
7044,2,2,NA,NA
7044,3,2,NA,NA
7044,4,2,NA,NA
7044,5,2,NA,NA
7044,6,2,NA,NA
7045,1,2,NA,NA
7045,2,2,NA,NA
7045,3,2,NA,NA
7045,4,2,NA,NA
7045,5,2,NA,NA
7045,6,2,NA,NA
7046,1,2,NA,NA
7046,2,2,NA,NA
7046,3,2,NA,NA
7046,4,1,5,5
7046,5,2,NA,NA
7046,6,2,NA,NA
7047,1,2,NA,NA
7047,2,2,NA,NA
7047,3,2,NA,NA
7047,4,2,NA,NA
7047,5,1,150,150
7047,6,2,NA,NA
7048,1,2,NA,NA
7048,2,2,NA,NA
7048,3,2,NA,NA
7048,4,2,NA,NA
7048,5,2,NA,NA
7048,6,2,NA,NA
7049,1,2,NA,NA
7049,2,2,NA,NA
7049,3,2,NA,NA
7049,4,2,NA,NA
7049,5,2,NA,NA
7049,6,2,NA,NA
7050,1,2,NA,NA
7050,2,2,NA,NA
7050,3,2,NA,NA
7050,4,2,NA,NA
7050,5,2,NA,NA
7050,6,2,NA,NA
7051,1,2,NA,NA
7051,2,2,NA,NA
7051,3,2,NA,NA
7051,4,2,NA,NA
7051,5,2,NA,NA
7051,6,2,NA,NA
7052,1,2,NA,NA
7052,2,2,NA,NA
7052,3,2,NA,NA
7052,4,2,NA,NA
7052,5,2,NA,NA
7052,6,2,NA,NA
7053,1,2,NA,NA
7053,2,2,NA,NA
7053,3,2,NA,NA
7053,4,2,NA,NA
7053,5,2,NA,NA
7053,6,2,NA,NA
7054,1,2,NA,NA
7054,2,2,NA,NA
7054,3,2,NA,NA
7054,4,1,1,1
7054,5,1,88,88
7054,6,2,NA,NA
7055,1,2,NA,NA
7055,2,2,NA,NA
7055,3,2,NA,NA
7055,4,2,NA,NA
7055,5,1,10,10
7055,6,2,NA,NA
7056,1,2,NA,NA
7056,2,2,NA,NA
7056,3,2,NA,NA
7056,4,2,NA,NA
7056,5,2,NA,NA
7056,6,2,NA,NA
7057,1,2,NA,NA
7057,2,2,NA,NA
7057,3,2,NA,NA
7057,4,2,NA,NA
7057,5,1,45,45
7057,6,2,NA,NA
7058,1,2,NA,NA
7058,2,2,NA,NA
7058,3,2,NA,NA
7058,4,2,NA,NA
7058,5,2,NA,NA
7058,6,2,NA,NA
7059,1,2,NA,NA
7059,2,2,NA,NA
7059,3,2,NA,NA
7059,4,2,NA,NA
7059,5,2,NA,NA
7059,6,2,NA,NA
7060,1,2,NA,NA
7060,2,2,NA,NA
7060,3,2,NA,NA
7060,4,2,NA,NA
7060,5,2,NA,NA
7060,6,2,NA,NA
7061,1,2,NA,NA
7061,2,2,NA,NA
7061,3,2,NA,NA
7061,4,2,NA,NA
7061,5,1,90,90
7061,6,2,NA,NA
7062,1,2,NA,NA
7062,2,2,NA,NA
7062,3,2,NA,NA
7062,4,2,NA,NA
7062,5,2,NA,NA
7062,6,2,NA,NA
7063,1,2,NA,NA
7063,2,2,NA,NA
7063,3,2,NA,NA
7063,4,2,NA,NA
7063,5,2,NA,NA
7063,6,2,NA,NA
7064,1,1,1,0
7064,2,1,6,6
7064,3,2,NA,NA
7064,4,2,NA,NA
7064,5,2,NA,NA
7064,6,2,NA,NA
7065,1,2,NA,NA
7065,2,2,NA,NA
7065,3,2,NA,NA
7065,4,2,NA,NA
7065,5,2,NA,NA
7065,6,2,NA,NA
7066,1,2,NA,NA
7066,2,1,10,10
7066,3,2,NA,NA
7066,4,2,NA,NA
7066,5,2,NA,NA
7066,6,2,NA,NA
7067,1,2,NA,NA
7067,2,2,NA,NA
7067,3,2,NA,NA
7067,4,2,NA,NA
7067,5,2,NA,NA
7067,6,2,NA,NA
7068,1,2,NA,NA
7068,2,2,NA,NA
7068,3,2,NA,NA
7068,4,2,NA,NA
7068,5,2,NA,NA
7068,6,2,NA,NA
7069,1,2,NA,NA
7069,2,2,NA,NA
7069,3,2,NA,NA
7069,4,2,NA,NA
7069,5,1,59,59
7069,6,2,NA,NA
7070,1,2,NA,NA
7070,2,2,NA,NA
7070,3,2,NA,NA
7070,4,2,NA,NA
7070,5,2,NA,NA
7070,6,2,NA,NA
7071,1,2,NA,NA
7071,2,2,NA,NA
7071,3,2,NA,NA
7071,4,2,NA,NA
7071,5,2,NA,NA
7071,6,2,NA,NA
7072,1,2,NA,NA
7072,2,2,NA,NA
7072,3,2,NA,NA
7072,4,1,3,3
7072,5,2,NA,NA
7072,6,2,NA,NA
7073,1,2,NA,NA
7073,2,2,NA,NA
7073,3,2,NA,NA
7073,4,2,NA,NA
7073,5,2,NA,NA
7073,6,2,NA,NA
7074,1,2,NA,NA
7074,2,2,NA,NA
7074,3,2,NA,NA
7074,4,2,NA,NA
7074,5,2,NA,NA
7074,6,2,NA,NA
7075,1,2,NA,NA
7075,2,1,20,20
7075,3,2,NA,NA
7075,4,1,3,3
7075,5,1,25,25
7075,6,2,NA,NA
7076,1,2,NA,NA
7076,2,2,NA,NA
7076,3,2,NA,NA
7076,4,2,NA,NA
7076,5,2,NA,NA
7076,6,2,NA,NA
7077,1,2,NA,NA
7077,2,2,NA,NA
7077,3,2,NA,NA
7077,4,2,NA,NA
7077,5,2,NA,NA
7077,6,2,NA,NA
7078,1,2,NA,NA
7078,2,2,NA,NA
7078,3,2,NA,NA
7078,4,1,99,99
7078,5,1,1343,1343
7078,6,2,NA,NA
7079,1,2,NA,NA
7079,2,2,NA,NA
7079,3,2,NA,NA
7079,4,1,20,20
7079,5,1,15,15
7079,6,1,2,2
7080,1,2,NA,NA
7080,2,2,NA,NA
7080,3,2,NA,NA
7080,4,2,NA,NA
7080,5,2,NA,NA
7080,6,2,NA,NA
7081,1,2,NA,NA
7081,2,2,NA,NA
7081,3,2,NA,NA
7081,4,2,NA,NA
7081,5,2,NA,NA
7081,6,2,NA,NA
7082,1,2,NA,NA
7082,2,2,NA,NA
7082,3,2,NA,NA
7082,4,2,NA,NA
7082,5,1,4,4
7082,6,2,NA,NA
7083,1,2,NA,NA
7083,2,2,NA,NA
7083,3,2,NA,NA
7083,4,2,NA,NA
7083,5,2,NA,NA
7083,6,2,NA,NA
7084,1,2,NA,NA
7084,2,2,NA,NA
7084,3,2,NA,NA
7084,4,1,2,2
7084,5,1,3,3
7084,6,2,NA,NA
7085,1,2,NA,NA
7085,2,2,NA,NA
7085,3,2,NA,NA
7085,4,2,NA,NA
7085,5,2,NA,NA
7085,6,2,NA,NA
7086,1,2,NA,NA
7086,2,2,NA,NA
7086,3,2,NA,NA
7086,4,2,NA,NA
7086,5,1,120,60
7086,6,2,NA,NA
7087,1,2,NA,NA
7087,2,2,NA,NA
7087,3,2,NA,NA
7087,4,2,NA,NA
7087,5,2,NA,NA
7087,6,2,NA,NA
7088,1,2,NA,NA
7088,2,2,NA,NA
7088,3,2,NA,NA
7088,4,2,NA,NA
7088,5,2,NA,NA
7088,6,2,NA,NA
7089,1,2,NA,NA
7089,2,2,NA,NA
7089,3,2,NA,NA
7089,4,1,115,115
7089,5,1,2154,2154
7089,6,1,178,178
7090,1,2,NA,NA
7090,2,2,NA,NA
7090,3,2,NA,NA
7090,4,1,2,0
7090,5,2,NA,NA
7090,6,2,NA,NA
7091,1,2,NA,NA
7091,2,2,NA,NA
7091,3,2,NA,NA
7091,4,2,NA,NA
7091,5,2,NA,NA
7091,6,2,NA,NA
7092,1,2,NA,NA
7092,2,2,NA,NA
7092,3,2,NA,NA
7092,4,2,NA,NA
7092,5,2,NA,NA
7092,6,2,NA,NA
7093,1,2,NA,NA
7093,2,2,NA,NA
7093,3,2,NA,NA
7093,4,2,NA,NA
7093,5,2,NA,NA
7093,6,2,NA,NA
7094,1,2,NA,NA
7094,2,2,NA,NA
7094,3,2,NA,NA
7094,4,2,NA,NA
7094,5,2,NA,NA
7094,6,2,NA,NA
7096,1,2,NA,NA
7096,2,2,NA,NA
7096,3,2,NA,NA
7096,4,2,NA,NA
7096,5,2,NA,NA
7096,6,2,NA,NA
7097,1,2,NA,NA
7097,2,2,NA,NA
7097,3,2,NA,NA
7097,4,1,28,28
7097,5,1,425,400
7097,6,2,NA,NA
7098,1,2,NA,NA
