ubicageo_f,lecdertt,lecder1,lecder2,lecder3,lecderne
7113,0,0,0,0,
7114,20,10,10,0,
7115,0,0,0,0,
7116,0,0,0,0,
7117,10,0,10,0,
7118,0,0,0,0,
7119,0,0,0,0,
7120,0,0,0,0,
7121,0,0,0,0,
7122,50,0,50,0,
7123,0,0,0,0,
7124,0,0,0,0,
7125,0,0,0,0,
8001,264,0,264,0,
8002,406,330,76,0,
8003,3,0,3,0,
8004,6,2,4,0,
8005,3782,540,3242,0,
8006,0,0,0,0,
8007,0,0,0,0,
8008,3,3,0,0,
8009,0,0,0,0,
8010,1,0,1,0,
8011,0,0,0,0,
8012,0,0,0,0,
8013,0,0,0,0,
8014,0,0,0,0,
8015,0,0,0,0,
8016,2,2,0,0,
8017,2800,0,2800,0,
8018,0,0,0,0,
8019,NSS,NSS,NSS,NSS,
8020,10,10,0,0,
8021,443,443,0,0,
8022,NSS,NSS,NSS,NSS,
8023,0,0,0,0,
8024,30,15,15,0,
8025,0,0,0,0,
8026,0,0,0,0,
8027,20,10,10,0,
8028,0,0,0,0,
8029,0,0,0,0,
8030,2,2,0,0,
8031,20,15,0,5,
8032,0,0,0,0,
8033,0,0,0,0,
8034,0,0,0,0,
8035,0,0,0,0,
8036,24,12,12,0,
8037,27537,8869,18668,0,
8038,1537,1453,84,0,
8039,0,0,0,0,
8040,870,0,0,870,
8041,12,6,6,0,
8042,0,0,0,0,
8043,0,0,0,0,
8044,0,0,0,0,
8045,0,0,0,0,
8046,0,0,0,0,
8047,0,0,0,0,
8048,0,0,0,0,
8049,0,0,0,0,
8050,NSS,NSS,NSS,NSS,
8051,0,0,0,0,
8052,612,600,12,0,
8053,0,0,0,0,
8054,12,8,4,0,
8055,0,0,0,0,
8056,0,0,0,0,
8057,0,0,0,0,
8058,3,0,3,0,
8059,0,0,0,0,
8060,0,0,0,0,
8061,0,0,0,0,
8062,484,464,20,0,
8063,3,0,3,0,
8064,0,0,0,0,
8065,0,0,0,0,
8066,0,0,0,0,
8067,0,0,0,0,
9002,NA,NA,NA,NA,
9003,NA,NA,NA,NA,
9004,NA,NA,NA,NA,
9005,NA,NA,NA,NA,
9006,NA,NA,NA,NA,
9007,NA,NA,NA,NA,
9008,NA,NA,NA,NA,
9009,NA,NA,NA,NA,
9010,NA,NA,NA,NA,
9011,NA,NA,NA,NA,
9012,NA,NA,NA,NA,
9013,NA,NA,NA,NA,
9014,NA,NA,NA,NA,
9015,NA,NA,NA,NA,
9016,NA,NA,NA,NA,
9017,NA,NA,NA,NA,
10001,0,0,0,0,
10002,0,0,0,0,
10003,0,0,0,0,
10004,0,0,0,0,
10005,0,0,0,0,
10006,0,0,0,0,
10007,3182,0,0,3182,
10008,8,4,4,0,
10009,0,0,0,0,
10010,0,0,0,0,
10011,0,0,0,0,
10012,0,0,0,0,
10013,0,0,0,0,
10014,0,0,0,0,
10015,0,0,0,0,
10016,0,0,0,0,
10017,0,0,0,0,
10018,0,0,0,0,
10019,0,0,0,0,
10020,0,0,0,0,
10021,0,0,0,0,
10022,0,0,0,0,
10023,50,25,25,0,
10024,0,0,0,0,
10025,6,3,3,0,
10026,0,0,0,0,
10027,0,0,0,0,
10028,0,0,0,0,
10029,0,0,0,0,
10030,0,0,0,0,
10031,0,0,0,0,
10032,236,0,236,0,
