ubicageo_f,aniorefe_b,totalca1
7101,2,0
7102,1,15
7102,2,20
7103,1,1825
7103,2,2555
7104,1,0
7104,2,0
7105,1,1
7105,2,25
7106,1,0
7106,2,0
7107,1,0
7107,2,364
7108,1,59
7108,2,43
7109,1,28
7109,2,21
7110,1,0
7110,2,0
7111,1,0
7111,2,0
7112,1,0
7112,2,0
7113,1,0
7113,2,0
7114,1,30
7114,2,102
7115,1,10
7115,2,5
7116,1,8
7116,2,27
7117,1,0
7117,2,0
7118,1,0
7118,2,1
7119,1,0
7119,2,0
7120,1,0
7120,2,0
7121,1,0
7121,2,0
7122,1,0
7122,2,0
7123,1,0
7123,2,0
7124,1,0
7124,2,0
7125,1,0
7125,2,0
8001,1,4
8001,2,5
8002,1,402
8002,2,406
8003,1,50
8003,2,35
8004,1,1800
8004,2,2920
8005,1,NSS
8005,2,600
8006,1,0
8006,2,0
8007,1,0
8007,2,0
8008,1,2
8008,2,3
8009,1,0
8009,2,0
8010,1,10
8010,2,8
8011,1,0
8011,2,0
8012,1,0
8012,2,10
8013,1,NSS
8013,2,NSS
8014,1,0
8014,2,0
8015,1,0
8015,2,0
8016,1,2
8016,2,2
8017,1,0
8017,2,0
8018,1,0
8018,2,0
8019,1,6990
8019,2,6378
8020,1,10
8020,2,10
8021,1,409
8021,2,443
8022,1,0
8022,2,0
8023,1,NA
8023,2,NA
8024,1,0
8024,2,0
8025,1,0
8025,2,0
8026,1,0
8026,2,0
8027,1,15
8027,2,20
8028,1,0
8028,2,0
8029,1,0
8029,2,0
8030,1,0
8030,2,163
8031,1,320
8031,2,431
8032,1,0
8032,2,0
8033,1,0
8033,2,1
8034,1,0
8034,2,0
8035,1,NSS
8035,2,8
8036,1,0
8036,2,0
8037,1,46182
8037,2,21914
8038,1,NSS
8038,2,361
8039,1,0
8039,2,0
8040,1,0
8040,2,0
8041,1,1
8041,2,6
8042,1,0
8042,2,0
8043,1,0
8043,2,0
8044,1,0
8044,2,0
8045,1,1629
8045,2,942
8046,1,0
8046,2,0
8047,1,0
8047,2,0
8048,1,144
8048,2,154
8049,1,0
8049,2,0
8050,1,NSS
8050,2,NSS
8051,1,8
8051,2,6
8052,1,600
8052,2,720
8053,1,0
8053,2,0
8054,1,0
8054,2,0
8055,1,NSS
8055,2,34
8056,1,0
8056,2,1
8057,1,0
8057,2,0
8058,1,0
8058,2,0
8059,1,0
8059,2,0
8060,1,0
8060,2,0
8061,1,0
8061,2,0
8062,1,465
8062,2,460
8063,1,0
8063,2,0
8064,1,10
8064,2,28
8065,1,0
8065,2,0
8066,1,0
8066,2,0
8067,1,0
