ubicageo_f,entrevtt,entrev1,entrev2,entrev3,entrev4
6006,24,24,0,0,0
6007,4500,3895,553,52,0
6008,15,7,0,8,0
6009,598,455,123,20,0
6010,2086,2086,0,0,0
7001,10,10,0,0,0
7002,0,0,0,0,0
7003,0,0,0,0,0
7004,0,0,0,0,0
7005,0,0,0,0,0
7006,0,0,0,0,0
7007,0,0,0,0,0
7008,0,0,0,0,0
7009,0,0,0,0,0
7010,0,0,0,0,0
7011,0,0,0,0,0
7012,100,60,40,0,0
7013,0,0,0,0,0
7014,0,0,0,0,0
7015,20,20,0,0,0
7016,0,0,0,0,0
7017,79,72,0,7,0
7018,70,30,40,0,0
7019,108,12,34,62,0
7020,0,0,0,0,0
7021,327,327,0,0,0
7022,0,0,0,0,0
7023,0,0,0,0,0
7024,10,7,2,1,0
7025,300,100,200,0,0
7026,0,0,0,0,0
7027,750,450,300,0,0
7028,0,0,0,0,0
7029,0,0,0,0,0
7030,20,0,20,0,0
7031,0,0,0,0,0
7032,158,105,53,0,0
7033,0,0,0,0,0
7034,3,1,0,2,0
7035,7,3,4,0,0
7036,0,0,0,0,0
7037,80,0,80,0,0
7038,0,0,0,0,0
7039,0,0,0,0,0
7040,2,2,0,0,0
7041,50,50,0,0,0
7042,2,0,2,0,0
7043,30,30,0,0,0
7044,21,21,0,0,0
7045,0,0,0,0,0
7046,50,4,42,4,0
7047,0,0,0,0,0
7048,2,0,2,0,0
7049,0,0,0,0,0
7050,0,0,0,0,0
7051,2,2,0,0,0
7052,100,30,40,20,10
7053,0,0,0,0,0
7054,679,573,106,0,0
7055,9,7,2,0,0
7056,0,0,0,0,0
7057,30,30,0,0,0
7058,0,0,0,0,0
7059,36,0,0,36,0
7060,10,10,0,0,0
7061,8,8,0,0,0
7062,0,0,0,0,0
7063,27,27,0,0,0
7064,0,0,0,0,0
7065,500,500,0,0,0
7066,0,0,0,0,0
7067,0,0,0,0,0
7068,0,0,0,0,0
7069,210,85,69,56,0
7070,0,0,0,0,0
7071,6,6,0,0,0
7072,0,0,0,0,0
7073,0,0,0,0,0
7074,20,20,0,0,0
7075,5,5,0,0,0
7076,0,0,0,0,0
7077,0,0,0,0,0
7078,719,579,90,50,0
7079,1825,1700,0,125,0
7080,0,0,0,0,0
7081,0,0,0,0,0
7082,1,1,0,0,0
7083,0,0,0,0,0
7084,0,0,0,0,0
7085,0,0,0,0,0
7086,0,0,0,0,0
7087,90,80,10,0,0
7088,0,0,0,0,0
7089,531,252,279,0,0
7090,3,0,3,0,0
7091,5,2,1,2,0
7092,7,7,0,0,0
7093,0,0,0,0,0
7094,0,0,0,0,0
7096,0,0,0,0,0
7097,12,8,0,4,0
7098,5,3,2,0,0
7099,21,14,7,0,0
7100,8,4,4,0,0
7101,335,239,77,19,0
7102,1848,1825,20,3,0
7103,18,8,5,5,0
7104,0,0,0,0,0
7105,26,8,13,0,5
7106,1,0,0,1,0
7107,80,80,0,0,0
7108,43,5,0,0,38
7109,21,15,4,2,0
7110,2,1,0,0,1
7111,0,0,0,0,0
7112,0,0,0,0,0
7113,0,0,0,0,0
7114,11,3,7,1,0
7115,0,0,0,0,0
7116,0,0,0,0,0
7117,10,7,3,0,0
7118,0,0,0,0,0
7119,0,0,0,0,0
7120,0,0,0,0,0
7121,0,0,0,0,0
7122,150,50,70,30,0
7123,0,0,0,0,0
7124,58,35,0,23,0
7125,0,0,0,0,0
8001,308,218,54,36,0
8002,406,406,0,0,0
8003,17,5,6,6,0
8004,2845,2107,620,118,0
8005,598,483,0,115,0
8006,0,0,0,0,0
8007,0,0,0,0,0
8008,3,3,0,0,0
8009,0,0,0,0,0
8010,4,0,2,2,0
8011,0,0,0,0,0
8012,10,0,10,0,0
8013,0,0,0,0,0
8014,10,0,10,0,0
8015,0,0,0,0,0
8016,2,2,0,0,0
8017,5400,2200,2980,200,20
8018,120,120,0,0,0
