ubicageo_f,aniorefe_b,rnsnni1,sexostt,sexos1,sexos2
32017,1,2,NA,NA,NA
32017,2,1,4,3,1
32018,1,2,NA,NA,NA
32018,2,2,NA,NA,NA
32019,1,2,NA,NA,NA
32019,2,1,1,1,0
32020,1,1,1,0,1
32020,2,2,NA,NA,NA
32021,1,2,NA,NA,NA
32021,2,2,NA,NA,NA
32022,1,9,NSS,NSS,NSS
32022,2,2,NA,NA,NA
32023,1,2,NA,NA,NA
32023,2,2,NA,NA,NA
32024,1,2,NA,NA,NA
32024,2,2,NA,NA,NA
32025,1,2,NA,NA,NA
32025,2,2,NA,NA,NA
32026,1,2,NA,NA,NA
32026,2,2,NA,NA,NA
32027,1,2,NA,NA,NA
32027,2,2,NA,NA,NA
32028,1,2,NA,NA,NA
32028,2,2,NA,NA,NA
32029,1,2,NA,NA,NA
32029,2,2,NA,NA,NA
32030,1,2,NA,NA,NA
32030,2,2,NA,NA,NA
32031,1,2,NA,NA,NA
32031,2,2,NA,NA,NA
32032,1,2,NA,NA,NA
32032,2,2,NA,NA,NA
32033,1,2,NA,NA,NA
32033,2,2,NA,NA,NA
32034,1,9,NSS,NSS,NSS
32034,2,9,NSS,NSS,NSS
32035,1,2,NA,NA,NA
32035,2,2,NA,NA,NA
32036,1,2,NA,NA,NA
32036,2,2,NA,NA,NA
32037,1,2,NA,NA,NA
32037,2,2,NA,NA,NA
32038,1,2,NA,NA,NA
32038,2,2,NA,NA,NA
32039,1,2,NA,NA,NA
32039,2,2,NA,NA,NA
32040,1,2,NA,NA,NA
32040,2,2,NA,NA,NA
32041,1,2,NA,NA,NA
32041,2,2,NA,NA,NA
32042,1,2,NA,NA,NA
32042,2,2,NA,NA,NA
32043,1,2,NA,NA,NA
32043,2,1,1,1,0
32044,1,2,NA,NA,NA
32044,2,2,NA,NA,NA
32045,1,2,NA,NA,NA
32045,2,2,NA,NA,NA
32046,1,2,NA,NA,NA
32046,2,2,NA,NA,NA
32047,1,2,NA,NA,NA
32047,2,2,NA,NA,NA
32048,1,2,NA,NA,NA
32048,2,2,NA,NA,NA
32049,1,2,NA,NA,NA
32049,2,2,NA,NA,NA
32050,1,2,NA,NA,NA
32050,2,2,NA,NA,NA
32051,1,2,NA,NA,NA
32051,2,2,NA,NA,NA
32052,1,2,NA,NA,NA
32052,2,2,NA,NA,NA
32053,1,2,NA,NA,NA
32053,2,1,1,0,1
32054,1,2,NA,NA,NA
32054,2,2,NA,NA,NA
32055,1,2,NA,NA,NA
32055,2,2,NA,NA,NA
32056,1,1,1,1,0
32056,2,1,1,1,0
32057,1,2,NA,NA,NA
32057,2,1,2,2,0
32058,1,2,NA,NA,NA
32058,2,2,NA,NA,NA
