ubicageo_f,aniorefe_b,rnsnni1,sexostt,sexos1,sexos2
24047,2,2,NA,NA,NA
24048,1,2,NA,NA,NA
24048,2,2,NA,NA,NA
24049,1,2,NA,NA,NA
24049,2,2,NA,NA,NA
24050,1,2,NA,NA,NA
24050,2,2,NA,NA,NA
24051,1,2,NA,NA,NA
24051,2,2,NA,NA,NA
24052,1,2,NA,NA,NA
24052,2,2,NA,NA,NA
24053,1,2,NA,NA,NA
24053,2,2,NA,NA,NA
24054,1,2,NA,NA,NA
24054,2,2,NA,NA,NA
24055,1,2,NA,NA,NA
24055,2,1,2,2,0
24056,1,2,NA,NA,NA
24056,2,2,NA,NA,NA
24057,1,2,NA,NA,NA
24057,2,1,1,1,0
24058,1,2,NA,NA,NA
24058,2,2,NA,NA,NA
25001,1,1,19,15,4
25001,2,1,17,13,4
25002,1,2,NA,NA,NA
25002,2,2,NA,NA,NA
25003,1,2,NA,NA,NA
25003,2,2,NA,NA,NA
25004,1,2,NA,NA,NA
25004,2,2,NA,NA,NA
25005,1,2,NA,NA,NA
25005,2,2,NA,NA,NA
25006,1,2,NA,NA,NA
25006,2,2,NA,NA,NA
25007,1,2,NA,NA,NA
25007,2,2,NA,NA,NA
25008,1,2,NA,NA,NA
25008,2,2,NA,NA,NA
25009,1,2,NA,NA,NA
25009,2,2,NA,NA,NA
25010,1,2,NA,NA,NA
25010,2,2,NA,NA,NA
25011,1,1,2,1,1
25011,2,1,7,7,0
25012,1,2,NA,NA,NA
25012,2,2,NA,NA,NA
25013,1,2,NA,NA,NA
25013,2,2,NA,NA,NA
25014,1,2,NA,NA,NA
25014,2,2,NA,NA,NA
25015,1,2,NA,NA,NA
25015,2,2,NA,NA,NA
25016,1,2,NA,NA,NA
25016,2,2,NA,NA,NA
25017,1,2,NA,NA,NA
25017,2,2,NA,NA,NA
25018,1,1,1,1,0
25018,2,1,1,0,1
26001,1,2,NA,NA,NA
26001,2,2,NA,NA,NA
26002,1,2,NA,NA,NA
26002,2,2,NA,NA,NA
26003,1,2,NA,NA,NA
26003,2,2,NA,NA,NA
26004,1,2,NA,NA,NA
26004,2,1,2,2,0
26005,1,2,NA,NA,NA
26005,2,2,NA,NA,NA
26006,1,2,NA,NA,NA
26006,2,2,NA,NA,NA
26007,1,2,NA,NA,NA
26007,2,2,NA,NA,NA
26008,1,2,NA,NA,NA
26008,2,2,NA,NA,NA
26009,1,2,NA,NA,NA
26009,2,2,NA,NA,NA
26010,1,2,NA,NA,NA
26010,2,2,NA,NA,NA
26011,1,2,NA,NA,NA
26011,2,2,NA,NA,NA
26012,1,2,NA,NA,NA
26012,2,2,NA,NA,NA
26013,1,2,NA,NA,NA
26013,2,2,NA,NA,NA
26014,1,2,NA,NA,NA
26014,2,2,NA,NA,NA
26015,1,2,NA,NA,NA
26015,2,2,NA,NA,NA
26016,1,2,NA,NA,NA
26016,2,2,NA,NA,NA
26017,1,2,NA,NA,NA
26017,2,1,1,1,0
26018,1,1,34,26,8
26018,2,1,52,44,8
26019,1,1,1,1,0
26019,2,1,6,6,0
26020,1,2,NA,NA,NA
26020,2,1,1,1,0
26021,1,2,NA,NA,NA
26021,2,2,NA,NA,NA
26022,1,2,NA,NA,NA
26022,2,2,NA,NA,NA
26023,1,2,NA,NA,NA
26023,2,2,NA,NA,NA
26024,1,2,NA,NA,NA
26024,2,2,NA,NA,NA
26025,1,2,NA,NA,NA
26025,2,2,NA,NA,NA
26026,1,2,NA,NA,NA
26026,2,2,NA,NA,NA
26027,1,2,NA,NA,NA
26027,2,2,NA,NA,NA
26028,1,2,NA,NA,NA
26028,2,2,NA,NA,NA
26029,1,2,NA,NA,NA
26029,2,2,NA,NA,NA
26030,1,9,NSS,NSS,NSS
26030,2,9,NSS,NSS,NSS
26031,1,2,NA,NA,NA
26031,2,2,NA,NA,NA
26032,1,2,NA,NA,NA
26032,2,2,NA,NA,NA
26033,1,2,NA,NA,NA
26033,2,2,NA,NA,NA
26034,1,2,NA,NA,NA
26034,2,2,NA,NA,NA
26035,1,2,NA,NA,NA
26035,2,2,NA,NA,NA
26036,1,2,NA,NA,NA
26036,2,2,NA,NA,NA
26037,1,2,NA,NA,NA
26037,2,2,NA,NA,NA
26038,1,2,NA,NA,NA
26038,2,2,NA,NA,NA
26039,1,2,NA,NA,NA
26039,2,2,NA,NA,NA
26040,1,2,NA,NA,NA
26040,2,2,NA,NA,NA
26041,1,2,NA,NA,NA
26041,2,2,NA,NA,NA
26042,1,2,NA,NA,NA
26042,2,2,NA,NA,NA
26043,1,1,61,57,4
26043,2,1,65,61,4
26044,1,2,NA,NA,NA
26044,2,2,NA,NA,NA
26045,1,2,NA,NA,NA
26045,2,2,NA,NA,NA
26046,1,2,NA,NA,NA
26046,2,2,NA,NA,NA
26047,1,2,NA,NA,NA
26047,2,2,NA,NA,NA
26048,1,2,NA,NA,NA
26048,2,2,NA,NA,NA
26049,1,2,NA,NA,NA
26049,2,2,NA,NA,NA
26050,1,2,NA,NA,NA
26050,2,2,NA,NA,NA
26051,1,2,NA,NA,NA
26051,2,2,NA,NA,NA
26052,1,2,NA,NA,NA
26052,2,2,NA,NA,NA
26053,1,2,NA,NA,NA
26053,2,2,NA,NA,NA
26054,1,2,NA,NA,NA
26054,2,2,NA,NA,NA
26055,1,1,20,16,4
26055,2,1,17,11,6
26056,1,2,NA,NA,NA
26056,2,2,NA,NA,NA
26057,1,2,NA,NA,NA
26057,2,2,NA,NA,NA
26058,1,2,NA,NA,NA
26058,2,2,NA,NA,NA
26059,1,2,NA,NA,NA
26059,2,2,NA,NA,NA
26060,1,2,NA,NA,NA
26060,2,2,NA,NA,NA
26061,1,2,NA,NA,NA
26061,2,2,NA,NA,NA
26062,1,2,NA,NA,NA
26062,2,2,NA,NA,NA
26063,1,2,NA,NA,NA
26063,2,2,NA,NA,NA
26064,1,2,NA,NA,NA
26064,2,2,NA,NA,NA
26065,1,2,NA,NA,NA
26065,2,2,NA,NA,NA
26066,1,2,NA,NA,NA
26066,2,2,NA,NA,NA
26067,1,2,NA,NA,NA
26067,2,2,NA,NA,NA
26068,1,9,NSS,NSS,NSS
26068,2,2,NA,NA,NA
26069,1,1,1,1,0
26069,2,2,NA,NA,NA
26070,1,2,NA,NA,NA
26070,2,2,NA,NA,NA
26071,1,2,NA,NA,NA
26071,2,2,NA,NA,NA
26072,1,2,NA,NA,NA
26072,2,2,NA,NA,NA
27001,1,2,NA,NA,NA
27001,2,1,2,2,0
27002,1,2,NA,NA,NA
27002,2,2,NA,NA,NA
27003,1,2,NA,NA,NA
27003,2,2,NA,NA,NA
27004,1,0,NA,NA,NA
27004,2,0,NA,NA,NA
27005,1,2,NA,NA,NA
27005,2,2,NA,NA,NA
27006,1,2,NA,NA,NA
27006,2,2,NA,NA,NA
27007,1,2,NA,NA,NA
27007,2,2,NA,NA,NA
27008,1,2,NA,NA,NA
27008,2,1,3,3,0
