ubicageo_f,aniorefe_b,rnsnni1,forfastt,forfas1,forfas2,forfas3
7034,1,9,NSS,NSS,NSS,NSS
7034,2,9,NSS,NSS,NSS,NSS
7035,1,2,NA,NA,NA,NA
7035,2,2,NA,NA,NA,NA
7036,1,2,NA,NA,NA,NA
7036,2,2,NA,NA,NA,NA
7037,1,1,8766804.48,8766804.48,0,0
7037,2,1,9900802.84,9900802.84,0,0
7038,1,1,361736.42,361736.42,0,0
7038,2,1,5968020.4,5968020.4,0,0
7039,1,1,6093549.89,6093549.89,0,0
7039,2,1,8136609.08,8136609.08,0,0
7040,1,1,15456015.44,15456015.44,0,0
7040,2,1,21378146.66,21378146.66,0,0
7041,1,1,12410841.03,12410841.03,0,0
7041,2,1,12671214.42,12671214.42,0,0
7042,1,1,3406959.94,3406959.94,0,0
7042,2,1,3462569.54,3462569.54,0,0
7043,1,9,NSS,NSS,NSS,NSS
7043,2,1,800562,800562,0,0
7044,1,1,10668254.43,10668254.43,0,0
7044,2,1,11288566.28,11288566.28,0,0
7045,1,2,NA,NA,NA,NA
7045,2,2,NA,NA,NA,NA
7046,1,1,9718425.62,9718425.62,0,0
7046,2,1,9718425.62,9718425.62,0,0
7047,1,2,NA,NA,NA,NA
7047,2,2,NA,NA,NA,NA
7048,1,2,NA,NA,NA,NA
7048,2,1,8640212.6,8640212.6,0,0
7049,1,1,4795209.15,4795209.15,0,0
7049,2,1,6284183.08,6284183.08,0,0
7050,1,1,2411102.91,2411102.91,0,0
7050,2,1,2647656.32,2647656.32,0,0
7051,1,1,154871479,154871479,0,0
7051,2,1,559288332,559288332,0,0
7052,1,2,NA,NA,NA,NA
7052,2,2,NA,NA,NA,NA
7053,1,2,NA,NA,NA,NA
7053,2,2,NA,NA,NA,NA
7054,1,2,NA,NA,NA,NA
7054,2,2,NA,NA,NA,NA
7055,1,2,NA,NA,NA,NA
7055,2,2,NA,NA,NA,NA
7056,1,2,NA,NA,NA,NA
7056,2,2,NA,NA,NA,NA
7057,1,1,15755153.04,15755153.04,0,0
7057,2,1,12777198.4,12777198.4,0,0
7058,1,2,NA,NA,NA,NA
7058,2,2,NA,NA,NA,NA
7059,1,1,66192325.35,66192325.35,0,0
7059,2,1,72982290.62,72982290.62,0,0
7060,1,2,NA,NA,NA,NA
7060,2,2,NA,NA,NA,NA
7061,1,1,4915665.85,4915665.85,0,0
7061,2,1,25158128.4,25158128.4,0,0
7062,1,2,NA,NA,NA,NA
7062,2,2,NA,NA,NA,NA
7063,1,9,NSS,NSS,NSS,NSS
7063,2,9,NSS,NSS,NSS,NSS
7064,1,2,NA,NA,NA,NA
7064,2,2,NA,NA,NA,NA
7065,1,2,NA,NA,NA,NA
7065,2,2,NA,NA,NA,NA
7066,1,9,NSS,NSS,NSS,NSS
7066,2,1,3828213.39,3828213.39,0,0
7067,1,2,NA,NA,NA,NA
7067,2,2,NA,NA,NA,NA
7068,1,2,NA,NA,NA,NA
7068,2,2,NA,NA,NA,NA
7069,1,9,NSS,NSS,NSS,NSS
7069,2,9,NSS,NSS,NSS,NSS
7070,1,2,NA,NA,NA,NA
7070,2,2,NA,NA,NA,NA
