ubicageo_f,aniorefe_b,presup1,presup2,presup3
10017,2,NSS,NSS,NSS
10018,1,0,0,0
10018,2,0,0,0
10019,1,0,0,0
10019,2,0,0,0
10020,1,NSS,NSS,NSS
10020,2,NSS,NSS,NSS
10021,1,NSS,NSS,NSS
10021,2,NSS,NSS,NSS
10022,1,0,0,0
10022,2,0,0,0
10023,1,NSS,NSS,NSS
10023,2,NSS,NSS,NSS
10024,1,0,0,0
10024,2,0,0,0
10025,1,NSS,NSS,NSS
10025,2,NSS,NSS,NSS
10026,1,0,0,0
10026,2,0,0,0
10027,1,0,0,0
10027,2,0,0,0
10028,1,0,0,0
10028,2,0,0,0
10029,1,NSS,NSS,NSS
10029,2,NSS,NSS,NSS
10030,1,NSS,NSS,NSS
10030,2,NSS,NSS,NSS
10031,1,NSS,NSS,NSS
10031,2,NSS,NSS,NSS
10032,1,NSS,NSS,NSS
10032,2,NSS,NSS,NSS
10033,1,NSS,NSS,NSS
10033,2,NSS,NSS,NSS
10034,1,0,0,0
10034,2,0,0,0
10035,1,0,0,0
10035,2,0,0,0
10036,1,NSS,NSS,NSS
10036,2,NSS,NSS,NSS
10037,1,2462843.62,2462843.62,2462843.62
10037,2,1698898.1,1698898.1,1698898.1
10038,1,NSS,NSS,NSS
10038,2,NSS,NSS,NSS
10039,1,NSS,NSS,NSS
10039,2,NSS,NSS,NSS
11001,1,31033502.18,31033502.18,31033502.18
11001,2,37675443.12,37675443.12,37675443.12
11002,1,NSS,NSS,NSS
11002,2,30062875,30062875,29000000
11003,1,121971700,121971700,133800000
11003,2,236384700,147198000,147100000
11004,1,250000000,200000000,200000000
11004,2,300000000,217133697,217133697
11005,1,60000000,60000000,51009352
11005,2,70000000,70000000,67929301.6
11006,1,NSS,NSS,NSS
11006,2,NSS,NSS,NSS
11007,1,377306459.7,377306459.7,357139278.44
11007,2,410802372.04,431467093.97,391542233.27
11008,1,NSS,NSS,NSS
11008,2,NSS,NSS,NSS
11009,1,5740025.4,35143351.25,29516100.03
11009,2,6222000,33280748.43,32849799.27
11010,1,NSS,NSS,NSS
11010,2,NSS,NSS,NSS
11011,1,56653485.66,56653485.66,54474980.04
11011,2,58379975.14,58379975.14,62860591.07
11012,1,18417294,17919912,17724990
11012,2,19647744,18972104,18875222
11013,1,13023897.14,13023897.14,13023897.14
11013,2,18420340.18,18420340.18,16993031.7
11014,1,87731706.3,72311331.69,72286675.53
11014,2,84711851.22,80678506.69,79081482.73
11015,1,157809412.8,133064864.86,128990628.47
11015,2,199679060,155686581.92,150721949.19
11016,1,11735682.55,11735682.55,10772092.63
11016,2,11494282.15,11737436.08,11737436.08
11017,1,79851090.96,478961772.12,466919914.99
11017,2,272103405.79,631208476.16,537644905.47
11018,1,NSS,NSS,NSS
11018,2,25374594,25374594,25374594
11019,1,32018878.28,32018878.28,32018878.28
11019,2,36596822,36596822,36596822
11020,1,625077177.06,1919150059.78,1813075145.05
11020,2,806567036.36,2282328044.46,1939235770.09
11021,1,NSS,50311900.4,50311900
11021,2,9801359,45384390.93,43264007.82
11022,1,2508699,2508699,2508699
11022,2,14853755,14853755,14853755
11023,1,17034015,17034015,16011474.28
11023,2,20065000,34397710.6,34057718.54
11024,1,NSS,NSS,NSS
11024,2,NSS,NSS,NSS
11025,1,41548921.27,41548921.27,33913884.38
11025,2,39230482.85,39230482.85,34509998.66
11026,1,2500000,1500000,1500000
11026,2,2000000,1300000,1300000
11027,1,NSS,NSS,NSS
11027,2,NSS,NSS,NSS
11028,1,NSS,NSS,NSS
11028,2,59890245,59651270,54926960
11029,1,10165882.5,14404957.25,12592656.4
11029,2,14500856,16262462,16262436.07
