ubicageo_f,aniorefe_b,prpltett,prplte1,prplte2,prplte4,prplte5,prpltene
30202,2,0,0,0,0,0,
30203,1,0,0,0,0,0,
30203,2,1338441,0,209602,665269,463570,
30204,1,0,0,0,0,0,
30204,2,0,0,0,0,0,
30205,1,NA,NA,NA,NA,NA,
30205,2,NA,NA,NA,NA,NA,
30206,1,0,0,0,0,0,
30206,2,0,0,0,0,0,
30207,1,0,0,0,0,0,
30207,2,0,0,0,0,0,
30208,1,0,0,0,0,0,
30208,2,0,0,0,0,0,
30209,1,0,0,0,0,0,
30209,2,0,0,0,0,0,
30210,1,0,0,0,0,0,
30210,2,0,0,0,0,0,
30211,1,0,0,0,0,0,
30211,2,0,0,0,0,0,
30212,1,0,0,0,0,0,
30212,2,0,0,0,0,0,
31001,1,0,0,0,0,0,
31001,2,0,0,0,0,0,
31002,1,37352,0,0,37352,0,
31002,2,0,0,0,0,0,
31003,1,0,0,0,0,0,
31003,2,0,0,0,0,0,
31004,1,0,0,0,0,0,
31004,2,0,0,0,0,0,
31005,1,0,0,0,0,0,
31005,2,0,0,0,0,0,
31006,1,0,0,0,0,0,
31006,2,0,0,0,0,0,
31007,1,0,0,0,0,0,
31007,2,0,0,0,0,0,
31008,1,0,0,0,0,0,
31008,2,0,0,0,0,0,
31009,1,0,0,0,0,0,
31009,2,0,0,0,0,0,
31010,1,0,0,0,0,0,
31010,2,0,0,0,0,0,
31011,1,0,0,0,0,0,
31011,2,0,0,0,0,0,
31012,1,0,0,0,0,0,
31012,2,0,0,0,0,0,
31013,1,0,0,0,0,0,
31013,2,0,0,0,0,0,
31014,1,0,0,0,0,0,
31014,2,0,0,0,0,0,
31015,1,0,0,0,0,0,
31015,2,0,0,0,0,0,
31016,1,0,0,0,0,0,
31016,2,0,0,0,0,0,
31017,1,0,0,0,0,0,
31017,2,0,0,0,0,0,
31018,1,0,0,0,0,0,
31018,2,0,0,0,0,0,
31019,1,0,0,0,0,0,
31019,2,0,0,0,0,0,
31020,1,0,0,0,0,0,
31020,2,0,0,0,0,0,
31021,1,0,0,0,0,0,
31021,2,0,0,0,0,0,
31022,1,0,0,0,0,0,
31022,2,0,0,0,0,0,
31023,1,0,0,0,0,0,
31023,2,0,0,0,0,0,
31024,1,0,0,0,0,0,
31024,2,0,0,0,0,0,
31025,1,0,0,0,0,0,
31025,2,0,0,0,0,0,
31026,1,0,0,0,0,0,
31026,2,0,0,0,0,0,
31027,1,0,0,0,0,0,
31027,2,0,0,0,0,0,
31028,1,0,0,0,0,0,
31028,2,0,0,0,0,0,
31029,1,0,0,0,0,0,
31029,2,0,0,0,0,0,
31030,1,0,0,0,0,0,
31030,2,0,0,0,0,0,
31031,1,0,0,0,0,0,
31031,2,0,0,0,0,0,
