ubicageo_f,capobg1,capobg2,capobg3,capobg4,capobg5,capobg6,capobg7,capobg8,capobg9,capobgne
10028,0,0,0,0,0,0,0,0,0,
10029,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
10030,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
10031,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
10032,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
10033,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
10034,0,0,0,0,0,0,0,0,0,
10035,0,0,0,0,0,0,0,0,0,
10036,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
10037,0,1698898.1,0,0,0,0,0,0,0,
10038,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
10039,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
11001,2800770.38,25109210.94,5110180.86,0,4655280.94,0,0,0,0,
11002,28805900,48000,126100,20000,0,0,0,0,0,
11003,98800000,13700000,10700000,0,23900000,0,0,0,0,
11004,49133697,20000000,15000000,18000000,15000000,100000000,0,0,0,
11005,13585860.32,13585860.32,13585860.32,13585860.32,13585860.32,0,0,0,0,
11006,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
11007,298925873.68,35843979.62,21840724.59,497568.86,34434086.52,0,0,0,0,
11008,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
11009,26377851.23,4249191.81,2080577.35,0,142178.88,0,0,0,0,
11010,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
11011,49801768.49,10027636.58,3031186,0,0,0,0,0,0,
11012,15173441,2394957,815249,108967,382608,0,0,0,0,
11013,14748064.8,1785089.56,446427.98,5645.44,7803.92,0,0,0,0,
11014,61975433.9,10776371.84,3814185.97,2515491.02,0,0,0,0,0,
11015,111743925.2,19787687.78,14429431.32,0,4760904.89,0,0,0,0,
11016,9335648.44,1579455.99,618966.67,181437.5,21927.48,0,0,0,0,
11017,398037675.88,54298901.78,58230168.84,1345818.52,23659135.43,2073205.02,0,0,0,
11018,23256332,1344262,774000,0,0,0,0,0,0,
11019,20146477,4296877.47,0,5610768.57,6542698.96,0,0,0,0,
11020,1480219752.38,203737001.75,153075255.92,0,82852319.11,19351440.93,0,0,0,
11021,35375122.16,5641216.1,1496408.72,0,751260.84,0,0,0,0,
11022,12471255,1968500,364000,0,50000,0,0,0,0,
