ubicageo_f,capobg1,capobg2,capobg3,capobg4,capobg5,capobg6,capobg7,capobg8,capobg9,capobgne
19032,1880687,3761375,2906519,0,0,0,0,0,0,
19033,31180920.47,11527312.43,12699867.01,1558284.62,1203760.59,0,0,0,0,
19034,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,9101980.63
19035,2400000,1240000,56000,879000,0,425000,0,0,0,
19036,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
19037,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,9069676
19038,0,0,0,0,0,0,0,0,0,
19039,517964251.39,128197047.74,116378426.05,NA,170973305.87,17393241.79,NA,NA,309475.22,
19040,NA,NA,NA,NA,NA,NA,NA,NA,NA,
19041,108414860,25997542,9901898,0,2130599,0,0,0,0,
19042,NSS,NSS,NSS,NSS,NSS,NSS,NSS,0,0,
19043,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
19044,8133321.04,2324325.63,16080428.81,0,106250,154664.64,0,0,0,
19045,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
19046,176234091.7,48813579.55,78340821.21,215562.4,2518030.27,0,0,0,114599.67,
19047,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
19048,120925578,33374999,39707307,47807,26680500,0,0,0,30000,
19049,39298249,11431670.6,16940314.51,256188.76,7356030.66,0,0,0,0,
19050,NA,NA,NA,NA,NA,NA,NA,NA,NA,
19051,819277.57,0,0,0,0,0,0,0,0,
20001,336400,11000,37945,0,0,0,0,0,0,
20002,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
20003,0,0,900800,0,0,0,0,0,0,
20004,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,780403.04
20005,0,0,0,0,0,0,0,0,0,
20006,6837114.17,3067843.51,3631851.81,130242.5,150792.46,0,0,0,0,
20007,654760.48,212534.44,1016150.71,3519,0,0,0,0,0,
20008,0,5000,1000,0,0,0,0,0,0,
20009,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
20010,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
20011,305101.26,180617.78,88631.6,0,0,0,0,0,0,
20012,0,0,NSS,0,0,0,0,0,0,
20013,0,54800,746854.28,0,0,0,0,0,0,
20014,7062500,6886525,6756170.62,10000,10000,0,0,0,0,
20015,0,0,3528706.35,0,0,0,0,0,0,
20016,554831.36,192094,1443486.77,0,0,0,0,0,0,
20017,0,0,2394183.7,0,0,0,0,0,0,
20018,139067.54,0,360080.27,0,0,0,0,0,0,
20019,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,1827996.12
20020,1608118,0,0,0,0,0,0,0,0,
20021,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
20022,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,532999.56
20023,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
20024,240000,1550000,2210000,0,0,0,0,0,0,
20025,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
20026,358724.09,710597.9,758677.81,115740.01,0,116505.91,0,0,0,
20027,864000,0,696000,0,0,0,0,0,0,
20028,0,0,15365052.93,0,0,0,0,0,0,
20029,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
20030,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
20031,0,0,809350.8,0,0,0,0,0,0,
20032,345216,385961,14719,0,0,0,0,0,0,
20033,0,1944195.69,0,0,0,0,0,0,0,
20034,325684,132733,125846,0,0,0,0,0,0,
20035,355061,20000,0,0,0,0,0,0,0,
20036,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,3488724.6
20037,798000,1110407,0,0,0,0,0,0,0,
20038,1152.31,321712.48,393775.8,0,49999.99,409649.73,0,0,0,
20039,0,0,0,0,0,0,0,0,0,
20040,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
20041,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
20042,2061197.66,846616.88,276322.18,0,27999,2353495.12,0,0,0,
20043,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,89397224
20044,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
20045,2096852.53,1041714.38,722907.69,4985,0,1369282.3,0,0,0,
20046,0,838479,0,0,0,0,0,0,0,
20047,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
20048,0,0,967808.94,0,0,0,0,0,0,
20049,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
20050,259200,0,0,0,0,0,0,0,0,
20051,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
20052,0,0,4121389.96,0,0,0,0,0,0,
20053,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
20054,0,121598.4,0,0,0,0,0,0,0,
20055,252529,148512,146851,0,0,0,0,0,0,
20056,0,0,1507713,0,0,0,0,0,0,
20057,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,1081841.16
20058,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
20059,6912000,4580235,1250425,0,0,25354933,0,0,0,
20060,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,1650807
20061,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
20062,0,65000,0,0,0,0,0,0,0,
20063,2849523.32,0,0,0,0,0,0,0,0,
20064,0,0,600000,0,0,0,0,0,0,
20065,181200,229000,48400,0,0,0,0,0,0,
20066,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
20067,243326688,27572766,11703084,0,3875756,0,0,0,0,
20068,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
20069,0,0,2025839.87,0,0,0,0,0,0,
20070,0,0,4754329,0,0,0,0,0,0,
20071,0,0,50000,0,0,0,0,0,0,
20072,0,0,5347358.96,0,0,0,0,0,0,
20073,4381000,120000,2120260,0,0,0,0,0,0,
20074,0,2000,3000,0,0,0,0,0,0,
20075,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,904000
20076,2146009,0,0,0,0,0,0,0,0,
20077,221550.67,664651.98,590801.76,0,0,0,0,0,0,
20078,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
20079,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
20080,0,0,1057370.28,0,0,0,0,0,0,
20081,431479,112356,128623,0,0,0,0,0,0,
20082,1500000,350000,50000,0,1500000,500000,0,0,0,
20083,2386062,900000,1800000,400000,1000000,100000,0,0,0,
20084,0,493313.41,0,0,0,0,0,0,0,
20085,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
20086,57600,0,0,0,0,0,0,0,0,
20087,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
20088,650000,0,0,0,0,0,0,0,0,
20089,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,1531958.96
20090,1000000,500000,750000,0,750000,500000,0,0,0,
20091,0,0,5420000,0,0,0,0,0,0,
20092,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
20093,0,0,0,0,0,0,0,0,0,
20094,0,882400.65,0,0,0,0,0,0,0,
20095,2098088.62,357726.29,337726.13,186456,8103,0,0,0,0,
20096,222359.33,191044.72,99595.98,0,0,0,0,0,0,
20097,0,0,0,0,0,4484287,0,0,0,
20098,960000,40000,2500,20000,0,0,0,0,0,
20099,172872.12,78604.94,20156.2,0,0,0,0,0,0,
20100,0,1566.17,0,0,0,259550.56,0,0,0,
20101,0,0,496503.38,0,0,0,0,0,0,
20102,495634.21,1455882.91,1499512.45,0,0,0,0,0,0,
