ubicageo_f,tipatrul_c,rnsnni1,totalca1,totalca2
5023,1,2,NA,NA
5023,2,2,NA,NA
5023,3,1,200,15000
5023,4,2,NA,NA
5023,5,2,NA,NA
5023,6,2,NA,NA
5023,7,2,NA,NA
5023,8,2,NA,NA
5023,9,2,NA,NA
5024,1,1,365,NSS
5024,2,2,NA,NA
5024,3,1,365,NSS
5024,4,1,365,NSS
5024,5,1,365,NSS
5024,6,1,365,NSS
5024,7,2,NA,NA
5024,8,2,NA,NA
5024,9,2,NA,NA
5025,1,2,NA,NA
5025,2,2,NA,NA
5025,3,1,365,109.5
5025,4,1,365,94.64
5025,5,2,NA,NA
5025,6,2,NA,NA
5025,7,2,NA,NA
5025,8,2,NA,NA
5025,9,2,NA,NA
5026,1,0,NA,NA
5026,2,0,NA,NA
5026,3,0,NA,NA
5026,4,0,NA,NA
5026,5,0,NA,NA
5026,6,0,NA,NA
5026,7,0,NA,NA
5026,8,0,NA,NA
5026,9,0,NA,NA
5027,1,2,NA,NA
5027,2,2,NA,NA
5027,3,1,NSS,NSS
5027,4,1,NSS,NSS
5027,5,2,NA,NA
5027,6,2,NA,NA
5027,7,2,NA,NA
5027,8,2,NA,NA
5027,9,2,NA,NA
5028,1,2,NA,NA
5028,2,2,NA,NA
5028,3,1,730,87600
5028,4,1,730,87600
5028,5,2,NA,NA
5028,6,2,NA,NA
5028,7,2,NA,NA
5028,8,2,NA,NA
5028,9,2,NA,NA
5029,1,2,NA,NA
5029,2,2,NA,NA
5029,3,2,NA,NA
5029,4,1,720,36000
5029,5,2,NA,NA
5029,6,2,NA,NA
5029,7,2,NA,NA
5029,8,2,NA,NA
5029,9,2,NA,NA
5030,1,9,NSS,NSS
5030,2,9,NSS,NSS
5030,3,9,NSS,NSS
5030,4,9,NSS,NSS
5030,5,9,NSS,NSS
5030,6,2,NA,NA
5030,7,2,NA,NA
5030,8,9,NSS,NSS
5030,9,2,NA,NA
5031,1,2,NA,NA
5031,2,2,NA,NA
5031,3,2,NA,NA
5031,4,1,7993,25550
5031,5,2,NA,NA
5031,6,2,NA,NA
5031,7,2,NA,NA
5031,8,2,NA,NA
5031,9,2,NA,NA
5032,1,2,NA,NA
5032,2,2,NA,NA
5032,3,1,NSS,NSS
5032,4,1,NSS,NSS
5032,5,2,NA,NA
5032,6,2,NA,NA
5032,7,2,NA,NA
5032,8,2,NA,NA
5032,9,2,NA,NA
5033,1,1,30,NSS
5033,2,2,NA,NA
5033,3,2,NA,NA
5033,4,1,735,NSS
5033,5,2,NA,NA
5033,6,2,NA,NA
5033,7,2,NA,NA
5033,8,2,NA,NA
5033,9,2,NA,NA
5034,1,2,NA,NA
5034,2,2,NA,NA
5034,3,2,NA,NA
5034,4,1,6570,65700
5034,5,2,NA,NA
5034,6,2,NA,NA
5034,7,2,NA,NA
5034,8,2,NA,NA
5034,9,2,NA,NA
5035,1,1,670,44530
5035,2,2,NA,NA
5035,3,1,14022,989979
5035,4,1,42066,2969937
5035,5,1,24840,252000
5035,6,1,1440,54000
5035,7,2,NA,NA
5035,8,2,NA,NA
5035,9,2,NA,NA
5036,1,2,NA,NA
5036,2,2,NA,NA
