ubicageo_f,regiadmi_g,rnspni1,anios_a,periactu_b,siregadm_b,tipers1,tipers2,tipers3,tipers4,tipers5,tipers6,tipers7,tipers8,raauto1,raauto2,raauto3,raauto4,raauto5,raauto6,raauto7,raauto8,raauto9,raauto10,raauto11,raauto12,raauto13
7018,1,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7019,1,1,2021,7,4,1,1,1,1,1,1,,,1,,,,,,,,,,,,
7020,1,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7021,1,1,2021,1,2,1,1,1,1,1,1,,,,,,,,,,1,,,,,
7022,1,1,2021,10,3,1,1,1,1,1,1,1,,,,,,1,,,,,,,,
7023,1,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7024,1,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7025,1,1,2022,1,1,1,,,1,,,,,,1,,,,,,,,,1,,
7026,1,1,2021,1,5,1,1,1,1,1,1,,,,,,1,,,,,,,,,
7027,1,1,2022,10,1,1,1,1,1,1,1,,,,,,,,,,,,,,1,
7028,1,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7029,1,1,2022,5,3,1,1,1,1,1,1,1,,,,,,1,,,,,,,,
7030,1,1,2021,1,1,1,1,1,1,1,1,,,1,,,,,,,,,,,,
7031,1,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7032,1,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7033,1,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7034,1,1,2021,7,1,1,1,1,1,1,1,,,1,,,,,,,,,,,,
7035,1,1,2021,1,4,1,1,1,1,1,1,,,,,,,,,,,,,,1,
7036,1,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7037,1,1,2022,10,1,1,1,1,1,,,,,,,,,,,,,1,,,,
7038,1,1,2021,5,1,1,1,1,1,1,1,,,,,,,1,,,,,,,,
7039,1,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7040,1,1,2021,5,1,1,1,1,1,1,1,,,,,,,,,,,,,,1,
7041,1,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7042,1,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7043,1,1,2021,2,1,1,1,1,,,,,,,,,,,,,,,,,1,
7044,1,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7045,1,1,2021,10,3,1,1,1,1,1,1,,,,,,,,,,,,,,1,
7046,1,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7047,1,1,2022,10,4,,,,,,,1,,,,,,,,,,,,,1,
7048,1,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7049,1,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7050,1,1,2021,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,1,
7051,1,1,2021,5,1,1,1,1,,,1,,,,,,,,,,,,,,1,
7052,1,1,2021,2,3,1,1,1,1,1,1,1,,,,,,,,,,,,,1,
7053,1,1,2021,1,1,,,,,1,,,,,,,,1,,,,,,,,
