ubicageo_f,regiadmi_g,rnspni1,anios_a,periactu_b,siregadm_b,tifalt1,tifalt2,tifalt3,tifalt4,tifalt5,tifalt6,raauto1,raauto2,raauto3,raauto4,raauto5,raauto6,raauto7,raauto8,raauto9,raauto10,raauto11,raauto12,raauto13
5023,4,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5024,4,1,2022,5,4,1,1,1,1,,,,,,,1,,1,,,,,,
5025,4,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5026,4,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5027,4,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5028,4,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5029,4,1,2022,1,5,1,1,,1,,,1,,,,,,,,,,,,
5030,4,1,2016,1,5,1,,,,,,1,,,,1,,,1,,,1,,
5031,4,1,2016,5,2,1,,1,,1,,,,,,1,,,,,,,,
5032,4,1,2022,1,5,1,1,1,,,,1,,,,,,,,,,,,
5033,4,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5034,4,1,NSS,5,4,1,1,1,1,,,,,,,1,,,,,,,,
5035,4,1,2014,1,5,1,1,1,1,,,1,,1,,,,,1,,1,,,
5036,4,1,2019,5,3,1,1,1,1,1,,1,,,,,,,,,,,,
5037,4,1,2022,1,5,1,1,1,1,,,,,,,,,,,,,,1,
5038,4,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6001,4,1,2021,1,5,1,1,1,,,,1,,,,,,,,,,,,
6002,4,1,2021,2,4,1,1,1,1,,,,,,,,,,,,,1,,
6003,4,1,2011,1,1,1,,,1,,,,,,,1,,,,,,,,
6004,4,1,2015,10,4,,,,1,,,1,,,,,,,,,,,,
6005,4,1,2021,1,2,1,1,1,1,,,1,,,,,,,1,,,,,
6006,4,1,2022,1,1,1,1,1,1,,,1,,,,,,,,,,,,
6007,4,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6008,4,1,2022,1,1,1,1,1,1,1,,1,,,,,,,,,,,,
6009,4,1,2021,5,3,1,,,,,,,,,,1,,,,,,,,
6010,4,1,2021,1,5,1,1,1,1,,,,,,,1,,,,,,,,
7001,4,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7002,4,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7003,4,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7004,4,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7005,4,1,2022,2,5,,,,,,1,,,,,,,,,,,,1,
7006,4,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7007,4,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7008,4,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7009,4,1,2021,5,1,1,1,1,1,,,1,,,,,,,,,,,,
7010,4,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7011,4,9,NSS,997,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
7012,4,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7013,4,1,2021,2,2,1,,,1,,,,,,,,,,,,,,1,
7014,4,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7015,4,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7016,4,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7017,4,1,2022,2,3,1,,,,1,,1,,,,,,,,,,,,
7018,4,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7019,4,1,2021,1,1,1,1,1,1,,,1,,,,,,,,,,,,
7020,4,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7021,4,1,2021,1,2,1,1,1,1,,,,,,,,,,1,,,,,
7022,4,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7023,4,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7024,4,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7025,4,1,2021,1,1,1,,,,,,,,,,,,,1,,,,,
7026,4,1,2021,1,3,1,1,1,1,,,,,,,,,,,,,,1,
7027,4,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7028,4,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7029,4,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
