ubicageo_f,regiadmi_g,rnspni1,anios_a,periactu_b,siregadm_b,tipers1,tipers2,tipers3,tipers4,tipers5,tipers6,tipers7,tipers8,raauto1,raauto2,raauto3,raauto4,raauto5,raauto6,raauto7,raauto8,raauto9,raauto10,raauto11,raauto12,raauto13
4002,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4003,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4004,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4005,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4006,2,9,NSS,997,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
4007,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4008,2,9,NSS,997,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
4009,2,1,2018,5,5,,,,,,1,,,,,,,1,,,,,,,,
4010,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4011,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4012,2,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4013,2,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5001,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5002,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5003,2,1,2022,3,4,1,1,1,1,1,1,,,1,,,,,,,,,,,,
5004,2,1,2014,5,5,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,,
5005,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5006,2,1,NSS,2,3,1,,,,,,,,,,1,,,,,,,,,,
5007,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5008,2,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5009,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5010,2,1,NSS,5,2,1,1,,,,,,,,,,,,,,,,,,1,
5011,2,1,2018,5,3,,1,1,1,,,,,,,,,1,,,,,,,,
5012,2,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5013,2,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5014,2,1,2021,3,4,1,1,1,,1,,,,,,,,1,,,,,,,,
5015,2,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5016,2,1,2019,5,4,1,1,1,,,,,,,,,1,,,,,,,,,
5017,2,1,2022,4,4,1,1,1,1,,1,,,,,1,,,,,,,,,,
5018,2,1,2010,5,4,1,1,1,1,1,1,,,,,,,,,,,,,,1,
5019,2,1,2020,99,1,1,1,1,1,1,1,,,1,,,,,,,,,,1,,
5020,2,1,2016,2,5,1,1,1,1,1,1,1,,,,,,1,,,,,,,,
5021,2,1,NSS,5,4,1,1,1,1,1,1,1,,,,1,,,,1,,,,,,
5022,2,1,2015,5,4,1,1,,,,1,,,1,,,,1,,,,,,,,
5023,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5024,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5025,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5026,2,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5027,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5028,2,1,2015,5,4,,1,,,,1,1,,,,,,,,,,,,1,,
5029,2,1,2022,5,4,,,,,1,,,,1,,,,,,,,,,,,
5030,2,1,2003,1,5,,,,,,,,1,,,,,1,,,,,,1,,
5031,2,1,2019,5,2,,,1,,,1,1,,,,,,1,,,,,,,,
5032,2,1,2022,1,5,1,1,1,,,1,1,,1,,,,,,,,,,,,
5033,2,1,2022,1,1,1,1,1,1,1,1,,,,,,,,,,,,,1,,
5034,2,1,NSS,5,4,1,1,1,1,,1,1,,,,,,1,,,,,,,,
5035,2,1,2011,4,5,1,1,1,1,1,1,1,,,,,,,,,,,,,,1
5036,2,1,2019,5,3,1,1,1,1,1,1,1,,1,,,,,,,,,,,,
5037,2,1,2022,1,4,1,1,1,1,1,1,,,,,,,,,,,,,,1,
5038,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6001,2,1,2021,1,5,1,1,1,1,,,,,,,,,1,,,,,,,,
6002,2,1,2020,2,5,,,,,,,,1,,,,,,,,,,,,1,
6003,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6004,2,1,2015,10,4,,,1,,,,,,,,,,,,1,,,,,,
6005,2,1,2021,5,2,1,1,1,1,1,1,,,,,,,,,,,,,,1,
6006,2,1,2022,1,1,,,,,,1,1,,,,,,,,,,,,,1,
6007,2,9,NSS,997,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
6008,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6009,2,1,2021,5,3,1,1,1,1,1,1,1,,,,,,1,,,,,,,,
6010,2,1,2001,1,1,,,,,,1,,,,,,,,,,,,,,1,
7001,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7002,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7003,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7004,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7005,2,1,2022,5,4,,,,,,,,1,,,,,,,,,,,,1,
7006,2,1,2021,10,1,1,1,1,,,1,,,,,,,,,,,,,,1,
7007,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7008,2,1,2021,5,4,,,,,,,,1,,,,,,,,,,,,,1
7009,2,1,2021,5,1,1,1,1,1,1,1,,,,,,,,,,,,,,1,
7010,2,1,2021,7,1,1,1,1,,1,1,1,,,,1,,,,,,,,,,
7011,2,9,NSS,997,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
7012,2,1,2021,1,2,1,1,1,,,,,,,,,,,,,,,,,1,
7013,2,1,2021,2,2,,,,,,,1,,,,,,,,,,,,,1,
7014,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7015,2,1,2020,1,1,1,1,1,,,,,,,,,,,,,,,,,1,
7016,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7017,2,1,2022,4,3,,,,,,,1,,,,,,,,,,,,1,,
7018,2,1,2021,12,1,1,1,1,,1,,,,,,,,,,,,,,,1,
7019,2,1,2021,1,4,1,1,1,1,1,1,,,1,,,,,,,,,,,,
7020,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7021,2,1,2021,1,2,1,1,1,1,1,1,,,,,,,,,,1,,,,,
7022,2,1,2021,10,3,1,1,1,1,1,1,1,,,,,,1,,,,,,,,
7023,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7024,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7025,2,1,2022,9,1,1,1,1,,,,,,,,,,,,1,,,,,,
7026,2,1,2021,1,5,1,1,1,1,1,1,,,,,,1,,,,,,,,,
7027,2,1,2022,10,1,1,1,1,1,1,1,,,,,,,,,,,,,,1,
7028,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7029,2,1,2022,5,3,1,1,1,1,1,1,1,,,,,,1,,,,,,,,
7030,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7031,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7032,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7033,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7034,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7035,2,1,2021,1,4,1,1,1,1,1,1,,,,,,,,,,,,,,1,
7036,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7037,2,1,2022,10,1,1,1,1,1,,,,,,,,,,,,,1,,,,
7038,2,1,2021,5,1,1,1,1,1,1,1,,,,,,,1,,,,,,,,
7039,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7040,2,1,2021,5,1,1,1,1,1,1,1,,,,,,,,,,,,,,1,
7041,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7042,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7043,2,1,2021,5,4,1,1,1,1,1,1,,,,,,,,,,,,,,1,
7044,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7045,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7046,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7047,2,1,2022,4,4,,,,,,,1,,,,,,,,,,,,,1,
7048,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7049,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7050,2,1,2021,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,1,
7051,2,1,2021,5,1,1,1,1,,,1,,,,,,,,,,,,,,1,
7052,2,1,2021,2,3,1,1,1,1,1,1,1,,,,,,,,,,,,,1,
7053,2,1,2021,4,1,,,,1,,,,,,,,,1,,,,,,,,
7054,2,1,2022,5,5,1,1,1,,,1,,,,,,,,,,,,,,1,
7055,2,1,2021,5,1,1,1,1,1,1,1,,,,,,,,,,,,,,1,
7056,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7057,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7058,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7059,2,1,2021,5,5,1,1,1,1,1,1,1,,,,,,1,,,,,,,,
7060,2,1,2021,9,1,1,1,1,,,1,,,1,,,,,,,,1,,,,
7061,2,1,2022,4,3,,,,,,,1,,,,,,,,,,,,,1,
7062,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7063,2,1,2021,1,3,1,1,,,,1,,,,,,,,,,,,,1,,
7064,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7065,2,1,2022,4,4,,,,,,1,,,,,,,,,,,,,,1,
7066,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7067,2,1,2021,5,1,1,1,1,,,,,,,,,,,,,,,,,1,
7068,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7069,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7070,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7071,2,1,2021,5,1,1,1,1,1,1,1,,,,,,,,,,,,,,1,
7072,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7073,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7074,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7075,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7076,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7077,2,9,NSS,997,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
7078,2,1,2015,4,3,,,,1,,,,,,,,,,,,,,,,1,
7079,2,1,2022,1,3,1,1,1,1,1,1,,,1,,,,1,,,,,,,,
7080,2,1,2022,4,5,1,,,,,,,,,,,,,,,,,,,1,
7081,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7082,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7083,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7084,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7085,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7086,2,1,2022,10,1,1,1,1,,,1,,,,,,,,,,,,,,1,
7087,2,1,2021,1,1,1,1,1,,,1,,,,,,,,,,,,,,1,
7088,2,1,NSS,5,3,,,,,,,,1,,,,,1,,,,,,,,
7089,2,1,2021,5,4,1,1,1,1,1,1,,,,,,,,,,,,,1,,
7090,2,1,2021,5,1,1,1,1,,,1,,,1,,,,,,,1,,,,,
7091,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7092,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7093,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7094,2,1,2022,7,3,1,1,,,,1,,,1,,,,,,,,,,,,
7096,2,1,2022,4,3,,,,1,1,1,,,,,,,,,,,,,,1,
7097,2,1,2017,1,1,,,,,,,1,,,,,,,,,,,,,1,
7098,2,1,2015,10,1,,,,,,1,,,1,,,,,,,,,,,,
7099,2,1,2021,5,4,1,1,1,1,1,1,,,,,,,,1,,,,,,,
7100,2,1,2000,10,1,,,,,,,,1,,,,,,,,,,,1,,
7101,2,1,2009,5,3,1,1,1,1,1,1,1,,,,,,,,,,,,,1,
7102,2,1,2015,4,3,1,1,1,1,1,1,,,,,,,,,,,,,,1,
7103,2,1,2018,4,1,,,,,,1,1,,,,,,1,,,,,,,,
7104,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7105,2,1,2021,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,1,
7106,2,1,2021,4,2,1,1,,,,,1,,,,,,,,,,,,,1,
7107,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7108,2,1,2010,5,5,,,1,1,1,1,,,,,,,1,,,,,,,,
7109,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7110,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7111,2,1,2021,10,5,1,1,1,1,1,1,,,,,,,,,,,,,,1,
7112,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7113,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7114,2,1,2021,2,3,,,1,,,,,,,,,,,,,,,,,1,
7115,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7116,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7117,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7118,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7119,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7120,2,1,2021,1,1,1,1,1,1,1,,,,,,,,,,,,,,,1,
7121,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7122,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7123,2,1,2022,5,4,1,1,,,,,,,,,,,,,,,,,,1,
7124,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7125,2,1,2021,5,1,1,1,1,1,1,,,,,,,,,,,,,,,1,
8001,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8002,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8003,2,1,2021,5,3,1,1,1,,,,,,,,,,,,,1,,,,,
8004,2,1,2021,12,1,1,1,1,1,1,1,,,,,,,,,,1,,,,,
8005,2,1,2015,1,1,1,1,1,1,1,1,,,,,,,1,,,,,,,,
8006,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8007,2,1,2021,99,1,1,1,1,,,,,,,,,,1,,,,,,,,
8008,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8009,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8010,2,1,2015,1,1,,,,,,,,1,,,,,,,,,,1,,,
8011,2,1,2021,5,2,1,1,,1,1,1,,,,,,,,,,,,,,1,
8012,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8013,2,1,NSS,1,1,,,1,,,,,,,,,,,,,,,,1,,
8014,2,1,2021,1,1,1,1,1,1,1,1,,,,,,,1,,,,,,,,
8015,2,9,NSS,997,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
8016,2,1,2005,10,4,1,1,1,1,1,1,1,,,,,,1,,,,,,,,
8017,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8018,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8019,2,1,NSS,5,3,1,1,1,1,1,1,1,,,,,,,,,,,,,1,
8020,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8021,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8022,2,1,NSS,1,1,1,1,1,1,1,,,,,,,,,,,1,,,,,
8023,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8024,2,1,2021,5,2,1,1,1,1,1,1,1,,,,,,1,,,1,,,,,
8025,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
