ubicageo_f,aniorefe_b,rnsnni1,totalca1
29032,2,2,NA
29033,1,2,NA
29033,2,2,NA
29034,1,2,NA
29034,2,1,5
29035,1,2,NA
29035,2,2,NA
29036,1,2,NA
29036,2,2,NA
29037,1,2,NA
29037,2,2,NA
29038,1,2,NA
29038,2,2,NA
29039,1,2,NA
29039,2,1,10
29040,1,2,NA
29040,2,2,NA
29041,1,2,NA
29041,2,2,NA
29042,1,1,2
29042,2,1,2
29043,1,2,NA
29043,2,2,NA
29044,1,2,NA
29044,2,2,NA
29045,1,2,NA
29045,2,2,NA
29046,1,2,NA
29046,2,2,NA
29047,1,2,NA
29047,2,1,2
29048,1,9,NSS
29048,2,2,NA
29049,1,2,NA
29049,2,2,NA
29050,1,2,NA
29050,2,2,NA
29051,1,2,NA
29051,2,2,NA
29052,1,2,NA
29052,2,2,NA
29053,1,2,NA
29053,2,2,NA
29054,1,9,NSS
29054,2,2,NA
29055,1,2,NA
29055,2,2,NA
29056,1,2,NA
29056,2,2,NA
29057,1,2,NA
29057,2,2,NA
29058,1,2,NA
29058,2,2,NA
29059,1,2,NA
29059,2,2,NA
29060,1,2,NA
29060,2,2,NA
30001,1,9,NSS
30001,2,2,NA
30002,1,9,NSS
30002,2,2,NA
30003,1,2,NA
30003,2,2,NA
30004,1,2,NA
30004,2,2,NA
30005,1,2,NA
30005,2,2,NA
30006,1,9,NSS
30006,2,9,NSS
30007,1,2,NA
30007,2,2,NA
30008,1,2,NA
30008,2,2,NA
30009,1,2,NA
30009,2,2,NA
30010,1,2,NA
30010,2,2,NA
30011,1,2,NA
30011,2,2,NA
30012,1,2,NA
30012,2,2,NA
30013,1,2,NA
30013,2,2,NA
30014,1,9,NSS
30014,2,9,NSS
30015,1,9,NSS
30015,2,1,1
30016,1,2,NA
30016,2,2,NA
30017,1,2,NA
30017,2,2,NA
30018,1,2,NA
30018,2,2,NA
30019,1,2,NA
30019,2,2,NA
30020,1,2,NA
30020,2,2,NA
30021,1,2,NA
30021,2,2,NA
30022,1,2,NA
30022,2,2,NA
30023,1,2,NA
30023,2,2,NA
30024,1,2,NA
30024,2,2,NA
30025,1,9,NSS
30025,2,2,NA
30026,1,2,NA
30026,2,2,NA
30027,1,9,NSS
30027,2,2,NA
30028,1,2,NA
30028,2,1,3
30029,1,2,NA
30029,2,2,NA
30030,1,2,NA
30030,2,2,NA
30031,1,2,NA
30031,2,2,NA
30032,1,2,NA
30032,2,2,NA
30033,1,2,NA
30033,2,2,NA
30034,1,1,1
30034,2,2,NA
30035,1,2,NA
30035,2,2,NA
30036,1,2,NA
30036,2,2,NA
30037,1,2,NA
30037,2,2,NA
30038,1,2,NA
30038,2,2,NA
30039,1,2,NA
30039,2,2,NA
30040,1,2,NA
30040,2,2,NA
30041,1,9,NSS
